abbreviation	fullName	chargedFormula	charge	avgmolweight	monoisotopicweight	keggId	inchiString	pubChemId	cheBlId	hmdb	pdmapName	reconMap	reconMap3	food_db	chemspider	biocyc	biggId	wikipedia	drugbank	seed	metanetx	knapsack	metlin	casRegistry	epa_id	inchiKey	smile	lipidmaps
10fthf7glu	10-Formyltetrahydrofolate-[Glu](7)	C50H57N13O25	-8				"InChI=1S/C50H65N13O25/c51-50-61-40-39(47(84)62-50)53-23(19-52-40)20-63(21-64)24-3-1-22(2-4-24)41(78)59-30(48(85)86)5-12-32(65)54-25(6-13-33(66)67)42(79)55-26(7-14-34(68)69)43(80)56-27(8-15-35(70)71)44(81)57-28(9-16-36(72)73)45(82)58-29(10-17-37(74)75)46(83)60-31(49(87)88)11-18-38(76)77/h1-4,21,23,25-31,53H,5-20H2,(H,54,65)(H,55,79)(H,56,80)(H,57,81)(H,58,82)(H,59,78)(H,60,83)(H,66,67)(H,68,69)(H,70,71)(H,72,73)(H,74,75)(H,76,77)(H,85,86)(H,87,88)(H4,51,52,61,62,84)/p-8"					10fthf7glu	10fthf7glu				10fthf7glu				MNXM5422					VTHHVZBTNSHUDD-UHFFFAOYSA-F	[H]OC1=NC(=N[H])N([H])C2=C1N([H])C([H])(C([H])([H])N(C([H])=O)C1=C([H])C([H])=C(C([H])=C1[H])C(=O)N([H])C([H])(C([O-])=O)C([H])([H])C([H])([H])C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])(C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([O-])=O)C([H])([H])N2[H]	
10hdhsngnrn	10-Hydroxydihydrosanguinarine	C20H15NO5	0																									
10hocdca	(R)-10-Hydroxystearate	C18H35O3	-1																									
10m3hddcaACP	10-methyl-3-hydroxy-dodecanoyl-ACP	C24H45N2O9PRS	-1																	cpd11509								
10m3hundecACP	10-methyl-3-hydroxy-undecanoyl-ACP	C23H43N2O9PRS	-1																	cpd11559								
10m3oddcaACP	10-methyl-3-oxo-dodecanoyl-ACP	C24H43N2O9PRS	-1																	cpd11508								
10m3oundecACP	10-methyl-3-oxo-undecanoyl-ACP	C23H41N2O9PRS	-1																	cpd11558								
10mddcaACP	10-methyl-dodecanoyl-ACP	C24H45N2O8PRS	-1																	cpd11511								
10mtddec2eACP	10-methyl-trans-dodec-2-enoyl-ACP	C24H43N2O8PRS	-1																	cpd11510								
10mtundec2eACP	10-methyl-trans-undec-2-enoyl-ACP	C23H41N2O8PRS	-1																	cpd11560								
10mundecACP	10-methyl-undecanoyl-ACP	C23H43N2O8PRS	-1																	cpd11561								
11_cis_retfa	Fatty Acid 11-Cis-Retinol	C20H29OFULLR2CO	0									11_cis_retfa	11_cis_retfa				11_cis_retfa				MNXM146564							
11docrtsl	Cortexolone	C21H30O4	0	346.4605	346.2144094	C05488	"InChI=1S/C21H30O4/c1-19-8-5-14(23)11-13(19)3-4-15-16(19)6-9-20(2)17(15)7-10-21(20,25)18(24)12-22/h11,15-17,22,25H,3-10,12H2,1-2H3/t15-,16+,17+,19+,20+,21+/m1/s1"	53477676	28324	HMDB00015		11docrtsl	11docrtsl	FDB021872		11-DEOXY-CORTISOL	11docrtsl	Cortexolone		cpd03268	MNXM163103		5088	152-58-9	DTXSID8045642	WHBHBVVOGNECLV-OBQKJFGGSA-N	[H]OC([H])([H])C(=O)[C@@]1(O[H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H]	
11docrtstrn	Deoxycorticosterone	C21H30O3	0	330.4611	330.2194948	C03205	"InChI=1S/C21H30O3/c1-20-9-7-14(23)11-13(20)3-4-15-16-5-6-18(19(24)12-22)21(16,2)10-8-17(15)20/h11,15-18,22H,3-10,12H2,1-2H3/t15-,16-,17-,18+,20-,21-/m0/s1"	6166	16973	HMDB00016		11docrtstrn	11docrtstrn	FDB021873	5932	11-DEOXYCORTICOSTERONE	11docrtstrn	Deoxycorticosterone		cpd02047	MNXM162887		5089	64-85-7	DTXSID0045254	ZESRJSPZRDMNHY-YFWFAHHUSA-N	[H]OC([H])([H])C(=O)[C@@]1([H])C([H])([H])C([H])([H])[C@@]2([H])[C@]3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])([H])C([H])([H])[C@]4(C([H])([H])[H])[C@@]3([H])C([H])([H])C([H])([H])[C@]12C([H])([H])[H]	
11m3hddcaACP	11-methyl-3-hydroxy-dodecanoyl-ACP	C24H45N2O9PRS	-1																	cpd11534								
11m3oddcaACP	11-methyl-3-oxo-dodecanoyl-ACP	C24H43N2O9PRS	-1																	cpd11533								
11mddcaACP	11-methyl-dodecanoyl-ACP	C24H45N2O8PRS	-1																	cpd11536								
11mtddec2eACP	11-methyl-trans-dodec-2-enoyl-ACP	C24H43N2O8PRS	-1																	cpd11535								
11od17odeacvind	11-O-Demethyl-17-O-deacetylvindoline	C22H29N2O5	1			C04318			16147																			
12acndl	"1,2-Anthracenediol"	C14H10O2	0																									
12bishp4ppl	"1,2-Bis(4-hydroxyphenyl)-2-propanol"	C15H16O3	0			C13629			31035															154928-56-0				
12d4mch35d1c	"cis-1,2-Dihydroxy-4-methylcyclohexa-3,5-diene-1-carboxylate"	C8H9O4	-1																									
12daihdglyc	"1,2-Dianteisoheptadecanoyl-sn-glycerol"	C37H72O5	0																	cpd15702								
12daipdglyc	"1,2-Dianteisopentadecanoyl-sn-glycerol"	C33H64O5	0				"InChI=1S/C27H52O5/c1-3-5-7-9-11-13-15-17-19-21-26(29)31-24-25(23-28)32-27(30)22-20-18-16-14-12-10-8-6-4-2/h25,28H,3-24H2,1-2H3"													cpd15705								
12dgr_HP	"1,2-Diacylglycerol Hp specific"	C36H68O5	0																									
12dgr_LLA	1_2_diacylglycerol__lactis_specific_	C3720H6998O500	0																									
12dgr120	"1,2-Diacyl-Sn-Glycerol (Didodecanoyl, N-C12:0)"	C27H52O5	0				"InChI=1S/C27H52O5/c1-3-5-7-9-11-13-15-17-19-21-26(29)31-24-25(23-28)32-27(30)22-20-18-16-14-12-10-8-6-4-2/h25,28H,3-24H2,1-2H3"		17815			12dgr120	12dgr120				12dgr120			cpd15306	MNXM4939					OQQOAWVKVDAJOI-UHFFFAOYSA-N	[H]OC([H])([H])C([H])(OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]	
12dgr140	"1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)"	C31H60O5	0														12dgr140			cpd15307	MNXM146479							
12dgr141	"1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)"	C31H56O5	0														12dgr141			cpd15308	MNXM4940							
12dgr160	"1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)"	C35H68O5	0														12dgr160			cpd15309	MNXM3132							
12dgr161	"1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)"	C35H64O5	0														12dgr161			cpd15310	MNXM3774							
12dgr180	"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)"	C39H76O5	0														12dgr180			cpd15311	MNXM4217							
12dgr181	"1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)"	C39H72O5	0														12dgr181			cpd15312	MNXM3775							
12dgr2_ST	"Membrane 1,2-diacylglycerol mixture"	X	0																									
12dhchol	"12-Dehydrocholic acid; 12-Oxodeoxycholic acid; 12oxo-3alpha,7alpha-Dihydroxy-5beta-cholan-24-oic acid"	C24H37O5	-1										12dhchol															
12dhnp12d	"cis-1,2-Dihydronaphthalene-1,2-diol"	C10H10O2	0																									
12dhrtclnm	"1,2-Dehydroreticulinium"	C19H22NO4	1																									
12dhtc	12-Dehydrotetracycline	C22H22N2O8	0																									
12dihdglyc	"1,2-Diisoheptadecanoyl-sn-glycerol"	C37H72O5	0																	cpd15701								
12dipdglyc	"1,2-Diisopentadecanoyl-sn-glycerol"	C33H64O5	0																	cpd15704								
12ditdglyc	"1,2-Diisotetradecanoyl-sn-glycerol"	C31H60O5	0																	cpd15703								
12dixdglyc	"1,2-Diisohexadecanoyl-sn-glycerol"	C35H68O5	0																	cpd15706								
12dvmln	"1,2-Dihydrovomilenine"	C21H24N2O3	0																									
12ethd	"1,2-Ethanediol"	C2H6O2	0			C01380	"InChI=1S/C20H32O4/c1-2-3-4-5-10-13-16-19(24-23)17-14-11-8-6-7-9-12-15-18-20(21)22/h7-11,13-14,17,19,23H,2-6,12,15-16,18H2,1H3,(H,21,22)/p-1/b9-7-,11-8-,13-10-,17-14?/t19-/m1/s1"	4575	30742	HMDB0037790										cpd00992		C00007409		107-21-1		LYCAIKOWRPUZTN-UHFFFAOYSA-N	OCCO	
12glcglcur	"1,2-beta-D-Glucuronosyl-D-glucuronate"	C12H16O13	-2			C04354			17676																			
12harachd	12-HETE	C20H31O3	-1	320.4663	320.2351449		"InChI=1S/C20H32O3/c1-2-3-4-5-10-13-16-19(21)17-14-11-8-6-7-9-12-15-18-20(22)23/h7-11,13-14,17,19,21H,2-6,12,15-16,18H2,1H3,(H,22,23)/p-1/b9-7+,11-8?,13-10-,17-14?"	5312983		HMDB06111		12harachd	12harachd	FDB001435	4472408		12harachd				MNXM13977	C00000424		71030-37-0		ZNHVWPKMFKADKW-FUOBAMOMSA-M	[H]OC([H])(C(\[H])=C(\[H])/C(/[H])=C(/[H])C([H])([H])C(\[H])=C(/[H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C(\[H])=C(\[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]	
12HPET	12(S)-HPETE	C20H31O4	-1	336.4657	336.2300595	C05965	"InChI=1S/C20H32O4/c1-2-3-4-5-10-13-16-19(24-23)17-14-11-8-6-7-9-12-15-18-20(21)22/h7-11,13-14,17,19,23H,2-6,12,15-16,18H2,1H3,(H,21,22)/p-1/b9-7-,11-8-,13-10-,17-14?/t19-/m0/s1"	5280892	15626	HMDB04243		12HPET	12HPET	FDB023348	4444415		12HPET				MNXM13989		7038	71774-10-2	DTXSID50349638	ZIOZYRSDNLNNNJ-APFHZBIOSA-M	[H]OO[C@]([H])(C([H])=C([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]	
12htacr	"12-HT or M-VI, 12-Hydroxy Tacrolimus"	C44H69NO13	0																									
12m3hmyrsACP	12-methyl-3-hydroxy-tetra-decanoyl-ACP	C26H49N2O9PRS	-1																	cpd11513								
12m3htridecACP	12-methyl-3-hydroxy-tridecanoyl-ACP	C25H47N2O9PRS	-1																	cpd11563								
12m3omyrsACP	12-methyl-3-oxo-tetra-decanoyl-ACP	C26H47N2O9PRS	-1																	cpd11512								
12m3otridecACP	12-methyl-3-oxo-tridecanoyl-ACP	C25H45N2O9PRS	-1																	cpd11562								
12mmyrsACP	12-methyl-tetra-decanoyl-ACP	C26H49N2O8PRS	-1																	cpd11515								
12mtmrs2eACP	12-methyl-trans-tetra-dec-2-enoyl-ACP	C26H47N2O8PRS	-1																	cpd11514								
12mtridecACP	12-methyl-tridecanoyl-ACP	C25H47N2O8PRS	-1																	cpd11565								
12mttritec2eACP	12-methyl-trans-tridec-2-enoyl-ACP	C25H45N2O8PRS	-1																	cpd11564								
12npthldl	"1,2-Naphthalenediol"	C10H8O2	0				"InChI=1S/C20H26O3/c1-14(7-6-8-15(2)13-19(22)23)9-10-17-16(3)18(21)11-12-20(17,4)5/h6-10,13H,11-12H2,1-5H3,(H,22,23)/p-1/b8-6+,10-9+,14-7+,15-13-"			HMDB0060497										cpd01932						NXPPAOGUKPJVDI-UHFFFAOYSA-N	OC1=CC=C2C=CC=CC2=C1O	
12ppd_R	Propylene glycol	C3H8O2	0	76.0944	76.0524295	C00583	"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3"	1030	16997	HMDB01881		12ppd_R	12ppd_R	FDB008274	13835224	"PROPANE-1,2-DIOL"	12ppd__R	"1,2-Propanediol"	DB07610Ê	cpd01861	MNXM90191	C00007410	3220	57-55-6	DTXSID0021206	DNIAPMSPPWPWGF-UHFFFAOYSA-N	[H]OC([H])([H])C([H])(O[H])C([H])([H])[H]	
12ppd_S	"(S)-Propane-1,2-diol"	C3H8O2	0	76.0944	76.0524295	C02917	"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3/t3-/m0/s1"	439846	29002	HMDB06213		12ppd_S	12ppd_S	FDB023838	388890	#NAME?	12ppd__S	"1,2-propanediol"		cpd00453	MNXM1255		3220	4254-15-3		DNIAPMSPPWPWGF-VKHMYHEASA-N	[H]OC([H])([H])[C@@]([H])(O[H])C([H])([H])[H]	
12RHPET	12R-Hydroperoxyeicosatetraenoate	C20H31O4	-1			C14812	"InChI=1S/C20H32O4/c1-2-3-4-5-10-13-16-19(24-23)17-14-11-8-6-7-9-12-15-18-20(21)22/h7-11,13-14,17,19,23H,2-6,12,15-16,18H2,1H3,(H,21,22)/p-1/b9-7-,11-8-,13-10-,17-14?/t19-/m1/s1"		34145	HMDB06222		12RHPET					12RHPET				MNXM13994					ZIOZYRSDNLNNNJ-AUXIVJNKSA-M	[H]OO[C@@]([H])(C([H])=C([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]	
13_cis_oretn	13-Cis-Oxo-Retinoic Acid	C20H27O3	-1				"InChI=1S/C20H26O3/c1-14(7-6-8-15(2)13-19(22)23)9-10-17-16(3)18(21)11-12-20(17,4)5/h6-10,13H,11-12H2,1-5H3,(H,22,23)/p-1/b8-6+,10-9+,14-7+,15-13-"					13_cis_oretn	13_cis_oretn				13_cis_oretn				MNXM146866					GGCUJPCCTQNTJF-FAOQNJJDSA-M	[H]/C(=C(/[H])\C(=C(\[H])C([O-])=O)\C([H])([H])[H])/C(/[H])=C(/C(/[H])=C(\[H])C1=C(C(=O)C([H])([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])\C([H])([H])[H]	
13_cis_retn	13-cis-Retinoic acid	C20H27O2	-1	300.4351	300.2089301	D00348	"InChI=1S/C20H28O2/c1-15(8-6-9-16(2)14-19(21)22)11-12-18-17(3)10-7-13-20(18,4)5/h6,8-9,11-12,14H,7,10,13H2,1-5H3,(H,21,22)/p-1/b9-6+,12-11+,15-8+,16-14-"	5282379	6067	HMDB06219		13_cis_retn	13_cis_retn	FDB023843	4445539		13_cis_retn	13-cis-retinoic_acid	DB00982		MNXM58377			4759-48-2	DTXSID4023177	SHGAZHPCJJPHSC-XFYACQKRSA-M	[H]/C(=C(/[H])\C(=C(\[H])C([O-])=O)\C([H])([H])[H])/C(/[H])=C(/C(/[H])=C(\[H])C1=C(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H])\C([H])([H])[H]	
13_cis_retnglc	13-Cis-Retinoyl Glucuronide	C26H35O8	-1	476.5660095	476.2410181	C11061	"InChI=1S/C26H36O8/c1-15(11-12-18-17(3)10-7-13-26(18,4)5)8-6-9-16(2)14-19(27)33-25-22(30)20(28)21(29)23(34-25)24(31)32/h6,8-9,11-12,14,20-23,25,28-30H,7,10,13H2,1-5H3,(H,31,32)/p-1/b9-6+,12-11-,15-8+,16-14+/t20-,21-,22+,23-,25+/m0/s1"	5281877	28870	HMDB03141		13_cis_retnglc	13_cis_retnglc				13_cis_retnglc				MNXM146867			401-10-5	DTXSID40274187	MTGFYEHKPMOVNE-JZXLACIESA-M	[H]O[C@@]1([H])[C@]([H])(OC(=O)C(\[H])=C(\C(\[H])=C(/[H])\C(\[H])=C(\C([H])=C([H])C2=C(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C2(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])/C([H])([H])[H])O[C@]([H])(C([O-])=O)[C@@]([H])(O[H])[C@]1([H])O[H]	
1331tacr	"13,31-O-Didesmethyl-Tacrolimus"	C42H65NO12	0																									
13dampp	"1,3-Diaminopropane"	C3H12N2	2	74.1249	74.08439833	C00986	InChI=1S/C3H10N2/c4-2-1-3-5/h1-5H2/p+2	428	15725	HMDB00002		13dampp	13dampp	FDB005274	415	CPD-313	13dampp			cpd00726	MNXM146468	C00007404	5081	109-76-2	DTXSID1021906	XFNJVJPLKCPIBV-UHFFFAOYSA-P	[H][N+]([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H]	
13dmt	"13-O-Desmethyl Tacrolimus, 13-DMT or M-I"	C43H67NO12	0																									
13dmxnthn	"1,3-Dimethylxanthine"	C7H8N4O2	0			C07130	"InChI=1S/C7H8N4O2/c1-10-5-4(8-3-9-5)6(12)11(2)7(10)13/h3H,1-2H3,(H,8,9)"	2153																			CN1C2=C(C(=O)N(C1=O)C)NC=N2	
13dpg	"Glyceric acid 1,3-biphosphate"	C3H4O10P2	-4	266.0371	265.9592695	C00236	"InChI=1S/C3H8O10P2/c4-2(1-12-14(6,7)8)3(5)13-15(9,10)11/h2,4H,1H2,(H2,6,7,8)(H2,9,10,11)/p-4/t2-/m1/s1"	683	16001	HMDB01270	3-phospho-D-glyceroyl dihydrogen phosphate;D-glyceraldehyde 3-phosphate	13dpg	13dpg	FDB022524	663	DPG	13dpg	"1,3-Biphosphoglycerate"		cpd00203	MNXM261			1981-49-3		LJQLQCAXBUHEAZ-UWTATZPHSA-J	[H]O[C@@]([H])(C(=O)OP([O-])([O-])=O)C([H])([H])OP([O-])([O-])=O	
13m3hmyrsACP	13-methyl-3-hydroxy-tetra-decanoyl-ACP	C26H49N2O9PRS	-1																	cpd11538								
13m3omyrsACP	13-methyl-3-oxo-tetra-decanoyl-ACP	C26H47N2O9PRS	-1																	cpd11537								
13mmyrsACP	13-methyl-tetra-decanoyl-ACP	C26H49N2O8PRS	-1																	cpd11540								
13mtmrs2eACP	13-methyl-trans-tetra-dec-2-enoyl-ACP	C26H47N2O8PRS	-1				"InChI=1S/C3H8O2/c4-2-1-3-5/h4-5H,1-3H2"													cpd11539								
13ppd	"Propane-1,3-diol"	C3H8O2	0			C02457	"InChI=1S/C3H8O2/c4-2-1-3-5/h4-5H,1-3H2"	5477	16109								13ppd			cpd01618	MNXM2861		3221					
13shpoddnt	"13S-Hydroperoxy-9Z,11E-octadecadienoic acid"	C18H31O4	-1																									
14bdc	"1,4-Benzenedicarboxylic acid"	C8H4O4	-2																									
14dgndnbtn	"1,4-Diguanidinobutane"	C6H18N6	2																									
14glucan	"1,4-alpha-D-glucan"	C36H62O31	0																									
14hmdz	"1,4-Dihydroxy-Midazolam"	C18H13ClFN3O2	0																									
14hphe2maoh	1-(4-Hydroxyphenyl)-2-(methylamino)ethanol	C9H14NO2	1																									
14lctn	"1,4-Lactone"	C4H6O2	0																									
14m3hpalmACP	14-methyl-3-hydroxy-hexa-decanoyl-ACP	C28H53N2O9PRS	-1																	cpd11517								
14m3hpentdecACP	14-methyl-3-hydroxy-pentadecanoyl-ACP	C27H51N2O9PRS	-1																	cpd11567								
14m3opalmACP	14-methyl-3-oxo-hexa-decanoyl-ACP	C28H51N2O9PRS	-1																	cpd11516								
14m3opentdecACP	14-methyl-3-oxo-pentadecanoyl-ACP	C27H49N2O9PRS	-1																	cpd11566								
14mpalmACP	14-methyl-hexa-decanoyl-ACP	C28H53N2O8PRS	-1																	cpd11519								
14mpentdecACP	14-methyl-pentadecanoyl-ACP	C27H51N2O8PRS	-1																	cpd11569								
14mtpalm2eACP	14-methyl-trans-hexa-dec-2-enoyl-ACP	C28H51N2O8PRS	-1																	cpd11518								
14mtpentdec2eACP	14-methyl-trans-pentadec-2-enoyl-ACP	C27H49N2O8PRS	-1																	cpd11568								
1513tacr	"13,15-O-Didesmethyl Tacrolimus"	C42H65NO12	0																									
1531tacr	"15, 31-O-Didesmethyl-Tacrolimus"	C42H65NO12	0																									
15ahgtl	"1,5-Anhydroglucitol"	C6H12O5	0																									
15anhfruc	"1,5-Anhydro-D-fructose"	C6H10O5	0																									
15dap	"1,5-Diaminopentane"	C5H16N2	2			C01672	"InChI=1S/C20H32O4/c1-2-3-13-16-19(24-23)17-14-11-9-7-5-4-6-8-10-12-15-18-20(21)22/h4-5,8-11,14,17,19,23H,2-3,6-7,12-13,15-16,18H2,1H3,(H,21,22)/p-1/b5-4-,10-8-,11-9-,17-14+/t19-/m0/s1"	273	18127	HMDB02322					13866593		15dap	Cadaverine	DB03854	cpd01155	MNXM943	C00001403		462-94-2				
15dmt	"15-DMT or M-III, 15-O-Desmethyl Tacrolimus"	C43H67NO12	0				"InChI=1S/C20H32O5/c1-2-3-6-9-15(21)12-13-17-16(18(22)14-19(17)23)10-7-4-5-8-11-20(24)25/h4,7,12-13,16-19,22-23H,2-3,5-6,8-11,14H2,1H3,(H,24,25)/p-1/b7-4-,13-12+/t16-,17-,18+,19-/m1/s1"																					
15HPET	15S-Hydroperoxyeicosatetraenoate	C20H31O4	-1			C05966	"InChI=1S/C20H32O4/c1-2-3-13-16-19(24-23)17-14-11-9-7-5-4-6-8-10-12-15-18-20(21)22/h4-5,8-11,14,17,19,23H,2-3,6-7,12-13,15-16,18H2,1H3,(H,21,22)/p-1/b5-4-,10-8-,11-9-,17-14+/t19-/m0/s1"	5280893	15628	HMDB04244		15HPET	15HPET				15HPET			cpd03555	MNXM162620					BFWYTORDSFIVKP-VAEKSGALSA-M	[H]OO[C@]([H])(C([H])=C([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])C([O-])=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]	
