Organism	eBSH	7aHSDH	7bHSDH	3aHSDH	3bHSDH	12aHSDH	BaiG	BaiTRAP	BaiA	BaiB	BaiCDH	BaiEI	BaiFK	BaiN	BaiO	BaiP	BaiJ	BaiL	BaiR
Acinetobacter baumannii AB_TG2018 (1221274.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_TG2022 (1221275.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_TG2023 (1221276.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_TG2026 (1221277.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_TG2028 (1221278.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_TG2030 (1221279.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_TG2031 (1221280.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_TG27335 (1221286.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_TG27339 (1221287.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB_TG27343 (1221288.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB0057 (480119.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii Ab11111 (1168588.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB1H8 (1222031.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB210 (886886.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB307-0294 (557600.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii Ab33333 (1168590.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB405E4 (1222033.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii Ab44444 (1168591.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB4A3 (1222032.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB5256 (1116235.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB5711 (1116236.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AB900 (557601.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABIsac_ColiR (1200351.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH1 (992402.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH11 (1094475.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH14 (1094478.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH15 (1094479.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH16 (1094480.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH18 (1094482.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH19 (1094483.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH22 (1094486.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH23 (1094487.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH25 (1224165.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH26 (1224166.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH3 (992404.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH4 (992405.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH5 (1094469.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ABNIH6 (1094470.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AC12 (1198108.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AC30 (1224747.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ACICU (405416.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ANC 4097 (1217638.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ATCC 19606 (575584.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii AYE (509173.8)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii BZICU-2 (1210907.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii Canada BC-5 (903895.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii Canada BC1 (903924.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii IS-116 (903912.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii IS-123 (903899.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii IS-143 (903911.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii IS-235 (903905.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii IS-251 (903906.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii IS-58 (903914.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii MDR-TJ (889738.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii MDR-ZJ06 (497978.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii MSP4-16 (1278070.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii Naval-113 (903920.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii Naval-13 (903904.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii Naval-17 (903896.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii Naval-18 (903897.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii Naval-2 (903922.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii Naval-21 (903923.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii Naval-57 (903927.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii Naval-72 (903908.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii Naval-78 (903936.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii Naval-81 (903898.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii Naval-82 (903921.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii Naval-83 (903909.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 1362 (1217642.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 146 (1217639.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 1669 (1217643.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 1734 (1217644.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 190 (1217640.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 201 (1217630.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 2061 (1217645.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 24 (1217646.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 290 (1217631.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 329 (1217632.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 335 (1217633.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 410 (1217634.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 527 (1217635.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 528 (1217636.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 60 (1217647.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 601 (1217637.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 615 (1217641.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 67 (1217627.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 70 (1217628.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii NIPH 80 (1217629.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii OIFC0162 (903907.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii OIFC021 (903928.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii OIFC032 (903890.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii OIFC035 (903926.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii OIFC047 (903933.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii OIFC065 (903932.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii OIFC074 (903901.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii OIFC087 (903929.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii OIFC098 (903902.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii OIFC099 (903930.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii OIFC109 (903892.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii OIFC110 (903910.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii OIFC111 (903935.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii OIFC137 (903889.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii OIFC143 (903893.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii OIFC180 (903903.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii OIFC189 (903894.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii OIFC338 (903934.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii SDF (509170.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii TCDC-AB0715 (980514.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii TYTH-1 (1100841.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii UMB001 (933263.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii UMB003 (933265.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii W7282 (981329.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii WC-136 (903916.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii WC-141 (903915.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii WC-323 (903918.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii WC-348 (903919.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii WC-487 (903917.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii WC-692 (903913.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii WC-A-694 (903925.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii WC-A-92 (903931.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii WM99c (945555.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ZWS1122 (1223564.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter baumannii ZWS1219 (1224141.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter calcoaceticus ANC 3680 (1217653.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter calcoaceticus ANC 3811 (1217690.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter calcoaceticus NIPH 13 (1217654.3)	3011	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter calcoaceticus PHEA-2 (871585.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter calcoaceticus RUH2202 (575585.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter calcoaceticus subsp. anitratus XM1570 (1235833.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter calcoaceticus TG19585 (1221293.3)	865	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter calcoaceticus TG19588 (1221294.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter calcoaceticus TG19593 (1221295.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter haemolyticus ATCC 19194 (707232.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter haemolyticus CIP 64.3 (1217659.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter haemolyticus NIPH 261 (1217986.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter haemolyticus TG21157 (1221299.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter johnsonii ANC 3681 (1217662.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter johnsonii CIP 64.6 (1217663.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter johnsonii SH046 (575586.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter junii CIP 107470 (1217666.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter junii CIP 64.5 (1217664.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter junii NIPH 182 (1217665.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter junii SH205 (575587.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter lwoffii CIP 70.31 (1217667.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter lwoffii NCTC 5866 (981327.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter lwoffii NIPH 478 (1217668.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter lwoffii NIPH 715 (1217669.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter lwoffii SH145 (575588.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter lwoffii TG19636 (1221307.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter lwoffii WJ10621 (1046625.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter pittii ANC 3678 (1217673.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter pittii ANC 4050 (1217691.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter pittii ANC 4052 (1217689.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter pittii CIP 70.29 (1217672.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter pittii D499 (1086014.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter pittii TG6411 (1221309.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 (981334.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter radioresistens NIPH 2130 (1217674.3)	 	257	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter radioresistens SH164 (575589.3)	 	54	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter radioresistens SK82 (596318.3)	 	891	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter radioresistens TG02010 (1221310.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter radioresistens WC-A-157 (903900.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinobacillus pleuropneumoniae L20 (416269.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinobacillus pleuropneumoniae S8 (1224142.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinobacillus pleuropneumoniae serovar 1 str. 4074 (228399.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinobacillus pleuropneumoniae serovar 10 str. D13039 (754259.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinobacillus pleuropneumoniae serovar 11 str. 56153 (754260.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinobacillus pleuropneumoniae serovar 12 str. 1096 (754261.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinobacillus pleuropneumoniae serovar 13 str. N273 (754262.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinobacillus pleuropneumoniae serovar 2 str. 4226 (754254.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinobacillus pleuropneumoniae serovar 3 str. JL03 (434271.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinobacillus pleuropneumoniae serovar 4 str. M62 (754255.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinobacillus pleuropneumoniae serovar 6 str. Femo (754256.7)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinobacillus pleuropneumoniae serovar 7 str. AP76 (537457.7)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
