Organism	GTPCH	PyrD	PyrR	DHBPS	DMRLS	RSA	RK	FMNAT	FHY	RibU	PnuX	ImpX	RibXY	RibN	RfnT	RibZ
Propionibacterium acnes HL038PA1 (765085.3)	1028_6	1030_2_5	1030_2_5	1028_6	1027_8	1029_10	2414_17_19	2414_17_19	 	 	2489	 	 	 	 	 
Propionibacterium acnes HL043PA1 (765072.3)	2098_6	2096_2_5	2096_2_5	2098_6	2099_8	2097_10	1858_17_19	1858_17_19	 	 	1930	 	 	 	 	 
Propionibacterium acnes HL043PA2 (765073.3)	632_6	630_2_5	630_2_5	632_6	633_8	631_10	2136_17_19	2136_17_19	 	 	2064	 	 	 	 	 
Propionibacterium acnes HL044PA1 (765109.3)	2723_6	2725_2_5	2725_2_5	2723_6	2722_9	2724_10	29_17_19	29_17_19	 	 	1780	 	 	 	 	 
Propionibacterium acnes HL045PA1 (765068.3)	2393_6	2391_2_5	2391_2_5	2393_6	2394_8	2392_10	1258_17_19	1258_17_19	 	 	1186	 	 	 	 	 
Propionibacterium acnes HL046PA1 (765094.3)	2026_6	2028_2_5	2028_2_5	2026_6	2025_8	2027_10	2268_17_19	2268_17_19	 	 	2198	 	 	 	 	 
Propionibacterium acnes HL046PA2 (765095.3)	1658_6	1660_2_5	1660_2_5	1658_6	1657_8	1659_10	89_17_19	89_17_19	 	 	18	 	 	 	 	 
Propionibacterium acnes HL050PA1 (765100.3)	1675_6	1673_2_5	1673_2_5	1675_6	1676_8	1674_10	96_17_19	96_17_19	 	 	27	 	 	 	 	 
Propionibacterium acnes HL050PA2 (765101.3)	1401_7	1399_2_5	1399_2_5	1401_7	1402_8	1400_10	1082_17_19	1082_17_19	 	 	1142	 	 	 	 	 
Propionibacterium acnes HL050PA3 (765102.3)	2266_6	2268_2_5	2268_2_5	2266_6	2265_8	2267_10	1166_17_19	1166_17_19	 	 	1235	 	 	 	 	 
Propionibacterium acnes HL053PA1 (765066.3)	2331_6	2329_2_5	2329_2_5	2331_6	2332_8	2330_10	1206_17_19	1206_17_19	 	 	1280	 	 	 	 	 
Propionibacterium acnes HL053PA2 (765067.3)	2294_6	2296_2_5	2296_2_5	2294_6	2293_8	2295_10	167_17_19	167_17_19	 	 	96	 	 	 	 	 
Propionibacterium acnes HL056PA1 (765119.3)	1849_6	1851_2_5	1851_2_5	1849_6	1848_8	1850_10	100_17_19	100_17_19	 	 	172	 	 	 	 	 
Propionibacterium acnes HL059PA1 (765091.3)	2310_6	2308_2_5	2308_2_5	2310_6	2311_8	2309_10	433_17_19	433_17_19	 	 	502	 	 	 	 	 
Propionibacterium acnes HL059PA2 (765092.3)	2270_6	2272_2_5	2272_2_5	2270_6	2269_8	2271_10	1117_17_19	1117_17_19	 	 	1186	 	 	 	 	 
Propionibacterium acnes HL063PA1 (765113.3)	2285_6	2287_2_5	2287_2_5	2285_6	2284_8	2286_10	1214_17_19	1214_17_19	 	 	1146	 	 	 	 	 
Propionibacterium acnes HL063PA2 (765114.3)	1465_6	1463_2_5	1463_2_5	1465_6	1466_8	1464_10	275_17_19	275_17_19	 	 	206	 	 	 	 	 
Propionibacterium acnes HL067PA1 (765110.3)	2223_6	2225_2_5	2225_2_5	2223_6	2222_8	2224_10	1943_17_19	1943_17_19	 	 	2012	 	 	 	 	 
Propionibacterium acnes HL072PA1 (765074.3)	178_6	176_2_5	176_2_5	178_6	179_8	177_10	814_17_19	814_17_19	 	 	885	 	 	 	 	 
Propionibacterium acnes HL072PA2 (765075.3)	1175_6	1177_2_5	1177_2_5	1175_6	1174_8	1176_10	1691_17_19	1691_17_19	 	 	1761	 	 	 	 	 
Propionibacterium acnes HL074PA1 (765076.3)	417_6	419_2_5	419_2_5	417_6	416_8	418_10	147_17_19	147_17_19	 	 	219	 	 	 	 	 
Propionibacterium acnes HL078PA1 (765071.3)	2383_6	2385_2_5	2385_2_5	2383_6	2382_8	2384_10	1198_17_19	1198_17_19	 	 	1273	 	 	 	 	 
Propionibacterium acnes HL082PA1 (765120.3)	1278_6	1280_2_5	1280_2_5	1278_6	1277_8	1279_10	1079_17_19	1079_17_19	 	 	1009	 	 	 	 	 
Propionibacterium acnes HL082PA2 (765121.3)	2329_6	2331_2_5	2331_2_5	2329_6	2328_8	2330_10	1283_17_19	1283_17_19	 	 	1343	 	 	 	 	 
Propionibacterium acnes HL083PA1 (765087.3)	1697_6	1695_2_5	1695_2_5	1697_6	1698_8	1696_10	568_17_19	568_17_19	 	 	642	 	 	 	 	 
Propionibacterium acnes HL083PA2 (765088.3)	2281_6	2283_2_5	2283_2_5	2281_6	2280_8	2282_10	270_17_19	270_17_19	 	 	200	 	 	 	 	 
Propionibacterium acnes HL086PA1 (765093.3)	2389_6	2387_2_5	2387_2_5	2389_6	2390_8	2388_10	444_17_19	444_17_19	 	 	374	 	 	 	 	 
Propionibacterium acnes HL087PA2 (765082.3)	39_6	41_2_5	41_2_5	39_6	38_8	40_10	782_17_19	782_17_19	 	 	712	 	 	 	 	 
Propionibacterium acnes HL087PA3 (765083.3)	1597_6	1595_2_5	1595_2_5	1597_6	1598_8	1596_10	1103_17_19	1103_17_19	 	 	1177	 	 	 	 	 
Propionibacterium acnes HL092PA1 (765086.3)	2230_6	2232_2_5	2232_2_5	2230_6	2229_8	2231_10	2047_17_19	2047_17_19	 	 	1978	 	 	 	 	 
Propionibacterium acnes HL096PA2 (765058.3)	2433_6	2431_2_5	2431_2_5	2433_6	2434_8	2432_10	1338_17_19	1338_17_19	 	 	1267	 	 	 	 	 
Propionibacterium acnes HL096PA3 (765057.3)	2377_6	2379_2_5	2379_2_5	2377_6	2376_8	2378_10	1729_17_19	1729_17_19	 	 	1801	 	 	 	 	 
Propionibacterium acnes HL097PA1 (765064.3)	1492_6	1490_2_5	1490_2_5	1492_6	1493_8	1491_10	1095_17_19	1095_17_19	 	 	1164	 	 	 	 	 
Propionibacterium acnes HL099PA1 (765063.3)	1085_6	1083_2_5	1083_2_5	1085_6	1086_8	1084_10	2026_17_19	2026_17_19	 	 	1953	 	 	 	 	 
Propionibacterium acnes HL103PA1 (765061.3)	2304_6	2302_2_5	2302_2_5	2304_6	2305_8	2303_10	1048_17_19	1048_17_19	 	 	990	 	 	 	 	 
Propionibacterium acnes HL110PA1 (765077.3)	831_6	829_2_5	829_2_5	831_6	832_8	830_10	278_17_19	278_17_19	 	 	350	 	 	 	 	 
Propionibacterium acnes HL110PA2 (765078.3)	2321_6	2323_2_5	2323_2_5	2321_6	2320_8	2322_10	2132_17_19	2132_17_19	 	 	2202	 	 	 	 	 
Propionibacterium acnes HL110PA3 (765079.3)	1027_6	1025_2_5	1025_2_5	1027_6	1028_8	1026_10	1281_17_19	1281_17_19	 	 	1342	 	 	 	 	 
Propionibacterium acnes HL110PA4 (765080.3)	2134_6	2132_2_5	2132_2_5	2134_6	2135_8	2133_10	1800_17_19	1800_17_19	 	 	1859	 	 	 	 	 
Propionibacterium acnes J139 (679194.3)	1921_6	1923_2_5	1923_2_5	1921_6	1920_8	1922_10	1493_17_19	1493_17_19	 	 	1439	 	 	 	 	 
Propionibacterium acnes J165 (679195.3)	1006_6	1008_2_5	1008_2_5	1006_6	1005_8	1007_10	2028_17_19	2028_17_19	 	 	1177	 	 	 	 	 
Propionibacterium acnes KPA171202 (267747.3)	1806_6	1808_2_5	1808_2_5	1806_6	1805_8	1807_10	1521_17_19	1521_17_19	 	 	1463	 	 	 	 	 
Propionibacterium acnes SK137 (553199.9)	1770_6	1772_2_5	1772_2_5	1770_6	1769_8	1771_10	1521_17_19	1521_17_19	 	 	1451	 	 	 	 	 
Propionibacterium acnes SK182 (679193.4)	1104_6	1106_2_5	1106_2_5	1104_6	1103_8	1105_10	1347_17_19	1347_17_19	 	 	1276	 	 	 	 	 
Propionibacterium acnes SK182B-JCVI (1051006.4)	1862_7	1860_2_5	1860_2_5	1862_7	1863_9	1861_10	59_17_19	59_17_19	 	 	112	 	 	 	 	 
Propionibacterium acnes SK187 (686659.3)	757_6	759_2_5	759_2_5	757_6	756_8	758_10	2085_17_19	2085_17_19	 	 	2146	 	 	 	 	 
Propionibacterium acnes TypeIA2 P.acn17 (1114967.3)	1803_6	1805_2_5	1805_2_5	1803_6	1802_8	1804_10	1552_17_19	1552_17_19	 	 	1483	 	 	 	 	 
Propionibacterium acnes TypeIA2 P.acn31 (1114969.3)	1798_6	1800_2_5	1800_2_5	1798_6	1797_8	1799_10	1547_17_19	1547_17_19	 	 	1479	 	 	 	 	 
Propionibacterium acnes TypeIA2 P.acn33 (1114966.3)	1787_6	1789_2_5	1789_2_5	1787_6	1786_8	1788_10	1535_17_19	1535_17_19	 	 	1465	 	 	 	 	 
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 (754252.3)	2053_6	2055_2_5	2055_2_5	2053_6	2052_8	2054_10	1421_19_17	1421_19_17	 	 	 	 	 	 	 	 
Bifidobacterium adolescentis ATCC 15703 (367928.6)	 	 	 	 	 	 	383_19_17	383_19_17	 	1044	 	 	 	 	 	 
Bifidobacterium adolescentis L2-32 (411481.5)	 	725_2_5	725_2_5	 	 	 	670_17_19	670_17_19	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis BB-12 (552531.3)	 	 	 	 	 	 	909_17_19	909_17_19	 	1183	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis BLC1 (1075106.4)	 	 	 	 	 	 	422_17_19	422_17_19	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis Bl-04 (580050.3)	 	 	 	 	 	 	423_19_17	423_19_17	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis CNCM I-2494 (1042403.4)	 	 	 	 	 	 	419_17_19	419_17_19	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis DSM 10140 (555970.3)	 	 	 	 	 	 	423_19_17	423_19_17	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis HN019 (486409.3)	 	 	 	 	 	 	644_19_17	644_19_17	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis V9 (573236.3)	 	 	 	 	 	 	421_17_19	421_17_19	 	 	 	 	 	 	 	 
Bifidobacterium bifidum NCIMB 41171 (398513.5)	 	 	 	 	 	 	1550_17_19	1550_17_19	 	103	 	 	 	 	 	 
Bifidobacterium bifidum PRL2010 (702459.3)	 	 	 	 	 	 	1573_17_19	1573_17_19	 	706	 	 	 	 	 	 
Bifidobacterium bifidum S17 (883062.5)	 	 	 	 	 	 	1520_17_19	1520_17_19	 	724	 	 	 	 	 	 
Bifidobacterium breve ACS-071-V-Sch8b (866777.3)	 	 	 	 	 	 	1624_19_17	1624_19_17	 	529	 	 	 	 	 	 
Bifidobacterium breve UCC2003 (326426.4)	 	 	 	 	 	 	1722_19_17	1722_19_17	 	 	 	 	 	 	 	 
Bifidobacterium dentium ATCC 27678 (473819.7)	 	 	 	 	 	 	266_19_17	266_19_17	 	 	 	 	 	 	 	 
Bifidobacterium dentium ATCC 27679 (871562.3)	 	 	 	 	 	 	241_17_19	241_17_19	 	1384	 	 	 	 	 	 
Bifidobacterium dentium Bd1 (401473.3)	 	 	 	 	 	 	450_19_17	450_19_17	 	 	 	 	 	 	 	 
Bifidobacterium dentium JCVIHMP022 (553191.3)	 	 	 	 	 	 	2286_17_19	2286_17_19	 	261	 	 	 	 	 	 
Bifidobacterium gallicum DSM 20093 (561180.4)	 	 	 	 	 	 	1041_17_19	1041_17_19	 	698	 	 	 	 	 	 
Bifidobacterium longum NCC2705 (206672.9)	 	 	 	 	 	 	1674_17_19	1674_17_19	 	46	 	 	 	 	 	 
Bifidobacterium longum subsp. infantis 157F (565040.3)	 	 	 	 	 	 	1751_17_19	1751_17_19	 	1486	 	 	 	 	 	 
Bifidobacterium longum subsp. infantis ATCC 55813 (548480.3)	 	 	 	 	 	 	627_17_19	627_17_19	 	878	 	 	 	 	 	 
Bifidobacterium longum subsp. infantis CCUG 52486 (537937.5)	 	1234_2_5	1234_2_5	 	 	 	1155_17_19	1155_17_19	 	1994	 	 	 	 	 	 
Bifidobacterium longum subsp. longum BBMN68 (890402.3)	 	 	 	 	 	 	1711_17_19	1711_17_19	 	90	 	 	 	 	 	 
Bifidobacterium longum subsp. longum F8 (722911.3)	 	 	 	 	 	 	1619_17_19	1619_17_19	 	108	 	 	 	 	 	 
Bifidobacterium longum subsp. longum JCM 1217 (565042.3)	 	 	 	 	 	 	1700_17_19	1700_17_19	 	1458	 	 	 	 	 	 
Bifidobacterium longum subsp. longum JDM301 (759350.3)	361_6	359_2_5	359_2_5	361_6	362_8	360_10	1695_17_19	1695_17_19	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. longum KACC 91563 (1035817.4)	 	 	 	 	 	 	222_17_19	222_17_19	 	510	 	 	 	 	 	 
Scardovia inopinata F0304 (641146.3)	 	 	 	 	 	 	383_17_19	383_17_19	 	595	 	 	 	 	 	 
Atopobium parvulum DSM 20469 (521095.6)	 	 	 	 	 	 	802_19_17	802_19_17	 	 	 	 	 	 	 	 
Atopobium rimae ATCC 49626 (553184.4)	 	 	 	 	 	 	1362_17_19	1362_17_19	 	1197	 	 	 	 	 	 
Collinsella aerofaciens ATCC 25986 (411903.6)	 	 	 	 	 	 	108_17_19	108_17_19	 	883	 	 	 	 	 	 
Collinsella intestinalis DSM 13280 (521003.7)	 	 	 	 	 	 	975_19_17	975_19_17	 	 	 	 	 	 	 	 
Collinsella stercoris DSM 13279 (445975.6)	 	 	 	 	 	 	1281_17_19	1281_17_19	 	629	 	 	 	 	 	 
Cryptobacterium curtum DSM 15641 (469378.5)	 	 	 	 	 	 	763_19_17	763_19_17	 	1199	 	 	 	 	 	 
Eggerthella lenta DSM 2243 (479437.5)	 	 	 	 	 	 	1864_19_17	1864_19_17	 	 	 	 	 	 	 	 
Eggerthella sp. 1_3_56FAA (665943.3)	 	 	 	 	 	 	2836_17_19	2836_17_19	 	717	 	 	 	 	 	 
Eggerthella sp. YY7918 (502558.4)	 	 	 	 	 	 	1173_17_19	1173_17_19	 	1973	 	 	 	 	 	 
Gordonibacter pamelaeae 7-10-1-b (657308.3)	 	 	 	 	 	 	 	 	 	1939	 	 	 	 	 	 
Olsenella uli DSM 7084 (633147.4)	 	 	 	 	 	 	1009_17_19	1009_17_19	 	1570	 	 	 	 	 	 
Slackia exigua ATCC 700122 (649764.3)	 	 	 	 	 	 	10_17_19	10_17_19	 	690	 	 	 	 	 	 
Actinomyces cardiffensis F0333 (888050.3)	 	 	 	 	 	 	194_17_19	194_17_19	 	 	 	 	"1331_28, 1332_29"	 	 	 
Actinomyces graevenitzii C83 (435830.3)	 	 	 	 	 	 	223_17_19	223_17_19	 	 	 	 	"437_29, 438_28"	 	 	 
Actinomyces naeslundii str. Howell 279 (1115803.3)	331_6	329_2_5	329_2_5	331_6	332_8	330_10	2615_17_19	2615_17_19	 	 	 	 	 	 	 	 
Actinomyces turicensis ACS-279-V-Col4 (883077.3)	 	 	 	 	 	 	1540_17_19	1540_17_19	 	 	 	 	"812_28, 813_29"	 	 	 
Corynebacterium aurimucosum ATCC 700975 (Prj:31451) (548476.7)	140_6	142_2_5	142_2_5	140_6	139_8	141_10	1912_17_19	1912_17_19	 	 	 	 	 	 	 	 
Corynebacterium durum F0235 (1035195.3)	956_6	954_2_5	954_2_5	956_6	957_8	955_10	1273_17_19	1273_17_19	 	 	800	 	 	 	 	 
Corynebacterium propinquum DSM 44285 (1121367.3)	127_6	129_2_5	129_2_5	127_6	126_8	128_10	260_17_19	260_17_19	 	 	 	 	 	 	 	 
Gordonia rubripertincta NBRC 101908 (1077975.4)	"1136_6, 626_6"	3889_2_5	3889_2_5	"1136_6, 626_6"	627_8	625_10	2917_17_19	2917_17_19	 	 	 	 	 	 	 	 
Gordonia terrae C-6 (1316928.3)	520_6	518_2_5	518_2_5	520_6	521_8	519_10	990_17_19	990_17_19	 	 	 	 	 	 	 	 
Gordonia terrae NBRC 100016 (1089454.3)	"3367_7, 3729_7, 4543_7, 844_7"	3369_2_5	3369_2_5	"3367_7, 3729_7, 4543_7, 844_7"	3366_8	3368_10	3288_17_19	3288_17_19	 	 	 	 	 	 	 	 
Mycobacterium avium subsp. paratuberculosis JQ6 (1112208.3)	485_6	"489_2_5, 490_2_5"	"489_2_5, 490_2_5"	485_6	484_8	486_10	3338_17_19	3338_17_19	 	 	 	 	 	 	 	 
