Organism	GltBD	GltBfd	GdhNAD	GdhNADP	AspC	AsnA	AnsB	AnsA	GlsA	GlnN	MurI	AmPPT	GFPT	GlnABC
Propionibacterium acnes HL110PA3 (765079.3)	1755_2, 1756_1	 	24_7	1237_8	 	 	 	697_15	 	2198_18, 2206_18	1110	202	980	 
Propionibacterium acnes HL110PA4 (765080.3)	586_2, 587_1	 	2414_7	1756_8	 	 	 	1635_16	 	2345_18, 2353_18	2216	989	2087	 
Propionibacterium acnes J139 (679194.3)	859_2, 860_1	 	686_7	1530_8	 	 	 	427_16	 	1259_18, 1267_18	1847	2127	1964	 
Propionibacterium acnes J165 (679195.3)	1708_1, 1709_2	 	1509_7, 1510_7	2067_8	529, 530	 	 	2369_16	 	248_18, 254_18	1221	448	1053	 
Propionibacterium acnes KPA171202 (267747.3)	1172_1, 1173_2, 170_2	 	1366_7	 	907	 	 	376_16	 	696_18, 703_18	1725	2020	1852	 
Propionibacterium acnes SK137 (553199.9)	1180_1, 1181_2, 203_2	 	1350_7	 	917	 	 	406_16	 	720_18, 727_18	1690	1993	1819	 
Propionibacterium acnes SK182 (679193.4)	2392_2, 695_1, 696_2	 	868_7	 	425, 426	 	 	2192_16	 	227_18, 235_18	1023	1504	1153	 
Propionibacterium acnes SK182B-JCVI (1051006.4)	2143_2, 382_2, 383_1	 	208_7	18_8	 	 	 	1389_15	 	1097_18, 1101_18	1045	1662	1810	 
Propionibacterium acnes SK187 (686659.3)	1073_1, 1074_1, 1075_2, 226_2	 	1255_7	2051_8	829	 	 	411_16	 	1780_18, 1787_18	681	1352	801	 
Propionibacterium acnes TypeIA2 P.acn17 (1114967.3)	1183_1, 1184_2, 177_2	 	1385_7	 	910, 911	 	 	387_16	 	711_18, 719_18	1723	2023	1849	 
Propionibacterium acnes TypeIA2 P.acn31 (1114969.3)	1176_1, 1177_2, 178_2	 	1380_7	 	904, 905	 	 	383_15	 	707_18, 715_18	1718	2019	1843	 
Propionibacterium acnes TypeIA2 P.acn33 (1114966.3)	1161_1, 1162_2, 176_2	 	1364_7	1575_8, 1576_8	892, 893	 	 	370_16	 	691_18, 699_18	1707	2010	1833	 
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 (754252.3)	1176_2, 1177_1	 	 	 	943	 	1819_12	1794_16	 	1558_18, 1564_18	762	484	629	 
Bifidobacterium adolescentis ATCC 15703 (367928.6)	813_1, 814_2	 	 	 	212, 263, 287, 689	 	1154_11	52_16	 	1022_18, 1202_18	1256	563	509	626_26_25, 626_26_25
Bifidobacterium adolescentis L2-32 (411481.5)	1210_2, 1211_1	 	 	302_8	1954, 505, 554, 577, 75, 843	 	1782_11	347_16	 	1597_18, 1838_18	1898	860	800	 
Bifidobacterium animalis subsp. lactis BB-12 (552531.3)	1373_2, 1374_1	 	 	499_8	145, 746, 799	 	 	 	 	1194_18, 93_18	137	1089	1050	 
Bifidobacterium animalis subsp. lactis BLC1 (1075106.4)	883_2, 884_1	 	 	10_8	1267, 1314, 259, 312	 	 	 	 	1214_18, 705_18	1259	601	560	 
Bifidobacterium animalis subsp. lactis Bl-04 (580050.3)	890_2, 891_1	 	 	 	1273, 258, 312	 	 	 	 	1220_18, 710_18	1265	605	562	 
Bifidobacterium animalis subsp. lactis CNCM I-2494 (1042403.4)	882_2, 883_1	 	 	10_8	1265, 1312, 257, 310	 	 	 	 	1212_18, 704_18	1257	598	557	 
Bifidobacterium animalis subsp. lactis DSM 10140 (555970.3)	889_2, 890_1	 	 	 	1274, 258, 312	 	 	 	 	1221_18, 709_18	1266	604	562	 
Bifidobacterium animalis subsp. lactis HN019 (486409.3)	236_1, 237_2	 	 	 	1017, 479, 533	 	 	 	 	1070_18, 416_18	1025	1238	1196	 
Bifidobacterium animalis subsp. lactis V9 (573236.3)	884_2, 885_1	 	 	10_8	1271, 258, 311	 	 	 	 	1217_18, 705_18	1262	601	560	 
Bifidobacterium bifidum NCIMB 41171 (398513.5)	286_1, 287_2	 	 	1765_8	1106, 1407, 620, 621, 928, 962, 993	 	 	 	 	1191_18, 125_18	1128	763	231	 
Bifidobacterium bifidum PRL2010 (702459.3)	875_1, 876_2	 	 	22_8	1238, 1726, 268, 303, 346, 461	 	 	 	 	554_18, 717_18	483	1358	818, 819	 
Bifidobacterium bifidum S17 (883062.5)	899_1, 900_2	 	 	17_8	1189, 1670, 283, 316, 347, 479	 	 	 	 	570_18, 743_18	501	1315	843, 844	 
Bifidobacterium breve ACS-071-V-Sch8b (866777.3)	902_2, 903_1	 	 	13_8	1325, 1765, 517, 854	 	 	 	 	1167_18, 574_18	1192	1279	1350	 
Bifidobacterium breve UCC2003 (326426.4)	1010_1, 1011_2	 	 	 	1061, 1858, 650	 	 	 	 	1372_18, 725_18	700	635	569	 
Bifidobacterium dentium ATCC 27678 (473819.7)	1835_2, 1836_1	 	 	 	379, 432, 46, 873	 	1433_12	662_16	 	1381_18, 1623_18	1317	22	90	2106_26_25, 2106_26_25
Bifidobacterium dentium ATCC 27679 (871562.3)	1600_2, 1601_1	 	 	682_8	1065, 334, 356, 410, 54, 719	 	1255_11	634_15	 	1205_18, 1409_18	1142	40	95	 
Bifidobacterium dentium Bd1 (401473.3)	1024_1, 1025_2	 	 	 	2121, 283, 336, 667	 	1431_12	55_16	 	1241_18, 1482_18	1546	691	622	754_26_25, 754_26_25
Bifidobacterium dentium JCVIHMP022 (553191.3)	604_1, 605_2, 606_2	 	 	1202_8	1841, 2027, 2111, 2166, 2191, 37	 	636_11	1676_15	 	1709_18, 235_18	1354	1827	1884	 
Bifidobacterium gallicum DSM 20093 (561180.4)	174_1, 175_2	 	 	1344_8	1550, 281, 495, 815	 	 	 	 	300_18, 680_18	544	879	912	 
Bifidobacterium longum NCC2705 (206672.9)	524_2, 525_1	 	 	1363_8	1361, 1573, 1797, 484	 	 	 	 	151_18, 783_18	93	831	887	 
Bifidobacterium longum subsp. infantis 157F (565040.3)	935_1, 936_2	 	 	10_8	12, 1615, 1862, 500, 977	 	 	 	 	1378_18, 576_18	1440	523	466	 
Bifidobacterium longum subsp. infantis ATCC 55813 (548480.3)	14_2, 15_1	 	 	1561_8	1096, 1126, 1559, 221, 751	 	 	 	 	1324_18, 151_18	921	199	258	 
Bifidobacterium longum subsp. infantis CCUG 52486 (537937.5)	1130_1, 1131_2	 	 	617_8	1297, 131, 1842, 609, 615, 832	 	 	 	 	1345_18, 60_18	2039	108	165	 
Bifidobacterium longum subsp. longum BBMN68 (890402.3)	586_2, 587_1	 	 	1406_8	1399, 1404, 1599, 1838, 539	 	 	 	 	197_18, 850_18	139	898	966	 
Bifidobacterium longum subsp. longum F8 (722911.3)	392_2, 393_1	 	 	1486_8	1109, 1478, 1484, 1741, 350	 	 	 	 	1887_18, 651_18	58	702	757	 
Bifidobacterium longum subsp. longum JCM 1217 (565042.3)	819_1, 820_2	 	 	10_8	12, 1575, 1805, 867	 	 	 	 	1344_18, 570_18	1412	509	453	 
Bifidobacterium longum subsp. longum JDM301 (759350.3)	908_1, 909_2	 	 	9_8	12, 1544, 1796, 955	 	 	 	 	1306_18, 622_18	1364	569	514	 
Bifidobacterium longum subsp. longum KACC 91563 (1035817.4)	1049_2, 1050_1	 	 	1868_8	1004, 113, 1860, 1866, 379	 	 	 	 	1315_18, 636_18	555	1361	1421	 
Scardovia inopinata F0304 (641146.3)	 	 	 	498_8	1138, 1269, 951	 	 	 	 	1422_18, 604_18	1358	1031	585	 
Atopobium parvulum DSM 20469 (521095.6)	 	 	 	 	106, 506	83	 	298_16	 	1074_19, 421_18	1043	33	207	 
Atopobium rimae ATCC 49626 (553184.4)	1250_2, 910_2	 	 	268_8	310, 820	1058	 	370_15, 935_16	 	1342_19, 380_18	1460	673	1271	 
Collinsella aerofaciens ATCC 25986 (411903.6)	1229_1, 1230_2, 1244_2, 1649_2, 718_2, 994_2	 	 	161_8	1383, 1476, 314, 367, 500, 945	 	894_11	636_16	 	649_19, 650_19, 698_18	898	1661	1495	 
Collinsella intestinalis DSM 13280 (521003.7)	 	 	 	 	688	 	 	358_16	 	310_19, 363_18	298	772	125, 447, 623	1400_26
Collinsella stercoris DSM 13279 (445975.6)	1616_2, 758_2, 760_1	 	 	1328_8	1367, 321, 585	 	884_11	221_16	 	606_18, 763_19	786	1657	1465, 1470, 1531, 1776	 
Cryptobacterium curtum DSM 15641 (469378.5)	 	 	 	 	204	 	1148_12	11_15	 	176_19, 785_18	636	405	453	 
Eggerthella lenta DSM 2243 (479437.5)	 	 	 	 	164, 196	 	1082_12, 2185_12	795_16	 	2082_18, 390_19	2021	761, 792	2280	 
Eggerthella sp. 1_3_56FAA (665943.3)	2362_2	 	 	 	1492	 	2427_12, 667_11	873_15	 	1684_19, 357_18	526	1032, 2584, 876	2529	 
Eggerthella sp. YY7918 (502558.4)	1872_1, 2359_2	 	 	1176_8	159, 219, 631	 	1939_11	 	 	1870_18, 1876_19, 2204_19	1791	1879, 492	2031	 
Gordonibacter pamelaeae 7-10-1-b (657308.3)	1212_2, 1779_1, 1830_1	 	 	105_8	2067	 	1653_11, 2677_11	 	 	1776_19, 663_19	2995	1573, 260	1984	 
Olsenella uli DSM 7084 (633147.4)	1588_2, 833_2	 	 	789_8	1205, 848, 94	 	 	365_15	 	1347_19, 1361_18	409	35	161	 
Slackia exigua ATCC 700122 (649764.3)	53_2	 	 	222_8	1065, 525, 836	 	 	294_15	 	1692_18, 1695_19	1375	869	1125	 
Actinomyces cardiffensis F0333 (888050.3)	 	 	 	1783_8	1227, 1360	 	 	 	 	1383_18, 1442_18	1752	711	461	 
Actinomyces graevenitzii C83 (435830.3)	 	 	 	1058_8	868	 	 	1424_15	 	313_18, 358_18, 888_18	113	1056	1520	 
Actinomyces naeslundii str. Howell 279 (1115803.3)	 	 	653	653, 933_8	1028, 1540, 670	 	1006_11	45_15	 	1550_18, 1556_18	1499	925	2351	 
Actinomyces turicensis ACS-279-V-Col4 (883077.3)	 	 	 	732_8	22	 	 	 	 	862_18, 916_18	1667	501	1271	 
Corynebacterium aurimucosum ATCC 700975 (Prj:31451) (548476.7)	 	 	 	1996_8	953	 	2088_11	2038_15	2093	2105_18, 2123_18	2471	1126	1440	 
Corynebacterium durum F0235 (1035195.3)	 	 	 	1400_8	2196	 	1542_11	1481_15	1616	1565_18, 1589_18	691	2385	363	 
