Organism	ThiO	ThiG	TenI	ThiF	ThiE	ThiH	ThiI	ThiC	ThiD	ThiV	ThiXYZ	YkoCDE	CytX	ThiW	ThiU	ThiT	ThiBPQ	PnuT	HmpT
Corynebacterium kroppenstedtii DSM 44385 (645127.4)	1773	1771	 	1770_13, 1772_4	1766_5	 	 	1765_16	1760_18	 	 	632_26, 633_29, 634_28	 	 	 	 	 	 	 
Corynebacterium striatum ATCC 6940 (525268.3)	605	603	 	1589_11, 602_11, 604_4	606_5	 	 	607_16	2050_18	 	 	10_26, 11_29, 12_28	 	 	 	 	 	 	 
Corynebacterium tuberculostearicum SK141 (553206.4)	 	 	 	2018_13	1939_5	 	 	1664_16	1938_18	 	 	1016_26, 1017_29, 1018_28	 	 	 	 	 	 	 
Corynebacterium ulcerans 809 (945711.3)	1473	1475	 	1474_4, 1476_11	1472_5	 	 	1471_16	1477_18	 	 	833_26, 835_29, 836_28	 	 	 	 	 	 	 
Corynebacterium ulcerans BR-AD22 (945712.3)	1478	1480	 	1479_4, 1481_11	1477_5	 	 	1476_16	1482_18	 	 	839_26, 841_29, 842_28	 	 	 	 	 	 	 
Dietzia cinnamea P4 (910954.3)	536	539	 	1598_13	 	 	 	 	434_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium avium subsp. paratuberculosis K-10 (262316.17)	4149	4151	 	3512_11, 4150_4	4148_5	 	1802_21	4164_16	4163_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium avium subsp. paratuberculosis S397 (1010838.3)	1690	1688	 	1689_4, 2468_11	1691_5	 	4492_21	1675_16	1676_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium avium subsp. paratuberculosis str. k10 (262316.1)	3898	3900	 	3306_11, 3899_4	3897_5	 	1699_21	3913_16	3912_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus (36809.5)	4297	4295	 	2132_13, 3594_11, 4296_4	4298_5	 	 	4274_16	4275_18	 	 	 	 	 	 	 	 	 	 
Rhodococcus equi 103S (685727.3)	3912	3910	 	3297_11, 3911_4	3913_5	 	 	 	3901_18	 	1587_25, 1588_24, 1589_23	 	 	 	 	 	 	 	 
Rhodococcus equi ATCC 33707 (525370.3)	1385	1387	 	1386_4, 3150_11	1384_5	 	 	 	1396_18	 	1165_23, 1166_24, 1167_25	 	 	 	 	 	 	 	 
Rhodococcus erythropolis PR4 (234621.6)	1960	1962	 	1961_4, 2705_11	1959_5	 	 	1968_16	1967_18	 	1307_23, 4543_23, 4544_24, 4545_25	 	 	 	 	 	 	 	 
Rhodococcus erythropolis SK121 (596309.3)	4436	4434	 	2615_11, 4435_4	4437_5	 	 	 	5169_18	 	1604_25, 1605_24, 1606_23, 5654_23	 	 	 	 	 	 	 	 
Brevibacterium linens BL2 (321955.4)	2223	2221	 	2220_11, 2222_4	2224_5, 3476_5	 	 	 	3475_18	 	 	2756_26	 	 	 	 	 	 	 
Kytococcus sedentarius DSM 20547 (478801.5)	 	 	 	594_11	284_5	 	 	 	285_18	 	 	 	 	 	 	 	437_38, 438_39, 439_40	 	 
Kocuria rhizophila DC2201 (378753.5)	430	428	 	427_11, 429_4	431_5	 	 	 	1112_18	 	 	 	 	 	 	 	 	 	 
Kocuria rhizophila P7-4 (1029824.3)	1168	1166	 	1165_11, 1167_4	1169_5	 	 	654_16	116_18	 	 	1118_26, 1119_29, 1120_28	 	 	 	 	 	 	 
Micrococcus luteus NCTC 2665 (465515.4)	759	761	 	760_4, 762_11	758_5	 	 	 	757_18	 	 	 	 	 	 	 	1883_38, 1884_39, 1885_40	 	 
Micrococcus luteus SK58 (596312.3)	1744	1742	 	1741_13, 1743_12	1745_5	 	 	1748_16	1746_18	 	 	 	 	 	 	 	2180_39, 2181_38	 	 
Rothia dentocariosa ATCC 17931 (762948.4)	1276	1274	 	1273_11, 1275_4, 321_11	1277_5	 	 	 	1812_18	 	 	 	 	 	 	 	 	 	 
Rothia dentocariosa M567 (563032.4)	1570	1568	 	1334_11, 1567_11, 1569_4	1571_5	 	 	 	239_18	 	 	1576_26, 1577_29, 1578_28	 	 	 	 	 	 	 
Rothia mucilaginosa ATCC 25296 (553201.3)	1448	1450	 	1449_4, 1451_11, 864_11	1447_5	 	 	 	1575_18	 	 	1439_28, 1440_29, 1441_26	 	 	 	 	 	 	 
Rothia mucilaginosa DY-18 (680646.3)	1468	1470	 	1469_4, 1471_11, 386_11	1467_5	 	 	 	986_18	 	 	1460_28, 1461_29, 1462_26	 	 	 	 	 	 	 
Tropheryma whipplei TW08/27 (218496.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Tropheryma whipplei str. Twist (203267.6)	 	 	 	 	 	 	 	 	 	 	 	547_26	 	 	 	 	 	 	 
Micromonospora aurantiaca ATCC 27029 (644283.3)	3288	3286	3285_3	2127_11, 2895_14, 2898_14, 3287_4, 4267_14	3289_5	 	 	3283_16	3284_18	 	1193_25, 1194_24, 3277_24, 3278_23, 3279_25	3118_26, 3119_29, 3120_28	 	 	 	 	 	 	 
Propionibacterium acnes 266 (909952.3)	549	547	 	546_11, 548_4	125_5, 923_5	 	 	 	122_18, 123_18, 1766_18	 	 	176_29_28, 176_29_28	 	 	 	 	 	 	 
Propionibacterium acnes 6609 (1031709.3)	554	552	 	551_11, 553_4	118_5, 941_5	 	 	 	116_18	 	 	 	 	 	 	 	 	 	 
Propionibacterium acnes ATCC 11828 (1091045.3)	1517	1515	 	1514_11, 1516_4	1068_5, 2096_5	 	 	 	1066_18	 	 	1116_26, 1117_29_28, 1117_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL001PA1 (765105.8)	2301	2299	 	2298_11, 2300_4	1326_5, 1855_5	 	 	 	1853_18	 	 	1904_26, 1905_29_28, 1905_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL002PA1 (765115.3)	889	887	 	886_11, 888_4	1375_5, 474_5	 	 	 	472_18	 	 	524_26, 525_29_28, 525_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL002PA2 (765116.3)	1120	1118	 	1117_11, 1119_4	2074_5, 696_5	 	 	 	1306_18, 694_18	 	 	746_29_28, 746_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL002PA3 (765117.3)	1398	1396	 	1395_11, 1397_4	1976_5, 977_5	 	 	 	713_18, 975_18	 	 	1026_29_28, 1026_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL005PA1 (765096.3)	130	132	 	131_4, 133_11	2135_5, 586_5	 	 	 	1571_18, 588_18	 	 	503_29_28, 503_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL005PA2 (765097.3)	894	896	 	895_4, 897_11	1318_5, 697_5	 	 	 	1320_18, 53_18	 	 	1267_29_28, 1267_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL005PA4 (765099.3)	992	990	 	989_11, 991_4	1456_5, 580_5	 	 	 	578_18	 	 	628_26, 629_29_28, 629_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL007PA1 (765118.3)	725	723	 	722_11, 724_4	1730_5, 270_5	 	 	 	2477_18, 268_18	 	 	350_29_28, 350_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL013PA1 (765069.3)	72	74	 	73_4, 75_11	1343_5, 486_5	 	 	 	488_18	 	 	435_29_28, 435_29_28, 436_26	 	 	 	 	 	 	 
Propionibacterium acnes HL013PA2 (765070.3)	1078	1080	 	1079_4, 1081_11	1499_5, 2250_5	 	 	 	1501_18, 154_18	 	 	1449_29_28, 1449_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL020PA1 (765065.3)	34	36	 	35_4, 37_11	1848_5, 454_5	 	 	 	456_18, 980_18	 	 	404_29_28, 404_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL025PA1 (765089.3)	32	34	 	33_4, 35_11	1817_5, 466_5	 	 	 	2276_18, 468_18	 	 	415_29_28, 415_29_28, 416_26	 	 	 	 	 	 	 
Propionibacterium acnes HL027PA1 (765111.3)	2011	2009	 	2008_11, 2010_4	1598_5, 966_5	 	 	 	1596_18	 	 	1647_26, 1648_29_28, 1648_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL027PA2 (765112.3)	2368	2366	 	2365_11, 2367_4	1952_5, 688_5	 	 	 	1577_18, 1950_18	 	 	2001_29_28, 2001_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL030PA1 (765103.3)	1330	1332	 	1331_4, 1333_11	2443_5, 402_5	 	 	 	404_18	 	 	 	 	 	 	 	 	 	 
Propionibacterium acnes HL036PA1 (765106.3)	261	263	 	262_4, 264_11	1667_5, 682_5	 	 	 	1108_18, 684_18	 	 	631_29_28, 631_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL036PA2 (765107.3)	618	616	 	615_11, 617_4	1982_5, 200_5	 	 	 	1235_18, 198_18	 	 	250_29_28, 250_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL037PA1 (765122.3)	265	267	 	266_4, 268_11	1852_5, 684_5	 	 	 	686_18	 	 	635_29_28, 635_29_28, 636_26	 	 	 	 	 	 	 
Propionibacterium acnes HL037PA2 (765123.3)	1979	1981, 1982	 	1980_4, 1983_11	2461_5, 630_5	 	 	 	1847_18, 2464_18	 	 	2414_29_28, 2414_29_28, 2415_26	 	 	 	 	 	 	 
Propionibacterium acnes HL038PA1 (765085.3)	225	227	 	226_4, 228_11	1532_5, 680_5	 	 	 	54_18, 682_18	 	 	597_29_28, 597_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL043PA1 (765072.3)	1199	1201	 	1200_4, 1202_11	490_5, 728_5	 	 	 	2138_18, 488_18	 	 	1567_29_28, 1567_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL043PA2 (765073.3)	484	482	 	481_11, 483_4	1073_5, 1690_5	 	 	 	1075_18, 672_18	 	 	113_29_28, 113_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL044PA1 (765109.3)	671	673, 674	 	672_4, 675_11	1645_5, 1860_5	 	 	 	1648_18, 2685_18	 	 	1596_29_28, 1596_29_28, 1597_26	 	 	 	 	 	 	 
Propionibacterium acnes HL045PA1 (765068.3)	985	983	 	982_11, 984_4	1745_5, 533_5	 	 	 	2433_18, 531_18	 	 	614_29_28, 614_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL046PA1 (765094.3)	1047	1045	 	1044_11, 1046_4	1633_5, 631_5	 	 	 	629_18	 	 	680_26, 681_29_28, 681_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL046PA2 (765095.3)	2407	2405	 	2404_11, 2406_4	1983_5, 996_5	 	 	 	1981_18, 493_18	 	 	2030_26, 2031_29_28, 2031_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL050PA1 (765100.3)	2383	2381	 	2380_11, 2382_4	1973_5, 993_5	 	 	 	1971_18	 	 	2023_26, 2024_29_28, 2024_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL050PA2 (765101.3)	722	724	 	723_4, 725_11	1989_5, 300_5	 	 	 	298_18	 	 	350_26, 351_29_28, 351_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL050PA3 (765102.3)	622	620	 	619_11, 621_4	1625_5, 211_5	 	 	 	209_18	 	 	258_26, 259_29_28, 259_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL053PA1 (765066.3)	618	620	 	619_4, 621_11	1799_5, 268_5	 	 	 	1308_18, 266_18	 	 	989_29_28, 989_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL053PA2 (765067.3)	1231	1229	 	1228_11, 1230_4	1907_5, 802_5	 	 	 	800_18	 	 	 	 	 	 	 	 	 	 
Propionibacterium acnes HL056PA1 (765119.3)	346	348	 	347_4, 349_11	1046_5, 2154_5	 	 	 	2152_18, 305_18	 	 	721_29_28, 721_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL059PA1 (765091.3)	2001	1999	 	1998_11, 2000_4	1221_5, 1586_5	 	 	 	1584_18	 	 	1637_26, 1638_29_28, 1638_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL059PA2 (765092.3)	356	358	 	357_4, 359_11	1537_5, 767_5	 	 	 	769_18	 	 	717_29_28, 717_29_28, 718_26	 	 	 	 	 	 	 
Propionibacterium acnes HL063PA1 (765113.3)	1000	998	 	997_11, 999_4	1696_5, 578_5	 	 	 	215_18, 576_18	 	 	628_29_28, 628_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL063PA2 (765114.3)	1277	1274	 	1273_11, 1276_4	1892_5, 849_5	 	 	 	847_18	 	 	899_26, 900_29_28, 900_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL067PA1 (765110.3)	1181	1183	 	1182_4, 1184_11	1593_5, 589_5	 	 	 	1595_18, 2134_18	 	 	1543_29_28, 1543_29_28, 1544_26	 	 	 	 	 	 	 
Propionibacterium acnes HL072PA1 (765074.3)	2445	2443	 	2442_11, 2444_4	1270_5, 2024_5	 	 	 	2022_18, 611_18	 	 	2074_29_28, 2074_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL072PA2 (765075.3)	73	75	 	74_4, 76_11	2207_5, 499_5	 	 	 	1134_18, 501_18	 	 	449_29_28, 449_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL074PA1 (765076.3)	988	986	 	985_11, 987_4	1182_5, 2260_5	 	 	 	2262_18, 375_18	 	 	615_29_28, 615_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL078PA1 (765071.3)	292	294	 	293_4, 295_11	1936_5, 717_5	 	 	 	2288_18, 719_18	 	 	 	 	 	 	 	 	 	 
Propionibacterium acnes HL082PA1 (765120.3)	230	232	 	231_4, 233_11	2116_5, 660_5	 	 	 	662_18	 	 	 	 	 	 	 	 	 	 
Propionibacterium acnes HL082PA2 (765121.3)	2157	2155	 	2154_11, 2156_4	1716_5, 809_5	 	 	 	1714_18	 	 	1765_26, 1766_29_28, 1766_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL083PA1 (765087.3)	1212	1210	 	1209_11, 1211_4	1905_5, 344_5	 	 	 	342_18, 53_18	 	 	837_29_28, 837_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL083PA2 (765088.3)	1157	1155	 	1154_11, 1156_4	1527_5, 746_5	 	 	 	744_18	 	 	794_26, 795_29_28, 795_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL086PA1 (765093.3)	325	323	 	322_11, 324_4	1605_5, 837_5	 	 	 	835_18	 	 	922_29_28, 922_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL087PA2 (765082.3)	2296	2294	 	2293_11, 2295_4	1120_5, 1876_5	 	 	 	1874_18, 343_18	 	 	1925_29_28, 1925_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL087PA3 (765083.3)	925	923	 	922_11, 924_4	2120_5, 512_5	 	 	 	510_18	 	 	561_26, 562_29_28, 562_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL092PA1 (765086.3)	33	35	 	34_4, 36_11	1331_5, 459_5	 	 	 	461_18	 	 	 	 	 	 	 	 	 	 
Propionibacterium acnes HL096PA2 (765058.3)	941	939	 	938_11, 940_4	1861_5, 487_5	 	 	 	2474_18, 485_18	 	 	569_29_28, 569_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL096PA3 (765057.3)	706	704	 	703_11, 705_4	1228_5, 284_5	 	 	 	1875_18, 282_18	 	 	334_29_28, 334_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL097PA1 (765064.3)	913	911	 	910_11, 912_4	1937_5, 503_5	 	 	 	1532_18, 501_18	 	 	551_26, 552_29_28, 552_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL099PA1 (765063.3)	601	599	 	598_11, 600_4	1596_5, 2370_5	 	 	 	1126_18, 2368_18	 	 	2461_29_28, 2461_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL103PA1 (765061.3)	946	944	 	943_11, 945_4	1747_5, 502_5	 	 	 	500_18	 	 	551_26, 552_29_28, 552_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL110PA1 (765077.3)	905	907	 	906_4, 908_11	1334_5, 2111_5	 	 	 	1336_18	 	 	 	 	 	 	 	 	 	 
Propionibacterium acnes HL110PA2 (765078.3)	1047	1045	 	1043_11, 1044_11, 1046_4	1446_5, 98_5	 	 	 	100_18	 	 	 	 	 	 	 	 	 	 
Propionibacterium acnes HL110PA3 (765079.3)	871	869	 	868_11, 870_4	2013_5, 424_5	 	 	 	421_18	 	 	471_26, 472_29_28, 472_29_28	 	 	 	 	 	 	 
Propionibacterium acnes HL110PA4 (765080.3)	33	35	 	34_4, 36_11	1266_5, 843_5	 	 	 	1264_18	 	 	1315_26, 1316_29_28, 1316_29_28	 	 	 	 	 	 	 
Propionibacterium acnes J139 (679194.3)	575	 	 	572_11	1090_5, 181_5	 	 	 	180_18	 	 	225_26, 226_29_28, 226_29_28	 	 	 	 	 	 	 
Propionibacterium acnes J165 (679195.3)	1828	1825	 	1824_11, 1827_4	542_5, 920_5	 	 	 	1656_18, 918_18	 	 	969_26, 970_29_28, 970_29_28	 	 	 	 	 	 	 
Propionibacterium acnes KPA171202 (267747.3)	543	541	 	540_11, 542_4	115_5, 919_5	 	 	 	113_18	 	 	 	 	 	 	 	 	 	 
Propionibacterium acnes SK137 (553199.9)	568	566	 	565_11, 567_4	115_5, 931_5	 	 	 	113_18	 	 	198_29_28, 198_29_28	 	 	 	 	 	 	 
Propionibacterium acnes SK182 (679193.4)	2029	2031	 	2030_4, 2032_11	1616_5, 441_5	 	 	 	1063_18, 1618_18	 	 	2398_29_28, 2398_29_28	 	 	 	 	 	 	 
Propionibacterium acnes SK182B-JCVI (1051006.4)	1515	1513	 	1119_11, 1512_11, 1514_4	2092_5, 622_5	 	 	 	1003_18, 2089_18	 	 	2137_26, 2138_29_28, 2138_29_28	 	 	 	 	 	 	 
Propionibacterium acnes SK187 (686659.3)	555	554	 	553_11	176_5, 839_5	 	 	 	175_18	 	 	221_29_28, 221_29_28	 	 	 	 	 	 	 
Propionibacterium acnes TypeIA2 P.acn17 (1114967.3)	553	551	 	550_11, 552_4	120_5, 925_5	 	 	 	118_18	 	 	170_26, 171_29_28, 171_29_28	 	 	 	 	 	 	 
Propionibacterium acnes TypeIA2 P.acn31 (1114969.3)	549	547	 	546_11, 548_4	122_5, 918_5	 	 	 	120_18	 	 	171_26, 172_29_28, 172_29_28	 	 	 	 	 	 	 
Propionibacterium acnes TypeIA2 P.acn33 (1114966.3)	533	531	 	530_11, 532_4	119_5, 906_5	 	 	 	117_18	 	 	169_26, 170_29_28, 170_29_28	 	 	 	 	 	 	 
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 (754252.3)	1620	1618	 	1617_11, 1619_4, 2084_11, 2085_11	1621_5, 349_5	 	 	 	348_18	 	 	 	 	 	 	 	 	 	 
Bifidobacterium adolescentis ATCC 15703 (367928.6)	 	86	 	88_11, 89_4	1227_5	 	 	 	1228_18	 	1234_24	1027_28, 1028_29, 1062_26, 949_26	 	 	 	 	202_39	 	 
Bifidobacterium adolescentis L2-32 (411481.5)	 	387	 	389_11, 390_4	1874_5	 	 	 	1875_18	 	1880_24	1603_29, 1604_26, 1636_26, 246_26	 	 	 	 	497_39	 	 
Bifidobacterium animalis subsp. lactis BB-12 (552531.3)	 	 	 	 	112_5_18	 	 	 	112_5_18	 	117_24	1202_26, 1203_29, 997_26	 	 	 	 	1493_39, 1494_38, 1495_40	 	 
Bifidobacterium animalis subsp. lactis BLC1 (1075106.4)	 	 	 	 	1234_5_18	 	 	 	1234_5_18	 	1239_24	 	 	 	 	 	1009_39, 1010_38, 1011_40	 	 
Bifidobacterium animalis subsp. lactis Bl-04 (580050.3)	 	 	 	 	1240_5_18	 	 	 	1240_5_18	 	1245_24	720_26	 	 	 	 	1016_39, 1017_38, 1018_40	 	 
Bifidobacterium animalis subsp. lactis CNCM I-2494 (1042403.4)	 	 	 	 	1232_5_18	 	 	 	1232_5_18	 	1237_24	 	 	 	 	 	1007_39, 1008_38, 1009_40	 	 
Bifidobacterium animalis subsp. lactis DSM 10140 (555970.3)	 	 	 	 	1241_5_18	 	 	 	1241_5_18	 	1246_24	 	 	 	 	 	1016_39, 1017_38, 1018_40	 	 
Bifidobacterium animalis subsp. lactis HN019 (486409.3)	 	 	 	 	1050_5_18	 	 	 	1050_5_18	 	1045_24	406_26	 	 	 	 	110_40, 111_38, 112_39	 	 
Bifidobacterium animalis subsp. lactis V9 (573236.3)	 	 	 	 	1237_5_18	 	 	 	1237_5_18	 	1242_24	 	 	 	 	 	1010_39, 1011_38, 1012_40	 	 
Bifidobacterium bifidum NCIMB 41171 (398513.5)	 	1304	 	1109_11, 1305_4	1141_16_5	 	 	1141_16_5	1139_18	 	872_24	 	 	 	 	 	 	 	 
Bifidobacterium bifidum PRL2010 (702459.3)	 	1829	 	1828_4, 465_11, 466_11	498_16_5	 	 	498_16_5	495_18	 	211_24	 	 	 	 	 	 	 	 
Bifidobacterium bifidum S17 (883062.5)	 	1775	 	1774_4, 483_11	517_16_5	 	 	517_16_5	514_18	 	226_24	 	 	 	 	 	 	 	 
Bifidobacterium breve ACS-071-V-Sch8b (866777.3)	 	1138	 	1137_11, 1139_4	544_16_5	 	 	544_16_5	542_18	 	1176_24	1160_28, 1161_29, 1162_26, 481_26	 	 	 	 	333_39	 	 
Bifidobacterium breve UCC2003 (326426.4)	 	754	 	753_4, 755_11, 756_11	1408_16_5	 	 	1408_16_5	1410_18	 	716_24, 717_23	 	 	 	 	 	384_39	 	 
Bifidobacterium dentium ATCC 27678 (473819.7)	 	579	 	577_4, 578_11	1347_5	 	 	 	1346_18	 	1338_24	 	 	 	 	 	440_39	 	 
Bifidobacterium dentium ATCC 27679 (871562.3)	 	551	 	549_4, 550_11	1172_16_5	 	 	1172_16_5	1171_18	 	1163_24	1394_29, 1395_28	 	 	 	 	418_39	 	 
Bifidobacterium dentium Bd1 (401473.3)	 	138	 	139_11, 140_4	1516_5	 	 	 	1517_18	 	1525_24	 	 	 	 	 	275_39	 	 
Bifidobacterium dentium JCVIHMP022 (553191.3)	 	1588	 	1586_4, 1587_11	1384_16_5	 	 	1384_16_5	1383_18	 	1375_24	249_28, 250_29, 251_29	 	 	 	 	2103_39	 	 
Bifidobacterium gallicum DSM 20093 (561180.4)	 	 	 	 	282_5_18	 	 	 	282_5_18	 	269_24	669_29, 670_26, 952_26	 	 	 	 	80_40, 81_38, 82_39	 	 
Bifidobacterium longum NCC2705 (206672.9)	 	761	 	759_11, 760_11, 762_4	122_16_5	 	 	122_16_5	120_18	 	111_24	1855_26, 776_28, 777_29, 778_26	 	 	 	 	1079_39	 	 
Bifidobacterium longum subsp. infantis 157F (565040.3)	 	599	 	598_4, 600_11, 601_11	1411_16_5	 	 	1411_16_5	1413_18	 	1422_24	1545_26, 582_26, 583_29, 584_28	 	 	 	 	262_39	 	 
Bifidobacterium longum subsp. infantis ATCC 55813 (548480.3)	 	130	 	128_11, 129_11, 131_4	952_16_5	 	 	952_16_5	950_18	 	941_24	144_28, 145_29, 146_26, 820_26	 	 	 	 	1802_39	 	 
Bifidobacterium longum subsp. infantis CCUG 52486 (537937.5)	 	38	 	36_11, 37_11, 39_4	2068_16_5	 	 	2068_16_5	2066_18	 	2058_24	1937_26, 53_28, 54_29, 55_26	 	 	 	 	337_39	 	 
Bifidobacterium longum subsp. longum BBMN68 (890402.3)	 	828	 	826_11, 827_11, 829_4	169_16_5	 	 	169_16_5	167_18	 	158_24	30_26, 843_28, 844_29, 845_26	 	 	 	 	1138_39	 	 
Bifidobacterium longum subsp. longum F8 (722911.3)	 	629	 	627_11, 628_11, 630_4	28_16_5	 	 	28_16_5	30_18	 	39_24	1045_26, 644_28, 645_29, 646_26	 	 	 	 	963_39	 	 
Bifidobacterium longum subsp. longum JCM 1217 (565042.3)	 	592	 	591_4, 593_11, 594_11	1382_16_5	 	 	1382_16_5	1384_18	 	1393_24	1516_26, 575_26, 576_29, 577_28	 	 	 	 	281_39	 	 
Bifidobacterium longum subsp. longum JDM301 (759350.3)	 	643	 	642_4, 644_11	1332_16_5	 	 	1332_16_5	1334_18	 	1345_24	1476_26, 627_26, 628_29, 629_28	 	 	 	 	289_39	 	 
Bifidobacterium longum subsp. longum KACC 91563 (1035817.4)	 	1293	 	1291_11, 1292_11, 1294_4	586_16_5	 	 	586_16_5	584_18	 	575_24	1308_28, 1309_29, 1310_26, 454_26	 	 	 	 	1608_39	 	 
Scardovia inopinata F0304 (641146.3)	 	 	 	 	1490_5	 	 	 	1159_18	 	1242_24	1163_26, 1164_29, 610_26, 611_29_28, 611_29_28	 	 	 	 	 	 	 
Atopobium parvulum DSM 20469 (521095.6)	 	 	 	 	 	 	781_15	 	 	 	385_24, 386_43, 387_42	 	 	 	 	 	 	 	 
Atopobium rimae ATCC 49626 (553184.4)	 	 	 	 	 	 	248_21	 	 	 	402_42, 403_43, 404_24	 	 	 	 	 	 	 	 
Collinsella aerofaciens ATCC 25986 (411903.6)	 	 	 	 	513_5	 	1788_21	220_16	221_18	 	 	 	 	 	 	 	 	 	 
Collinsella intestinalis DSM 13280 (521003.7)	 	 	 	 	 	 	988_15	 	 	 	369_25, 370_43, 371_24	 	 	 	 	 	 	 	 
