Organism	Tor	Dms	Ynf
Propionibacterium acnes SK187 (686659.3)	 	550_18, 551_16, 552_14	 
Propionibacterium acnes TypeIA2 P.acn17 (1114967.3)	 	547_18, 548_16, 549_13	 
Propionibacterium acnes TypeIA2 P.acn31 (1114969.3)	 	542_18, 543_16, 544_14	 
Propionibacterium acnes TypeIA2 P.acn33 (1114966.3)	 	526_18, 527_16, 528_13	 
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 (754252.3)	 	1974_18, 1975_16, 1976_13, 1978_20	 
Bifidobacterium adolescentis ATCC 15703 (367928.6)	 	 	 
Bifidobacterium adolescentis L2-32 (411481.5)	 	 	 
Bifidobacterium animalis subsp. lactis BB-12 (552531.3)	 	 	 
Bifidobacterium animalis subsp. lactis BLC1 (1075106.4)	 	 	 
Bifidobacterium animalis subsp. lactis Bl-04 (580050.3)	 	 	 
Bifidobacterium animalis subsp. lactis CNCM I-2494 (1042403.4)	 	 	 
Bifidobacterium animalis subsp. lactis DSM 10140 (555970.3)	 	 	 
Bifidobacterium animalis subsp. lactis HN019 (486409.3)	 	 	 
Bifidobacterium animalis subsp. lactis V9 (573236.3)	 	 	 
Bifidobacterium bifidum NCIMB 41171 (398513.5)	 	 	 
Bifidobacterium bifidum PRL2010 (702459.3)	 	 	 
Bifidobacterium bifidum S17 (883062.5)	 	 	 
Bifidobacterium breve ACS-071-V-Sch8b (866777.3)	 	 	 
Bifidobacterium breve UCC2003 (326426.4)	 	 	 
Bifidobacterium dentium ATCC 27678 (473819.7)	 	 	 
Bifidobacterium dentium ATCC 27679 (871562.3)	 	 	 
Bifidobacterium dentium Bd1 (401473.3)	 	 	 
Bifidobacterium dentium JCVIHMP022 (553191.3)	 	 	 
Bifidobacterium gallicum DSM 20093 (561180.4)	 	 	 
Bifidobacterium longum NCC2705 (206672.9)	 	 	 
Bifidobacterium longum subsp. infantis 157F (565040.3)	 	 	 
Bifidobacterium longum subsp. infantis ATCC 55813 (548480.3)	 	 	 
Bifidobacterium longum subsp. infantis CCUG 52486 (537937.5)	 	 	 
Bifidobacterium longum subsp. longum BBMN68 (890402.3)	 	 	 
Bifidobacterium longum subsp. longum F8 (722911.3)	 	 	 
Bifidobacterium longum subsp. longum JCM 1217 (565042.3)	 	 	 
Bifidobacterium longum subsp. longum JDM301 (759350.3)	 	 	 
Bifidobacterium longum subsp. longum KACC 91563 (1035817.4)	 	 	 
Scardovia inopinata F0304 (641146.3)	 	 	 
Atopobium parvulum DSM 20469 (521095.6)	 	 	 
Atopobium rimae ATCC 49626 (553184.4)	 	 	 
Collinsella aerofaciens ATCC 25986 (411903.6)	 	 	 
Collinsella intestinalis DSM 13280 (521003.7)	 	 	 
Collinsella stercoris DSM 13279 (445975.6)	 	 	 
Cryptobacterium curtum DSM 15641 (469378.5)	 	48_14, 49_17, 50_19, 51_20, 52_19	 
Eggerthella lenta DSM 2243 (479437.5)	 	1033_14, 1034_17, 119_14, 120_17, 121_19, 1226_14, 1227_17, 1228_20, 1229_18, 2836_19, 2837_17, 2838_14, 2862_14, 2863_17, 2864_17, 2865_19, 3136_20, 3137_16, 3138_13, 445_14, 446_17, 447_17, 448_20, 449_19, 486_14, 487_17, 488_17, 489_20, 490_19, 492_19, 493_17, 494_14, 534_14, 535_17, 536_19, 538_14, 539_17, 540_19, 642_14, 643_17, 644_19	 
Eggerthella sp. 1_3_56FAA (665943.3)	 	1072_19, 1073_17, 1074_14, 1428_14, 1429_17, 1430_19, 1722_13, 1723_16, 1724_20, 1725_23, 1794_14, 1795_17, 1796_17, 1797_20, 1798_19, 1800_19, 1801_17, 1802_14, 1830_14, 1831_17, 1985_20, 1986_16, 1987_13, 2349_19, 2350_17, 2351_14, 2370_14, 2371_16, 2372_16, 2373_18, 448_20, 449_17, 450_14	 
Eggerthella sp. YY7918 (502558.4)	 	1220_14, 1221_17, 1613_16, 1614_13, 2185_16, 2186_13, 2305_19, 2306_16, 2307_13, 2365_13, 2366_16, 2367_16, 2368_18, 2479_17, 2480_14, 633_13, 634_16, 933_14, 934_16	 
Gordonibacter pamelaeae 7-10-1-b (657308.3)	1476_12, 1477_5, 2331_12, 2332_5, 2884_5, 2885_12	1202_19, 1203_17, 1204_17, 1205_14, 1320_14, 1321_17, 2045_20, 2046_16, 2047_13, 2105_17, 2106_14, 2669_13, 2670_16, 2671_23, 2672_20, 304_16, 305_13, 306_19, 3064_14, 3065_17, 589_19, 590_20, 592_17, 593_14, 594_17, 736_20, 737_17, 738_14, 962_13, 963_16, 964_20, 978_14, 979_17, 980_19	 
Olsenella uli DSM 7084 (633147.4)	 	 	 
Slackia exigua ATCC 700122 (649764.3)	 	1477_14, 1478_16, 1682_16, 1683_13, 392_17, 393_14, 712_18, 714_16, 715_16, 716_13, 934_17, 935_14	 
Actinomyces cardiffensis F0333 (888050.3)	 	 	 
Actinomyces graevenitzii C83 (435830.3)	 	 	 
Actinomyces naeslundii str. Howell 279 (1115803.3)	 	 	 
Actinomyces turicensis ACS-279-V-Col4 (883077.3)	 	 	 
Corynebacterium aurimucosum ATCC 700975 (Prj:31451) (548476.7)	 	 	 
Corynebacterium durum F0235 (1035195.3)	 	 	 
Corynebacterium propinquum DSM 44285 (1121367.3)	 	 	 
Gordonia rubripertincta NBRC 101908 (1077975.4)	 	 	 
Gordonia terrae C-6 (1316928.3)	 	 	 
Gordonia terrae NBRC 100016 (1089454.3)	 	 	 
Mycobacterium avium subsp. paratuberculosis JQ6 (1112208.3)	 	 	 
Mycobacterium avium subsp. paratuberculosis MAP4 (1199187.3)	 	 	 
Mycobacterium avium subsp. paratuberculosis S5 (1247747.5)	 	 	 
Mycobacterium abscessus 3A-0119-R (1001721.3)	 	 	 
Mycobacterium abscessus 3A-0122-R (1001715.3)	 	 	 
Mycobacterium abscessus 3A-0122-S (1001716.3)	 	 	 
Mycobacterium abscessus 3A-0731 (1001718.3)	 	 	 
Mycobacterium abscessus 3A-0810-R (1001717.3)	 	 	 
Mycobacterium abscessus 3A-0930-R (1001720.3)	 	 	 
Mycobacterium abscessus 3A-0930-S (1001719.3)	 	 	 
Mycobacterium abscessus 47J26 (1087483.3)	 	 	 
Mycobacterium abscessus 4S-0116-R (1001725.3)	 	 	 
Mycobacterium abscessus 4S-0116-S (1001724.3)	 	 	 
Mycobacterium abscessus 4S-0206 (1001723.3)	 	 	 
Mycobacterium abscessus 4S-0303 (1001722.3)	 	 	 
Mycobacterium abscessus 4S-0726-RA (1001726.3)	 	 	 
Mycobacterium abscessus 4S-0726-RB (1001727.3)	 	 	 
Mycobacterium abscessus 5S-0304 (1001728.3)	 	 	 
Mycobacterium abscessus 5S-0421 (1001729.3)	 	 	 
Mycobacterium abscessus 5S-0422 (1001731.3)	 	 	 
Mycobacterium abscessus 5S-0708 (1001730.3)	 	 	 
Mycobacterium abscessus 5S-0817 (1001735.3)	 	 	 
Mycobacterium abscessus 5S-0921 (1001732.3)	 	 	 
Mycobacterium abscessus 5S-1212 (1001733.3)	 	 	 
Mycobacterium abscessus 5S-1215 (1001734.3)	 	 	 
Mycobacterium abscessus 6G-0125-R (1001740.3)	 	 	 
Mycobacterium abscessus 6G-0212 (1001739.3)	 	 	 
Mycobacterium abscessus 9808 (1246644.3)	 	 	 
Mycobacterium abscessus M115 (1162287.3)	 	 	 
Mycobacterium abscessus M139 (1175632.3)	 	 	 
Mycobacterium abscessus M152 (1176125.3)	 	 	 
Mycobacterium abscessus M154 (1162288.3)	 	 	 
Mycobacterium abscessus M156 (1185414.3)	 	 	 
Mycobacterium abscessus M159 (1162285.3)	 	 	 
Mycobacterium abscessus M172 (1162286.3)	 	 	 
Mycobacterium abscessus M24 (1162284.3)	 	 	 
Mycobacterium abscessus M93 (1149134.5)	 	 	 
Mycobacterium abscessus M94 (1158135.4)	 	 	 
Mycobacterium abscessus subsp. bolletii 50594 (1303024.3)	 	 	 
Mycobacterium abscessus subsp. bolletii BD (1091046.3)	 	 	 
Mycobacterium fortuitum subsp. fortuitum DSM 46621 (1214102.3)	 	 	 
Rhodococcus erythropolis XP (1078016.3)	 	 	 
Brevibacterium casei S18 (1229781.4)	 	 	 
Brevibacterium massiliense 5401308 (1176165.3)	 	 	 
Brachybacterium paraconglomeratum LC44 (1064537.3)	 	 	 
Curtobacterium flaccumfaciens UCD-AKU (1292022.3)	 	 	 
Microbacterium paraoxydans 77MFTsu3.2 (1151126.3)	 	 	 
Kocuria palustris PEL (1236550.3)	 	 	 
Rothia aeria F0474 (1125724.3)	 	 	 
Rothia mucilaginosa M508 (563033.4)	 	 	 
Propionibacterium acidipropionici ATCC 4875 (1171373.8)	 	 	 
Propionibacterium acnes C1 (1234380.3)	 	551_18, 552_17, 553_13, 554_13	 
Propionibacterium acnes FZ1/2/0 (1276649.3)	 	545_18, 546_17, 547_13	 
Propionibacterium acnes HL096PA1 (1134454.3)	 	582_18, 583_17, 584_13	 
Propionibacterium acnes PRP-38 (1136877.3)	 	1249_18, 1250_17, 1251_13	 
Propionibacterium avidum 44067 (1170318.3)	 	 	 
Propionibacterium avidum ATCC 25577 (997355.3)	 	 	 
Propionibacterium propionicum F0230a (767029.3)	 	 	 
Bifidobacterium angulatum DSM 20098 = JCM 7096 (518635.7)	 	 	 
Bifidobacterium animalis subsp. animalis ATCC 25527 (703613.4)	 	 	 
Bifidobacterium animalis subsp. lactis B420 (1168290.3)	 	 	 
Bifidobacterium animalis subsp. lactis BS 01 (911598.3)	 	 	 
Bifidobacterium animalis subsp. lactis Bi-07 (742729.3)	 	 	 
Bifidobacterium bifidum BGN4 (484020.3)	 	 	 
Bifidobacterium bifidum LMG 13195 (1207542.3)	 	 	 
Bifidobacterium breve CECT 7263 (1036735.3)	 	 	 
Bifidobacterium breve DPC 6330 (1074482.3)	 	 	 
Bifidobacterium breve DSM 20213 = JCM 1192 (518634.7)	 	 	 
Bifidobacterium breve HPH0326 (1203540.3)	 	 	 
Bifidobacterium catenulatum DSM 16992 = JCM 1194 (566552.6)	 	 	 
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 (391904.8)	 	 	 
Bifidobacterium longum subsp. longum 1-6B (1161744.3)	 	 	 
Bifidobacterium longum subsp. longum 2-2B (1161745.3)	 	 	 
Bifidobacterium longum subsp. longum 35B (1161904.3)	 	 	 
Bifidobacterium longum subsp. longum 44B (1161743.3)	 	 	 
Bifidobacterium longum subsp. longum CMCC P0001 (1266716.3)	 	 	 
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 (547043.8)	 	 	 
Bifidobacterium thermophilum RBL67 (1254439.12)	 	 	 
Atopobium minutum 10063974 (997872.3)	 	 	 
Collinsella tanakaei YIT 12063 (742742.3)	 	 	 
Slackia piriformis YIT 12062 (742818.3)	 	1647_18, 1649_18, 1650_16, 1651_14, 174_14, 175_16, 176_17, 178_18, 377_18, 378_13, 379_16, 46_14, 47_17, 854_20, 855_16, 856_13, 857_18	 
Bacteroides fragilis ATCC 25285 (272559.3)	 	 	 
Bacteroides caccae ATCC 43185 (411901.7)	 	 	 
Bacteroides caccae CL03T12C61 (997873.3)	 	 	 
Bacteroides capillosus ATCC 29799 (411467.6)	 	 	 
Bacteroides cellulosilyticus CL02T12C19 (997874.3)	 	 	 
Bacteroides cellulosilyticus DSM 14838 (537012.5)	 	 	 
Bacteroides clarus YIT 12056 (762984.3)	 	 	 
Bacteroides coprocola DSM 17136 (470145.6)	 	 	 
Bacteroides coprophilus DSM 18228 (547042.5)	 	 	 
Bacteroides dorei CL02T00C15 (997875.3)	 	 	 
Bacteroides dorei CL02T12C06 (997876.3)	 	 	 
Bacteroides dorei CL03T12C01 (997877.3)	 	 	 
Bacteroides dorei DSM 17855 (483217.6)	 	 	 
Bacteroides eggerthii 1_2_48FAA (665953.3)	 	 	 
Bacteroides eggerthii DSM 20697 (483216.6)	 	 	 
Bacteroides faecis MAJ27 (1077285.3)	 	 	 
Bacteroides finegoldii DSM 17565 (483215.6)	 	 	 
Bacteroides fluxus YIT 12057 (763034.3)	 	 	 
Bacteroides fragilis 3_1_12 (457424.5)	 	 	 
Bacteroides fragilis 638R (862962.3)	 	 	 
Bacteroides fragilis CL03T00C08 (997878.3)	 	 	 
Bacteroides fragilis CL03T12C07 (997879.3)	 	 	 
Bacteroides fragilis CL05T00C42 (997880.3)	 	 	 
Bacteroides fragilis CL05T12C13 (997881.3)	 	 	 
Bacteroides fragilis CL07T00C01 (997882.3)	 	 	 
Bacteroides fragilis CL07T12C05 (997883.3)	 	 	 
Bacteroides fragilis HMW 610 (1073386.3)	 	 	 
Bacteroides fragilis HMW 615 (1073387.4)	 	 	 
Bacteroides fragilis HMW 616 (1073388.3)	 	 	 
Bacteroides fragilis NCTC 9343 (272559.17)	 	 	 
Bacteroides fragilis YCH46 (295405.11)	 	 	 
Bacteroides intestinalis DSM 17393 (471870.8)	 	 	 
Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 (1121098.4)	 	 	 
Bacteroides massiliensis dnLKV3 (1235788.3)	 	 	 
Bacteroides nordii CL02T12C05 (997884.3)	 	 	 
Bacteroides oleiciplenus YIT 12058 (742727.4)	 	 	 
Bacteroides ovatus 3_8_47FAA (665954.3)	 	 	 
Bacteroides ovatus ATCC 8483 (411476.11)	 	 	 
Bacteroides ovatus CL02T12C04 (997885.3)	 	 	 
Bacteroides ovatus CL03T12C18 (997886.3)	 	 	 
Bacteroides ovatus SD CC 2a (702444.3)	 	 	 
Bacteroides pectinophilus ATCC 43243 (483218.5)	 	 	 
Bacteroides plebeius DSM 17135 (484018.6)	 	 	 
Bacteroides salyersiae CL02T12C01 (997887.3)	 	 	 
Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 (1121101.3)	 	 	 
Bacteroides sp. 1_1_14 (469585.3)	 	 	 
Bacteroides sp. 1_1_30 (457387.3)	 	 	 
Bacteroides sp. 1_1_6 (469586.3)	 	 	 
Bacteroides sp. 20_3 (469591.4)	 	 	 
Bacteroides sp. 2_1_22 (469588.3)	 	 	 
Bacteroides sp. 2_1_33B (469589.3)	 	 	 
Bacteroides sp. 2_1_7 (457388.5)	 	 	 
Bacteroides sp. 2_2_4 (469590.5)	 	 	 
Bacteroides sp. 3_1_19 (469592.4)	 	 	 
Bacteroides sp. 3_1_23 (457390.3)	 	 	 
Bacteroides sp. 3_1_33FAA (457391.3)	 	 	 
Bacteroides sp. 3_1_40A (469593.3)	 	 	 
Bacteroides sp. 3_2_5 (457392.3)	 	 	 
Bacteroides sp. 4_1_36 (457393.3)	 	 	 
Bacteroides sp. 4_3_47FAA (457394.3)	 	 	 
Bacteroides sp. 9_1_42FAA (457395.6)	 	 	 
Bacteroides sp. D1 (556258.5)	 	 	 
Bacteroides sp. D2 (556259.3)	 	 	 
Bacteroides sp. D20 (585543.3)	 	 	 
Bacteroides sp. D22 (585544.3)	 	 	 
Bacteroides stercoris ATCC 43183 (449673.7)	 	 	 
Bacteroides stercoris CC31F (1073351.3)	 	 	 
Bacteroides thetaiotaomicron CL09T03C10 (997888.3)	 	 	 
Bacteroides thetaiotaomicron VPI-5482 (226186.12)	 	 	 
Bacteroides thetaiotaomicron dnLKV9 (1235785.3)	 	 	 
Bacteroides uniformis ATCC 8492 (411479.10)	 	 	 
Bacteroides uniformis CL03T00C23 (997889.3)	 	 	 
Bacteroides uniformis CL03T12C37 (997890.3)	 	 	 
Bacteroides uniformis dnLKV2 (1235787.3)	 	 	 
Bacteroides vulgatus ATCC 8482 (435590.9)	 	 	 
Bacteroides vulgatus EK4.2 (702445.3)	 	 	 
Bacteroides vulgatus PC510 (702446.3)	 	 	 
Bacteroides vulgatus dnLKV7 (1235786.3)	 	 	 
Bacteroides xylanisolvens CL03T12C04 (997892.3)	 	 	 
Bacteroides xylanisolvens SD CC 1b (702447.3)	 	 	 
Bacteroides xylanisolvens XB1A (657309.4)	 	 	 
Barnesiella intestinihominis YIT 11860 (742726.3)	 	 	 
Butyricimonas synergistica DSM 23225 (1121129.3)	 	 	 
Dysgonomonas gadei ATCC BAA-286 (742766.3)	 	 	 
Odoribacter laneus YIT 12061 (742817.3)	 	 	 
Odoribacter splanchnicus DSM 20712 (709991.3)	 	 	 
Parabacteroides distasonis ATCC 8503 (435591.13)	 	 	 
Parabacteroides distasonis CL03T12C09 (999416.3)	 	 	 
Parabacteroides distasonis CL09T03C24 (999417.3)	 	 	 
Parabacteroides goldsteinii CL02T12C30 (999418.3)	 	 	 
Parabacteroides goldsteinii dnLKV18 (1235789.3)	 	 	 
Parabacteroides johnsonii CL02T12C29 (999419.3)	 	 	 
Parabacteroides johnsonii DSM 18315 (537006.5)	 	 	 
Parabacteroides merdae ATCC 43184 (411477.4)	 	 	 
Parabacteroides merdae CL03T12C32 (999420.3)	 	 	 
Parabacteroides sp. D13 (563193.3)	 	 	 
Porphyromonas asaccharolytica DSM 20707 (879243.3)	 	 	 
Porphyromonas asaccharolytica PR426713P-I (910312.3)	 	 	 
Porphyromonas endodontalis ATCC 35406 (553175.3)	 	 	 
Porphyromonas gingivalis ATCC 33277 (431947.7)	 	 	 
Porphyromonas gingivalis TDC60 (1030843.3)	 	 	 
Porphyromonas gingivalis W83 (242619.8)	 	 	 
Porphyromonas somerae DSM 23386 (1122975.3)	 	 	 
Porphyromonas uenonis 60-3 (596327.3)	 	 	 
Tannerella forsythia ATCC 43037 (203275.8)	 	 	 
Paraprevotella clara YIT 11840 (762968.3)	 	 	 
Paraprevotella xylaniphila YIT 11841 (762982.3)	 	 	 
Prevotella bivia DSM 20514 (868129.3)	 	 	 
Prevotella bryantii B14 (752555.5)	 	 	 
Prevotella buccae ATCC 33574 (873513.3)	 	 	 
Prevotella buccae D17 (575611.3)	 	 	 
Prevotella conceptionensis 9403948 (1197728.3)	 	 	 
Prevotella denticola CRIS 18C-A (944557.3)	 	 	 
Prevotella denticola F0289 (767031.3)	 	 	 
Prevotella disiens FB035-09AN (866771.4)	 	 	 
Prevotella intermedia 17 (246198.10)	 	 	 
Prevotella melaninogenica ATCC 25845 (553174.6)	 	 	 
Prevotella melaninogenica D18 (575612.3)	 	 	 
Prevotella nanceiensis DSM 19126 (1122988.3)	 	 	 
Prevotella nigrescens ATCC 33563 (997352.4)	 	 	 
Prevotella nigrescens F0103 (702439.3)	 	 	 
Prevotella oralis ATCC 33269 (873533.3)	 	 	 
Prevotella oralis HGA0225 (1203550.3)	 	 	 
Prevotella pallens ATCC 700821 (997353.4)	 	 	 
Prevotella ruminicola 23 (264731.4)	 	 	 
Prevotella salivae DSM 15606 (888832.3)	 	 	 
Prevotella stercorea DSM 18206 (1002367.3)	 	 	 
Prevotella timonensis CRIS 5C-B1 (679189.3)	 	 	 
Prevotella veroralis DSM 19559 (1122993.3)	 	 	 
Prevotella veroralis F0319 (649761.3)	 	 	 
Alistipes finegoldii DSM 17242 (679935.3)	 	 	 
Alistipes indistinctus YIT 12060 (742725.3)	 	 	 
Alistipes onderdonkii DSM 19147 (1120974.3)	 	 	 
Alistipes putredinis DSM 17216 (445970.5)	 	 	 
Alistipes shahii WAL 8301 (717959.3)	 	 	 
