Organism	SerA	SerC	SerB	SerP	SerHS
Rhodococcus erythropolis SK121 (596309.3)	4051, 4636, 4878, 791	130_2	2321_4, 2332_4, 4834_4, 6177_4	 	6399_13
Brevibacterium linens BL2 (321955.4)	1216, 211	598_2	65_4	 	 
Kytococcus sedentarius DSM 20547 (478801.5)	 	 	 	1881_11	 
Kocuria rhizophila DC2201 (378753.5)	 	1833_2	1232_4, 1864_4	2301_11	393_13
Kocuria rhizophila P7-4 (1029824.3)	1615, 2, 2203	1381_2	289_4	1477_12	1133_13
Micrococcus luteus NCTC 2665 (465515.4)	 	389_2	1102_4	 	 
Micrococcus luteus SK58 (596312.3)	1100, 252	877_2	762_4	 	1135_13
Rothia dentocariosa ATCC 17931 (762948.4)	 	 	 	 	1300_13, 1301_13, 1523_13
Rothia dentocariosa M567 (563032.4)	2110	 	 	 	1596_13, 1597_13, 1833_13
Rothia mucilaginosa ATCC 25296 (553201.3)	 	 	 	 	1422_13, 1423_13, 420_13
Rothia mucilaginosa DY-18 (680646.3)	 	 	 	 	1272_13, 1443_13, 1444_13
Tropheryma whipplei TW08/27 (218496.4)	 	 	 	 	 
Tropheryma whipplei str. Twist (203267.6)	 	 	 	 	 
Micromonospora aurantiaca ATCC 27029 (644283.3)	159, 188	5871_2	2198_4, 2781_4, 5142_10	 	 
Propionibacterium acnes 266 (909952.3)	1321, 2323	507_2	2117_4	242_12	1693_13, 2342_13, 2362_13, 2363_13
Propionibacterium acnes 6609 (1031709.3)	1342, 2368, 397	512_2	2152_4	235_12	1737_13, 2386_13, 2403_13, 2404_13
Propionibacterium acnes ATCC 11828 (1091045.3)	1355, 1695, 837, 914	1477_2	629_4	1184_12	214_13, 854_13, 871_13, 872_13
Propionibacterium acnes HL001PA1 (765105.8)	1697, 2139, 2409, 922	2259_2	69_4	1973_12	1652_13, 1653_13, 530_13, 754_13
Propionibacterium acnes HL002PA1 (765115.3)	1780, 938	845_2	147_4	583_12	1030_13, 2082_13, 278_13, 279_13, 280_13
Propionibacterium acnes HL002PA2 (765116.3)	1170, 1674	1078_2	378_4	812_12, 813_12	1485_13, 307_13, 506_13, 507_13
Propionibacterium acnes HL002PA3 (765117.3)	1577	1357_2	220_4	1093_12, 1094_12	314_13, 765_13, 783_13, 784_13
Propionibacterium acnes HL005PA1 (765096.3)	1737, 51	172_2	1127_4	435_12, 436_12	1521_13, 778_13, 779_13, 890_13
Propionibacterium acnes HL005PA2 (765097.3)	303	935_2	149_4	1201_12, 1202_12	1518_13, 1519_13, 1922_13, 1942_13
Propionibacterium acnes HL005PA4 (765099.3)	1055, 86	950_2	312_4	687_12	183_13, 1909_13, 389_13, 390_13
Propionibacterium acnes HL007PA1 (765118.3)	2127, 52	682_2	822_4	416_12, 417_12	1011_13, 1391_13, 80_13, 81_13
Propionibacterium acnes HL013PA1 (765069.3)	709, 940	115_2	1745_4	377_12	1834_13, 1844_13, 681_13, 682_13
Propionibacterium acnes HL013PA2 (765070.3)	1856, 87	1119_2	273_4	1381_12, 1382_12	1695_13, 1696_13, 532_13, 821_13
Propionibacterium acnes HL020PA1 (765065.3)	1452, 675	76_2	826_4	337_12, 338_12	2187_13, 646_13, 647_13, 949_13
Propionibacterium acnes HL025PA1 (765089.3)	1416, 687	82_2	851_4	347_12, 348_12	1267_13, 658_13, 659_13, 999_13
Propionibacterium acnes HL027PA1 (765111.3)	1372	1969_2	384_4	1705_12	1411_13, 1412_13, 220_13, 2457_13
Propionibacterium acnes HL027PA2 (765112.3)	294	2326_2	1219_4	2065_12, 2066_12	1291_13, 1519_13, 1755_13, 1756_13
Propionibacterium acnes HL030PA1 (765103.3)	1487, 2043, 620	1371_2	142_4	1648_12	1251_13, 592_13, 593_13, 994_13
Propionibacterium acnes HL036PA1 (765106.3)	2064	302_2	1225_4	564_12, 565_12	1327_13, 4_13, 874_13, 875_13
Propionibacterium acnes HL036PA2 (765107.3)	1584	576_2	768_4	315_12, 316_12	10_13, 11_13, 1181_13, 1425_13
Propionibacterium acnes HL037PA1 (765122.3)	2249, 999	307_2	1205_4	570_12	1290_13, 2395_13, 876_13, 877_13
Propionibacterium acnes HL037PA2 (765123.3)	1271, 167, 2151	2031_2	1496_4	164_12	2653_13, 2654_13, 2655_13, 2679_13, 983_13
Propionibacterium acnes HL038PA1 (765085.3)	1928, 899	267_2	2203_4	530_12, 531_12	1189_13, 2271_13, 871_13, 872_13
Propionibacterium acnes HL043PA1 (765072.3)	1123, 269	1241_2	65_4	1502_12, 1503_12	1161_13, 1714_13, 297_13, 298_13
Propionibacterium acnes HL043PA2 (765073.3)	1294, 742	442_2	853_4	178_12	1269_13, 1270_13, 2280_13, 2395_13
Propionibacterium acnes HL044PA1 (765109.3)	1243, 2455, 885	1365_2	1114_4	2458_12	1175_13, 192_13, 850_13, 851_13, 852_13
Propionibacterium acnes HL045PA1 (765068.3)	2139, 311	943_2	158_4	680_12	1155_13, 1399_13, 339_13, 340_13
Propionibacterium acnes HL046PA1 (765094.3)	1228, 17	1003_2	310_4	740_12	186_13, 2411_13, 437_13, 438_13
Propionibacterium acnes HL046PA2 (765095.3)	1390, 643	2366_2	1499_4	2101_12, 2102_12	1794_13, 1795_13, 231_13, 558_13
Propionibacterium acnes HL050PA1 (765100.3)	1398	2341_2	527_4	2082_12	1778_13, 1779_13, 240_13, 646_13
Propionibacterium acnes HL050PA2 (765101.3)	146, 1585, 74, 931	764_2	2378_4	417_12	101_13, 102_13, 583_13, 937_13
Propionibacterium acnes HL050PA3 (765102.3)	2030	580_2	903_4	316_12	1025_13, 18_13, 19_13, 8_13
Propionibacterium acnes HL053PA1 (765066.3)	2194, 46	660_2	426_4	922_12, 923_12	1063_13, 1636_13, 74_13, 75_13
Propionibacterium acnes HL053PA2 (765067.3)	1506	1189_2	487_4	920_12	308_13, 577_13, 587_13, 589_13
Propionibacterium acnes HL056PA1 (765119.3)	1445, 803	387_2	2401_4	652_12, 653_12	1525_13, 1526_13, 1711_13, 728_13
Propionibacterium acnes HL059PA1 (765091.3)	821, 84	1958_2	183_4	1694_12	1392_13, 1393_13, 285_13, 289_13
Propionibacterium acnes HL059PA2 (765092.3)	1939	398_2	78_4	660_12	3_13, 960_13, 961_13, 974_13
Propionibacterium acnes HL063PA1 (765113.3)	2096	958_2	94_4	693_12, 694_12	1354_13, 274_13, 385_13, 386_13
Propionibacterium acnes HL063PA2 (765114.3)	2291	1234_2	86_4	967_12, 968_12	415_13, 515_13, 633_13, 634_13
Propionibacterium acnes HL067PA1 (765110.3)	989	1223_2	139_4	1486_12	1091_13, 1786_13, 1787_13, 1801_13
Propionibacterium acnes HL072PA1 (765074.3)	1667	2403_2	347_4	2138_12, 2139_12	1106_13, 1828_13, 1829_13, 674_13
Propionibacterium acnes HL072PA2 (765075.3)	1532, 1810	115_2	949_4	383_12	1553_13, 696_13, 697_13, 740_13
Propionibacterium acnes HL074PA1 (765076.3)	1578, 1971	946_2	1766_4	681_12, 682_12	2448_13, 2449_13, 6_13, 610_13
Propionibacterium acnes HL078PA1 (765071.3)	1031, 1537	334_2	103_4	600_12	1055_13, 1306_13, 2339_13, 934_13, 936_13
Propionibacterium acnes HL082PA1 (765120.3)	1714, 906	272_2	66_4	541_12, 542_12	1220_13, 191_13, 877_13, 878_13
Propionibacterium acnes HL082PA2 (765121.3)	1436, 1560, 1999, 408	2115_2	77_4	1833_12	1135_13, 1136_13, 1516_13, 1517_13, 2193_13
Propionibacterium acnes HL083PA1 (765087.3)	128, 2305	1169_2	1484_4	902_12, 903_12	156_13, 157_13, 1741_13, 423_13
Propionibacterium acnes HL083PA2 (765088.3)	1931	1113_2	66_4	852_12	2089_13, 415_13, 554_13, 555_13
Propionibacterium acnes HL086PA1 (765093.3)	1237, 2005	282_2	1034_4	21_12	1256_13, 586_13, 615_13, 616_13
Propionibacterium acnes HL087PA2 (765082.3)	1519, 197, 198	2254_2	463_4	1990_12, 1991_12	1679_13, 1680_13, 292_13, 922_13
Propionibacterium acnes HL087PA3 (765083.3)	1714	882_2	90_4	619_12	1388_13, 320_13, 321_13, 962_13
Propionibacterium acnes HL092PA1 (765086.3)	1728	74_2	911_4	341_12	1956_13, 2188_13, 677_13, 678_13
Propionibacterium acnes HL096PA2 (765058.3)	2256, 266	899_2	65_4	635_12, 636_12	1481_13, 1523_13, 294_13, 295_13
Propionibacterium acnes HL096PA3 (765057.3)	831	664_2	2091_4	398_12, 399_12	1590_13, 2253_13, 87_13, 88_13
Propionibacterium acnes HL097PA1 (765064.3)	2335	872_2	68_4	611_12	1589_13, 295_13, 296_13, 949_13
Propionibacterium acnes HL099PA1 (765063.3)	1201, 84	559_2	200_4	1009_12	2166_13, 2180_13, 2181_13, 721_13
Propionibacterium acnes HL103PA1 (765061.3)	1348, 277, 347, 785	904_2	70_4	619_12	1195_13, 2414_13, 304_13, 305_13
Propionibacterium acnes HL110PA1 (765077.3)	17, 1716	946_2	485_4	1214_12	136_13, 1553_13, 1554_13, 1572_13
Propionibacterium acnes HL110PA2 (765078.3)	1846, 345	1003_2	515_4	734_12	1991_13, 2223_13, 316_13, 317_13
Propionibacterium acnes HL110PA3 (765079.3)	1613, 2343, 268, 709	830_2	1441_4	538_12	1127_13, 1138_13, 225_13, 226_13
Propionibacterium acnes HL110PA4 (765080.3)	1113, 1616, 425, 444	74_2	194_4	1384_12	1071_13, 1072_13, 1653_13, 1657_13
Propionibacterium acnes J139 (679194.3)	1411, 440, 47, 728	540_2	1690_4	283_12	10_13, 11_13, 1624_13, 2140_13
Propionibacterium acnes J165 (679195.3)	1578, 1973	1785_2	1314_4	2226_12	1671_13, 64_13, 734_13, 735_13
Propionibacterium acnes KPA171202 (267747.3)	1309, 2317, 389	500_2	2099_4	228_12	1690_13, 2335_13, 2351_13, 2352_13
Propionibacterium acnes SK137 (553199.9)	1320, 2276	525_2	2072_4	262_12, 263_12	1656_13, 2296_13, 2313_13, 2314_13
Propionibacterium acnes SK182 (679193.4)	1832, 836	2071_2	41_4	2333_12, 2334_12	1003_13, 1487_13, 1804_13, 1805_13
Propionibacterium acnes SK182B-JCVI (1051006.4)	1405, 238, 977, 978	1497_2	2264_4	236_12	1556_13, 1557_13, 1992_13, 1993_13, 828_13
Propionibacterium acnes SK187 (686659.3)	1212, 1584	519_2	1628_4	278_12	10_13, 1960_13, 664_13, 9_13
Propionibacterium acnes TypeIA2 P.acn17 (1114967.3)	1324	511_2	2103_4	241_12, 242_12	1692_13, 2324_13, 2342_13, 2343_13
Propionibacterium acnes TypeIA2 P.acn31 (1114969.3)	1320	505_2	2100_4	240_12, 241_12	1687_13, 2321_13, 2339_13, 2340_13
Propionibacterium acnes TypeIA2 P.acn33 (1114966.3)	1302	489_2	2089_4	227_12	1675_13, 2311_13, 2328_13, 2329_13
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 (754252.3)	 	1755_2	1024_4	 	1962_13, 39_13
Bifidobacterium adolescentis ATCC 15703 (367928.6)	1051, 1192	410_2	591_4	 	 
Bifidobacterium adolescentis L2-32 (411481.5)	1624, 1818, 620	698_2	887_4	 	 
Bifidobacterium animalis subsp. lactis BB-12 (552531.3)	85	946_2	1125_4	 	 
Bifidobacterium animalis subsp. lactis BLC1 (1075106.4)	 	457_2	640_4	 	 
Bifidobacterium animalis subsp. lactis Bl-04 (580050.3)	 	458_2	644_4	 	 
Bifidobacterium animalis subsp. lactis CNCM I-2494 (1042403.4)	 	454_2	637_4	 	 
Bifidobacterium animalis subsp. lactis DSM 10140 (555970.3)	 	458_2	643_4	 	 
Bifidobacterium animalis subsp. lactis HN019 (486409.3)	 	679_2	1277_4	 	 
Bifidobacterium animalis subsp. lactis V9 (573236.3)	 	457_2	640_4	 	 
Bifidobacterium bifidum NCIMB 41171 (398513.5)	1206, 1713	1589_2	55_4	 	 
Bifidobacterium bifidum PRL2010 (702459.3)	1394, 569	1535_2	658_4	 	 
Bifidobacterium bifidum S17 (883062.5)	1351, 584	1483_2	675_4	 	 
Bifidobacterium breve ACS-071-V-Sch8b (866777.3)	524, 585	1589_2	464_4	 	 
Bifidobacterium breve UCC2003 (326426.4)	 	1685_2	1491_4	 	 
Bifidobacterium dentium ATCC 27678 (473819.7)	 	214_2	2142_4	 	 
Bifidobacterium dentium ATCC 27679 (871562.3)	1216, 1372, 290	187_2	2051_4	 	 
Bifidobacterium dentium Bd1 (401473.3)	 	502_2	720_4	 	 
Bifidobacterium dentium JCVIHMP022 (553191.3)	1721, 2237, 273	1980_2	1166_4	 	 
Bifidobacterium gallicum DSM 20093 (561180.4)	1090, 311	998_2	758_4	 	 
Bifidobacterium longum NCC2705 (206672.9)	163	1714_2	1845_4	 	 
Bifidobacterium longum subsp. infantis 157F (565040.3)	1366	1711_2	1555_4	 	 
Bifidobacterium longum subsp. infantis ATCC 55813 (548480.3)	1336	666_2	810_4	 	 
Bifidobacterium longum subsp. infantis CCUG 52486 (537937.5)	1357	1195_2	1927_4	 	 
Bifidobacterium longum subsp. longum BBMN68 (890402.3)	209	1750_2	20_4	 	 
Bifidobacterium longum subsp. longum F8 (722911.3)	1900	1581_2	1055_4	 	 
Bifidobacterium longum subsp. longum JCM 1217 (565042.3)	1330	1660_2	1527_4	 	 
Bifidobacterium longum subsp. longum JDM301 (759350.3)	1289	1647_2	1486_4	 	 
Bifidobacterium longum subsp. longum KACC 91563 (1035817.4)	504, 648	259_2	441_4	 	 
Scardovia inopinata F0304 (641146.3)	 	 	 	 	 
Atopobium parvulum DSM 20469 (521095.6)	 	 	117_4	 	 
Atopobium rimae ATCC 49626 (553184.4)	 	 	831_4	 	 
Collinsella aerofaciens ATCC 25986 (411903.6)	1345, 836	1346_2	737_4	 	 
Collinsella intestinalis DSM 13280 (521003.7)	 	148_2	 	 	 
Collinsella stercoris DSM 13279 (445975.6)	517	518_2	 	 	 
Cryptobacterium curtum DSM 15641 (469378.5)	 	566_5	821_4	 	 
Eggerthella lenta DSM 2243 (479437.5)	 	1369_2	1311_4, 1499_4	 	 
Eggerthella sp. 1_3_56FAA (665943.3)	2216, 2289, 52, 819	306_2	379_4	 	 
Eggerthella sp. YY7918 (502558.4)	1707, 180, 2007	1655_2	1132_4	 	 
Gordonibacter pamelaeae 7-10-1-b (657308.3)	1251, 1833, 2653	1982_2	1839_4	 	 
Olsenella uli DSM 7084 (633147.4)	11, 725	726_2	1735_4	 	 
Slackia exigua ATCC 700122 (649764.3)	 	 	517_4	 	 
Actinomyces cardiffensis F0333 (888050.3)	137	558_2	1448_4, 767_4	 	816_13
Actinomyces graevenitzii C83 (435830.3)	 	 	 	 	 
Actinomyces naeslundii str. Howell 279 (1115803.3)	1759	1758_2	2590_4, 463_4	 	582_13
Actinomyces turicensis ACS-279-V-Col4 (883077.3)	1511	644_2	232_4, 922_4	 	327_13
Corynebacterium aurimucosum ATCC 700975 (Prj:31451) (548476.7)	201, 2253, 2254	561_2	1605_4, 1677_4, 2479_4	1163_12, 1251_12, 1299_11	 
Corynebacterium durum F0235 (1035195.3)	366	11_2	434_4, 528_4, 678_4	 	 
Corynebacterium propinquum DSM 44285 (1121367.3)	1481, 584	1708_2	1398_4, 1630_4, 1911_4	1967_12, 2073_12	 
Gordonia rubripertincta NBRC 101908 (1077975.4)	2142, 3237, 4768	1617_2	2617_4, 266_4, 53_4	 	2160_13
Gordonia terrae C-6 (1316928.3)	1948, 1956, 283, 4119, 861	4477_2	1596_4, 4269_4, 911_4	 	821_13
Gordonia terrae NBRC 100016 (1089454.3)	1318, 1326, 1834, 2743, 4475	1602_2	1397_4, 1895_4, 786_4	 	4435_13
Mycobacterium avium subsp. paratuberculosis JQ6 (1112208.3)	1518, 1519, 1520, 2519, 2520, 3165, 4635, 4636	902_2	1305_4, 1345_9, 1759_4, 3087_4, 3088_4, 4055_4	 	 
Mycobacterium avium subsp. paratuberculosis MAP4 (1199187.3)	3620, 3860, 4452, 793	3130_2	1564_4, 3554_4, 3594_9, 4241_4, 731_4	 	 
Mycobacterium avium subsp. paratuberculosis S5 (1247747.5)	193, 3428, 437, 4683	999_2	1177_4, 3490_4, 4468_4, 463_9, 503_4	 	 
Mycobacterium abscessus 3A-0119-R (1001721.3)	3428, 4598, 4677	887_2	2450_4, 3518_4, 368_4, 4253_4	 	4118_13
Mycobacterium abscessus 3A-0122-R (1001715.3)	3390, 4633, 4711	1017_2	2486_4, 3479_4, 4289_4, 454_4	 	4154_13
Mycobacterium abscessus 3A-0122-S (1001716.3)	3004, 4410, 4487	474_2	191_4, 2046_4, 3094_4, 4068_4	 	3934_13
Mycobacterium abscessus 3A-0731 (1001718.3)	3541, 4677, 4755	752_2	2398_4, 3630_4, 367_4, 4333_4	 	4198_13
Mycobacterium abscessus 3A-0810-R (1001717.3)	3466, 4601, 4679	930_2	2494_4, 3556_4, 370_4, 4258_4	 	4123_13
Mycobacterium abscessus 3A-0930-R (1001720.3)	3434, 4548, 4626	940_2	2500_4, 3524_4, 370_4, 4203_4	 	4068_13
Mycobacterium abscessus 3A-0930-S (1001719.3)	3367, 4474, 4552	511_2	2066_4, 3456_4, 372_4, 4131_4	 	3996_13
Mycobacterium abscessus 47J26 (1087483.3)	4105, 4144, 586	3775_2	1487_4, 2970_4, 4765_4, 492_4	 	26_13
Mycobacterium abscessus 4S-0116-R (1001725.3)	3022, 4168, 4247	1006_2	2167_4, 3105_4, 3776_4, 570_4	 	3643_13
Mycobacterium abscessus 4S-0116-S (1001724.3)	2114, 3258, 3337	4682_2	1262_4, 2197_4, 2868_4, 4247_4	 	2735_13
Mycobacterium abscessus 4S-0206 (1001723.3)	3025, 4168, 4246	163_2	1314_4, 1979_4, 3107_4, 3776_4	 	3644_13
Mycobacterium abscessus 4S-0303 (1001722.3)	3016, 4159, 4238	1209_2	2145_4, 3100_4, 3769_4, 573_4	 	3636_13
Mycobacterium abscessus 4S-0726-RA (1001726.3)	2950, 4093, 4172	758_2	2095_4, 3033_4, 304_4, 3703_4	 	3570_13
Mycobacterium abscessus 4S-0726-RB (1001727.3)	2563, 3705, 3784	342_2	1704_4, 2646_4, 3316_4, 4696_4	 	3183_13
Mycobacterium abscessus 5S-0304 (1001728.3)	2488, 3688, 3727	5045_2	1257_4, 2568_4, 3335_4, 4634_4	 	3126_13
Mycobacterium abscessus 5S-0421 (1001729.3)	2739, 3941, 3980	67_2	1538_4, 2819_4, 3586_4, 4870_4	 	3378_13
Mycobacterium abscessus 5S-0422 (1001731.3)	3612, 4809, 4848	632_2	2106_4, 3362_4, 3691_4, 4456_4	 	4248_13
Mycobacterium abscessus 5S-0708 (1001730.3)	2463, 3665, 3704	547_2	139_4, 1755_4, 2543_4, 3311_4	 	3102_13
Mycobacterium abscessus 5S-0817 (1001735.3)	2093, 3289, 3328	4650_2	1320_4, 2173_4, 2936_4, 4242_4	 	2729_13
Mycobacterium abscessus 5S-0921 (1001732.3)	3394, 4592, 4631	2803_2	1980_4, 313_4, 3473_4, 4236_4	 	4027_13
Mycobacterium abscessus 5S-1212 (1001733.3)	2222, 3419, 3458	228_2	20_4, 2302_4, 3065_4, 5086_4	 	2858_13
Mycobacterium abscessus 5S-1215 (1001734.3)	2571, 3687, 3726	5071_2	1035_4, 141_4, 2651_4, 3333_4	 	3203_13
Mycobacterium abscessus 6G-0125-R (1001740.3)	2378, 3439, 3517	5011_2	1515_4, 2468_4, 3087_4, 4501_4	 	2953_13
Mycobacterium abscessus 6G-0212 (1001739.3)	3368, 4427, 4505	900_2	2507_4, 3457_4, 388_4, 4076_4	 	3942_13
Mycobacterium abscessus 9808 (1246644.3)	226, 266, 4894	1714_2	1191_4, 3237_4, 4357_4, 4980_4	 	3317_13, 4157_13
Mycobacterium abscessus M115 (1162287.3)	229, 2692, 278	1390_2	2307_4, 2613_4, 4477_4, 665_4	 	811_13
Mycobacterium abscessus M139 (1175632.3)	3206, 3246, 93	2489_2	1305_4, 169_4, 4029_4, 774_4	 	1221_13, 646_13
Mycobacterium abscessus M152 (1176125.3)	1351, 4171, 4211	3184_2	1431_4, 196_4, 4365_4, 4826_4	 	1836_13, 4283_13
Mycobacterium abscessus M154 (1162288.3)	2131, 2633, 2683	3673_2	2210_4, 2971_4, 3549_4, 979_4	 	1106_13
Mycobacterium abscessus M156 (1185414.3)	11, 4522, 59	3069_2	166_4, 4600_4, 4906_4, 990_4	 	1119_13, 2142_13
Mycobacterium abscessus M159 (1162285.3)	1240, 2721, 4280	3037_2	1439_4, 2600_4, 4442_4, 629_4	 	4680_13, 496_13
Mycobacterium abscessus M172 (1162286.3)	1958, 2007, 4737	3708_2	1306_4, 214_4, 4505_4, 4659_4	 	1435_13
Mycobacterium abscessus M24 (1162284.3)	1194, 511, 950	3588_2	2001_4, 2730_4, 3222_4, 4975_4	 	3479_13
Mycobacterium abscessus M93 (1149134.5)	1618, 519, 569	2828_2	147_4, 1530_4, 3049_4, 850_4	 	981_13
Mycobacterium abscessus M94 (1158135.4)	1948, 3400, 3442	4666_2	1335_4, 2776_4, 332_4, 333_4, 849_4	 	3046_13
Mycobacterium abscessus subsp. bolletii 50594 (1303024.3)	3325, 4504, 4553	968_2	2451_4, 3407_4, 4096_4, 484_4	 	3967_13
Mycobacterium abscessus subsp. bolletii BD (1091046.3)	3174, 4358, 4479	798_2	2288_4, 3265_4, 369_4, 3917_4	 	3724_13
Mycobacterium fortuitum subsp. fortuitum DSM 46621 (1214102.3)	1693, 4711, 480, 4861	2815_2	1387_4, 1757_4, 3510_4, 472_4, 670_4	 	900_13
Rhodococcus erythropolis XP (1078016.3)	2613, 2660, 4386, 5740	844_2	204_4, 214_4, 2827_4, 4342_4	 	704_13
Brevibacterium casei S18 (1229781.4)	1306, 1850, 2359, 2361	958_2	1161_4, 725_4	 	 
Brevibacterium massiliense 5401308 (1176165.3)	745, 769	1729_2	1042_4	 	 
Brachybacterium paraconglomeratum LC44 (1064537.3)	176, 3218, 34, 883	2013_2	2487_4, 314_4	 	 
Curtobacterium flaccumfaciens UCD-AKU (1292022.3)	1856, 2361, 2796	1043_2	190_4, 3440_4	 	 
Microbacterium paraoxydans 77MFTsu3.2 (1151126.3)	2459, 2665	3142_2	1062_4	 	 
Kocuria palustris PEL (1236550.3)	1843, 1848, 514, 893	2228_2	2193_4, 2471_4	1030_12	 
Rothia aeria F0474 (1125724.3)	1585	 	 	 	1197_13, 1998_13
Rothia mucilaginosa M508 (563033.4)	 	 	 	 	1331_13, 1332_13, 1517_13
Propionibacterium acidipropionici ATCC 4875 (1171373.8)	 	934_2	705_4	 	2326_13
Propionibacterium acnes C1 (1234380.3)	1369, 2383	513_2	2174_4	245_12	1753_13, 2403_13, 2421_13, 2422_13
Propionibacterium acnes FZ1/2/0 (1276649.3)	1326, 2319	509_2	2114_4	241_12	1696_13, 2339_13, 2358_13, 2359_13
Propionibacterium acnes HL096PA1 (1134454.3)	2346, 981	545_2	2144_4	280_12	2366_13, 2384_13, 2385_13, 629_13
Propionibacterium acnes PRP-38 (1136877.3)	2024	1213_2	399_4	951_12, 952_12	2368_13, 627_13, 629_13
Propionibacterium avidum 44067 (1170318.3)	2273, 944	1708_2	152_4	 	2237_13, 2239_13, 569_13
Propionibacterium avidum ATCC 25577 (997355.3)	1647, 655, 920	1489_2	660_4	 	239_13, 960_13, 961_13
Propionibacterium propionicum F0230a (767029.3)	1353, 50	724_2	1613_4, 2454_4	 	1505_13, 876_13
Bifidobacterium angulatum DSM 20098 = JCM 7096 (518635.7)	1389, 517	1311_2	470_4	 	 
Bifidobacterium animalis subsp. animalis ATCC 25527 (703613.4)	1202	482_2	651_4	 	 
Bifidobacterium animalis subsp. lactis B420 (1168290.3)	 	455_2	639_4	 	 
Bifidobacterium animalis subsp. lactis BS 01 (911598.3)	 	505_2	689_4	 	 
Bifidobacterium animalis subsp. lactis Bi-07 (742729.3)	 	455_2	638_4	 	 
Bifidobacterium bifidum BGN4 (484020.3)	1312, 521	1449_2	610_4	 	 
Bifidobacterium bifidum LMG 13195 (1207542.3)	1912, 596	1932_2	385_4	 	 
Bifidobacterium breve CECT 7263 (1036735.3)	393, 920	1473_2	1519_4	 	 
Bifidobacterium breve DPC 6330 (1074482.3)	1863, 325	32_2	1923_4	 	 
Bifidobacterium breve DSM 20213 = JCM 1192 (518634.7)	1678, 1738	1492_2	1615_4	 	 
Bifidobacterium breve HPH0326 (1203540.3)	1392, 823	1058_2	882_4	 	 
Bifidobacterium catenulatum DSM 16992 = JCM 1194 (566552.6)	1370, 379, 520	1142_2	1621_4	 	 
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 (391904.8)	 	2227_2	2209_4	 	 
