Organism	IlvA	CimA	Leu_C	IlvM	IlvC	IlvD	LeuA	LeuCD	LeuB	IlvE	Ldh	AvtA	LivABC	BrnQM	AzlCD
Rhodococcus erythropolis SK121 (596309.3)	1221_1, 1996_1, 3499_1	 	 	4875_6, 4876_7	4877	4873, 547	3656, 5874	4886_15, 4887_16	4215, 4879	2081_18	1598, 2716	 	1_22, 1809_22, 1810_23, 1811_26, 1812_25, 1813_24, 2_26, 3_23, 4_24, 4205_22, 4206_24, 4207_25, 4208_26, 4209_23, 5_25	 	 
Brevibacterium linens BL2 (321955.4)	1155_3	 	 	1200_7, 1201_6, 1202_6	1199	1215	227	1062_15, 1063_16	1194	1193_18	 	930	1577_24, 1578_25, 1579_26, 1580_23, 1581_22, 3421_24, 3422_22, 3423_26, 3424_23, 3426_25	 	 
Kytococcus sedentarius DSM 20547 (478801.5)	 	 	 	580_7	 	 	 	 	 	936_18	 	 	 	 	 
Kocuria rhizophila DC2201 (378753.5)	1775_2	 	 	991_6, 992_7	993	247	1279	1003_15, 1004_16	995	2258_19, 996_18	 	 	 	 	 
Kocuria rhizophila P7-4 (1029824.3)	1318_1	 	 	3_6, 4_7	5	1000	323	19_15, 20_16	10	11_18	 	 	 	 	 
Micrococcus luteus NCTC 2665 (465515.4)	476_2	 	 	814_6, 815_7	816	811	1170	834_15, 835_16	820	821_18	 	2039	 	 	 
Micrococcus luteus SK58 (596312.3)	1338_1	 	 	254_7, 255_6	253	258	463	1278_16, 1279_15	249	248_18	 	 	 	 	 
Rothia dentocariosa ATCC 17931 (762948.4)	1347_2	 	 	2153_7, 2154_6	2152	1157	1914	2102_16, 2103_15	2142	2140_18	 	 	 	 	 
Rothia dentocariosa M567 (563032.4)	1652_1	 	 	1014_7, 1015_6	1013	2104	335	963_16, 964_15	1003	1001_18	 	 	 	 	 
Rothia mucilaginosa ATCC 25296 (553201.3)	1381_1	 	 	1126_6, 1127_7	1128	1651	1156	41_15, 42_16	7	8_18	 	 	 	 	 
Rothia mucilaginosa DY-18 (680646.3)	1406_1	 	 	652_6, 653_7	654	1566	887	696_15, 697_16	663	664_18	 	 	 	 	 
Tropheryma whipplei TW08/27 (218496.4)	851_2	 	 	638_7, 639_6	 	640	 	 	 	636_18	 	 	259_22, 260_23, 261_26, 262_25, 263_24	 	 
Tropheryma whipplei str. Twist (203267.6)	861_2	 	 	332_6, 333_7	 	331	 	 	 	335_18	 	 	708_24, 709_25, 710_26, 711_23, 712_22	 	 
Micromonospora aurantiaca ATCC 27029 (644283.3)	1650_2	197	 	185_6, 186_7	187	182	2611	212_15, 213_16	1420, 191	192_18	2703	804	1889_24, 1890_25, 1891_26, 1892_23, 1893_22	 	 
Propionibacterium acnes 266 (909952.3)	 	 	 	1435_7, 1436_6	1434	 	979	1423_16, 1424_15, 1425_15	1432	1430_18	 	 	 	2088_27	 
Propionibacterium acnes 6609 (1031709.3)	 	 	 	1459_7, 1460_6	1458	 	997	1447_16, 1448_15, 1449_15	1456	1454_18	 	 	 	 	 
Propionibacterium acnes ATCC 11828 (1091045.3)	 	 	 	1576_6	1577	 	2041	1587_15, 1588_15, 1589_16	1580	1581_18	 	 	 	599_27	 
Propionibacterium acnes HL001PA1 (765105.8)	 	 	 	802_6	803	 	1270	812_15, 814_15, 815_16	805	806_18	 	 	 	39_27	 
Propionibacterium acnes HL002PA1 (765115.3)	 	 	 	2380_7, 2381_6	2379	 	1431	2369_15_16, 2369_15_16, 2370_15	2377	2375_18	 	 	 	120_27	 
Propionibacterium acnes HL002PA2 (765116.3)	 	 	 	1558_6, 1559_7	1560	 	2020	1569_15, 1570_15, 1571_16	1562	1564_18	 	 	 	349_27	 
Propionibacterium acnes HL002PA3 (765117.3)	 	 	 	1461_6, 1462_7	1463	 	1922	1472_15, 1473_15, 1474_16	1465	1467_18	 	 	 	249_27	 
Propionibacterium acnes HL005PA1 (765096.3)	 	 	 	1651_6, 1652_7	1653	 	2079	1662_15, 1663_15, 1664_16	1655	1657_18	 	 	 	1098_27	 
Propionibacterium acnes HL005PA2 (765097.3)	 	 	 	2123_7, 2124_6	2122	 	643	2111_16, 2112_15, 2113_15	2120	2118_18	 	 	 	120_27	 
Propionibacterium acnes HL005PA4 (765099.3)	 	 	 	1817_6, 1818_7	1819	 	1402	1829_15, 1830_15, 1831_16	1821	1823_18	 	 	 	340_27	 
Propionibacterium acnes HL007PA1 (765118.3)	 	 	 	2395_7, 2396_6	2394	 	1784	2383_16, 2384_15, 2385_15	2392	2390_18	 	 	 	794_27	 
Propionibacterium acnes HL013PA1 (765069.3)	 	 	 	823_6, 824_7	825	 	1287	834_15, 835_15, 836_16	827	829_18	 	 	 	1717_27	 
Propionibacterium acnes HL013PA2 (765070.3)	 	 	 	1740_6, 1741_7	1742	 	2196	1751_15, 1752_15, 1753_16	1744	1746_18	 	 	 	302_27	 
Propionibacterium acnes HL020PA1 (765065.3)	 	 	 	1332_6, 1333_7	1334	 	1794	1343_15, 1344_15, 1345_16	1336	1338_18	 	 	 	797_27	 
Propionibacterium acnes HL025PA1 (765089.3)	 	 	 	1301_6, 1302_7	1303	 	1759	1312_15, 1313_15, 1315_16	1305	1307_18	 	 	 	879_27	 
Propionibacterium acnes HL027PA1 (765111.3)	 	 	 	578_7, 579_6	577	 	1022	565_16, 566_15, 567_15	575	573_18	 	 	 	356_27	 
Propionibacterium acnes HL027PA2 (765112.3)	 	 	 	175_6, 176_7	177	 	634	186_15, 187_15, 188_16	179	181_18	 	 	 	1250_27	 
Propionibacterium acnes HL030PA1 (765103.3)	 	 	 	1928_6, 1929_7	1930	 	2387	1939_15, 1940_15, 1941_16	1932	1934_18	 	 	 	 	 
Propionibacterium acnes HL036PA1 (765106.3)	 	 	 	2184_7, 2185_6	2183	 	1722	2172_16, 2173_15, 2174_15	2181	2179_18	 	 	 	1196_27	 
Propionibacterium acnes HL036PA2 (765107.3)	 	 	 	1464_6, 1465_7	1466	 	1928	1475_15, 1476_15, 1477_16	1468	1470_18	 	 	 	797_27	 
Propionibacterium acnes HL037PA1 (765122.3)	 	 	 	2364_7, 2365_6	2363	 	1908	2353_16, 2354_15	2361	2359_18	 	 	 	1234_27	 
Propionibacterium acnes HL037PA2 (765123.3)	2196_3	 	 	64_6, 65_7	66	2195	563	74_15, 75_16	68	69_18	 	 	 	1531_27	 
Propionibacterium acnes HL038PA1 (765085.3)	 	 	 	2016_7, 2017_6	2015	 	1586	2004_16, 2005_15, 2006_15	2013	2011_18	 	 	 	2231_27	 
Propionibacterium acnes HL043PA1 (765072.3)	 	 	 	2454_7, 2455_6	2453	 	783	2442_16, 2443_15, 2444_15	2451	2449_18	 	 	 	37_27	 
Propionibacterium acnes HL043PA2 (765073.3)	 	 	 	2313_6, 2314_7	2315	 	1635	2324_15, 2325_15, 2326_16	2317	2319_18	 	 	 	824_27	 
Propionibacterium acnes HL044PA1 (765109.3)	1197_3	 	 	2558_7, 2559_6	2557	1198	1926	2548_16, 2549_15	2555	2554_18	 	 	 	1150_27	 
Propionibacterium acnes HL045PA1 (765068.3)	 	 	 	2224_7, 2225_6	2223	 	1800	2212_16, 2213_15, 2214_15	2221	2219_18	 	 	 	186_27	 
Propionibacterium acnes HL046PA1 (765094.3)	 	 	 	1110_6, 1111_7	1112	 	1577	1122_15, 1123_15, 1124_16	1114	1116_18	 	 	 	280_27	 
Propionibacterium acnes HL046PA2 (765095.3)	 	 	 	411_7, 412_6	410	 	1052	399_16, 400_15, 401_15	408	406_18	 	 	 	1471_27	 
Propionibacterium acnes HL050PA1 (765100.3)	 	 	 	1516_7, 1517_6	1515	 	1050, 1051	1503_16, 1504_15, 1505_15	1513	1511_18	 	 	 	497_27	 
Propionibacterium acnes HL050PA2 (765101.3)	 	 	 	 	1465	 	1931	1474_15, 1475_15, 1476_16	1467	1468_18	 	 	 	2347_27	 
Propionibacterium acnes HL050PA3 (765102.3)	 	 	 	2145_7, 2146_6	2144	 	1680	2132_16, 2133_15, 2134_15	2142	2140_18	 	 	 	875_27	 
Propionibacterium acnes HL053PA1 (765066.3)	 	 	 	2398_6, 2399_7	2400	 	1854	2409_15, 2410_15, 2411_16	2402	2404_18	 	 	 	398_27	 
Propionibacterium acnes HL053PA2 (765067.3)	 	 	 	1395_6, 1396_7	1397	 	1850	1406_15, 1407_15, 1408_16	1399	1401_18	 	 	 	515_27	 
Propionibacterium acnes HL056PA1 (765119.3)	 	 	 	1883_6, 1884_7	1885	 	1100	1894_15, 1895_15, 1896_16	1887	1889_18	 	 	 	2372_27	 
Propionibacterium acnes HL059PA1 (765091.3)	 	 	 	706_6, 707_7	708	 	1166	718_15, 719_15, 720_16	710	712_18	 	 	 	211_27	 
Propionibacterium acnes HL059PA2 (765092.3)	 	 	 	2054_7, 2055_6	2053	 	1592	2041_16, 2042_15, 2043_15	2051	2049_18	 	 	 	49_27	 
Propionibacterium acnes HL063PA1 (765113.3)	 	 	 	2215_7, 2216_6	2214	 	1752	2203_16, 2204_15, 2205_15	2212	2210_18	 	 	 	65_27	 
Propionibacterium acnes HL063PA2 (765114.3)	 	 	 	2407_7, 2408_6	2406	 	1948, 1949	2395_16, 2396_15, 2397_15	2404	2402_18	 	 	 	117_27	 
Propionibacterium acnes HL067PA1 (765110.3)	 	 	 	2378_6, 2379_7	2380	 	643	2390_15, 2391_15, 2392_16	2382	2384_18	 	 	 	111_27	 
Propionibacterium acnes HL072PA1 (765074.3)	 	 	 	1787_7, 1788_6	1786	 	1325	1775_16, 1776_15, 1777_15	1784	1782_18	 	 	 	375_27	 
Propionibacterium acnes HL072PA2 (765075.3)	 	 	 	2441_7, 2442_6	2439	 	2153	2428_16, 2429_15, 2430_15	2437	2435_18	 	 	 	921_27	 
Propionibacterium acnes HL074PA1 (765076.3)	 	 	 	1665_7, 1666_6	1664	 	1236	1653_16, 1654_15, 1655_15	1662	1660_18	 	 	 	1737_27	 
Propionibacterium acnes HL078PA1 (765071.3)	 	 	 	1449_6, 1450_7	1451	 	1879	1460_15, 1461_15, 1462_16	1453	1455_18	 	 	 	 	 
Propionibacterium acnes HL082PA1 (765120.3)	 	 	 	1600_6, 1601_7	1602	 	2059	1611_15, 1612_15, 1613_16	1604	1606_18	 	 	 	38_27	 
Propionibacterium acnes HL082PA2 (765121.3)	 	 	 	287_6	288	 	753	297_15, 298_15, 299_16	290	291_18	 	 	 	107_27	 
Propionibacterium acnes HL083PA1 (765087.3)	 	 	 	2393_7, 2394_6	2392	 	1962	2381_16, 2382_15, 2383_15	2390	2388_18	 	 	 	1456_27	 
Propionibacterium acnes HL083PA2 (765088.3)	 	 	 	2047_7, 2048_6	2046	 	1583	2034_16, 2035_15, 2036_15	2044	2042_18	 	 	 	38_27	 
Propionibacterium acnes HL086PA1 (765093.3)	 	 	 	2119_7, 2120_6	2117	 	1661	2106_16, 2107_15, 2108_15	2115	2113_18	 	 	 	1005_27	 
Propionibacterium acnes HL087PA2 (765082.3)	 	 	 	1638_7, 1639_6	1637	 	1175	1626_16, 1627_15, 1628_15	1635	1633_18	 	 	 	492_27	 
Propionibacterium acnes HL087PA3 (765083.3)	 	 	 	1296_6, 1297_7	1298	 	2064	1307_15, 1308_15, 1309_16	1300	1302_18	 	 	 	62_27	 
Propionibacterium acnes HL092PA1 (765086.3)	 	 	 	1838_7, 1839_6	1837	 	1386	1826_16, 1827_15, 1828_15	1835	1833_18	 	 	 	939_27	 
Propionibacterium acnes HL096PA2 (765058.3)	 	 	 	1171_6, 1172_7	1173	 	1916	1182_15, 1183_15, 1184_16	1175	1177_18	 	 	 	37_27	 
Propionibacterium acnes HL096PA3 (765057.3)	 	 	 	1933_6, 1934_7	1935	 	1174	1944_15, 1945_15, 1946_16	1937	1939_18	 	 	 	2063_27	 
Propionibacterium acnes HL097PA1 (765064.3)	 	 	 	2424_7, 2425_6	2422	 	1992	2411_16, 2412_15, 2413_15	2420	2418_18	 	 	 	37_27	 
Propionibacterium acnes HL099PA1 (765063.3)	 	 	 	798_7, 799_6	797	 	1541	786_16, 787_15, 788_15	795	793_18	 	 	 	171_27	 
Propionibacterium acnes HL103PA1 (765061.3)	 	 	 	 	1227	 	1691	1236_15, 1237_15, 1238_16	1229	1230_18	 	 	 	40_27	 
Propionibacterium acnes HL110PA1 (765077.3)	 	 	 	1602_6, 1603_7	1604	 	2057	1613_15, 1614_15, 1615_16	1606	1608_18	 	 	 	513_27	 
Propionibacterium acnes HL110PA2 (765078.3)	 	 	 	1957_7, 1958_6	1956	 	1503	1945_16, 1946_15, 1947_15	1954	1952_18	 	 	 	544_27	 
Propionibacterium acnes HL110PA3 (765079.3)	 	 	 	 	81	 	1956	70_16, 71_15, 72_15	79	78_18	 	 	 	1409_27	 
Propionibacterium acnes HL110PA4 (765080.3)	 	 	 	 	262	 	787	251_16, 252_15, 253_15	260	259_18	 	 	 	161_27	 
Propionibacterium acnes J139 (679194.3)	 	 	 	 	633	 	1039	643_15, 644_15, 645_16	635	636_18	 	 	 	1663_27	 
Propionibacterium acnes J165 (679195.3)	 	 	 	1605_7, 1606_6	1604	 	596	376_16, 377_15, 378_15	1602	1600_18	 	 	 	1286_27	 
Propionibacterium acnes KPA171202 (267747.3)	 	 	 	1417_7, 1418_6	1416	 	974	1405_16, 1406_15, 1407_15	1414	1412_18	 	 	 	 	 
Propionibacterium acnes SK137 (553199.9)	 	 	 	1405_7, 1406_6	1404	 	986	1393_16, 1394_15, 1395_15	1402	1400_18	 	 	 	 	 
Propionibacterium acnes SK182 (679193.4)	 	 	 	920_7, 921_6	919	 	495	908_16, 909_15, 910_15	917	915_18	 	 	 	 	 
Propionibacterium acnes SK182B-JCVI (1051006.4)	 	 	 	 	159	 	572	 	 	161_18	 	 	 	2237_27	 
Propionibacterium acnes SK187 (686659.3)	 	 	 	1302_7, 1303_6	1301	 	889	1290_16, 1291_15, 1292_15	1299	1297_18	 	 	 	1455_27	 
Propionibacterium acnes TypeIA2 P.acn17 (1114967.3)	 	 	 	1437_7, 1438_6	1436	 	981, 982	1425_16, 1426_15, 1427_15	1434	1432_18	 	 	 	2075_27	 
Propionibacterium acnes TypeIA2 P.acn31 (1114969.3)	 	 	 	1433_7, 1434_6	1432	 	974	1421_16, 1422_15	1430	1428_18	 	 	 	2071_27	 
Propionibacterium acnes TypeIA2 P.acn33 (1114966.3)	 	 	 	1417_7, 1418_6	1416	 	961	1405_16, 1406_15, 1407_15	1414	1412_18	 	 	 	2061_27	 
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 (754252.3)	379_3	1316	 	1323_7, 1324_6	1322	1820	888	1311_16, 1312_15	1318	1317_18	 	496	1074_24, 1075_25, 1076_26, 1077_23, 1078_22	 	 
Bifidobacterium adolescentis ATCC 15703 (367928.6)	1651_2	 	 	237_7, 238_6	77, 78	583	151	192_15, 193_16	1421	807_18	 	1312	475_22, 476_23, 477_26, 478_25, 479_24, 64_23, 65_26, 66_25, 67_24, 68_22	 	693_30
Bifidobacterium adolescentis L2-32 (411481.5)	11_2	 	 	529_7, 530_6	375, 376	880	452	487_15, 488_16	146	1216_18	 	 	360_23, 361_26, 362_25, 363_24, 364_22, 761_22, 762_23, 763_26, 764_25, 765_24	 	 
Bifidobacterium animalis subsp. lactis BB-12 (552531.3)	445_2	 	 	767_7, 768_6	633	1119	706	728_15, 729_16	232	1379_18	 	 	617_23, 618_26, 619_25, 620_24, 621_22	 	 
Bifidobacterium animalis subsp. lactis BLC1 (1075106.4)	1566_2	 	 	280_7, 281_6	145	634	219	243_15, 244_16	1356	889_18	 	 	129_23, 130_26, 131_25, 132_24, 133_22	 	 
Bifidobacterium animalis subsp. lactis Bl-04 (580050.3)	1570_2	 	 	280_7, 281_6	146	638	219	242_15, 243_16	1362	896_18	 	1319	129_23, 130_26, 131_25, 132_24, 133_22	 	 
Bifidobacterium animalis subsp. lactis CNCM I-2494 (1042403.4)	1563_2	 	 	278_7, 279_6	145	631	219	241_15, 242_16	1354	888_18	 	 	129_23, 130_26, 131_25, 132_24, 133_22	 	 
Bifidobacterium animalis subsp. lactis DSM 10140 (555970.3)	1572_2	 	 	280_7, 281_6	147	637	220	242_15, 243_16	1363	895_18	 	1320	130_23, 131_26, 132_25, 133_24, 134_22	 	 
Bifidobacterium animalis subsp. lactis HN019 (486409.3)	1305_2	 	 	501_7, 502_6	936	1271	1009	463_15, 464_16	813	231_18	 	770	919_23, 920_26, 921_25, 922_24, 923_22	 	 
Bifidobacterium animalis subsp. lactis V9 (573236.3)	1572_2	 	 	279_7, 280_6	146	634	220	242_15, 243_16	1361	890_18	 	1318	130_23, 131_26, 132_25, 133_24, 134_22	 	 
Bifidobacterium bifidum NCIMB 41171 (398513.5)	1715_2	 	 	1008_6, 1009_7	830, 832	48	1333	880_15, 881_16	1058	275_18	 	 	 	454_27	 
Bifidobacterium bifidum PRL2010 (702459.3)	1871_2	 	 	361_6, 362_7	155, 157	652	1800	219_15, 220_16	410	864_18	 	 	 	1063_27	 
Bifidobacterium bifidum S17 (883062.5)	1816_2	 	 	362_6, 363_7	190, 192	667	1747	234_15, 235_16	429	889_18	 	 	 	1005_27	 
Bifidobacterium breve ACS-071-V-Sch8b (866777.3)	1904_2	 	 	390_7, 391_6	101, 103	460	180	1804_16, 1805_15	1392	913_18	 	1479	1498_24, 1499_25, 1500_26, 1501_23, 1502_22	 	 
Bifidobacterium breve UCC2003 (326426.4)	1998_2	 	 	431_7, 432_6	116, 122	1496	188	1896_16, 1897_15	528	999_18	 	1561	1579_24, 1580_25, 1581_26, 1582_23, 1583_22	 	 
Bifidobacterium dentium ATCC 27678 (473819.7)	903_2	 	 	408_6, 409_7	607, 608	2148	492	458_16, 459_15	1155	1841_18	 	1242	131_24, 132_25, 133_26, 134_23, 135_22, 625_22, 627_24, 628_25, 629_26, 630_23	 	 
Bifidobacterium dentium ATCC 27679 (871562.3)	753_2	 	 	386_6, 387_7	577, 578	2057	466	432_16, 433_15	991	1606_18	 	 	127_24, 128_25, 129_26, 130_23, 131_22, 597_22, 598_22, 599_24, 600_25, 601_26, 602_23	 	 
Bifidobacterium dentium Bd1 (401473.3)	2091_2	 	 	306_7, 307_6	109, 110	714	223	256_15, 257_16	1708	1019_18	 	1623	579_22, 580_23, 581_26, 582_25, 583_24, 87_23, 88_26, 89_25, 90_24, 92_22	 	826_30
Bifidobacterium dentium JCVIHMP022 (553191.3)	2_2	 	 	2134_7, 2135_6	1615, 1616	1172	1302	1087_16, 1088_15, 1089_15	1476	599_18	 	 	1635_22, 1636_22, 1637_24, 1638_25, 1639_26, 1640_23, 1917_24, 1918_25, 1919_25, 1920_26, 1921_23, 1922_22	 	 
Bifidobacterium gallicum DSM 20093 (561180.4)	1389_2	 	 	797_6, 798_7	1272	763	1223	828_16, 829_15	420	166_18	 	 	1274_22, 1275_24, 1276_25, 1277_26, 1278_23	64_27	 
Bifidobacterium longum NCC2705 (206672.9)	1428_2	 	 	1033_6, 1034_7	1270, 1272	1841	1232	1548_15, 1549_16	935	546_18	 	 	1768_22, 1769_23, 1770_26, 1771_25, 1772_24	413_27	 
Bifidobacterium longum subsp. infantis 157F (565040.3)	1978_2	 	 	318_7, 319_6	104, 106	1559	144	1888_16, 1889_15	416	828_18	 	 	1642_24, 1643_25, 1644_26, 1645_23, 1646_22	1119_27	 
Bifidobacterium longum subsp. infantis ATCC 55813 (548480.3)	1581_2	 	 	1854_7, 1855_6	1646, 1648	806	1685	1075_15, 1076_16	306	34_18	 	 	722_22, 723_23, 724_26, 725_25, 726_24	1208_27	 
Bifidobacterium longum subsp. infantis CCUG 52486 (537937.5)	687_2	 	 	290_6, 291_7	519, 521	1923	481	1865_16, 1866_15	216	1111_18	 	 	1268_22, 1269_23, 1270_26, 1271_25, 1272_24	1588_27	 
Bifidobacterium longum subsp. longum BBMN68 (890402.3)	1481_2	 	 	1091_6, 1092_7	1299, 1301	16	1257	1575_15, 1576_16	1016	606_18	 	 	1807_22, 1808_23, 1809_26, 1810_25, 1811_24	420_27	 
Bifidobacterium longum subsp. longum F8 (722911.3)	1565_2	 	 	901_6, 902_7	1376, 1378	1059	1337	1766_16, 1767_15	807	412_18	 	 	1134_24, 1135_25, 1136_26, 1137_23, 1138_22	276_27	 
Bifidobacterium longum subsp. longum JCM 1217 (565042.3)	1937_2	 	 	326_7, 327_6	113, 115	1531	155	1828_16, 1829_15	403	800_18	 	 	1600_24, 1601_25, 1602_26, 1603_23, 1604_22	1142_27	 
Bifidobacterium longum subsp. longum JDM301 (759350.3)	1966_2	 	 	370_7, 371_6	103, 105, 122	1490	153	1823_16, 1824_15	442	892_18	 	 	1374_24_25, 1374_24_25, 1375_23_26, 1375_23_26, 1376_22, 94_23, 95_26, 96_25, 97_24, 98_22	1043_27	 
Bifidobacterium longum subsp. longum KACC 91563 (1035817.4)	1955_2	 	 	1562_6, 1563_7	1775, 1777	437	1732	89_15, 90_16	1470	1069_18	 	 	351_22, 352_23, 353_26, 354_25, 355_24	893_27	 
Scardovia inopinata F0304 (641146.3)	 	 	 	 	 	 	 	 	 	1403_18	 	 	 	 	 
Atopobium parvulum DSM 20469 (521095.6)	 	 	 	 	 	 	 	 	 	1041_18	 	 	526_22, 527_23, 528_26, 529_25, 530_24	 	 
Atopobium rimae ATCC 49626 (553184.4)	 	 	 	 	 	 	 	 	 	1458_18, 887_18	 	 	282_24, 283_25, 284_26, 285_23, 286_22	 	 
Collinsella aerofaciens ATCC 25986 (411903.6)	 	 	 	 	 	711	 	 	 	1507_18	 	 	446_24, 447_25, 448_26, 449_23, 450_22	184_27	 
Collinsella intestinalis DSM 13280 (521003.7)	 	 	 	 	 	 	 	 	 	 	 	 	1262_24, 1263_25, 1264_26, 1265_23, 1266_22	 	 
Collinsella stercoris DSM 13279 (445975.6)	 	 	 	 	 	 	 	 	 	 	 	 	842_22, 843_23, 844_26, 845_25, 846_24	 	 
Cryptobacterium curtum DSM 15641 (469378.5)	 	 	 	842_7, 843_6	 	844	840	421_15, 422_16	423	826_18	 	 	 	 	 
Eggerthella lenta DSM 2243 (479437.5)	 	399	 	1941_7, 1942_6	1940	1943	1930	616_15, 617_16	618	398_18	 	 	 	 	 
