Organism	ThrA	Asd	Hom	ThrB	ThrC
Rhodococcus erythropolis PR4 (234621.6)	855	856_2	4455	4453_6	4454
Rhodococcus erythropolis SK121 (596309.3)	3659	3660_2	1683, 1684	1686_6	1685
Brevibacterium linens BL2 (321955.4)	1623, 1794	1795_2	2512	2514_6	2513
Kytococcus sedentarius DSM 20547 (478801.5)	1892, 2465	1893_2	1411	1413_6	1412
Kocuria rhizophila DC2201 (378753.5)	271	555_2	934	936_6	935
Kocuria rhizophila P7-4 (1029824.3)	1019	809_2	462	460_6	461
Micrococcus luteus NCTC 2665 (465515.4)	240	1688_2	765	767_6, 768_6	766
Micrococcus luteus SK58 (596312.3)	1398	505_2	1738	1736_6	1737
Rothia dentocariosa ATCC 17931 (762948.4)	1186	371_2	1668	1670_6	1669
Rothia dentocariosa M567 (563032.4)	2136	1381_2	90	92_6	91
Rothia mucilaginosa ATCC 25296 (553201.3)	1685	830_2	301	303_6	302
Rothia mucilaginosa DY-18 (680646.3)	1534	351_2	1138	1136_6	1137
Tropheryma whipplei TW08/27 (218496.4)	881	880_2	394	396_6	395
Tropheryma whipplei str. Twist (203267.6)	890	889_2	577	575_6	576
Micromonospora aurantiaca ATCC 27029 (644283.3)	2609	1345_2, 2608_2	5015	5010_6	27, 4713, 5014
Propionibacterium acnes 266 (909952.3)	2210	339_2	1306	1304_6	1305
Propionibacterium acnes 6609 (1031709.3)	2256	337_2	1326	1324_6	1325
Propionibacterium acnes ATCC 11828 (1091045.3)	718	1291_2	1709	1711_6	1710
Propionibacterium acnes HL001PA1 (765105.8)	157	2076_2	936	938_6	937
Propionibacterium acnes HL002PA1 (765115.3)	240	679_2	1765	1763_6	1764
Propionibacterium acnes HL002PA2 (765116.3)	469	909_2	1689	1691_6	1690
Propionibacterium acnes HL002PA3 (765117.3)	129	1190_2	1592	1594_6	1593
Propionibacterium acnes HL005PA1 (765096.3)	1218	339_2	1752	1754_6	1753
Propionibacterium acnes HL005PA2 (765097.3)	242	1104_2	318	320_6	319
Propionibacterium acnes HL005PA4 (765099.3)	219	783_2	1070	1072_6	1071
Propionibacterium acnes HL007PA1 (765118.3)	970	512_2	2112	2110_6	2111
Propionibacterium acnes HL013PA1 (765069.3)	11	282_2	955	957_6	956
Propionibacterium acnes HL013PA2 (765070.3)	182	1286_2	1871	1873_6	1872
Propionibacterium acnes HL020PA1 (765065.3)	917	241_2	1467	1469_6	1468
Propionibacterium acnes HL025PA1 (765089.3)	760	244_2	1431	1433_6	1432
Propionibacterium acnes HL027PA1 (765111.3)	475	1800_2	1357	1355_6	1356
Propionibacterium acnes HL027PA2 (765112.3)	1128	2161_2	309	311_6	310
Propionibacterium acnes HL030PA1 (765103.3)	245	1548_2	2058	2060_6	2059
Propionibacterium acnes HL036PA1 (765106.3)	1096	469_2	2049	2047_6	2048
Propionibacterium acnes HL036PA2 (765107.3)	679	413_2	1599	1601_6	1600
Propionibacterium acnes HL037PA1 (765122.3)	1111	472_2	2234	2232_6	2233
Propionibacterium acnes HL037PA2 (765123.3)	1395	2208_2	185	187_6	186
Propionibacterium acnes HL038PA1 (765085.3)	2113	435_2	1913	1911_6	1912
Propionibacterium acnes HL043PA1 (765072.3)	157	1408_2	1108	1106_6	1107
Propionibacterium acnes HL043PA2 (765073.3)	94	273_2	1309	1311_6	1310
Propionibacterium acnes HL044PA1 (765109.3)	1009	1185_2	2438	2436_6	2437
Propionibacterium acnes HL045PA1 (765068.3)	68	775_2	2124	2122_6	2123
Propionibacterium acnes HL046PA1 (765094.3)	401	836_2	1243	1246_6	1244, 1245
Propionibacterium acnes HL046PA2 (765095.3)	1590	2200_2	1375	1373_6	1374
Propionibacterium acnes HL050PA1 (765100.3)	619	2177_2	1383	1381_6	1382
Propionibacterium acnes HL050PA2 (765101.3)	662	518_2	1600	1602_6	1601
Propionibacterium acnes HL050PA3 (765102.3)	995	412_2	2015	2013_6	2014
Propionibacterium acnes HL053PA1 (765066.3)	517	827_2	2179	2177_6	2178
Propionibacterium acnes HL053PA2 (765067.3)	394	1017_2	1521	1523_6	1522
Propionibacterium acnes HL056PA1 (765119.3)	1488, 1489	557_2	1430	1428_6	1429
Propionibacterium acnes HL059PA1 (765091.3)	543	1790_2	836	838_6	837
Propionibacterium acnes HL059PA2 (765092.3)	174	565_2	1924	1922_6	1923
Propionibacterium acnes HL063PA1 (765113.3)	186	791_2	2081	2079_6	2080
Propionibacterium acnes HL063PA2 (765114.3)	182	1064_2	2276	2274_6	2275
Propionibacterium acnes HL067PA1 (765110.3)	1077	1391_2	974	972_6	973
Propionibacterium acnes HL072PA1 (765074.3)	255	2236_2	1652	1650_6	1651
Propionibacterium acnes HL072PA2 (765075.3)	1040	286_2	1825	1827_6	1826
Propionibacterium acnes HL074PA1 (765076.3)	1859	778_2	1563	1561_6	1562
Propionibacterium acnes HL078PA1 (765071.3)	193	502_2	1552	1554_6	1553
Propionibacterium acnes HL082PA1 (765120.3)	158	444_2	1730	1732_6	1731
Propionibacterium acnes HL082PA2 (765121.3)	184	1937_2	422	424_6	423
Propionibacterium acnes HL083PA1 (765087.3)	1353	998_2	2290	2288_6	2289
Propionibacterium acnes HL083PA2 (765088.3)	160	946_2	1916	1914_6	1915
Propionibacterium acnes HL086PA1 (765093.3)	1126	116_2	1990	1988_6	1989
Propionibacterium acnes HL087PA2 (765082.3)	372	2087_2	1504	1502_6	1503
Propionibacterium acnes HL087PA3 (765083.3)	182	714_2	1729	1731_6	1730
Propionibacterium acnes HL092PA1 (765086.3)	819	244_2	1713	1711_6	1712
Propionibacterium acnes HL096PA2 (765058.3)	156	731_2	2241	2239_6	2240
Propionibacterium acnes HL096PA3 (765057.3)	2182	497_2	846	848_6	847
Propionibacterium acnes HL097PA1 (765064.3)	156	712_2	2320	2318_6	2319
Propionibacterium acnes HL099PA1 (765063.3)	289	390_2	1216	1218_6	1217
Propionibacterium acnes HL103PA1 (765061.3)	161	722_2	1362	1364_6	1363
Propionibacterium acnes HL110PA1 (765077.3)	391	1119_2	1731	1733_6	1732
Propionibacterium acnes HL110PA2 (765078.3)	608	832_2	1831	1829_6	1830
Propionibacterium acnes HL110PA3 (765079.3)	1534	647_2	1627	1629_6	1628
Propionibacterium acnes HL110PA4 (765080.3)	367	1491_2	458	460_6	459
Propionibacterium acnes J139 (679194.3)	1767	375_2	740	742_6	741
Propionibacterium acnes J165 (679195.3)	1405	2320_2	1958	1956_6	1957
Propionibacterium acnes KPA171202 (267747.3)	2203	328_2	1294	1292_6	1293
Propionibacterium acnes SK137 (553199.9)	2165	357_2	1305	1303_6	1304
Propionibacterium acnes SK182 (679193.4)	1944	2238_2	821	819_6	820
Propionibacterium acnes SK182B-JCVI (1051006.4)	848	1341_2	252	254_6	253
Propionibacterium acnes SK187 (686659.3)	1706	364_2	1198	1196_6	1197
Propionibacterium acnes TypeIA2 P.acn17 (1114967.3)	2194	340_2	1309	1307_6	1308
Propionibacterium acnes TypeIA2 P.acn31 (1114969.3)	2191	336_2	1305	1303_6	1304
Propionibacterium acnes TypeIA2 P.acn33 (1114966.3)	2180	324_2	1287	1285_6	1286
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 (754252.3)	392	1926_2	1023	 	827
Bifidobacterium adolescentis ATCC 15703 (367928.6)	144, 145	146_2	1495	1494_6	977
Bifidobacterium adolescentis L2-32 (411481.5)	445, 446	447_2	1391	1390_6	1546
Bifidobacterium animalis subsp. lactis BB-12 (552531.3)	701, 702	703_2	279	278_6	1233
Bifidobacterium animalis subsp. lactis BLC1 (1075106.4)	214, 215	216_2	1403	1402_6	743
Bifidobacterium animalis subsp. lactis Bl-04 (580050.3)	214, 215	216_2	1408	1407_6	748
Bifidobacterium animalis subsp. lactis CNCM I-2494 (1042403.4)	214, 215	216_2	1401	1400_6	742
Bifidobacterium animalis subsp. lactis DSM 10140 (555970.3)	215, 216	217_2	1410	1409_6	747
Bifidobacterium animalis subsp. lactis HN019 (486409.3)	1004, 1005	1006_2	1474	1475_6	378
Bifidobacterium animalis subsp. lactis V9 (573236.3)	215, 216	217_2	1408	1407_6	742
Bifidobacterium bifidum NCIMB 41171 (398513.5)	1325, 1326	1328_2	913	914_6	555
Bifidobacterium bifidum PRL2010 (702459.3)	1807, 1808	1805_2	252	253_6	1169
Bifidobacterium bifidum S17 (883062.5)	1754, 1755	1752_2	268	269_6	1108
Bifidobacterium breve ACS-071-V-Sch8b (866777.3)	147, 148	149_2	1787	1786_6	1116
Bifidobacterium breve UCC2003 (326426.4)	158, 159	160_2	1880	1879_6	776
Bifidobacterium dentium ATCC 27678 (473819.7)	496, 497	495_2	1041	1042_6	1664
Bifidobacterium dentium ATCC 27679 (871562.3)	470, 471	469_2	901	212_6, 902_6	1451
Bifidobacterium dentium Bd1 (401473.3)	218, 219	220_2	1822	1821_6	1200
Bifidobacterium dentium JCVIHMP022 (553191.3)	1306, 1307	1305_2	1764	1765_6, 2005_6	190
Bifidobacterium gallicum DSM 20093 (561180.4)	1226, 1227	1225_2	1430	1022_6, 1429_6	643
Bifidobacterium longum NCC2705 (206672.9)	1236, 1237	1235_2	1561	1562_6	740
Bifidobacterium longum subsp. infantis 157F (565040.3)	139, 140	141_2	1876	1875_6	620
Bifidobacterium longum subsp. infantis ATCC 55813 (548480.3)	1679, 1680	1681_2	1084	1085_6	109
Bifidobacterium longum subsp. infantis CCUG 52486 (537937.5)	487, 488	486_2	1855	1854_6	17
Bifidobacterium longum subsp. longum BBMN68 (890402.3)	1263, 1264	1262_2	1587	1588_6	802
Bifidobacterium longum subsp. longum F8 (722911.3)	1341, 1342	1340_2	1754	1753_6	607
Bifidobacterium longum subsp. longum JCM 1217 (565042.3)	149, 150	151_2	1817	1816_6	613
Bifidobacterium longum subsp. longum JDM301 (759350.3)	148, 149	150_2	1814	1813_6	669
Bifidobacterium longum subsp. longum KACC 91563 (1035817.4)	1737, 1738	1736_2	100	101_6	1271
Scardovia inopinata F0304 (641146.3)	1088, 1089	1090_2	1118	1119_6	1445
Atopobium parvulum DSM 20469 (521095.6)	534	535_2	533	531_6	532
Atopobium rimae ATCC 49626 (553184.4)	278	277_2	279	281_6	280
Collinsella aerofaciens ATCC 25986 (411903.6)	826	827_2	453	824_6	825
Collinsella intestinalis DSM 13280 (521003.7)	1409	1408_2	1268	1411_6	1410
Collinsella stercoris DSM 13279 (445975.6)	100	101_2	840	335_6, 98_6	99
Cryptobacterium curtum DSM 15641 (469378.5)	391	395_2	170	 	1243
Eggerthella lenta DSM 2243 (479437.5)	2771	2770_2	294	 	597
Eggerthella sp. 1_3_56FAA (665943.3)	2286	2284_2	1591	155_6	1883
Eggerthella sp. YY7918 (502558.4)	503	504_2	2249	483_6	2083
Gordonibacter pamelaeae 7-10-1-b (657308.3)	491	490_2	698	239_6	1086
Olsenella uli DSM 7084 (633147.4)	771	772_2	770	768_6	769
Slackia exigua ATCC 700122 (649764.3)	305	304_2	1189	308_6	307
Actinomyces cardiffensis F0333 (888050.3)	735	734_2	1610	1609_6	1058
Actinomyces graevenitzii C83 (435830.3)	1407	1408_2	726	724_6	725
Actinomyces naeslundii str. Howell 279 (1115803.3)	1910	1909_2	1426	1425_6	1746
Actinomyces turicensis ACS-279-V-Col4 (883077.3)	180	179_2	1075	1074_6	528
Corynebacterium aurimucosum ATCC 700975 (Prj:31451) (548476.7)	1712	1711_2	285	284_6	2117
Corynebacterium durum F0235 (1035195.3)	394	395_2	188	189_6	1686
Corynebacterium propinquum DSM 44285 (1121367.3)	1607	1608_2	518	519_6	982
Gordonia rubripertincta NBRC 101908 (1077975.4)	459	460_2	1386	1388_6	1387
Gordonia terrae C-6 (1316928.3)	3751	3752_2	2564	2566_6	2565
Gordonia terrae NBRC 100016 (1089454.3)	3032	3033_2	2646	2648_6	2647
Mycobacterium avium subsp. paratuberculosis JQ6 (1112208.3)	1387	1386_2	1245	1243_6	1244
Mycobacterium avium subsp. paratuberculosis MAP4 (1199187.3)	3666	3667_2	1396	1398_6	1397
Mycobacterium avium subsp. paratuberculosis S5 (1247747.5)	387	386_2	894	896_6	895
Mycobacterium abscessus 3A-0119-R (1001721.3)	275	276_2	1392	1394_6	1393
Mycobacterium abscessus 3A-0122-R (1001715.3)	361	362_2	1421	1423_6	1422
Mycobacterium abscessus 3A-0122-S (1001716.3)	98	99_2	982	984_6	983
Mycobacterium abscessus 3A-0731 (1001718.3)	275	276_2	1343	1345_6	1344
Mycobacterium abscessus 3A-0810-R (1001717.3)	277	278_2	1436	1438_6	1437
Mycobacterium abscessus 3A-0930-R (1001720.3)	277	278_2	1444	1446_6	1445
Mycobacterium abscessus 3A-0930-S (1001719.3)	278	279_2	1015	1017_6	1016
Mycobacterium abscessus 47J26 (1087483.3)	3511	3512_2	2095	2097_6, 3752_6	2096
Mycobacterium abscessus 4S-0116-R (1001725.3)	478	479_2	1495	1029_6, 1497_6	1496
Mycobacterium abscessus 4S-0116-S (1001724.3)	4155	4156_2	393	395_6, 4705_6	394
Mycobacterium abscessus 4S-0206 (1001723.3)	1886	1887_2	652	186_6, 654_6	653
Mycobacterium abscessus 4S-0303 (1001722.3)	479	480_2	1697	1232_6, 1699_6	1698
Mycobacterium abscessus 4S-0726-RA (1001726.3)	211	212_2	1246	1248_6, 781_6	1247
Mycobacterium abscessus 4S-0726-RB (1001727.3)	4603	4604_2	831	365_6, 833_6	832
Mycobacterium abscessus 5S-0304 (1001728.3)	4543	4544_2	397	399_6, 5068_6	398
Mycobacterium abscessus 5S-0421 (1001729.3)	4779	4780_2	651	653_6, 90_6	652
Mycobacterium abscessus 5S-0422 (1001731.3)	3454	3453_2	1348	1350_6, 655_6	1349
Mycobacterium abscessus 5S-0708 (1001730.3)	49	50_2	863	570_6, 865_6	864
Mycobacterium abscessus 5S-0817 (1001735.3)	4149	4150_2	431	433_6, 4673_6	432
Mycobacterium abscessus 5S-0921 (1001732.3)	222	223_2	1089	1091_6, 2780_6	1090
Mycobacterium abscessus 5S-1212 (1001733.3)	5179	5178_2	806	251_6, 808_6	807
Mycobacterium abscessus 5S-1215 (1001734.3)	49	50_2	1609	1607_6, 5048_6	1608
Mycobacterium abscessus 6G-0125-R (1001740.3)	4409	4410_2	490	492_6	491
Mycobacterium abscessus 6G-0212 (1001739.3)	297	298_2	1483	1485_6	1484
Mycobacterium abscessus 9808 (1246644.3)	1100	1101_2	2269	2271_6	2270
Mycobacterium abscessus M115 (1162287.3)	4569	4568_2	3469	1413_6, 3471_6	3470
Mycobacterium abscessus M139 (1175632.3)	4124	4123_2	2302	2300_6	2301
Mycobacterium abscessus M152 (1176125.3)	287	286_2	2831	2829_6	2830
Mycobacterium abscessus M154 (1162288.3)	3459	3460_2	1879	1877_6, 3650_6	1878
Mycobacterium abscessus M156 (1185414.3)	256	255_2	1673	1671_6	1672
Mycobacterium abscessus M159 (1162285.3)	2569	2570_2	328	3014_6, 330_6	329
Mycobacterium abscessus M172 (1162286.3)	4415	4416_2	3191	3189_6, 3731_6	3190
Mycobacterium abscessus M24 (1162284.3)	4422	4420_2	4203	251_6, 4540_6	250
Mycobacterium abscessus M93 (1149134.5)	3140	3139_2	3819	2805_6, 3821_6	3820
Mycobacterium abscessus M94 (1158135.4)	940	939_2	3858	3856_6, 4493_6	3857
Mycobacterium abscessus subsp. bolletii 50594 (1303024.3)	362	363_2	1495	1497_6	1496
Mycobacterium abscessus subsp. bolletii BD (1091046.3)	278	279_2	1418	1420_6	1419
Mycobacterium fortuitum subsp. fortuitum DSM 46621 (1214102.3)	2259	2258_2	5011	5009_6	5010
Rhodococcus erythropolis XP (1078016.3)	2746	2747_2	5892	5890_6	5891
Brevibacterium casei S18 (1229781.4)	3011	3012_2	415	417_6	416
Brevibacterium massiliense 5401308 (1176165.3)	452	453_2	1442	1440_6	1441
Brachybacterium paraconglomeratum LC44 (1064537.3)	241	242_2	498	496_6	497
Curtobacterium flaccumfaciens UCD-AKU (1292022.3)	1682	1683_2	3175	3173_6	3174
Microbacterium paraoxydans 77MFTsu3.2 (1151126.3)	1578	1581_2	3213	3211_6	3212
Kocuria palustris PEL (1236550.3)	485	2292_2	1598	1600_6	1599
Rothia aeria F0474 (1125724.3)	1606	744_2	1880	1882_6	1881
Rothia mucilaginosa M508 (563033.4)	1605	394_2	1200	1198_6	1199
Propionibacterium acidipropionici ATCC 4875 (1171373.8)	626	2755_2	1952	1951_6	1774
Propionibacterium acnes C1 (1234380.3)	2270	343_2	1354	1352_6	1353
Propionibacterium acnes FZ1/2/0 (1276649.3)	2208	339_2	1311	1309_6	1310
Propionibacterium acnes HL096PA1 (1134454.3)	2235	376_2	996	998_6	997
Propionibacterium acnes PRP-38 (1136877.3)	488	1053_2	2009	2007_6	2008
Propionibacterium avidum 44067 (1170318.3)	29	1840_2	961	963_6	962
Propionibacterium avidum ATCC 25577 (997355.3)	800	1355_2	1664	1666_6	1665
Propionibacterium propionicum F0230a (767029.3)	2784	417_2	1366	1367_6	2718
Bifidobacterium angulatum DSM 20098 = JCM 7096 (518635.7)	6, 7	5_2	352	353_6	1105
Bifidobacterium animalis subsp. animalis ATCC 25527 (703613.4)	220, 221	222_2	1398	1397_6	752
Bifidobacterium animalis subsp. lactis B420 (1168290.3)	214, 215	216_2	1399	1398_6	741
Bifidobacterium animalis subsp. lactis BS 01 (911598.3)	261, 262	263_2	1457	1456_6	793
Bifidobacterium animalis subsp. lactis Bi-07 (742729.3)	213, 214	215_2	1398	1397_6	741
Bifidobacterium bifidum BGN4 (484020.3)	1732, 1733	1730_2	219	220_6	1043
Bifidobacterium bifidum LMG 13195 (1207542.3)	537, 538	540_2	107	108_6	1740
Bifidobacterium breve CECT 7263 (1036735.3)	1184, 1185	1186_2	1052	1051_6	53
Bifidobacterium breve DPC 6330 (1074482.3)	897, 898	899_2	236	235_6	1464
Bifidobacterium breve DSM 20213 = JCM 1192 (518634.7)	201, 202	203_2	1303	1304_6	740
Bifidobacterium breve HPH0326 (1203540.3)	232, 233	234_2	1260	1259_6	1982
Bifidobacterium catenulatum DSM 16992 = JCM 1194 (566552.6)	1735, 1736	1734_2	152	151_6	599
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 (391904.8)	169, 170	171_2	2392	2391_6	1920
Bifidobacterium longum subsp. longum 1-6B (1161744.3)	816, 817	818_2	1764	1765_6	179
Bifidobacterium longum subsp. longum 2-2B (1161745.3)	294, 295	293_2	217	218_6	2077
Bifidobacterium longum subsp. longum 35B (1161904.3)	1636, 1637	1635_2	16	15_6	1347
Bifidobacterium longum subsp. longum 44B (1161743.3)	964, 965	966_2	1773	1774_6	1802
Bifidobacterium longum subsp. longum CMCC P0001 (1266716.3)	1584, 1585	1586_2	1394	1395_6	94
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 (547043.8)	486, 487	485_2	1693	1694_6, 239_6	1304
Bifidobacterium thermophilum RBL67 (1254439.12)	226, 227	228_2	1533	1532_6	1732
Atopobium minutum 10063974 (997872.3)	636	637_2	635	633_6	634
Collinsella tanakaei YIT 12063 (742742.3)	1316	1317_2	2153	1313_6	1314
Slackia piriformis YIT 12062 (742818.3)	470	471_2	2	468_6	469
Bacteroides fragilis ATCC 25285 (272559.3)	2881, 584, 67	171_2	67	 	69
Bacteroides caccae ATCC 43185 (411901.7)	1531, 2358, 3462	3012_2	1531	 	1533
Bacteroides caccae CL03T12C61 (997873.3)	115, 2505, 4489	3659_2	115	116_7	117
Bacteroides capillosus ATCC 29799 (411467.6)	3154	1637_2	3155	2745_6	1508, 283, 2858
Bacteroides cellulosilyticus CL02T12C19 (997874.3)	1511, 2612, 6325	2378_2	6325	6326_7	6327
Bacteroides cellulosilyticus DSM 14838 (537012.5)	1676, 185, 535	5056_2	185	186_7	187
Bacteroides clarus YIT 12056 (762984.3)	1355, 2081, 2620	1563_2	2620	2621_7	2622
Bacteroides coprocola DSM 17136 (470145.6)	652, 677, 824	2737_2	677	678_7	679
Bacteroides coprophilus DSM 18228 (547042.5)	2827, 997	1907_2	2827	2828_7	2829
Bacteroides dorei CL02T00C15 (997875.3)	1016, 1858, 3853	1254_2	1016	1015_7	1014
Bacteroides dorei CL02T12C06 (997876.3)	2744, 3446, 5053	2148_2	5053	5052_7	5051
Bacteroides dorei CL03T12C01 (997877.3)	1556, 177, 2199	1624_2	1556	1555_7	1554
Bacteroides dorei DSM 17855 (483217.6)	2455, 3261, 917	349_2	3261	3262_7	3263
Bacteroides eggerthii 1_2_48FAA (665953.3)	1225, 2994, 3564	775_2	1225	1226_7	1227
Bacteroides eggerthii DSM 20697 (483216.6)	1299, 2662, 639	3308_2	639	 	641
Bacteroides faecis MAJ27 (1077285.3)	127, 3829, 92	1109_2	92	91_7	90
Bacteroides finegoldii DSM 17565 (483215.6)	1384, 242, 3424	2842_2	3424	3423_7	3422
Bacteroides fluxus YIT 12057 (763034.3)	1287, 882	3012_2	1287	1288_7	1289
Bacteroides fragilis 3_1_12 (457424.5)	2308, 2403, 3027	2529_2	2308	2307_7	2306
Bacteroides fragilis 638R (862962.3)	2975, 588, 622	462_2	622	623_7	624
Bacteroides fragilis CL03T00C08 (997878.3)	2808, 550, 585	429_2	585	 	587
Bacteroides fragilis CL03T12C07 (997879.3)	1075, 1110, 1643	955_2	1110	 	1112
Bacteroides fragilis CL05T00C42 (997880.3)	2211, 2244, 2454	2092_2	2244	2245_7	2246
Bacteroides fragilis CL05T12C13 (997881.3)	2719, 551, 584	430_2	584	585_7	586
Bacteroides fragilis CL07T00C01 (997882.3)	2373, 2406, 4249	2528_2	2373	2372_7	2371
Bacteroides fragilis CL07T12C05 (997883.3)	3850, 635, 670	513_2	670	671_7	672
Bacteroides fragilis HMW 610 (1073386.3)	1100, 3493, 3528	4310_2	3493	3492_7	3491
Bacteroides fragilis HMW 615 (1073387.4)	2311, 608, 637	761_2	608	 	605
Bacteroides fragilis HMW 616 (1073388.3)	2364, 4532, 4561	4401_2	4561	4562_7	4563
Bacteroides fragilis NCTC 9343 (272559.17)	2908, 513, 547	379_2	547	 	549
Bacteroides fragilis YCH46 (295405.11)	2919, 591, 626	461_2	626	627_7	628
Bacteroides intestinalis DSM 17393 (471870.8)	3289, 4531, 490	660_2	4531	 	4529
Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 (1121098.4)	1289, 1635, 2055	3392_2	2055	2054_7	2053
Bacteroides massiliensis dnLKV3 (1235788.3)	3637, 4382	2791_2	4382	4383_7	4384
Bacteroides nordii CL02T12C05 (997884.3)	3609, 943	721_2	943	944_7	945
Bacteroides oleiciplenus YIT 12058 (742727.4)	1831, 4576, 4892	2004_2	4576	4575_7	4574
Bacteroides ovatus 3_8_47FAA (665954.3)	1769, 4000, 4530	2840_2	4000	4001_7	4002
Bacteroides ovatus ATCC 8483 (411476.11)	1242, 2535, 530	2929_2	2535	2536_7	2537
Bacteroides ovatus CL02T12C04 (997885.3)	3246, 5731, 6146	4412_2	6146	6145_7	6144
Bacteroides ovatus CL03T12C18 (997886.3)	4078, 5212, 5377	1155_2	4078	4077_7	4076
Bacteroides ovatus SD CC 2a (702444.3)	1254, 1918, 2895	2498_2	2895	2894_7	2893
Bacteroides pectinophilus ATCC 43243 (483218.5)	2934	1120_2	2933	 	2279
Bacteroides plebeius DSM 17135 (484018.6)	2084, 2566	1053_2	2566	2565_7	2564
Bacteroides salyersiae CL02T12C01 (997887.3)	4180, 872, 901	1256_2	872	871_7	870
Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 (1121101.3)	1305, 1336, 3016	1505_2	1305	1304_7	1303
Bacteroides sp. 1_1_14 (469585.3)	1480, 3115, 4900	3570_2	4900	4901_7	4902
Bacteroides sp. 1_1_30 (457387.3)	3059, 4434, 814	2706_2	814	815_7	816
Bacteroides sp. 1_1_6 (469586.3)	4370, 4413	3438_2	4370	4369_7	4368
Bacteroides sp. 20_3 (469591.4)	1184, 3892, 4058	4860_2	1184	1183_7	1182
Bacteroides sp. 2_1_22 (469588.3)	1211, 3811, 4146	1139_2	1211	1212_7	1213
Bacteroides sp. 2_1_33B (469589.3)	1290, 2588, 3363	2160_2	3363	3364_7	3365
Bacteroides sp. 2_1_7 (457388.5)	2091, 3695, 44	305_2	3695	3696_7	3697
Bacteroides sp. 2_2_4 (469590.5)	369, 4794, 5159	3538_2	5159	5160_7	5161
Bacteroides sp. 3_1_19 (469592.4)	2270, 3541, 796	135_2	3541	3540_7	3539
Bacteroides sp. 3_1_23 (457390.3)	1247, 3083, 3187	2807_2	3187	3188_7	3189
Bacteroides sp. 3_1_33FAA (457391.3)	1052, 1418, 2824	1308_2	1052	1051_7	1050
Bacteroides sp. 3_1_40A (469593.3)	1043, 4161, 4301	3609_2	4161	4162_7	4163
Bacteroides sp. 3_2_5 (457392.3)	1743, 562, 594	713_2	562	561_7	560
Bacteroides sp. 4_1_36 (457393.3)	2951, 3732, 938	810_2	3732	3733_7	3734
Bacteroides sp. 4_3_47FAA (457394.3)	1044, 1347, 2389	1612_2	2389	2390_7	2391
Bacteroides sp. 9_1_42FAA (457395.6)	125, 2717, 4069	67_2	4069	4070_7	4071
Bacteroides sp. D1 (556258.5)	2446, 3509, 3956	1977_2	3956	3957_7	3958
Bacteroides sp. D2 (556259.3)	3551, 4114, 4847	2624_2	4114	4113_7	4112
Bacteroides sp. D20 (585543.3)	1687, 2881, 611	1570_2	611	610_7	609
Bacteroides sp. D22 (585544.3)	2220, 2785, 3659	2148_2	3659	3660_7	3661
