Organism	AroKL	AroA	AroC	AroH	PheA1	PheA2	TyrA2	AroJ	TyrA1	AroP	PheP	TyrP	TyrT
Propionibacterium acnes HL096PA2 (765058.3)	2164_1	2252_6	2163_9	2414_10	 	 	 	1846_21, 1847_21, 2134_20, 403_17	2191_22, 2192_22	 	 	 	 
Propionibacterium acnes HL096PA3 (765057.3)	922_1	835_6	923_9	2396_10	 	 	 	1243_21, 1244_21, 198_17, 952_20	895_22	 	 	 	 
Propionibacterium acnes HL097PA1 (765064.3)	2244_1	2331	2243_9	1474_10	 	234_13	 	1918_21, 1919_21, 2214_20, 423_17	2271_22	 	 	 	 
Propionibacterium acnes HL099PA1 (765063.3)	1293_1	1205	1294_9	835_10	 	 	 	1323_20, 1611_21, 1612_21, 2287_17	1265_22, 1266_22	 	 	 	 
Propionibacterium acnes HL103PA1 (765061.3)	1442_1	1351	1443_9	2285_10	 	 	 	1472_20, 419_17, 420_17	1414_22	 	 	 	 
Propionibacterium acnes HL110PA1 (765077.3)	1807_1	1720	1808	813_10	 	53_13	 	1418_17, 1837_20, 2125_21, 2126_21	1780_22	 	 	 	 
Propionibacterium acnes HL110PA2 (765078.3)	1755_1	1842_6	1754	2339_10	 	380_13	 	1429_21, 1430_21, 1725_20, 183_17	1782_22	 	 	 	 
Propionibacterium acnes HL110PA3 (765079.3)	1706_1	1616_6	1707_9	1009_10	 	 	 	1737_20, 338_17, 339_17	1678_22	 	 	 	 
Propionibacterium acnes HL110PA4 (765080.3)	537_1	447_6	538_9	2116_10	 	 	 	1183_17, 1184_17, 567_20	509_22	 	 	 	 
Propionibacterium acnes J139 (679194.3)	814_1	731	815_9	1937_10	 	 	 	104_17, 105_17, 844_20	787_22	 	 	 	 
Propionibacterium acnes J165 (679195.3)	1882_1	1969_6	1881_9	1025_10	 	1481_13	 	1727_20, 529_21, 530_21, 837_17	1909_22	 	 	 	 
Propionibacterium acnes KPA171202 (267747.3)	1219_1	1305	1218	1824_10	 	2282_13	 	1189_20, 33_17, 907_21	1246_22	 	 	 	 
Propionibacterium acnes SK137 (553199.9)	1229_1	1316_6	1228_9	1789_10	 	2242_13	 	1199_20, 34_17, 917_21	1256_22, 1257_22	 	 	 	 
Propionibacterium acnes SK182 (679193.4)	744_1	832_6	743_9	1122_10	 	 	 	1697_17, 425_21, 426_21, 714_20	771_22, 772_22	 	 	 	 
Propionibacterium acnes SK182B-JCVI (1051006.4)	335_1	241	336_9	1845_10	 	 	 	2020_17, 365_20	308_22	 	 	 	 
Propionibacterium acnes SK187 (686659.3)	1120_1	1207_6	1119	775_10	 	1611_13	 	1090_20, 829_21, 99_17	1146_22	 	 	 	 
Propionibacterium acnes TypeIA2 P.acn17 (1114967.3)	1233_1	1320_6	1232	1821_10	 	 	 	1202_20, 37_17, 910_21, 911_21	1260_22	 	 	 	 
Propionibacterium acnes TypeIA2 P.acn31 (1114969.3)	1228_1	1316	1227	1816_10	 	2267_13	 	1197_20, 38_17, 904_21, 905_21	1255_22, 1256_22	 	 	 	 
Propionibacterium acnes TypeIA2 P.acn33 (1114966.3)	1211_1	1298_6	1210	1805_10	 	2257_13	 	1180_20, 36_17, 892_21, 893_21	1238_22	 	 	 	 
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 (754252.3)	1142_1	1011_6	1143	653_10	 	 	 	1169_20, 943_21_16, 943_21_16	1118_22	 	 	 	 
Bifidobacterium adolescentis ATCC 15703 (367928.6)	762_1	741_6	761_9	1530_10	 	1146_13	 	1208_20, 212_21_16, 212_21_16, 263_21, 287_21, 689_21	1145_22	 	 	 	 
Bifidobacterium adolescentis L2-32 (411481.5)	1257_1	1279_6	1258_9	1478_10	 	1772_13	 	1843_20, 1954_21, 505_16_21, 505_16_21, 554_21, 577_21, 75_21, 843_21	1771_22	 	 	 	 
Bifidobacterium animalis subsp. lactis BB-12 (552531.3)	1414_1	1448_6	1415_9	327_10	 	25_13	 	145_21, 746_21_16, 746_21_16, 799_21, 99_20	24_22	 	 	 	 
Bifidobacterium animalis subsp. lactis BLC1 (1075106.4)	925_1	966_6	926	1448_10	 	1144_13	 	1220_20, 1267_21, 1314_21, 259_21_16, 259_21_16, 312_21	1143_22	 	 	 	 
Bifidobacterium animalis subsp. lactis Bl-04 (580050.3)	933_1	972_6	934	1452_10	 	1150_13	 	1226_20, 1273_21, 258_21_16, 258_21_16, 312_21	1149_22	 	 	 	 
Bifidobacterium animalis subsp. lactis CNCM I-2494 (1042403.4)	924_1	964_6	925	1445_10	 	1142_13	 	1218_20, 1265_21, 1312_21, 257_21_16, 257_21_16, 310_21	1141_22	 	 	 	 
Bifidobacterium animalis subsp. lactis DSM 10140 (555970.3)	933_1	972_6	934	1454_10	 	1151_13	 	1227_20, 1274_21, 258_21_16, 258_21_16, 312_21	1150_22	 	 	 	 
Bifidobacterium animalis subsp. lactis HN019 (486409.3)	194_1	156_6	193	1430_10	 	1140_13	 	1017_21, 1064_20, 479_21_16, 479_21_16, 533_21	1141_22	 	 	 	 
Bifidobacterium animalis subsp. lactis V9 (573236.3)	927_1	967_6	928	1453_10	 	1147_13	 	1223_20, 1271_21, 258_21_16, 258_21_16, 311_21	1146_22	 	 	 	 
Bifidobacterium bifidum NCIMB 41171 (398513.5)	250_1	203_6	249_9	1409_10	 	31_13	 	1106_21, 1185_20, 1407_21, 620_21, 621_21, 928_21, 962_16_21, 962_16_21, 993_21	32_22	 	 	 	 
Bifidobacterium bifidum PRL2010 (702459.3)	837_1	788_6	836_9	1724_10	 	633_13	 	1238_21, 1726_21, 268_21, 303_16_21, 303_16_21, 346_21, 461_21, 548_20	634_22	 	 	 	 
Bifidobacterium bifidum S17 (883062.5)	863_1	813_6	862_9	1668_10	 	650_13	 	1189_21, 1670_21, 283_21, 316_16_21, 316_16_21, 347_21, 479_21, 564_20	651_22	 	 	 	 
Bifidobacterium breve ACS-071-V-Sch8b (866777.3)	936_1	1058_6	937_9	299_10	 	646_13	 	1325_21, 1765_21, 517_21, 568_20, 854_21_16, 854_21_16	647_22	 	 	 	 
Bifidobacterium breve UCC2003 (326426.4)	975_1	835_6	974	314_10	 	1303_13	 	1061_21_16, 1061_21_16, 1378_20, 1858_21, 650_21	1302_22	 	 	 	 
Bifidobacterium dentium ATCC 27678 (473819.7)	1884_1	1913_6	1885	997_10	 	1445_13	 	1363_20, 379_21, 432_21_16, 432_21_16, 46_21, 873_21	1446_22	 	 	 	 
Bifidobacterium dentium ATCC 27679 (871562.3)	1649_1	1687_6	1650	2159_10	 	1265_13	 	1065_21, 1188_20, 334_21, 356_21, 410_16_21, 410_16_21, 54_21, 719_21	1266_22	 	 	 	 
Bifidobacterium dentium Bd1 (401473.3)	976_1	947_6	975	1866_10	 	1419_13	 	1500_20, 2121_21, 283_21_16, 283_21_16, 336_21, 667_21	1418_22	 	 	 	 
Bifidobacterium dentium JCVIHMP022 (553191.3)	555_1	517_6	554	980_10	 	647_13	 	1401_20, 1841_21, 2027_21, 2111_16_21, 2111_16_21, 2166_21, 2191_21, 37_21	648_22	 	 	 	 
Bifidobacterium gallicum DSM 20093 (561180.4)	138_1	99_6	137_9	1495_10	 	350_13	 	1550_21, 281_21, 295_20, 495_21, 815_16_21, 815_16_21	351_22	 	 	 	 
Bifidobacterium longum NCC2705 (206672.9)	572_1	673_6	574_9	1139_10	 	241_13	 	1361_21, 145_20, 1573_21, 1797_21, 484_16_21, 484_16_21	242_22	 	 	 	 
Bifidobacterium longum subsp. infantis 157F (565040.3)	802_1	683_6	801_9	228_10	 	1291_13	 	12_21, 1384_20, 1615_21, 1862_21, 500_21, 977_16_21, 977_16_21	1290_22	 	 	 	 
Bifidobacterium longum subsp. infantis ATCC 55813 (548480.3)	343_1	449_6	345_9	1769_10	 	1408_13	 	1096_21, 1126_16_21, 1126_16_21, 1318_20, 1559_21, 221_21, 751_21	1409_22	 	 	 	 
Bifidobacterium longum subsp. infantis CCUG 52486 (537937.5)	1086_1	978_6	1084_9	397_10	 	1421_13	 	1297_21, 131_21, 1339_20, 1842_21, 609_21, 615_21, 832_16_21, 832_16_21	1422_22	 	 	 	 
Bifidobacterium longum subsp. longum BBMN68 (890402.3)	632_1	749_6	633_9	1172_10	 	283_13	 	1399_21, 1404_21, 1599_21, 1838_21, 191_20, 539_16_21, 539_16_21	284_22	 	 	 	 
Bifidobacterium longum subsp. longum F8 (722911.3)	438_1	546_6	439_9	1253_10	 	1973_13	 	1109_21, 1478_21, 1484_21, 1741_21, 1881_20, 350_16_21, 350_16_21	1974_22	 	 	 	 
Bifidobacterium longum subsp. longum JCM 1217 (565042.3)	774_1	667_6	773_9	246_10	 	1267_13	 	12_21, 1350_20, 1575_21, 1805_21, 867_16_21, 867_16_21	1266_22	 	 	 	 
Bifidobacterium longum subsp. longum JDM301 (759350.3)	869_1	753_6	868_9	254_10	 	1194_13	 	12_21, 1312_20, 1544_21, 1796_21, 955_16_21, 955_16_21	1193_22	 	 	 	 
Bifidobacterium longum subsp. longum KACC 91563 (1035817.4)	1095_1	1209_6	1096_9	1644_10	 	712_13	 	1004_16_21, 1004_16_21, 113_21, 1860_21, 1866_21, 379_21, 630_20	713_22	 	 	 	 
Scardovia inopinata F0304 (641146.3)	711_1	665	710_9	 	 	 	 	1138_21, 1269_21, 358_17, 951_21	928_22	 	 	 	 
Atopobium parvulum DSM 20469 (521095.6)	454_1, 638	 	640	639_10	 	 	 	106_21_16, 106_21_16, 506_21	 	 	 	 	 
Atopobium rimae ATCC 49626 (553184.4)	104, 1393_1	107_6	106_9	105_10	 	 	 	310_21, 820_16_21, 820_16_21	 	 	 	 	 
Collinsella aerofaciens ATCC 25986 (411903.6)	1867, 66_1	1870	1869_9	1868_10_13	 	1868_10_13	1872_24	1383_21, 1476_16_21, 1476_16_21, 1728_20, 314_21, 367_21, 500_21, 945_21	1872_24	 	 	 	 
Collinsella intestinalis DSM 13280 (521003.7)	1011_1, 1039_10_1_13	1041_6	1040	1039_10_1_13	 	1039_10_1_13	 	688_21	 	 	 	 	 
Collinsella stercoris DSM 13279 (445975.6)	1237_1, 1454	1457_6	1456_9	1455_10_13	 	1455_10_13	981_24	1367_21, 301_20, 321_21, 585_16_21, 585_16_21	981_24	 	 	 	 
Cryptobacterium curtum DSM 15641 (469378.5)	1214_1, 142_1	653_6	497	967_10	 	817_13	652_15	204_21_16, 204_21_16	 	 	 	 	 
Eggerthella lenta DSM 2243 (479437.5)	101_1, 2613_1	1377_6	2614	969_10	 	1317_13	1376_15	1110_20, 164_21, 196_21_16, 196_21_16	 	 	 	 	 
Eggerthella sp. 1_3_56FAA (665943.3)	1408_1, 2189_1	298_6	2190	838_10	 	373_13	299_15	1492_16_21, 1492_16_21, 640_20	 	 	 	 	 
Eggerthella sp. YY7918 (502558.4)	2484_1, 410_1	1649	409_9	2300_10	 	1137_13	1650_15	159_21, 1862_20, 219_16_21, 219_16_21, 631_21	 	 	 	 	 
Gordonibacter pamelaeae 7-10-1-b (657308.3)	1293_1, 970_1	1750_6	1291_9, 1292_9	2804_10	 	 	 	2067_16_21, 2067_16_21, 2640_20	 	 	 	 	 
Olsenella uli DSM 7084 (633147.4)	1133_1, 1134_1, 854_1	857_6	856_9	855_10_13	 	855_10_13	 	1205_21, 1310_20, 848_21, 94_16_21, 94_16_21	859_22	 	 	 	 
Slackia exigua ATCC 700122 (649764.3)	122_1, 643_1	23_6	120_9, 644_9	121_10_13	 	121_10_13	 	1065_21, 1487_20, 525_21, 836_16_21, 836_16_21	118_22	 	 	 	 
Actinomyces cardiffensis F0333 (888050.3)	1312_5	265	1310_9	1647_10	 	807_13	 	105_20, 1227_21, 1360_21, 778_17	1362_22	 	 	 	 
Actinomyces graevenitzii C83 (435830.3)	459_1	743	461_9	626_10	 	1469_13	 	868_21	390_22	 	 	 	 
