Organism	eALP	cALP	cAzNAD	cAzNADP	AzorDMT	eBGal	LacY	cBGal	cBRV	eBSH	cCda	eCda	CdaABC	cCgr	cCodA	eCodA	CodB	CodP	CodDMT	cDpdNAD	cDpdNADP	eDpdNADP	DpdP	cHpd	TdcA	TyrP	TyrNhaC	Dadh	cNAT	eNAT	NatABC	eNit	cNit	eUidA	cUidA	UidB	UidP
Acinetobacter baumannii AB_2008-15-70 (1221259.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1059, 3235	 	 	 	 
Acinetobacter baumannii AB_2008-15-71 (1221260.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1051, 2080, 2451	 	 	 	 
Acinetobacter baumannii AB_2008-23-01-01-7 (1221261.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1128, 1762, 2713	 	 	 	 
Acinetobacter baumannii AB_2008-23-07-01-7 (1221262.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1928, 2278	 	 	 	 
Acinetobacter baumannii AB_2009-04-01-7 (1221263.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2795, 3215, 661	 	 	 	 
Acinetobacter baumannii AB_2009-04-02-7 (1221264.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1326, 641	 	 	 	 
Acinetobacter baumannii AB_515-8 (1221265.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1578, 757	 	 	 	 
Acinetobacter baumannii AB_908-12 (1221266.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	464, 683	 	 	 	 
Acinetobacter baumannii AB_908-13 (1221267.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1395, 2348	 	 	 	 
Acinetobacter baumannii AB_909-01-7 (1221269.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	157, 2184, 3200	 	 	 	 
Acinetobacter baumannii AB_909-02-7 (1221270.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1916, 2360	 	 	 	 
Acinetobacter baumannii AB_909-05 (1221271.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3463, 635	 	 	 	 
Acinetobacter baumannii AB_TG19617 (1221273.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3023, 723	 	 	 	 
Acinetobacter baumannii AB_TG2018 (1221274.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1213, 1957, 2081	 	 	 	 
Acinetobacter baumannii AB_TG2022 (1221275.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1107, 3323	 	 	 	 
Acinetobacter baumannii AB_TG2023 (1221276.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1314, 3623	 	 	 	 
Acinetobacter baumannii AB_TG2026 (1221277.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1733, 3822	 	 	 	 
Acinetobacter baumannii AB_TG2028 (1221278.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2643, 283, 453	 	 	 	 
Acinetobacter baumannii AB_TG2030 (1221279.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	16, 1920, 816	 	 	 	 
Acinetobacter baumannii AB_TG2031 (1221280.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	146, 1710, 810	 	 	 	 
Acinetobacter baumannii AB_TG27335 (1221286.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2244, 3076	 	 	 	 
Acinetobacter baumannii AB_TG27339 (1221287.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2227, 757	 	 	 	 
Acinetobacter baumannii AB_TG27343 (1221288.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1290, 1617, 242	 	 	 	 
Acinetobacter baumannii AB0057 (480119.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2360, 2950	 	 	 	 
Acinetobacter baumannii Ab11111 (1168588.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1474, 696	 	 	 	 
Acinetobacter baumannii AB1H8 (1222031.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3457, 739	 	 	 	 
Acinetobacter baumannii AB210 (886886.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1972, 2538	 	 	 	 
Acinetobacter baumannii AB307-0294 (557600.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1301, 640, 791	 	 	 	 
Acinetobacter baumannii Ab33333 (1168590.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1400, 680	 	 	 	 
Acinetobacter baumannii AB405E4 (1222033.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3164, 3253, 351	 	 	 	 
Acinetobacter baumannii Ab44444 (1168591.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1786, 627	 	 	 	 
Acinetobacter baumannii AB4A3 (1222032.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2204, 3681, 744	 	 	 	 
Acinetobacter baumannii AB5256 (1116235.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3088, 3603, 671	 	 	 	 
Acinetobacter baumannii AB5711 (1116236.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1910, 2535	 	 	 	 
Acinetobacter baumannii AB900 (557601.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1677, 3511, 826	 	 	 	 
Acinetobacter baumannii ABIsac_ColiR (1200351.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2295, 2986	 	 	 	 
Acinetobacter baumannii ABNIH1 (992402.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	141, 403	 	 	 	 
Acinetobacter baumannii ABNIH11 (1094475.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2067, 2998, 3418	 	 	 	 
Acinetobacter baumannii ABNIH14 (1094478.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1550, 2220	 	 	 	 
Acinetobacter baumannii ABNIH15 (1094479.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1958, 2945	 	 	 	 
Acinetobacter baumannii ABNIH16 (1094480.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1878, 3050, 3825	 	 	 	 
Acinetobacter baumannii ABNIH18 (1094482.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3190, 896	 	 	 	 
Acinetobacter baumannii ABNIH19 (1094483.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1326, 153, 3434	 	 	 	 
Acinetobacter baumannii ABNIH22 (1094486.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1468, 2933	 	 	 	 
Acinetobacter baumannii ABNIH23 (1094487.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1884, 2872	 	 	 	 
Acinetobacter baumannii ABNIH25 (1224165.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1835, 566	 	 	 	 
Acinetobacter baumannii ABNIH26 (1224166.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2396, 3115	 	 	 	 
Acinetobacter baumannii ABNIH3 (992404.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	191, 2596	 	 	 	 
Acinetobacter baumannii ABNIH4 (992405.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1955, 2064	 	 	 	 
Acinetobacter baumannii ABNIH5 (1094469.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2815, 3006	 	 	 	 
Acinetobacter baumannii ABNIH6 (1094470.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1881, 2100, 3280	 	 	 	 
Acinetobacter baumannii AC12 (1198108.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1001, 3387	 	 	 	 
Acinetobacter baumannii AC30 (1224747.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2901, 3330	 	 	 	 
Acinetobacter baumannii ACICU (405416.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2360, 3076	 	 	 	 
Acinetobacter baumannii ANC 4097 (1217638.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2326, 2984, 3212	 	 	 	 
Acinetobacter baumannii ATCC 19606 (575584.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1018, 2224, 2766	 	 	 	 
Acinetobacter baumannii AYE (509173.8)	102	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1459, 757, 899	 	 	 	 
Acinetobacter baumannii BZICU-2 (1210907.3)	789	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	149, 2440, 331	 	 	 	 
Acinetobacter baumannii Canada BC-5 (903895.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1788, 2394	 	 	 	 
Acinetobacter baumannii Canada BC1 (903924.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3493, 3548	 	 	 	 
Acinetobacter baumannii IS-116 (903912.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1852, 2639	 	 	 	 
Acinetobacter baumannii IS-123 (903899.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1681, 3625, 827	 	 	 	 
Acinetobacter baumannii IS-143 (903911.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	362, 671	 	 	 	 
Acinetobacter baumannii IS-235 (903905.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2895, 3217, 3616	 	 	 	 
Acinetobacter baumannii IS-251 (903906.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1778, 3334, 431	 	 	 	 
Acinetobacter baumannii IS-58 (903914.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1226, 3124, 3518	 	 	 	 
Acinetobacter baumannii MDR-TJ (889738.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1642, 888	 	 	 	 
Acinetobacter baumannii MDR-ZJ06 (497978.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2378, 3125	 	 	 	 
Acinetobacter baumannii MSP4-16 (1278070.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1440, 1483, 3058	 	 	 	 
Acinetobacter baumannii Naval-113 (903920.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	73, 900	 	 	 	 
Acinetobacter baumannii Naval-13 (903904.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1973, 256, 2871	 	 	 	 
Acinetobacter baumannii Naval-17 (903896.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2670, 551	 	 	 	 
Acinetobacter baumannii Naval-18 (903897.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1506, 1711, 2374	 	 	 	 
Acinetobacter baumannii Naval-2 (903922.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2315, 3078	 	 	 	 
Acinetobacter baumannii Naval-21 (903923.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1948, 286, 60	 	 	 	 
Acinetobacter baumannii Naval-57 (903927.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1630, 1929, 2341	 	 	 	 
Acinetobacter baumannii Naval-72 (903908.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1991, 2864, 634	 	 	 	 
Acinetobacter baumannii Naval-78 (903936.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1764, 3196	 	 	 	 
Acinetobacter baumannii Naval-81 (903898.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1998, 2226, 3657	 	 	 	 
Acinetobacter baumannii Naval-82 (903921.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1462, 186, 481	 	 	 	 
Acinetobacter baumannii Naval-83 (903909.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1032, 1113, 2885	 	 	 	 
Acinetobacter baumannii NIPH 1362 (1217642.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3027, 637	 	 	 	 
Acinetobacter baumannii NIPH 146 (1217639.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2773, 3351, 3502	 	 	 	 
Acinetobacter baumannii NIPH 1669 (1217643.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1357, 670, 837	 	 	 	 
Acinetobacter baumannii NIPH 1734 (1217644.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1344, 829	 	 	 	 
Acinetobacter baumannii NIPH 190 (1217640.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2450	 	2448	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1437, 659, 817	 	 	 	 
Acinetobacter baumannii NIPH 201 (1217630.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1348, 652	 	 	 	 
Acinetobacter baumannii NIPH 2061 (1217645.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2388, 3048	 	 	 	 
Acinetobacter baumannii NIPH 24 (1217646.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1399, 634	 	 	 	 
Acinetobacter baumannii NIPH 290 (1217631.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1565, 674, 902	 	 	 	 
Acinetobacter baumannii NIPH 329 (1217632.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1290, 644, 797	 	 	 	 
Acinetobacter baumannii NIPH 335 (1217633.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1414, 678	 	 	 	 
Acinetobacter baumannii NIPH 410 (1217634.3)	3855	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1566	 	 	 	 
Acinetobacter baumannii NIPH 527 (1217635.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1503, 633, 857	 	 	 	 
Acinetobacter baumannii NIPH 528 (1217636.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2252, 2977	 	 	 	 
Acinetobacter baumannii NIPH 60 (1217647.3)	3214	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	861	 	 	 	 
Acinetobacter baumannii NIPH 601 (1217637.3)	3580	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1322, 641, 796	 	 	 	 
Acinetobacter baumannii NIPH 615 (1217641.3)	3624	 	 	 	 	 	 	 	 	 	 	 	 	 	1481	 	1479	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2736, 3275, 3465	 	 	 	 
