Organism	gdhA	proB	proA	proC	ocd1	ocd2
Propionibacterium acnes KPA171202 (267747.3)	 	869	 	329_5	 	1327
Propionibacterium acnes SK137 (553199.9)	 	886	887	358_5	 	 
Propionibacterium acnes SK182 (679193.4)	 	395	396	2237_5	 	 
Propionibacterium acnes SK182B-JCVI (1051006.4)	18_1	654	653	1342_5	 	 
Propionibacterium acnes SK187 (686659.3)	2051_1	1937	1938	365_5	 	 
Propionibacterium acnes TypeIA2 P.acn17 (1114967.3)	 	879	880	341_5	 	1344, 2369
Propionibacterium acnes TypeIA2 P.acn31 (1114969.3)	 	873	874	337_5	 	1339
Propionibacterium acnes TypeIA2 P.acn33 (1114966.3)	1575_1, 1576_1	860	861	325_5	 	1323
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 (754252.3)	 	846	 	1925_5	 	 
Bifidobacterium adolescentis ATCC 15703 (367928.6)	 	262	974	660_5	 	 
Bifidobacterium adolescentis L2-32 (411481.5)	302_1	553	1543	953_5	 	 
Bifidobacterium animalis subsp. lactis BB-12 (552531.3)	499_1	798	 	1532_5	 	 
Bifidobacterium animalis subsp. lactis BLC1 (1075106.4)	10_1	311	 	1047_5	 	 
Bifidobacterium animalis subsp. lactis Bl-04 (580050.3)	 	311	 	1054_5	 	 
Bifidobacterium animalis subsp. lactis CNCM I-2494 (1042403.4)	10_1	309	 	1044_5	 	 
Bifidobacterium animalis subsp. lactis DSM 10140 (555970.3)	 	311	 	1054_5	 	 
Bifidobacterium animalis subsp. lactis HN019 (486409.3)	 	532	 	74_5	 	 
Bifidobacterium animalis subsp. lactis V9 (573236.3)	10_1	310	 	1048_5	 	 
Bifidobacterium bifidum NCIMB 41171 (398513.5)	1765_1	927	554	629_5	 	 
Bifidobacterium bifidum PRL2010 (702459.3)	22_1	267	1168	1246_5	 	 
Bifidobacterium bifidum S17 (883062.5)	17_1	282	1107	1197_5	 	 
Bifidobacterium breve ACS-071-V-Sch8b (866777.3)	13_1	1767	1115	1012_5	 	 
Bifidobacterium breve UCC2003 (326426.4)	 	1860	 	880_5	 	 
Bifidobacterium dentium ATCC 27678 (473819.7)	 	380	 	2073_5	 	 
Bifidobacterium dentium ATCC 27679 (871562.3)	682_1	357	1453	1981_5	 	 
Bifidobacterium dentium Bd1 (401473.3)	 	335	 	787_5	 	 
Bifidobacterium dentium JCVIHMP022 (553191.3)	1202_1	2165	188	849_5	 	 
Bifidobacterium gallicum DSM 20093 (561180.4)	1344_1	1551	642	50_5	 	 
Bifidobacterium longum NCC2705 (206672.9)	1363_1	1572	738	628_5	 	 
Bifidobacterium longum subsp. infantis 157F (565040.3)	10_1	1863	622	741_5	 	 
Bifidobacterium longum subsp. infantis ATCC 55813 (548480.3)	1561_1	1095	107	400_5	 	 
Bifidobacterium longum subsp. infantis CCUG 52486 (537937.5)	617_1	1843	15	1027_5	 	 
Bifidobacterium longum subsp. longum BBMN68 (890402.3)	1406_1	1598	800	692_5	 	 
Bifidobacterium longum subsp. longum F8 (722911.3)	1486_1	1742	605	501_5	 	 
Bifidobacterium longum subsp. longum JCM 1217 (565042.3)	10_1	1806	615	719_5	 	 
Bifidobacterium longum subsp. longum JDM301 (759350.3)	9_1	1797	671	1379_5, 801_5	 	 
Bifidobacterium longum subsp. longum KACC 91563 (1035817.4)	1868_1	112	1269	1159_5	 	 
Scardovia inopinata F0304 (641146.3)	498_1	 	 	 	 	 
Atopobium parvulum DSM 20469 (521095.6)	 	 	 	 	 	 
Atopobium rimae ATCC 49626 (553184.4)	268_1	 	 	 	 	 
Collinsella aerofaciens ATCC 25986 (411903.6)	161_1	1371	1374	1004_5	 	 
Collinsella intestinalis DSM 13280 (521003.7)	 	46	 	1481_5	 	 
Collinsella stercoris DSM 13279 (445975.6)	1328_1	1420	1426	659_5	 	 
Cryptobacterium curtum DSM 15641 (469378.5)	 	 	 	 	 	 
Eggerthella lenta DSM 2243 (479437.5)	 	2075	 	2356_5	 	 
Eggerthella sp. 1_3_56FAA (665943.3)	 	363	475	912_5	 	 
Eggerthella sp. YY7918 (502558.4)	1176_1	1842	1841	1926_5	 	 
Gordonibacter pamelaeae 7-10-1-b (657308.3)	105_1	2482	2989	 	 	 
Olsenella uli DSM 7084 (633147.4)	789_1	876	364	1101_5	 	 
Slackia exigua ATCC 700122 (649764.3)	222_1	502	501	323_5	 	 
Actinomyces cardiffensis F0333 (888050.3)	1783_1	73	71	1637_5	 	 
Actinomyces graevenitzii C83 (435830.3)	1058_1	 	 	 	 	 
Actinomyces naeslundii str. Howell 279 (1115803.3)	653, 653, 933_1	2573	2572	1401_5	 	 
Actinomyces turicensis ACS-279-V-Col4 (883077.3)	732_1	1450	1449	1097_5	 	 
Corynebacterium aurimucosum ATCC 700975 (Prj:31451) (548476.7)	1996_1	2255	2251	1610_5	 	1733
Corynebacterium durum F0235 (1035195.3)	1400_1	1728	1727	526_5	 	 
Corynebacterium propinquum DSM 44285 (1121367.3)	333_1	1479	1482	1915_5	 	1427, 274, 460, 658
Gordonia rubripertincta NBRC 101908 (1077975.4)	1273_1	2820	3204	272_5	 	 
Gordonia terrae C-6 (1316928.3)	2069_1	1153	831	1603_5	 	3192
Gordonia terrae NBRC 100016 (1089454.3)	139_1	1125	4446	1405_5	 	 
Mycobacterium avium subsp. paratuberculosis JQ6 (1112208.3)	 	4097	4114	1765_5, 1766_5	 	 
Mycobacterium avium subsp. paratuberculosis MAP4 (1199187.3)	 	1605	1621	4235_5	 	 
Mycobacterium avium subsp. paratuberculosis S5 (1247747.5)	 	2818	2803	4462_5	 	 
Mycobacterium abscessus 3A-0119-R (1001721.3)	3942_1	1693	1698	4263_5	 	 
Mycobacterium abscessus 3A-0122-R (1001715.3)	3969_1	1733	1738	4299_5	 	 
Mycobacterium abscessus 3A-0122-S (1001716.3)	3518_1	1256	1261	4078_5	 	 
Mycobacterium abscessus 3A-0731 (1001718.3)	4051_1	1643	1648	4343_5	 	 
Mycobacterium abscessus 3A-0810-R (1001717.3)	3977_1	1701	1706	4268_5	 	 
Mycobacterium abscessus 3A-0930-R (1001720.3)	3946_1	1741	1746	4213_5	 	 
Mycobacterium abscessus 3A-0930-S (1001719.3)	3876_1	1314	1319	4141_5	 	 
Mycobacterium abscessus 47J26 (1087483.3)	91_1	2276	2281	2980_5	 	 
Mycobacterium abscessus 4S-0116-R (1001725.3)	3578_1	1674	1680	3786_5	 	 
Mycobacterium abscessus 4S-0116-S (1001724.3)	2670_1	572	578	2878_5	 	 
Mycobacterium abscessus 4S-0206 (1001723.3)	3579_1	830	836	3786_5	 	 
Mycobacterium abscessus 4S-0303 (1001722.3)	3571_1	1877	1883	3779_5	 	 
Mycobacterium abscessus 4S-0726-RA (1001726.3)	3505_1	1425	1431	3713_5	 	 
Mycobacterium abscessus 4S-0726-RB (1001727.3)	3118_1	1011	1017	3326_5	 	 
Mycobacterium abscessus 5S-0304 (1001728.3)	3059_1	592	597	3345_5	 	 
Mycobacterium abscessus 5S-0421 (1001729.3)	3311_1	846	851	3596_5	 	 
Mycobacterium abscessus 5S-0422 (1001731.3)	4181_1	1541	1546	4466_5	 	 
Mycobacterium abscessus 5S-0708 (1001730.3)	3035_1	1058	1063	3321_5	 	 
Mycobacterium abscessus 5S-0817 (1001735.3)	2662_1	625	630	2946_5	 	 
Mycobacterium abscessus 5S-0921 (1001732.3)	3960_1	1284	1289	4246_5	 	 
Mycobacterium abscessus 5S-1212 (1001733.3)	2791_1	1000	1005	3075_5	 	 
Mycobacterium abscessus 5S-1215 (1001734.3)	3136_1	1413	1408	3343_5	 	 
Mycobacterium abscessus 6G-0125-R (1001740.3)	2888_1	670	675	3097_5	 	 
Mycobacterium abscessus 6G-0212 (1001739.3)	3877_1	1663	1668	4086_5	 	 
Mycobacterium abscessus 9808 (1246644.3)	4092_1	2468	2473	4367_5	 	 
Mycobacterium abscessus M115 (1162287.3)	878_1	3245	3240	655_5	 	 
Mycobacterium abscessus M139 (1175632.3)	579_1	2106	2101	784_5	 	 
Mycobacterium abscessus M152 (1176125.3)	1770_1	940	935	4836_5	 	 
Mycobacterium abscessus M154 (1162288.3)	1173_1	1694	1689	969_5	 	 
Mycobacterium abscessus M156 (1185414.3)	2343_1	1488	1483	980_5	 	 
Mycobacterium abscessus M159 (1162285.3)	2335_1	2843	2848	639_5	 	 
Mycobacterium abscessus M172 (1162286.3)	1501_1	3006	3001	1296_5	 	 
Mycobacterium abscessus M24 (1162284.3)	2589_1	5139	5134	1991_5	 	 
Mycobacterium abscessus M93 (1149134.5)	1046_1	4004	4009	840_5	 	 
Mycobacterium abscessus M94 (1158135.4)	3111_1	1399	1404	2786_5	 	 
Mycobacterium abscessus subsp. bolletii 50594 (1303024.3)	3900_1	1776	1781	4106_5	 	 
Mycobacterium abscessus subsp. bolletii BD (1091046.3)	3657_1	1595	1600	3928_5	 	 
Mycobacterium fortuitum subsp. fortuitum DSM 46621 (1214102.3)	2533, 2533, 3121_1	4788	4779	1762_5	 	 
Rhodococcus erythropolis XP (1078016.3)	5814_1	5743	5731	208_5, 2951_5	 	 
Brevibacterium casei S18 (1229781.4)	1978, 1978	480	481	2942_5	 	1139
Brevibacterium massiliense 5401308 (1176165.3)	612_1	1385	1384	579_5	 	 
Brachybacterium paraconglomeratum LC44 (1064537.3)	3073_1	2725	2723	1290_5	 	2734, 898
Curtobacterium flaccumfaciens UCD-AKU (1292022.3)	 	2054	2051	1581_5	 	2532
Microbacterium paraoxydans 77MFTsu3.2 (1151126.3)	 	1123	1124	1378_5	 	 
Kocuria palustris PEL (1236550.3)	840_1	602	603	834_5	 	1283, 649
Rothia aeria F0474 (1125724.3)	 	 	 	1226_5	 	1419
Rothia mucilaginosa M508 (563033.4)	 	 	 	346_5	 	99
Propionibacterium acidipropionici ATCC 4875 (1171373.8)	 	1329	 	2754_5, 683_5	 	 
Propionibacterium acnes C1 (1234380.3)	1648_1	920	921	344_5	 	1394
Propionibacterium acnes FZ1/2/0 (1276649.3)	 	879	880	340_5	 	1344
Propionibacterium acnes HL096PA1 (1134454.3)	 	1428	1427	377_5	 	 
Propionibacterium acnes PRP-38 (1136877.3)	2266_1	1580	1581	1054_5	 	654
Propionibacterium avidum 44067 (1170318.3)	702_1	1378	1377	1839_5	 	 
Propionibacterium avidum ATCC 25577 (997355.3)	138_1	2065	2064	1356_5	 	 
Propionibacterium propionicum F0230a (767029.3)	1087_1	1776	1775	418_5	 	 
Bifidobacterium angulatum DSM 20098 = JCM 7096 (518635.7)	208_1	365	1104	978_5	 	 
Bifidobacterium animalis subsp. animalis ATCC 25527 (703613.4)	10_1	327	753	1059_5	 	 
Bifidobacterium animalis subsp. lactis B420 (1168290.3)	10_1	310	 	1044_5	 	 
Bifidobacterium animalis subsp. lactis BS 01 (911598.3)	56_1	359	 	1099_5	 	 
Bifidobacterium animalis subsp. lactis Bi-07 (742729.3)	10_1	309	 	1044_5	 	 
Bifidobacterium bifidum BGN4 (484020.3)	17_1	234	1042	1121_5	 	 
Bifidobacterium bifidum LMG 13195 (1207542.3)	1370_1	123	1741	1245_5	 	 
Bifidobacterium breve CECT 7263 (1036735.3)	1631_1	400	52	1952_5	 	 
Bifidobacterium breve DPC 6330 (1074482.3)	751_1	216	1465	1602_5	 	 
Bifidobacterium breve DSM 20213 = JCM 1192 (518634.7)	83_1	1322	741	856_5	 	 
Bifidobacterium breve HPH0326 (1203540.3)	83_1	1240	1983	2093_5	 	 
Bifidobacterium catenulatum DSM 16992 = JCM 1194 (566552.6)	34_1	1440	601	1689_5	 	 
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 (391904.8)	 	2373	1918	1758_5, 768_5	 	 
Bifidobacterium longum subsp. longum 1-6B (1161744.3)	2197_1	126	181	570_5	 	 
Bifidobacterium longum subsp. longum 2-2B (1161745.3)	723_1	230	2075	1820_5	 	 
Bifidobacterium longum subsp. longum 35B (1161904.3)	1269_1	847	1345	969_5	 	 
Bifidobacterium longum subsp. longum 44B (1161743.3)	320_1	1784	1804	839_5	 	 
Bifidobacterium longum subsp. longum CMCC P0001 (1266716.3)	539_1	1412	96	653_5, 991_5	 	 
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 (547043.8)	1493_1	376	1302	1859_5	 	 
Bifidobacterium thermophilum RBL67 (1254439.12)	10_1	1522	1731	794_5, 795_5	 	 
Atopobium minutum 10063974 (997872.3)	645_1	 	 	 	 	 
Collinsella tanakaei YIT 12063 (742742.3)	530_1	1658	1660	936_5	 	 
Slackia piriformis YIT 12062 (742818.3)	990_1	1068	1067	426_5	 	 
Bacteroides fragilis ATCC 25285 (272559.3)	 	298	 	429_5	 	 
Bacteroides caccae ATCC 43185 (411901.7)	 	3065	 	3099_5	 	 
Bacteroides caccae CL03T12C61 (997873.3)	4453_2	3608	3609	3588_5	 	 
Bacteroides capillosus ATCC 29799 (411467.6)	1780_1	93	94	1624_5	 	 
Bacteroides cellulosilyticus CL02T12C19 (997874.3)	2734_2, 2759_2_1, 2759_2_1	2446	2429	2478_5	 	 
Bacteroides cellulosilyticus DSM 14838 (537012.5)	4843_2_1, 4843_2_1, 4867_2, 4868_2	2274	1005	 	 	2696
Bacteroides clarus YIT 12056 (762984.3)	2977_2, 2997_2_1, 2997_2_1	1606	1605	1626_5	 	 
Bacteroides coprocola DSM 17136 (470145.6)	257_2, 272_2_1, 272_2_1	3550	3317	2620_5	 	 
Bacteroides coprophilus DSM 18228 (547042.5)	1903_2_1, 1903_2_1, 2995_2	3038	3039	2815_5	 	 
Bacteroides dorei CL02T00C15 (997875.3)	2490_2, 2497_2_1, 2497_2_1	3629	3628	3653_5	 	 
Bacteroides dorei CL02T12C06 (997876.3)	4673_2, 4680_2_1, 4680_2_1	4350	4349	4376_5	 	 
Bacteroides dorei CL03T12C01 (997877.3)	3693_2_1, 3693_2_1	4352	4353	3162_5	 	 
Bacteroides dorei DSM 17855 (483217.6)	193_2_1, 193_2_1	1071	1072	1041_5	 	 
Bacteroides eggerthii 1_2_48FAA (665953.3)	1768_2	714	 	3640_5	 	 
Bacteroides eggerthii DSM 20697 (483216.6)	 	3366	 	3401_5	 	 
Bacteroides faecis MAJ27 (1077285.3)	4420_2_1, 4420_2_1, 4424_2	1187	1186	1217_5	 	 
Bacteroides finegoldii DSM 17565 (483215.6)	1412_2_1, 1412_2_1, 1421_2	2660	2661	2610_5	 	 
Bacteroides fluxus YIT 12057 (763034.3)	1166_2, 1185_2_1, 1185_2_1	3053	3052	3073_5	 	 
Bacteroides fragilis 3_1_12 (457424.5)	3826_2_1, 3826_2_1, 3849_2	2474	2475	2445_5	 	 
Bacteroides fragilis 638R (862962.3)	3555_2_1, 3555_2_1	524	523	543_5	 	 
Bacteroides fragilis CL03T00C08 (997878.3)	3646_2_1, 3646_2_1	486	485	505_5	 	 
Bacteroides fragilis CL03T12C07 (997879.3)	2477_2_1, 2477_2_1	1011	1010	1030_5	 	 
Bacteroides fragilis CL05T00C42 (997880.3)	3488_2_1, 3488_2_1	2147	2146	2166_5	 	 
Bacteroides fragilis CL05T12C13 (997881.3)	2984_2_1, 2984_2_1	486	485	505_5	 	 
Bacteroides fragilis CL07T00C01 (997882.3)	3580_2_1, 3580_2_1	2470	2471	2451_5	 	 
Bacteroides fragilis CL07T12C05 (997883.3)	3178_2_1, 3178_2_1	570	569	590_5	 	 
Bacteroides fragilis HMW 610 (1073386.3)	1857_2_1, 1857_2_1, 1882_2	3614	3615	3572_5	 	 
Bacteroides fragilis HMW 615 (1073387.4)	3931_2_1, 3931_2_1, 3957_2	701	702	682_5	 	 
Bacteroides fragilis HMW 616 (1073388.3)	2986_2_1, 2986_2_1, 3010_2	4471	4470	4490_5	 	 
Bacteroides fragilis NCTC 9343 (272559.17)	 	438	 	469_5	 	 
Bacteroides fragilis YCH46 (295405.11)	3465_2_1, 3465_2_1, 3488_2	515	 	546_5	 	 
Bacteroides intestinalis DSM 17393 (471870.8)	 	577	 	556_5	 	 
Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 (1121098.4)	1925_2_1, 1925_2_1, 1931_2	3405	3406	2182_5	 	 
Bacteroides massiliensis dnLKV3 (1235788.3)	2875_2, 3881_2_1, 3881_2_1	988	989	955_5	 	 
Bacteroides nordii CL02T12C05 (997884.3)	3894_1, 3902_2_1, 3902_2_1	763	762	806_5	 	 
Bacteroides oleiciplenus YIT 12058 (742727.4)	3339_2, 3386_2_1, 3386_2_1	1934	1965	1911_5	 	 
Bacteroides ovatus 3_8_47FAA (665954.3)	4345_2, 4365_2_1, 4365_2_1	2773	2776	2725_5, 4529_5	 	 
Bacteroides ovatus ATCC 8483 (411476.11)	1721_2_1, 1721_2_1, 1933_2	2991	2988	3037_5, 531_5	 	 
Bacteroides ovatus CL02T12C04 (997885.3)	3872_2_1, 3872_2_1, 3894_2	4344	4348	4297_5, 5732_5	 	 
Bacteroides ovatus CL03T12C18 (997886.3)	3574_2_1, 3574_2_1, 3585_2	1223	1219	1273_5, 5211_5	 	 
Bacteroides ovatus SD CC 2a (702444.3)	4720_2, 4728_2_1, 4728_2_1	475	473	1414_5	 	 
Bacteroides pectinophilus ATCC 43243 (483218.5)	 	1946	 	2139_5	 	 
Bacteroides plebeius DSM 17135 (484018.6)	1743_2, 1760_2_1, 1760_2_1	3401	3324	3371_5	 	 
Bacteroides salyersiae CL02T12C01 (997887.3)	4582_2, 4587_2_1, 4587_2_1	1201	1202	1162_5	 	 
Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 (1121101.3)	3802_2_1, 3802_2_1, 3806_2	1462	1463	1434_5	 	1716
Bacteroides sp. 1_1_14 (469585.3)	2026_2, 2029_2_1, 2029_2_1	3649	3648	1479_5, 3689_5	 	 
Bacteroides sp. 1_1_30 (457387.3)	1273_2, 1287_2_1, 1287_2_1	4547	4545	4433_5, 4576_5	 	 
Bacteroides sp. 1_1_6 (469586.3)	3117_2_1, 3117_2_1	3517	3516	3555_5	 	 
Bacteroides sp. 20_3 (469591.4)	904_2, 909_2_1, 909_2_1	4370	4371	4363_5	 	 
Bacteroides sp. 2_1_22 (469588.3)	1664_2, 1672_2_1, 1672_2_1	1081	1082	1032_5	 	 
Bacteroides sp. 2_1_33B (469589.3)	1362_2_1, 1362_2_1, 1367_2	2819	2820	2812_5	 	1236
Bacteroides sp. 2_1_7 (457388.5)	671_2_1, 671_2_1, 676_2	2343	2344	2335_5	 	 
Bacteroides sp. 2_2_4 (469590.5)	3250_2, 3269_2_1, 3269_2_1	3465	3466	3435_5, 370_5	 	 
Bacteroides sp. 3_1_19 (469592.4)	694_2, 699_2_1, 699_2_1	2092	2091	2100_5	 	2728
