Organism	PANF	KPHMT	KPRED	ASPDC	PBAL	PANK	PPCS	PPCDC	DPCK	PPAT	PanT
Rhodococcus erythropolis PR4 (234621.6)	 	4168	 	1081	1080	1082_9, 4795_7	3511	3511	3817_12	1600_16, 2933_15	 
Rhodococcus erythropolis SK121 (596309.3)	1578_1	1890	 	5514	5513	5372_7, 5515_9	4960	4960	4222_12	2912_15, 5941_16	 
Brevibacterium linens BL2 (321955.4)	3419	3465	2225	 	3464	2343_7	134	134	103_12	3021_16, 3591_15	 
Kytococcus sedentarius DSM 20547 (478801.5)	400	 	 	 	 	688_7	1211	1211	1237_12	1027_15, 1510_16	 
Kocuria rhizophila DC2201 (378753.5)	493_1	1069	 	365	1927	639_7	1311	1311	1176_12, 1177_12	1015_15, 1415_16	 
Kocuria rhizophila P7-4 (1029824.3)	2306	76	 	1108	1695	732_7	361	361	234_12	1842_16, 32_15	 
Micrococcus luteus NCTC 2665 (465515.4)	1916_1, 747	1286	 	1962	122	1618_7	1194	1194	1059_12, 1060_12	1257_16, 846_15	 
Micrococcus luteus SK58 (596312.3)	2143_1	1031	 	285	1094	1924_7	1569	1569	923_12	1267_15, 2257_16	 
Rothia dentocariosa ATCC 17931 (762948.4)	412	1651	 	 	690	263_7	1939	1939	1796_12	1724_16, 2091_15	 
Rothia dentocariosa M567 (563032.4)	1422_1	73	 	 	629	1276_7	361	361	220_12	145_16, 952_15	 
Rothia mucilaginosa ATCC 25296 (553201.3)	792_1	289	 	 	167	923_7	1179	1179	1589_12	352_16, 610_15	 
Rothia mucilaginosa DY-18 (680646.3)	315_1	1152	 	 	138	444_7	863	863	1000_12	1088_16, 708_15	 
Tropheryma whipplei TW08/27 (218496.4)	 	581	 	 	77	196_7	475	475	547_12	255_15	 
Tropheryma whipplei str. Twist (203267.6)	 	389	 	 	77	198_7	495	495	424_12	716_15	 
Micromonospora aurantiaca ATCC 27029 (644283.3)	 	4391	4736	2526	2527	2522_9, 4661_7	3482	3482	1874_12	239_15, 6113_16	 
Propionibacterium acnes 266 (909952.3)	 	 	1027	 	 	1861_7	1240	1240	833_12	1093_16, 1537_15	 
Propionibacterium acnes 6609 (1031709.3)	 	 	1045	 	 	1899_7	1260	1260	842_12	1111_16, 1551_15	 
Propionibacterium acnes ATCC 11828 (1091045.3)	 	 	1994	 	 	378_7	1779	1779	2158_12	1924_16, 58_15	 
Propionibacterium acnes HL001PA1 (765105.8)	 	 	1220, 1221	 	 	341_7	1004	1004	1389_12	1150_16, 594_15	 
Propionibacterium acnes HL002PA1 (765115.3)	 	 	1479	 	 	1924_7	1695	1695	1283_12	1545_16, 2236_15	 
Propionibacterium acnes HL002PA2 (765116.3)	 	 	1972	 	 	1399_7	1756	1756	2165_12	152_15, 1906_16	 
Propionibacterium acnes HL002PA3 (765117.3)	 	 	1874	 	 	621_7	1659	1659	2066_12	1808_16, 469_15	 
Propionibacterium acnes HL005PA1 (765096.3)	 	 	2031	 	 	973_7	1819	1819	2225_12	1363_15, 1965_16	 
Propionibacterium acnes HL005PA2 (765097.3)	 	 	594	 	 	2230_7	383	383	787_12	1770_15, 528_16	 
Propionibacterium acnes HL005PA4 (765099.3)	 	 	1355	 	 	2252_7	1140	1140	1546_12	1288_16, 2065_15	 
Propionibacterium acnes HL007PA1 (765118.3)	 	 	1832	 	 	2228_7	2045	2045	1640_12	1169_15, 1898_16	 
Propionibacterium acnes HL013PA1 (765069.3)	 	 	1239	 	 	2303_7	1025	1025	1431_12	1172_16, 1999_15	 
Propionibacterium acnes HL013PA2 (765070.3)	 	 	2147	 	 	428_7	1937	1937	2340_12	2082_16, 973_15	 
Propionibacterium acnes HL020PA1 (765065.3)	 	 	1747	 	 	1108_7	1535	1535	1938_12	1682_16, 2340_15	 
Propionibacterium acnes HL025PA1 (765089.3)	 	 	1710	 	 	2367_7	1497	1497	1909_12	1080_15, 1645_16	 
Propionibacterium acnes HL027PA1 (765111.3)	 	 	1070	 	 	98_7	1286	1286	875_12	1137_16, 2301_15	 
Propionibacterium acnes HL027PA2 (765112.3)	 	 	588	 	 	1669_7	374	374	776_12	1447_15, 522_16	 
Propionibacterium acnes HL030PA1 (765103.3)	 	 	2338	 	 	1792_7	2124	2124	916_12	1186_15, 2271_16	 
Propionibacterium acnes HL036PA1 (765106.3)	 	 	1771	 	 	2305_7	1983	1983	1580_12	158_15, 1837_16	 
Propionibacterium acnes HL036PA2 (765107.3)	 	 	1879	 	 	1327_7	1665	1665	2071_12	1029_15, 1813_16	 
Propionibacterium acnes HL037PA1 (765122.3)	 	 	1953	 	 	78_7	2167	2167	1757_12	1444_15, 2019_16	 
Propionibacterium acnes HL037PA2 (765123.3)	 	 	496	 	 	1755_8	268	268	710_12	1181_15, 416_16	 
Propionibacterium acnes HL038PA1 (765085.3)	 	 	1634	 	 	1083_7	1846	1846	1443_12	1699_16, 2428_15	 
Propionibacterium acnes HL043PA1 (765072.3)	 	 	830	 	 	2045_7	1041	1041	638_12	1872_15, 896_16	 
Propionibacterium acnes HL043PA2 (765073.3)	 	 	1588	 	 	591_7	1375	1375	1780_12	1522_16, 2124_15	 
Propionibacterium acnes HL044PA1 (765109.3)	 	 	1992	 	 	354_8	2354	2354	244_12	1729_15, 2068_16	 
Propionibacterium acnes HL045PA1 (765068.3)	 	 	1847	 	 	2340_7	2057	2057	1652_12	1245_15, 1912_16	 
Propionibacterium acnes HL046PA1 (765094.3)	 	 	1528	 	 	2077_7	1314	1314	1727_12	1462_16, 2254_15	 
Propionibacterium acnes HL046PA2 (765095.3)	 	 	1098	 	 	1709_7	1309	1309	906_12	1164_16, 76_15	 
Propionibacterium acnes HL050PA1 (765100.3)	 	 	1098	 	 	1626_7	1313	1313	904_12	1165_16, 83_15	 
Propionibacterium acnes HL050PA2 (765101.3)	 	 	1883	 	 	1350_7	1669	1669	2052_12	1095_15, 1813_16	 
Propionibacterium acnes HL050PA3 (765102.3)	 	 	1729	 	 	2316_7	1945	1945	1536_12	1179_15, 1796_16	 
Propionibacterium acnes HL053PA1 (765066.3)	 	 	1901	 	 	2279_7	2112	2112	1710_12	1220_15, 1967_16	 
Propionibacterium acnes HL053PA2 (765067.3)	 	 	1802	 	 	2344_7	1588	1588	1999_12	153_15, 1736_16	 
Propionibacterium acnes HL056PA1 (765119.3)	 	 	1150	 	 	2307_7	1363	1363	956_12	114_15, 1216_16	 
Propionibacterium acnes HL059PA1 (765091.3)	 	 	1118	 	 	597_7	906	906	1313_12	1052_16, 447_15	 
Propionibacterium acnes HL059PA2 (765092.3)	 	 	1640	 	 	2320_7	1854	1854	1448_12	1130_15, 1707_16	 
Propionibacterium acnes HL063PA1 (765113.3)	 	 	1801	 	 	2336_7	2014	2014	1607_12	1200_15, 1867_16	 
Propionibacterium acnes HL063PA2 (765114.3)	 	 	1995	 	 	1416_7	2210	2210	1803_12	2063_16, 262_15	 
Propionibacterium acnes HL067PA1 (765110.3)	 	 	691	 	 	2272_7	904	904	501_12	1956_15, 757_16	 
Propionibacterium acnes HL072PA1 (765074.3)	 	 	1373	 	 	127_7	1586	1586	1182_12	1439_16, 828_15	 
Propionibacterium acnes HL072PA2 (765075.3)	 	 	2103	 	 	800_7	1892	1892	2299_12	1705_15, 2038_16	 
Propionibacterium acnes HL074PA1 (765076.3)	 	 	1285	 	 	472_7	1496	1496	1090_12	1351_16, 161_15	 
Propionibacterium acnes HL078PA1 (765071.3)	 	 	1831	 	 	2434_7	1617	1617	2028_12	1212_15, 1763_16	 
Propionibacterium acnes HL082PA1 (765120.3)	 	 	2011	 	 	1329_7	1795	1795	2209_12	1066_15, 1944_16	 
Propionibacterium acnes HL082PA2 (765121.3)	 	 	705, 706	 	 	2380_7	491	491	874_12	1296_15, 638_16	 
Propionibacterium acnes HL083PA1 (765087.3)	 	 	2010	 	 	1644_7	2223	2223	1816_12	2077_16, 582_15	 
Propionibacterium acnes HL083PA2 (765088.3)	 	 	1631	 	 	2331_7	1846	1846	1437_12	1698_16, 256_15	 
Propionibacterium acnes HL086PA1 (765093.3)	 	 	1711	 	 	2338_7	1924	1924	1514_12	1778_16, 431_15	 
Propionibacterium acnes HL087PA2 (765082.3)	 	 	1223	 	 	90_7	1438	1438	1031_12	1290_16, 769_15	 
Propionibacterium acnes HL087PA3 (765083.3)	 	 	2015	 	 	1547_7	1799	1799	2210_12	1117_15, 1949_16	 
Propionibacterium acnes HL092PA1 (765086.3)	 	 	1435	 	 	2282_7	1647	1647	1240_12	1501_16, 2034_15	 
Propionibacterium acnes HL096PA2 (765058.3)	 	 	1963	 	 	2379_7	2174	2174	1773_12	1325_15, 2028_16	 
Propionibacterium acnes HL096PA3 (765057.3)	 	 	1125	 	 	2428_7	912	912	1320_12	1059_16, 1743_15	 
Propionibacterium acnes HL097PA1 (765064.3)	 	 	2043	 	 	1443_7	2254	2254	1841_12	1107_15, 2108_16	 
Propionibacterium acnes HL099PA1 (765063.3)	 	 	1494	 	 	870_7	1283	1283	1685_12	1428_16, 2012_15	 
Propionibacterium acnes HL103PA1 (765061.3)	 	 	1643, 1644	 	 	2253_7	1431	1431	1813_12	1035_15, 1577_16	 
Propionibacterium acnes HL110PA1 (765077.3)	 	 	2009	 	 	780_7	1797	1797	2203_12	1942_16, 292_15	 
Propionibacterium acnes HL110PA2 (765078.3)	 	 	1551	 	 	2372_7	1765	1765	1351_12	1617_16, 2144_15	 
Propionibacterium acnes HL110PA3 (765079.3)	 	 	1911	 	 	976_7	1695	1695	2074_12	1295_15, 1844_16	 
Propionibacterium acnes HL110PA4 (765080.3)	 	 	742	 	 	2083_7	526	526	904_12	1813_15, 675_16	 
Propionibacterium acnes J139 (679194.3)	 	 	997	 	 	1968_7	805	805	1146_12	1483_15, 937_16	 
Propionibacterium acnes J165 (679195.3)	 	 	641	 	 	1058_7	1892	1892	56_12	2015_15, 705_16	 
Propionibacterium acnes KPA171202 (267747.3)	 	 	1020	 	 	1857_7	1229	1229	822_12	1085_16, 1508_15	 
Propionibacterium acnes SK137 (553199.9)	 	 	1030	 	 	1823_7	1239	1239	844_12	1095_16, 1508_15	 
Propionibacterium acnes SK182 (679193.4)	 	 	544	 	 	1157_7	754	754	352_12	1335_15, 609_16	 
Propionibacterium acnes SK182B-JCVI (1051006.4)	 	 	521	 	 	1806_7	324	324	687_12	464_16, 70_15	 
Propionibacterium acnes SK187 (686659.3)	 	 	928	 	 	804_7	1129	1129	1895_12	2094_15, 992_16	 
Propionibacterium acnes TypeIA2 P.acn17 (1114967.3)	 	 	1029	 	 	1852_7	1243	1243	835_12	1093_16, 1539_15	 
Propionibacterium acnes TypeIA2 P.acn31 (1114969.3)	 	 	1023	 	 	1846_7	1238	1238	831_12	1088_16, 1534_15	 
Propionibacterium acnes TypeIA2 P.acn33 (1114966.3)	 	 	1010	 	 	1836_7	1221	1221	817_12	1074_16, 1521_15	 
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 (754252.3)	 	 	1263, 140, 2214, 497	 	 	628_7	124	124	1496_12	1259_16, 1409_15	 
Bifidobacterium adolescentis ATCC 15703 (367928.6)	19	 	 	 	 	513_9	514	514	 	243_15	 
Bifidobacterium adolescentis L2-32 (411481.5)	310	 	839	 	 	804_9	805	805	1290_12, 1291_12	535_15	 
Bifidobacterium animalis subsp. lactis BB-12 (552531.3)	 	 	150	 	 	1053_9	 	 	1462_12	773_15	 
Bifidobacterium animalis subsp. lactis BLC1 (1075106.4)	 	 	1272	 	 	563_9	 	 	978_12	286_15	 
Bifidobacterium animalis subsp. lactis Bl-04 (580050.3)	 	 	1278	 	 	565_9	 	 	985_12	286_15	 
Bifidobacterium animalis subsp. lactis CNCM I-2494 (1042403.4)	 	 	1270	 	 	560_9	 	 	976_12	284_15	 
Bifidobacterium animalis subsp. lactis DSM 10140 (555970.3)	 	 	1279	 	 	565_9	 	 	985_12	286_15	 
Bifidobacterium animalis subsp. lactis HN019 (486409.3)	 	 	1012	 	 	1199_9	 	 	144_12	507_15	 
Bifidobacterium animalis subsp. lactis V9 (573236.3)	 	 	1276	 	 	563_9	 	 	979_12	285_15	 
Bifidobacterium bifidum NCIMB 41171 (398513.5)	 	 	 	 	 	1707_9	 	 	181_12	1003_15	 
Bifidobacterium bifidum PRL2010 (702459.3)	 	 	 	 	 	1400_9	 	 	775_12	356_15	 
Bifidobacterium bifidum S17 (883062.5)	 	 	 	 	 	1357_9	 	 	800_12	357_15	 
Bifidobacterium breve ACS-071-V-Sch8b (866777.3)	43	 	 	 	 	1342_9	 	 	1075_12	396_15	 
Bifidobacterium breve UCC2003 (326426.4)	62	 	 	 	 	577_9	 	 	818_12	437_15	 
Bifidobacterium dentium ATCC 27678 (473819.7)	693	 	51	 	 	78_9	77	77	1996_12	403_15	 
Bifidobacterium dentium ATCC 27679 (871562.3)	666	 	58	 	 	88_9	87	87	1806_12	380_15	 
Bifidobacterium dentium Bd1 (401473.3)	24	 	662	 	 	634_9	635	635	864_12	312_15	 
Bifidobacterium dentium JCVIHMP022 (553191.3)	1218	 	1845	 	 	1877_9	1876	1876	392_12	2141_15	 
Bifidobacterium gallicum DSM 20093 (561180.4)	 	 	 	 	 	909_9	 	 	1487_12	792_15	 
Bifidobacterium longum NCC2705 (206672.9)	1341	 	 	 	 	872_9	 	 	693_12	1028_15	 
Bifidobacterium longum subsp. infantis 157F (565040.3)	33	 	 	 	 	479_9	 	 	664_12	324_15	 
Bifidobacterium longum subsp. infantis ATCC 55813 (548480.3)	1527	 	 	 	 	243_9	 	 	65_12	1860_15	 
Bifidobacterium longum subsp. infantis CCUG 52486 (537937.5)	593	 	 	 	 	151_9	 	 	771_12	285_15	 
Bifidobacterium longum subsp. longum BBMN68 (890402.3)	1376	 	 	 	 	954_9	 	 	760_12	1085_15	 
Bifidobacterium longum subsp. longum F8 (722911.3)	1457	 	 	 	 	746_9	 	 	564_12	895_15	 
Bifidobacterium longum subsp. longum JCM 1217 (565042.3)	42	 	 	 	 	465_9	 	 	655_12	332_15	 
Bifidobacterium longum subsp. longum JDM301 (759350.3)	35	 	 	 	 	528_9	529	529	717_12	376_15	 
Bifidobacterium longum subsp. longum KACC 91563 (1035817.4)	1844	 	 	 	 	1407_9	 	 	1227_12	1557_15	 
Scardovia inopinata F0304 (641146.3)	 	 	 	 	 	590_9	 	 	653_12	1260_15	 
Atopobium parvulum DSM 20469 (521095.6)	 	 	 	 	 	111_9	712	712	922_12	833_15	 
Atopobium rimae ATCC 49626 (553184.4)	 	 	 	 	 	825_9	173	173	1257_12	29_15	 
Collinsella aerofaciens ATCC 25986 (411903.6)	 	 	411	 	 	1636_9, 867_9	1843	1843	1967_12	101_15	 
Collinsella intestinalis DSM 13280 (521003.7)	 	 	 	 	 	1322_9, 881_9	1155	1155	 	1205_15	 
Collinsella stercoris DSM 13279 (445975.6)	 	 	 	 	 	1626_9	1038	1038	 	1094_15	 
Cryptobacterium curtum DSM 15641 (469378.5)	1072_1, 926	 	 	 	 	227_9	614	614	514_12	540_15	 
Eggerthella lenta DSM 2243 (479437.5)	1969_1, 2202	3100	 	3098	3099	1780_9, 2941_9	1614	1614	2581_12	1402_15	 
Eggerthella sp. 1_3_56FAA (665943.3)	2445, 759_1	2119	 	 	2120	1139_9, 2772_9	2858	2858	2165_12	273_15	 
Eggerthella sp. YY7918 (502558.4)	1748_1	 	 	 	 	1213_9, 281_9	1367	1367	541_12	1627_15	 
Gordonibacter pamelaeae 7-10-1-b (657308.3)	 	 	 	 	 	1130_9	28, 29	28, 29	325_12	194_15	 
Olsenella uli DSM 7084 (633147.4)	 	 	799	 	 	102_9, 1516_9	933	933	1328_12	1073_15	 
Slackia exigua ATCC 700122 (649764.3)	475	 	 	 	1469, 1471	1564_9	1565, 162	1565, 162	765_12	104_15	 
Actinomyces cardiffensis F0333 (888050.3)	935	 	 	579	580	464_7, 945_7	1324	1324	1397_12	25_16, 90_15	 
Actinomyces graevenitzii C83 (435830.3)	 	312	 	1467	1466	1519_7	448	448	517_12	321_16, 689_15	 
Actinomyces naeslundii str. Howell 279 (1115803.3)	1259	1549	178	517	518	1677_7, 2352_7	1214	1214	86_12	2588_15, 427_16	 
Actinomyces turicensis ACS-279-V-Col4 (883077.3)	449	 	1012	629	628	1272_7, 458_7	805	805	872_12	1390_16, 1465_15	 
Corynebacterium aurimucosum ATCC 700975 (Prj:31451) (548476.7)	301	2269	1060	 	1059, 2270	402_7	149	149	1763_12	166_15	 
Corynebacterium durum F0235 (1035195.3)	172	1590	1737	 	2302	61_7	1122	1122	289_12	306_15	 
Corynebacterium propinquum DSM 44285 (1121367.3)	508, 509	1469	 	778	1321, 1468	438_7	135	135	642_12	613_15	 
Gordonia rubripertincta NBRC 101908 (1077975.4)	 	3961	 	2081	2082	1_7, 1105_7, 2080_9	 	 	4526_12	2826_15, 3551_16	 
Gordonia terrae C-6 (1316928.3)	 	682	 	204	205	1374_7, 203_9	504	504	2024_12	1145_15, 4206_16	 
Gordonia terrae NBRC 100016 (1089454.3)	 	4313	 	2231	2230	2232_9, 877_7	3380	3380	319_12	1133_15, 4754_16	 
Mycobacterium avium subsp. paratuberculosis JQ6 (1112208.3)	 	270	625	3833	3832	3567_7, 3834_9	503, 504	503, 504	4511_12, 4512_12	3207_15	 
Mycobacterium avium subsp. paratuberculosis MAP4 (1199187.3)	 	1915	2882, 4266	3506	3507	1153_7, 3505_9	2817	2817	2607_12	828_15	 
Mycobacterium avium subsp. paratuberculosis S5 (1247747.5)	 	2462	1438, 4493	542	541	3058_7, 543_9	1506	1506	1727_12	3393_15	 
Mycobacterium abscessus 3A-0119-R (1001721.3)	4549	1910	2953, 3692	553	552	1195_7, 554_9	2864	2864	2293_12	3383_15	 
Mycobacterium abscessus 3A-0122-R (1001715.3)	4585	1951	2986, 3719	631	630	1224_7, 632_9	2898	2898	2331_12	3345_15	 
Mycobacterium abscessus 3A-0122-S (1001716.3)	4361	1474	2545, 3268	367	366	368_9, 785_7	2456	2456	1888_12	2959_15	 
Mycobacterium abscessus 3A-0731 (1001718.3)	4628	1860	3093, 3802	457	456	1063_7, 458_9	3005	3005	2242_12	3496_15	 
Mycobacterium abscessus 3A-0810-R (1001717.3)	4552	1954	2997, 3728	544	543	1239_7, 545_9	2909	2909	2337_12	3421_15	 
Mycobacterium abscessus 3A-0930-R (1001720.3)	4500	1960	3004, 3696	551	550	1248_7, 552_9	2916	2916	2343_12	3389_15	 
Mycobacterium abscessus 3A-0930-S (1001719.3)	4426	1532	2936, 3628	2318	2317	2319_9, 820_7	2847	2847	1909_12	3322_15	 
Mycobacterium abscessus 47J26 (1087483.3)	 	2483	1026	4804	4805	1908_7, 4803_9	1113	1113	1641_12	635_15	 
Mycobacterium abscessus 4S-0116-R (1001725.3)	4111	1880	2612	648	647	1303_7, 649_9	2525	2525	236_12	2977_15	 
Mycobacterium abscessus 4S-0116-S (1001724.3)	3202	778	1706	4324	4323	201_7, 4325_9	1619	1619	1107_12	2069_15	 
Mycobacterium abscessus 4S-0206 (1001723.3)	4111	1036	2616	2056	2055	2057_9, 459_7	2529	2529	1546_12	2980_15	 
Mycobacterium abscessus 4S-0303 (1001722.3)	4103	2083	2606	649	648	1505_7, 650_9	2519	2519	136_12	2971_15	 
Mycobacterium abscessus 4S-0726-RA (1001726.3)	4037	1631	2540	382	381	1055_7, 383_9	2453	2453	1940_12	2905_15	 
Mycobacterium abscessus 4S-0726-RB (1001727.3)	3649	1217	2151	4773	4772	4774_9, 639_7	2064	2064	1550_12	2518_15	 
Mycobacterium abscessus 5S-0304 (1001728.3)	3642	817	1785, 4118	4713	4712	204_7, 4714_9	1696	1696	1108_12	2441_15	 
Mycobacterium abscessus 5S-0421 (1001729.3)	3895	1071	2040, 4353	4946	4945	459_7, 4947_9	1949	1949	1391_12	2692_15	 
Mycobacterium abscessus 5S-0422 (1001731.3)	4762	1763	2678, 5242	3285	3286	1157_7, 3284_9	2588	2588	2085_12	3565_15	 
Mycobacterium abscessus 5S-0708 (1001730.3)	3619	1284	4097, 4722	215	214	216_9, 2298_7	4632	4632	1606_12	2416_15	 
Mycobacterium abscessus 5S-0817 (1001735.3)	3243	852	3721, 4976	4319	4318	239_7, 4320_9	5067	5067	1172_12	2046_15	 
Mycobacterium abscessus 5S-0921 (1001732.3)	4544, 4545	1509	2481, 5027	389	388	390_9, 898_7	2391	2391	1831_12	3347_15	 
Mycobacterium abscessus 5S-1212 (1001733.3)	3372	1226	3853, 4386	5010	5011	5009_9, 614_7	4476	4476	1547_12	2175_15	 
Mycobacterium abscessus 5S-1215 (1001734.3)	3640	1186	4121, 4749	219	218	1801_7, 220_9	4659	4659	886_12	2524_15	 
Mycobacterium abscessus 6G-0125-R (1001740.3)	3381	970	1973, 2640	4631	4630	292_7, 4632_9	1884	1884	1358_12	2333_15	 
Mycobacterium abscessus 6G-0212 (1001739.3)	4369	1964	2962, 3629	515	514	1286_7, 516_9	2873	2873	2350_12	3323_15	 
Mycobacterium abscessus 9808 (1246644.3)	176	2666	3683, 3822, 667	1308	1307	1309_9, 2072_7	3594	3594	3055_12	4849_15	 
Mycobacterium abscessus M115 (1162287.3)	360	2938	1942	4773	4772	4121_7, 4774_9	2029	2029	2460_12	2738_15	 
Mycobacterium abscessus M139 (1175632.3)	4180	1898	3647, 810	2732	2733	2731_9, 4498_7	900	900	4662_12	47_15	 
Mycobacterium abscessus M152 (1176125.3)	2326	719	1518, 2454, 3329	122	123	121_9, 3026_7	3418	3418	2740_12	1307_15	 
Mycobacterium abscessus M154 (1162288.3)	 	4609	355	4125	4126	4124_9, 4251_7	269	269	2821_12	2085_15	 
Mycobacterium abscessus M156 (1185414.3)	3165, 697	4032	4298	1755	1756	1754_9, 533_7	1843	1843	637_12	3220_15	 
Mycobacterium abscessus M159 (1162285.3)	 	2245	1825	1207	1206	1208_9, 138_7	1737	1737	3447_12	4234_15	 
Mycobacterium abscessus M172 (1162286.3)	 	2646	677	3572	3571	3573_9, 4110_7	591	591	60_12	4957_15	 
Mycobacterium abscessus M24 (1162284.3)	 	5014	1219, 3075	4863	4864	3710_7, 4862_9	3391	3391	3513_12	4940_15	 
Mycobacterium abscessus M93 (1149134.5)	 	4306	1302, 2312	2975	2976	2974_9, 3625_7	2224	2224	4852_12	1663_15	 
Mycobacterium abscessus M94 (1158135.4)	 	4435	2501, 3330, 3940	774	775	2595_7, 773_9	2128	2128	2661_12	1701_15	 
Mycobacterium abscessus subsp. bolletii 50594 (1303024.3)	4422	1976	2924	556	555	1303_7, 557_9	2838	2838	2294_12	3279_15	 
Mycobacterium abscessus subsp. bolletii BD (1091046.3)	4216	1804	2755, 4398	443	442	1221_7, 444_9	2664	2664	2136_12	3129_15	 
Mycobacterium fortuitum subsp. fortuitum DSM 46621 (1214102.3)	 	5295	4149, 4981	5473	5474	1285_7, 3560_7, 5472_9	1010	1010	2834_12	5085_15, 5630_16	 
Rhodococcus erythropolis XP (1078016.3)	 	5602	 	2998	2997	1861_7, 2999_9, 466_7	4921	4921	5225_12	3450_16, 4413_15	 
Brevibacterium casei S18 (1229781.4)	2324	814	287	 	813	783_7	1381	1381	1413_12	161_16, 1896_15	 
Brevibacterium massiliense 5401308 (1176165.3)	 	147	1759	 	151	2023_7	1113	1113	1081_12	1642_16, 808_15	 
Brachybacterium paraconglomeratum LC44 (1064537.3)	85	2563	 	1926	1958	1171_7, 834_7	1559	1559	1587_12	1518_16, 1678_16, 3172_15	 
Curtobacterium flaccumfaciens UCD-AKU (1292022.3)	 	 	 	 	 	657_7, 906_7	1519	1519	157_12	1283_15, 2185_16	 
Microbacterium paraoxydans 77MFTsu3.2 (1151126.3)	 	 	 	 	 	1824_7	8	8	1021_12	1213_16, 2636_15	 
Kocuria palustris PEL (1236550.3)	1987	1345	 	757	340	253_7	80	80	17_12	1670_15, 1946_16	 
Rothia aeria F0474 (1125724.3)	954	1857	 	 	1495	1721_7	270	270	130_12	1000_15, 582_16	 
Rothia mucilaginosa M508 (563033.4)	356	1211	 	 	172	487_7	916	916	1052_12	1147_16, 758_15	 
