Organism	MqnA	MqnE	MqnBX	MqnC	MqnDZ	MqnLP	MenF	MenD	MenHY	MenC	MenE	MenB	MenIJ	MenA	MenG	tDHNA	tDHNACOA	tSBZCOA	tSUCBZ	t2SHCHC	tICHOR
Bacillus atrophaeus ATCC 9372-2 (723892.3)							2515, 3465	3464	3463	3460	3461	3462		28	1562						
Bacillus atrophaeus BACI051-E (882455.3)							1253, 3878	1252	1251	1248	1249	1250		3220	618						
Bacillus atrophaeus BACI051-N (876283.3)							1548, 2984	2983	2982	2979	2980	2981		3016	3951						
Bacillus atrophaeus C89 (334727.3)							16, 2203	17	18	21	20	19		1503	822						
Bacillus atrophaeus Detrick-1 (720556.3)							1926, 3056	1927	1928	1931	1930	1929		516	2233						
Bacillus atrophaeus Detrick-2 (720557.3)							66, 2675	2676	2677	2680	2679	2678		1707	3155						
Bacillus atrophaeus Detrick-3 (720558.3)							1680, 2732	2731	2730	2727	2728	2729		2367	259						
Bacillus atrophaeus str. Dugway (882453.3)							714, 3045	3044	3043	3040	3041	3042		2833	3782						
Bacillus cereus 03BB102 (572264.4)							4885	4884	4883	4880	4881	4882	4794, 4921	4886	1454, 2073						
Bacillus cereus 172560W (526967.3)							5185	5184	5183	5179	5180	5182	5221	5186	1803						
Bacillus cereus 95/8201 (526979.3)							5233	5234	5235, 5775	5238	5237	5236	5301	5232	1649, 4964						
Bacillus cereus AH1134 (405533.4)							2501, 4270	2500	2499	2492	2497	2498	2536	2502	3500, 4726						
Bacillus cereus AH1271 (526992.3)							2442	2443	2444	2447	2446	2445	2509	2441	603, 4904						
Bacillus cereus AH1272 (526993.3)							2666	2667	2668	2671	2670	2669	2805	2664	5373						
Bacillus cereus AH187 (405534.9)							5176	5175	5174	5170	5171	5173	5214	5177	1855, 2373						
Bacillus cereus AH603 (526990.3)							1044, 4280	1045	1046	1017	1016	1047	1075	1043	3434, 4073						
Bacillus cereus AH621 (526972.3)							3132, 5648	5649	5650	5653	5652	5651	5697	3817, 5647	2378, 2946						
Bacillus cereus AH676 (526991.3)							2541	2542	2543	2546	2545	2544	2585	2540	4825, 5381						
Bacillus cereus AH820 (405535.8)							4965	4964	4963, 5474	4960	4961	4962	5000	4966	1547						
Bacillus cereus AND1407 (1053166.3)							2278	2279	2280	2283	2282	2281	4633	2277	665, 1181						
Bacillus cereus ATCC 10876 (526980.3)							5928	5929	5930	5936	5932	5931	43, 5808, 5809, 5811	5927	2409, 3038						
Bacillus cereus ATCC 10987 (222523.6)							4802	4801	4800	4797	4798	4799	4839	4803	1558						
Bacillus cereus ATCC 4342 (526977.3)							4651	4652	4653	4656	4655	4654	4698	4650	1092						
Bacillus cereus B4264 (405532.5)							4836	4835	4834, 5343	4830	4831	4833	4872	3045, 4837	1450, 1989						
Bacillus cereus B5-2 (1085389.3)							5401	5400	5399	5396	5397	5398	5439	5402	1949, 2518						
Bacillus cereus BAG1O-1 (1053167.3)							5611	5610	5609	5606	5607	5608	5651	5612	1449, 1974						
Bacillus cereus BAG1O-2 (1053168.3)							662	663	664	667	666	665	623	661	3466, 4014						
Bacillus cereus BAG1O-3 (1053169.3)							18	19	20	23	22	21	3982	16	2913, 3457						
Bacillus cereus BAG1X1-1 (1053170.3)							675	676	677	680	679	678	638	674	3553, 4108						
Bacillus cereus BAG1X1-2 (1053171.3)							4183	4182	4181	4178	4179	4180	4220	4184	761, 1287						
Bacillus cereus BAG1X1-3 (1053172.3)							691	692	693	696	695	694	650	690	3506, 4033						
Bacillus cereus BAG1X2-1 (1053173.3)							4787	4786	4785	4782	4783	4784	4824	4788	1359, 1914						
Bacillus cereus BAG1X2-2 (1053174.3)							611	612	613	616	615	614	574	610	3536, 4094						
Bacillus cereus BAG1X2-3 (1053175.3)							5470	5469	5468	5465	5466	5467	5508	5471	2049, 2606						
Bacillus cereus BAG2O-1 (1053176.3)							4774	4773	4772	4769	4770	4771	4811	4775	1367, 1919						
Bacillus cereus BAG2O-2 (1053177.3)							4722	4721	4720	4717	4718	4719	4761	4723	1351, 1904						
Bacillus cereus BAG2O-3 (1053178.3)							657	658	659	662	661	660	619	656	3569, 4144						
Bacillus cereus BAG2X1-1 (1053179.3)							577	578	579	582	581	580	541	576	2888, 3380						
Bacillus cereus BAG2X1-2 (1053180.3)							685	686	687	690	689	688	646	684	3732, 4340						
Bacillus cereus BAG2X1-3 (1053181.3)							435	436	437	440	439	438	398	434	2739, 3258						
Bacillus cereus BAG3O-1 (1085388.3)							4967	4966	4965	4962	4963	4964	5448	4968	1455, 2035						
Bacillus cereus BAG3O-2 (1053182.3)							668, 3299	669	670	673	672	671	632	667	3568, 4084						
Bacillus cereus BAG3X2-1 (1053183.3)							688	689	690	693	692	691	647	687	3389, 3959						
Bacillus cereus BAG3X2-2 (1053184.3)							2124, 4771	4770	4769	4762	4767	4768	4810	4772	1404, 1919						
Bacillus cereus BAG4O-1 (1053185.3)							2143, 4766	4765	4764	4761	4762	4763	4802	4767	1357, 1874						
Bacillus cereus BAG4X12-1 (1053186.3)							4545	4544	4543	4540	4541	4542	4581	4546	1292, 1811						
Bacillus cereus BAG4X2-1 (1053187.3)							742	743	744	747	746	745	704	741	3452, 4000						
Bacillus cereus BAG5O-1 (1053188.3)							4139	4138	4137	4134	4135	4136	4177	4140	760, 1304						
Bacillus cereus BAG5X1-1 (1053189.3)							583	584	585	588	587	586	548	582	3175, 3738						
Bacillus cereus BAG5X12-1 (1053190.3)							83	84	85	88	87	86	4522	82	2815, 3333						
Bacillus cereus BAG5X2-1 (1053191.3)							18	19	20	23	22	21	5488	17	3086, 3678						
Bacillus cereus BAG6O-1 (1053192.3)							667	668	669	672	671	670	629	666	3422, 3967						
Bacillus cereus BAG6O-2 (1053193.3)							2412	2411	2410	2407	2408	2409	2450	2413	3314, 3890						
Bacillus cereus BAG6X1-1 (1053194.3)							4544	4543	4542	4539	4540	4541	4583	4545	978, 1571						
Bacillus cereus BAG6X1-2 (1053195.3)							4358	4357	4356	4353	4354	4355	4985	4359	1314, 1835						
Bacillus cereus BDRD-Cer4 (526978.3)							4785	4784	4783	4779	4780	4782	4821	258, 4786	1321						
Bacillus cereus BDRD-ST196 (526976.3)							1525	1524	1523, 2094	1520	1521	1522	1573	5549	3809, 4363						
Bacillus cereus BDRD-ST24 (526974.3)							5380	5381	5382	5386	5385	5383	5500	5379	2020, 2647						
Bacillus cereus BDRD-ST26 (526975.3)							5894	5893	5892	5888	5889	5891	5929	5895	2316, 2966						
Bacillus cereus BGSC 6E1 (526970.3)							335	334	333	330	331	332	370	336	2694, 3315						
Bacillus cereus biovar anthracis str. CI (637380.6)							5266	5265	5264, 5796	5261	5262	5263	5304	3478, 5267	1819						
Bacillus cereus BMG1.7 (1053196.3)							351, 4489	352	353	360	355	354	312	350	2512, 5932						
Bacillus cereus BtB2-4 (1053197.3)							2153, 4757	4756	4755	4752	4753	4754	4800	2927, 4758	1385, 1926						
Bacillus cereus CER057 (1053198.3)							2151, 4759	4758	4757	4754	4755	4756	4801	2924, 4760	1383, 1926						
Bacillus cereus CER074 (1053199.3)							689, 3298	690	691	694	693	692	647	688, 2527	3523, 4068						
Bacillus cereus E33L (288681.15)							4883	4882	4881, 5388	4878	4879	4880	4794, 4920	3061, 4884	1468, 2014						
Bacillus cereus F65185 (526989.3)							994	993	992	989	990	991	1026	995	3739, 4332						
Bacillus cereus FRI-35 (1217984.3)							2194	2195	2196	2199	2198	2197	2157	2193	163, 4841						
Bacillus cereus G9842 (405531.7)							4902	4901	4900	4896	4897	4899	4941	4903	1411, 1983						
Bacillus cereus HD73 (1053200.3)							17, 3538	18	19	26	21	20	5278	16	2412, 5669						
Bacillus cereus H-hrb01 (1225787.3)							859	858	857	854	855	856		860	3057						
Bacillus cereus HuA2-1 (1053201.3)							4560	4559	4558	4554	4555	4557	5227	4561	954, 1578						
Bacillus cereus HuA2-3 (1053202.3)							5784	5783	5782	5779	5780	5781	21	5785	2387, 2929						
Bacillus cereus HuA2-4 (1053203.3)							4730	4729	4728, 5243	4725	4726	4727	4769	4731	1391, 1933						
Bacillus cereus HuA2-9 (1053204.3)							2520	2519	2518	2515	2516	2517	4701	2521	2943, 3509						
