Organism	AspA	Asd	HSDH	HSST	HSAT	CTGS	AHSH	CTBL	CTGL	CTBS	MetH	MetE	BhmT	MmuM	MetABC	MetT
Rhodococcus erythropolis PR4 (234621.6)	855_1	856	4455	 	2503	 	1923, 2504, 5724	 	2921, 4808	4809	3695	2061_18, 5268_18	 	 	2210_23, 5638_25, 5639_23, 5640_24	 
Rhodococcus erythropolis SK121 (596309.3)	3659_1	3660	1683, 1684	 	1175	 	1174, 4474, 654	 	2900, 3498	3497	3598, 5144, 5376	1825_18, 232_18	 	 	2239_23, 573_25, 574_23, 575_24	 
Brevibacterium linens BL2 (321955.4)	1623_1, 1794_1	1795	2512	 	40	628	993	 	470	 	 	1405_18, 2187_18	2378	1693	 	 
Kytococcus sedentarius DSM 20547 (478801.5)	1892_1, 2465_1	1893	1411	 	458	 	 	 	 	 	 	 	 	 	 	 
Kocuria rhizophila DC2201 (378753.5)	271_1	555	934	 	1658	1887	1659, 2105	 	107, 2106	 	 	2104_18	 	 	 	 
Kocuria rhizophila P7-4 (1029824.3)	1019_1	809	462	 	1213	1654	1214	 	861	 	 	2431_18	 	 	2039_25, 2040_23, 2041_24	 
Micrococcus luteus NCTC 2665 (465515.4)	240_1	1688	765	 	574	 	2013	 	1697, 2012, 2200	1698	 	 	 	 	 	 
Micrococcus luteus SK58 (596312.3)	1398_1	505	1738	 	1201	1845	1202, 1844, 1984	 	497, 833	496	 	1847_18	 	 	667_23, 997_24, 998_23, 999_25	 
Rothia dentocariosa ATCC 17931 (762948.4)	1186_1	371	1668	 	1482	1229	 	 	 	 	 	1027_18	 	 	 	 
Rothia dentocariosa M567 (563032.4)	2136_1	1381	90	 	1792	2179	1791, 2062	 	 	 	 	1991_18	 	 	490_23, 491_25	 
Rothia mucilaginosa ATCC 25296 (553201.3)	1685_1	830	301	 	1283	1723	1284, 1615	 	 	 	 	548_18	 	 	115_24, 116_23, 117_25, 1635_23, 1636_23, 1642_23	 
Rothia mucilaginosa DY-18 (680646.3)	1534_1	351	1138	 	1309	1499	1311, 1601, 1604	 	1600	 	 	1641_18	 	 	1580_23, 193_25, 194_23, 195_24	 
Tropheryma whipplei TW08/27 (218496.4)	881_1	880	394	 	 	 	 	 	 	 	 	751_18	 	 	 	 
Tropheryma whipplei str. Twist (203267.6)	890_1	889	577	 	 	 	 	 	 	 	 	219_18	 	 	 	 
Micromonospora aurantiaca ATCC 27029 (644283.3)	2609_1	1345, 2608	5015	 	 	 	1897	2327_12	1647, 222	1639	4014	 	 	 	 	 
Propionibacterium acnes 266 (909952.3)	2210_1	339	1306	 	1267	 	 	 	 	 	 	 	 	 	1820_25, 1821_23, 1822_24	 
Propionibacterium acnes 6609 (1031709.3)	2256_1	337	1326	 	1287	 	 	 	 	 	 	 	 	 	 	 
Propionibacterium acnes ATCC 11828 (1091045.3)	718_1	1291	1709	 	1749, 1750	1364	 	 	 	 	 	 	 	 	1305_23	 
Propionibacterium acnes HL001PA1 (765105.8)	157_1	2076	936	 	975, 976	2148	 	 	 	 	 	 	 	 	 	 
Propionibacterium acnes HL002PA1 (765115.3)	240_1	679	1765	 	1726	 	 	 	 	 	 	 	 	 	1963_24, 1964_23, 1965_25	 
Propionibacterium acnes HL002PA2 (765116.3)	469_1	909	1689	 	1728	 	 	 	 	 	 	 	 	 	1357_25, 1358_23, 1359_24	 
Propionibacterium acnes HL002PA3 (765117.3)	129_1	1190	1592	 	1632	 	 	 	 	 	 	 	 	 	661_24, 662_23, 663_25	 
Propionibacterium acnes HL005PA1 (765096.3)	1218_1	339	1752	 	1791	 	 	 	 	 	 	 	 	 	1015_24, 1016_23, 1017_25	 
Propionibacterium acnes HL005PA2 (765097.3)	242_1	1104	318	 	356	 	 	 	 	 	 	 	 	 	2270_24, 2271_23, 2272_25	 
Propionibacterium acnes HL005PA4 (765099.3)	219_1	783	1070	 	1109	 	 	 	 	 	 	 	 	 	2291_24, 2292_23, 2293_25	 
Propionibacterium acnes HL007PA1 (765118.3)	970_1	512	2112	 	2073	 	 	 	 	 	 	 	 	 	2186_25, 2187_23, 2188_24	 
Propionibacterium acnes HL013PA1 (765069.3)	11_1	282	955	 	994	 	 	 	 	 	 	 	 	 	2264_25, 2265_23, 2266_24	 
Propionibacterium acnes HL013PA2 (765070.3)	182_1	1286	1871	 	1910	 	 	 	 	 	 	 	 	 	386_25, 387_23, 388_24	 
Propionibacterium acnes HL020PA1 (765065.3)	917_1	241	1467	 	1507	 	 	 	 	 	 	 	 	 	1149_24, 1150_23, 1151_25	 
Propionibacterium acnes HL025PA1 (765089.3)	760_1	244	1431	 	1470	 	 	 	 	 	 	 	 	 	2326_25, 2327_23, 2328_24	 
Propionibacterium acnes HL027PA1 (765111.3)	475_1	1800	1357	 	1317	 	 	 	 	 	 	 	 	 	136_24, 137_23, 138_25	 
Propionibacterium acnes HL027PA2 (765112.3)	1128_1	2161	309	 	347	 	 	 	 	 	 	 	 	 	1627_25, 1628_23, 1629_24	 
Propionibacterium acnes HL030PA1 (765103.3)	245_1	1548	2058	 	2097	 	 	 	 	 	 	 	 	 	 	 
Propionibacterium acnes HL036PA1 (765106.3)	1096_1	469	2049	 	2010	 	 	 	 	 	 	 	 	 	2263_25, 2264_23, 2265_24	 
Propionibacterium acnes HL036PA2 (765107.3)	679_1	413	1599	 	1638	 	 	 	 	 	 	 	 	 	1285_25, 1286_23, 1287_24	 
Propionibacterium acnes HL037PA1 (765122.3)	1111_1	472	2234	 	2195	 	 	 	 	 	 	 	 	 	116_24, 117_23, 118_25	 
Propionibacterium acnes HL037PA2 (765123.3)	1395_1	2208	185	 	235, 237	2142	 	1355_10	 	 	257, 258, 259	1169_18	 	 	1797_24, 1798_23, 1799_25	 
Propionibacterium acnes HL038PA1 (765085.3)	2113_1	435	1913	 	1874	 	 	 	 	 	 	 	 	 	1038_25, 1039_23, 1040_24	 
Propionibacterium acnes HL043PA1 (765072.3)	157_1	1408	1108	 	1069	 	 	 	 	 	 	 	 	 	2087_24, 2088_23, 2089_25	 
Propionibacterium acnes HL043PA2 (765073.3)	94_1	273	1309	 	1347	 	 	 	 	 	 	 	 	 	621_24, 622_23, 623_25	 
Propionibacterium acnes HL044PA1 (765109.3)	1009_1	1185	2438	 	2385, 2387	1252	 	969_10	 	 	2363, 2364, 2365	1716_18	 	 	2732_25, 2733_23, 2734_24	 
Propionibacterium acnes HL045PA1 (765068.3)	68_1	775	2124	 	2085	 	 	 	 	 	 	 	 	 	2382_24, 2383_23, 2384_25	 
Propionibacterium acnes HL046PA1 (765094.3)	401_1	836	1243	 	1283	 	 	 	 	 	 	 	 	 	2035_25, 2036_23, 2037_24	 
Propionibacterium acnes HL046PA2 (765095.3)	1590_1	2200	1375	 	1336	 	 	 	 	 	 	 	 	 	1667_25, 1668_23, 1669_24	 
Propionibacterium acnes HL050PA1 (765100.3)	619_1	2177	1383	 	1344	 	 	 	 	 	 	 	 	 	1664_24, 1665_23, 1666_25	 
Propionibacterium acnes HL050PA2 (765101.3)	662_1	518	1600	 	1641, 1642	 	 	 	 	 	 	 	 	 	 	 
Propionibacterium acnes HL050PA3 (765102.3)	995_1	412	2015	 	1976	 	 	 	 	 	 	 	 	 	2275_25, 2276_23, 2277_24	 
Propionibacterium acnes HL053PA1 (765066.3)	517_1	827	2179	 	2140	 	 	 	 	 	 	 	 	 	2320_24, 2321_23, 2322_25	 
Propionibacterium acnes HL053PA2 (765067.3)	394_1	1017	1521	 	1561	 	 	 	 	 	 	 	 	 	2303_25, 2304_23, 2305_24	 
Propionibacterium acnes HL056PA1 (765119.3)	1488_1, 1489_1	557	1430	 	1391	 	 	 	 	 	 	 	 	 	1968_25, 1969_23, 1970_24	 
Propionibacterium acnes HL059PA1 (765091.3)	543_1	1790	836	 	875	 	 	 	 	 	 	 	 	 	557_25, 558_23, 559_24	 
Propionibacterium acnes HL059PA2 (765092.3)	174_1	565	1924	 	1885	 	 	 	 	 	 	 	 	 	2279_25, 2280_23, 2281_24	 
Propionibacterium acnes HL063PA1 (765113.3)	186_1	791	2081	 	2042	 	 	 	 	 	 	 	 	 	2294_25, 2295_23, 2296_24	 
Propionibacterium acnes HL063PA2 (765114.3)	182_1	1064	2276	 	2237	 	 	 	 	 	 	 	 	 	1454_24, 1455_23, 1456_25	 
Propionibacterium acnes HL067PA1 (765110.3)	1077_1	1391	974	 	935	 	 	 	 	 	 	 	 	 	2232_25, 2233_23, 2234_24	 
Propionibacterium acnes HL072PA1 (765074.3)	255_1	2236	1652	 	1613	 	 	 	 	 	 	 	 	 	167_24, 168_23, 169_25	 
Propionibacterium acnes HL072PA2 (765075.3)	1040_1	286	1825	 	1865	 	 	 	 	 	 	 	 	 	758_25, 759_23, 760_24	 
Propionibacterium acnes HL074PA1 (765076.3)	1859_1	778	1563	 	1524	 	 	 	 	 	 	 	 	 	426_25, 427_23, 428_24	 
Propionibacterium acnes HL078PA1 (765071.3)	193_1	502	1552	 	1590	 	 	 	 	 	 	 	 	 	2392_25, 2393_23, 2394_24	 
Propionibacterium acnes HL082PA1 (765120.3)	158_1	444	1730	 	1768	 	 	 	 	 	 	 	 	 	1287_25, 1288_23, 1289_24	 
Propionibacterium acnes HL082PA2 (765121.3)	184_1	1937	422	 	462, 463	2008	 	 	 	 	 	 	 	 	2340_24	 
Propionibacterium acnes HL083PA1 (765087.3)	1353_1	998	2290	 	2251	 	 	 	 	 	 	 	 	 	1686_24, 1687_23, 1688_25	 
Propionibacterium acnes HL083PA2 (765088.3)	160_1	946	1916	 	1877	 	 	 	 	 	 	 	 	 	2290_25, 2291_23, 2292_24	 
Propionibacterium acnes HL086PA1 (765093.3)	1126_1	116	1990	 	1951	 	 	 	 	 	 	 	 	 	2378_24, 2379_23, 2380_25	 
Propionibacterium acnes HL087PA2 (765082.3)	372_1	2087	1504	 	1465	 	 	 	 	 	 	 	 	 	48_25, 49_23, 50_24	 
Propionibacterium acnes HL087PA3 (765083.3)	182_1	714	1729	 	1768	 	 	 	 	 	 	 	 	 	1586_24, 1587_23, 1588_25	 
Propionibacterium acnes HL092PA1 (765086.3)	819_1	244	1713	 	1674	 	 	 	 	 	 	 	 	 	2240_25, 2241_23, 2242_24	 
Propionibacterium acnes HL096PA2 (765058.3)	156_1	731	2241	 	2202	 	 	 	 	 	 	 	 	 	2422_24, 2423_23, 2424_25	 
Propionibacterium acnes HL096PA3 (765057.3)	2182_1	497	846	 	885	 	 	 	 	 	 	 	 	 	2386_25, 2387_23, 2388_24	 
Propionibacterium acnes HL097PA1 (765064.3)	156_1	712	2320	 	2281	 	 	 	 	 	 	 	 	 	1481_24, 1482_23, 1483_25	 
Propionibacterium acnes HL099PA1 (765063.3)	289_1	390	1216	 	1255	 	 	 	 	 	 	 	 	 	1074_24, 1075_23, 1076_25	 
Propionibacterium acnes HL103PA1 (765061.3)	161_1	722	1362	 	1402, 1403	794	 	 	 	 	 	 	 	 	2293_24	 
Propionibacterium acnes HL110PA1 (765077.3)	391_1	1119	1731	 	1770	 	 	 	 	 	 	 	 	 	820_24, 821_23, 822_25	 
Propionibacterium acnes HL110PA2 (765078.3)	608_1	832	1831	 	1792	 	 	 	 	 	 	 	 	 	2330_25, 2331_23, 2332_24	 
Propionibacterium acnes HL110PA3 (765079.3)	1534_1	647	1627	 	1667, 1668	718	 	 	 	 	 	 	 	 	 	 
Propionibacterium acnes HL110PA4 (765080.3)	367_1	1491	458	 	498, 499	416	 	 	 	 	 	 	 	 	 	 
Propionibacterium acnes J139 (679194.3)	1767_1	375	740	 	776	448	 	 	 	 	 	 	 	 	 	 
Propionibacterium acnes J165 (679195.3)	1405_1	2320	1958	 	1919	 	 	 	 	 	 	 	 	 	1015_25, 1016_23, 1017_24	 
Propionibacterium acnes KPA171202 (267747.3)	2203_1	328	1294	 	1256	 	 	 	 	 	 	 	 	 	 	 
Propionibacterium acnes SK137 (553199.9)	2165_1	357	1305	 	1267	 	 	 	 	 	 	 	 	 	1779_25, 1780_23, 1781_24	 
Propionibacterium acnes SK182 (679193.4)	1944_1	2238	821	 	782	 	 	 	 	 	 	 	 	 	1113_25, 1114_23, 1115_24	 
Propionibacterium acnes SK182B-JCVI (1051006.4)	848_1	1341	252	 	 	 	 	 	 	 	 	 	 	 	1852_24, 1853_23, 1854_25	 
Propionibacterium acnes SK187 (686659.3)	1706_1	364	1198	 	1160	 	 	 	 	 	 	 	 	 	766_25, 767_23, 768_24	 
Propionibacterium acnes TypeIA2 P.acn17 (1114967.3)	2194_1	340	1309	 	1270	 	 	 	 	 	 	 	 	 	1812_25, 1813_23, 1814_24	 
Propionibacterium acnes TypeIA2 P.acn31 (1114969.3)	2191_1	336	1305	 	1266	 	 	 	 	 	 	 	 	 	1807_25, 1808_23, 1809_24	 
Propionibacterium acnes TypeIA2 P.acn33 (1114966.3)	2180_1	324	1287	 	1248	 	 	 	 	 	 	 	 	 	1796_25, 1797_23, 1798_24	 
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 (754252.3)	392_1	1926	1023	1090	 	1782	 	 	 	 	1125	 	 	 	 	 
Bifidobacterium adolescentis ATCC 15703 (367928.6)	144_1, 145_1	146	1495	 	1515	 	 	1259_10	529, 547	528	 	822_18	 	 	550_23	 
Bifidobacterium adolescentis L2-32 (411481.5)	445_1, 446_1	447	1391	1409	 	 	 	1900_10	813, 845	812	 	1202_18	 	 	1268_23, 1649_23, 840_25, 841_23, 842_24	 
Bifidobacterium animalis subsp. lactis BB-12 (552531.3)	701_1, 702_1	703	279	 	302	 	1541, 927, 928	1431_12, 1551_10	1059, 926	1060	 	1366_18	 	 	148_23, 1563_24	 
Bifidobacterium animalis subsp. lactis BLC1 (1075106.4)	214_1, 215_1	216	1403	 	1424	 	1055, 439, 440	942_12	438, 569	570	 	876_18	 	 	1077_24	 
Bifidobacterium animalis subsp. lactis Bl-04 (580050.3)	214_1, 215_1	216	1408	 	1429	 	1062, 440, 441	 	439, 571	572	 	883_18	 	 	1084_24	 
Bifidobacterium animalis subsp. lactis CNCM I-2494 (1042403.4)	214_1, 215_1	216	1401	 	1422	 	1052, 436, 437	940_12	435, 566	567	 	875_18	 	 	1074_24, 1075_23, 1076_23	 
Bifidobacterium animalis subsp. lactis DSM 10140 (555970.3)	215_1, 216_1	217	1410	 	1431	 	1062, 440, 441	949_12	439, 571	572	 	882_18	 	 	1084_24, 1085_23, 1086_23	 
Bifidobacterium animalis subsp. lactis HN019 (486409.3)	1004_1, 1005_1	1006	1474	 	1453	 	66, 661, 662	178_12, 56_10	1205, 660	1206	 	244_18	 	 	44_24	 
Bifidobacterium animalis subsp. lactis V9 (573236.3)	215_1, 216_1	217	1408	 	1429	 	1056, 439, 440	943_12	438, 569	570	 	877_18	 	 	1078_24	 
Bifidobacterium bifidum NCIMB 41171 (398513.5)	1325_1, 1326_1	1328	913	1422	 	 	1649, 1693, 636	651_10	1691, 795	796	 	369_18	 	 	239_23, 622_24, 623_23, 627_25, 664_24	 
Bifidobacterium bifidum PRL2010 (702459.3)	1807_1, 1808_1	1805	252	1710	 	 	1253, 1414, 1463	1268_10	1391, 1416	1392	 	963_18	 	 	1239_24, 1240_23, 1243_25, 1281_24, 826_23	 
Bifidobacterium bifidum S17 (883062.5)	1754_1, 1755_1	1752	268	1654	 	 	1204, 1371, 1415	1219_10	1348, 1373	1349	 	918_18	 	 	1190_24, 1191_23, 1194_25, 852_23	 
Bifidobacterium breve ACS-071-V-Sch8b (866777.3)	147_1, 148_1	149	1787	 	310	1335	 	1029_10	1200	1336	 	877_18	 	 	1044_24, 1046_25	 
Bifidobacterium breve UCC2003 (326426.4)	158_1, 159_1	160	1880	 	363	584	 	 	694	583	 	1040_18	 	 	 	 
Bifidobacterium dentium ATCC 27678 (473819.7)	496_1, 497_1	495	1041	 	1011	 	 	 	45, 69	70	 	1829_18	 	 	1555_24, 39_24	 
Bifidobacterium dentium ATCC 27679 (871562.3)	470_1, 471_1	469	901	 	2	 	150, 1991	 	78	79	 	1571_20, 1594_18	 	 	1332_25, 1333_23, 1334_24, 1660_23, 55_24, 56_23, 57_25	 
Bifidobacterium dentium Bd1 (401473.3)	218_1, 219_1	220	1822	 	1852	 	 	 	643, 644, 668	642	 	1031_18	 	 	674_24	 
Bifidobacterium dentium JCVIHMP022 (553191.3)	1306_1, 1307_1	1305	1764	 	1787	 	1941, 838	 	1866	1867	 	612_18, 64_20	 	 	1838_23, 1842_24, 1843_23, 1844_25, 544_23, 715_25, 716_23, 717_24	 
Bifidobacterium gallicum DSM 20093 (561180.4)	1226_1, 1227_1	1225	1430	1450	 	 	152, 966	121_12	 	 	 	184_18	 	 	21_25, 22_23, 23_24, 273_25, 278_25, 279_23, 280_24	 
Bifidobacterium longum NCC2705 (206672.9)	1236_1, 1237_1	1235	1561	1100	 	865	634, 90	1555_10, 1830_12	84	866	 	499_18	 	 	658_24, 659_23, 660_25, 89_23	 
Bifidobacterium longum subsp. infantis 157F (565040.3)	139_1, 140_1	141	1876	241	 	486	1443, 735	1571_12, 1882_10	1447	485	 	962_18	 	 	1444_23, 710_25, 711_23, 712_24	 
Bifidobacterium longum subsp. infantis ATCC 55813 (548480.3)	1679_1, 1680_1	1681	1084	1781	 	236	406, 918	1080_10, 795_12	915, 916	237	 	1111_18	 	 	429_24, 430_23, 431_25	 
Bifidobacterium longum subsp. infantis CCUG 52486 (537937.5)	487_1, 488_1	486	1855	358	 	144	1021, 2036	1330_12, 1861_10	2033	145	 	817_18	 	 	2035_23, 995_25, 996_23, 997_24	 
Bifidobacterium longum subsp. longum BBMN68 (890402.3)	1263_1, 1264_1	1262	1587	1159	 	947	136, 698	1581_10, 1878_12	131	948	 	554_18	 	 	135_23, 722_24, 723_23, 724_25	 
Bifidobacterium longum subsp. longum F8 (722911.3)	1341_1, 1342_1	1340	1754	984	 	739	507, 61	1070_12, 1760_10	66	740	 	365_18	 	 	530_24, 531_23, 532_25, 62_23	 
Bifidobacterium longum subsp. longum JCM 1217 (565042.3)	149_1, 150_1	151	1817	259	 	472	1415, 713	1540_12, 1823_10	1419	471	 	851_18	 	 	1416_23, 688_25, 689_23, 690_24	 
Bifidobacterium longum subsp. longum JDM301 (759350.3)	148_1, 149_1	150	1814	268	 	536	1370, 1371, 795	1501_12, 1819_10	1382	535	 	939_18	 	 	769_25, 770_23, 771_24	 
Bifidobacterium longum subsp. longum KACC 91563 (1035817.4)	1737_1, 1738_1	1736	100	1631	 	1400	1165, 552	424_12, 94_10	548	1401	 	1019_18	 	 	1188_24, 1189_23, 1190_25, 551_23	 
Scardovia inopinata F0304 (641146.3)	1088_1, 1089_1	1090	1118	 	 	 	 	699_12	 	 	 	 	 	 	386_25, 387_23, 388_24	 
Atopobium parvulum DSM 20469 (521095.6)	534_1	535	533	 	74	 	 	 	 	 	 	 	 	 	 	 
Atopobium rimae ATCC 49626 (553184.4)	278_1	277	279	718	 	 	1462	276_12	 	 	 	512_20	 	 	 	 
Collinsella aerofaciens ATCC 25986 (411903.6)	826_1	827	453	1046	 	 	204, 414	554_12	 	 	1581, 653	 	 	 	933_23	 
Collinsella intestinalis DSM 13280 (521003.7)	1409_1	1408	1268	 	440	 	 	 	 	 	 	 	 	 	 	 
Collinsella stercoris DSM 13279 (445975.6)	100_1	101	840	8	 	 	1123, 1341	1511_12, 896_12	 	 	756	 	 	 	35_23, 36_24, 37_25, 825_23	 
Cryptobacterium curtum DSM 15641 (469378.5)	391_1	395	170	 	 	 	 	 	 	 	 	 	 	 	 	 
Eggerthella lenta DSM 2243 (479437.5)	2771_1	2770	294	 	309	 	 	 	 	 	 	 	 	 	 	 
Eggerthella sp. 1_3_56FAA (665943.3)	2286_1	2284	1591	1605	 	 	1607	 	 	 	 	 	 	 	1548_23, 1735_25	 
Eggerthella sp. YY7918 (502558.4)	503_1	504	2249	2229	 	 	2228	 	 	 	 	 	 	 	140_23	494
Gordonibacter pamelaeae 7-10-1-b (657308.3)	491_1	490	698	687	 	 	683	 	 	 	1006	 	 	 	2094_23	 
Olsenella uli DSM 7084 (633147.4)	771_1	772	770	74	 	 	1731, 509	 	 	 	 	1365_20	 	 	491_23	 
Slackia exigua ATCC 700122 (649764.3)	305_1	304	1189	609	 	 	1524, 610	 	 	 	 	 	 	 	 	 
Actinomyces cardiffensis F0333 (888050.3)	735_1	734	1610	 	1158	 	1159	 	 	 	 	1549_18	 	 	1137_23, 739_23, 993_23, 994_24, 995_25	 
Actinomyces graevenitzii C83 (435830.3)	1407_1	1408	726	 	910	 	 	126_11	1161	 	 	1010_18	 	 	1338_23, 1339_24, 1340_25	 
Actinomyces naeslundii str. Howell 279 (1115803.3)	1910_1	1909	1426	 	1045	1029	1044	 	 	 	 	1238_18	 	1484	1432_23, 1433_24, 1434_25	 
Actinomyces turicensis ACS-279-V-Col4 (883077.3)	180_1	179	1075	 	 	 	 	670_12	 	 	 	 	 	 	184_23, 487_23, 488_24, 489_25	 
Corynebacterium aurimucosum ATCC 700975 (Prj:31451) (548476.7)	1712_1	1711	285	 	1390	 	1389	2215_11	2417	 	 	734_18	 	1285	1403_25, 1404_25, 1405_23, 1406_24, 677_23	 
Corynebacterium durum F0235 (1035195.3)	394_1	395	188	 	2510	 	2508	1681_10	1788	 	1020	 	 	 	2526_25, 2527_23, 2528_24	 
Corynebacterium propinquum DSM 44285 (1121367.3)	1607_1	1608	518	 	1966	 	 	2018_11	1449	 	 	862_18	 	 	2057_24, 2058_23, 2059_25, 817_25, 818_23, 819_24	 
Gordonia rubripertincta NBRC 101908 (1077975.4)	459_1	460	1386	 	1189	1077	1190, 2103	2021_11	 	1076	3851	 	 	 	1042_25, 1043_24, 1044_23, 3516_23	 
Gordonia terrae C-6 (1316928.3)	3751_1	3752	2564	 	1451	1344	1452, 241	 	 	1343	602	3603_18	 	 	1302_25, 1303_24, 1304_23	 
Gordonia terrae NBRC 100016 (1089454.3)	3032_1	3033	2646	 	3109	2351	2195, 3108	 	 	2350	623	4895_18	 	 	1696_25, 1697_24, 1698_23, 4720_23, 4956_23	 
Mycobacterium avium subsp. paratuberculosis JQ6 (1112208.3)	1387_1	1386	1245	 	2565	 	1903, 2566	 	3138, 3139, 3140, 665	667	99	3609_18, 3610_18	 	4078	1596_23	 
Mycobacterium avium subsp. paratuberculosis MAP4 (1199187.3)	3666_1	3667	1396	 	330	 	331, 4114	 	2921, 772	2923	2034	1194_18	 	1587	4386_23	 
Mycobacterium avium subsp. paratuberculosis S5 (1247747.5)	387_1	386	894	 	3906	 	3904, 3905, 4336	 	1398, 3449	1396	2338, 2339	3014_18	 	1201	4618_23	 
Mycobacterium abscessus 3A-0119-R (1001721.3)	275_1	276	1392	 	3825	 	3824, 4504	 	1157, 3411	1155	2120	4895_18	 	 	2845_24, 2846_23, 2847_25, 4123_23	 
Mycobacterium abscessus 3A-0122-R (1001715.3)	361_1	362	1421	 	3853	 	3852, 4540	 	1186, 3373	1184	2157	4927_18	 	 	2879_24, 2880_23, 2881_25, 4159_23	 
Mycobacterium abscessus 3A-0122-S (1001716.3)	98_1	99	982	 	3402	 	3401, 4317	 	2987, 747	745	1716	4705_18	 	 	2437_24, 2438_23, 2439_25, 3939_23	 
