Organism	LysC	Asd	DapA	DapB	DapD	DapC	DapE	Lys_NE	DapL	DapH	PatA	DapeL	DapF	Ddh	LysA	LysP	LysXYZ
Propionibacterium acnes HL050PA3 (765102.3)	995	412_2	1387	1169	1375	1373_10	1381	 	236	 	 	1766_17	 	2016	1331_21	 	 
Propionibacterium acnes HL053PA1 (765066.3)	517	827_2	1551, 375	1209	1539	1537_10	1545	 	 	 	 	1937_17	 	2180	1495_21	 	 
Propionibacterium acnes HL053PA2 (765067.3)	394	1017_2	2153, 539	164	2165	2167_9	2159	 	 	 	 	1766_17	 	1520	2212_21	 	 
Propionibacterium acnes HL056PA1 (765119.3)	1488, 1489	557_2	1630, 2349	103	1618	1616_10	1624	 	 	 	 	1186_17	 	1431	1575_21	 	 
Propionibacterium acnes HL059PA1 (765091.3)	543	1790_2	2209	436	2197	2195_10	2203	 	1614	 	 	1081_17	 	835	2153_21	 	 
Propionibacterium acnes HL059PA2 (765092.3)	174	565_2	1296	1120	1284	1282_10	1290	 	740	 	 	1677_17	 	1925	1241_21	 	 
Propionibacterium acnes HL063PA1 (765113.3)	186	791_2	1455	1211	1443	1441_9	1449	 	 	 	 	1837_17	 	2082	1399_21	 	 
Propionibacterium acnes HL063PA2 (765114.3)	182	1064_2	1650	272	1638	1636_10	1644	 	875	 	 	2033_17	 	2277	1596_21	 	 
Propionibacterium acnes HL067PA1 (765110.3)	1077	1391_2	351	1946	339	337_10	345	 	1566	 	 	727_17	 	975	295_21	 	 
Propionibacterium acnes HL072PA1 (765074.3)	255	2236_2	998	817	986	984_9	992	 	 	 	 	1409_17	 	1653	942_21	 	 
Propionibacterium acnes HL072PA2 (765075.3)	1040	286_2	1346	1694	1358	1360_9	1352	 	 	 	 	2068_17	 	1824	1402_21	 	 
Propionibacterium acnes HL074PA1 (765076.3)	1859	778_2	1713, 2086	150	2074	2072_10	2080	 	 	 	 	1321_17	 	1564	2029_21	 	 
Propionibacterium acnes HL078PA1 (765071.3)	193	502_2	2180, 51	1201	2192	2194_10	2186	 	 	 	 	1795_17	 	1551	2237_21	 	 
Propionibacterium acnes HL082PA1 (765120.3)	158	444_2	2360	1076	2372	2374_9	2366	 	 	 	 	1974_17	 	1729	2416_21	 	 
Propionibacterium acnes HL082PA2 (765121.3)	184	1937_2	1040, 131	1286	1051	1053_9	1045	 	1742	 	 	668_17	 	421	1085_21	 	 
Propionibacterium acnes HL083PA1 (765087.3)	1353	998_2	1433, 738	571	750	752_10	744	 	 	 	 	2046_17	 	2291	793_21	 	 
Propionibacterium acnes HL083PA2 (765088.3)	160	946_2	1284	267	1272	1270_10	1278	 	772	 	 	1668_17	 	1917	1228_21	 	 
Propionibacterium acnes HL086PA1 (765093.3)	1126	116_2	1362	441	1350	1348_9	1356	 	 	 	 	1747_17	 	1991	1305_21	 	 
Propionibacterium acnes HL087PA2 (765082.3)	372	2087_2	624	779	612	610_9	618	 	 	 	 	1260_17	 	1505	568_21	 	 
Propionibacterium acnes HL087PA3 (765083.3)	182	714_2	2361	1106	2373	2375_10	2367	 	539	 	 	1979_17	 	1728	2417_21	 	 
Propionibacterium acnes HL092PA1 (765086.3)	819	244_2	1089, 963	2044	1077	1075_9	1083	 	 	 	 	1472_17	 	1714	1031_21	 	 
Propionibacterium acnes HL096PA2 (765058.3)	156	731_2	14, 1624	1335	1612	1610_10	1618	 	 	 	 	1998_17	 	2242	1568_21	 	 
Propionibacterium acnes HL096PA3 (765057.3)	2182	497_2	1468	1732	1480	1482_9	1474	 	 	 	 	1089_17	 	845	1524_21	 	 
Propionibacterium acnes HL097PA1 (765064.3)	156	712_2	1682	1098	1669	1667_9	1676	 	528	 	 	2081_17	 	2321	1635_21	 	 
Propionibacterium acnes HL099PA1 (765063.3)	289	390_2	148, 1835	2023	1847	1849_10	1841	 	 	 	 	1458_17	 	1215	1892_21	 	 
Propionibacterium acnes HL103PA1 (765061.3)	161	722_2	13, 1979	1045	1991	1993_9	1985	 	528	 	 	1608_17	 	1361	2027_21	 	 
Propionibacterium acnes HL110PA1 (765077.3)	391	1119_2	2354, 536	281	2367	2369_9	2360	 	 	 	 	1972_17	 	1730	2412_21	 	 
Propionibacterium acnes HL110PA2 (765078.3)	608	832_2	1201	2135	1189	1187_9	1195	 	 	 	 	1587_17	 	1832	1144_21	 	 
Propionibacterium acnes HL110PA3 (765079.3)	1534	647_2	1385, 2237	1284	2249	2251_9	2243	 	449	 	 	1875_17	 	1626	2283_21	 	 
Propionibacterium acnes HL110PA4 (765080.3)	367	1491_2	136, 2315	1803	2303	2301_9	2309	 	1293	 	 	706_17	 	457	2270_21	 	 
Propionibacterium acnes J139 (679194.3)	1767	375_2	1289, 1641	1490	1298	1300_9	1295	 	204	 	 	963_17	 	739	1330_21	 	 
Propionibacterium acnes J165 (679195.3)	1405	2320_2	1263, 225	2025	213	211_9	219	 	 	 	 	675_17	 	1959	170_21	 	 
Propionibacterium acnes KPA171202 (267747.3)	2203	328_2	674	1518	662	660_10	668	 	 	 	 	1056_17	 	1295	620_21	 	 
Propionibacterium acnes SK137 (553199.9)	2165	357_2	2021, 698	1518	686	684_10	692	 	 	 	 	1065_17	 	1306	642_21	 	 
Propionibacterium acnes SK182 (679193.4)	1944	2238_2	204, 93	1344	192	190_10	198	 	 	 	 	579_17	 	822	147_21	 	 
Propionibacterium acnes SK182B-JCVI (1051006.4)	848	1341_2	1140, 2207	62	1152	1154_9	1147	 	2116	 	 	487_17	 	251	1182_21	 	 
Propionibacterium acnes SK187 (686659.3)	1706	364_2	1478	2088	1488	1490_10	1483	 	 	 	 	964_17	 	1199	1530_21	 	 
Propionibacterium acnes TypeIA2 P.acn17 (1114967.3)	2194	340_2	684	1549	672	670_10	678	 	147	 	 	1063_17	 	1310	627_21	 	 
Propionibacterium acnes TypeIA2 P.acn31 (1114969.3)	2191	336_2	681	1544	669	667_10	675	 	149	 	 	1059_17	 	1306	625_21	 	 
Propionibacterium acnes TypeIA2 P.acn33 (1114966.3)	2180	324_2	665	1532	653	651_10	659	 	146	 	 	1044_17	 	1288	609_21	 	 
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 (754252.3)	392	1926_2	1577	1417	1586	1588_10	1585	 	 	 	 	1291_17	 	1022	 	 	 
Bifidobacterium adolescentis ATCC 15703 (367928.6)	144, 145	146_2	1374	1381	495	322_10, 998_8	257	 	 	 	 	1255_17	 	1496	285_22	 	 
Bifidobacterium adolescentis L2-32 (411481.5)	445, 446	447_2	109	115	780	1584_8, 613_9	548	 	 	 	 	1897_17	 	1392	576_22	 	 
Bifidobacterium animalis subsp. lactis BB-12 (552531.3)	701, 702	703_2	199	200	1032	860_10	791	 	 	 	 	136_17	 	280	 	 	 
Bifidobacterium animalis subsp. lactis BLC1 (1075106.4)	214, 215	216_2	1322	1323	543	374_10	304	 	 	 	 	1258_17	 	1404	 	 	 
Bifidobacterium animalis subsp. lactis Bl-04 (580050.3)	214, 215	216_2	1328	1329	544	374_10	304	 	 	 	 	1264_17	 	1409	 	 	 
Bifidobacterium animalis subsp. lactis CNCM I-2494 (1042403.4)	214, 215	216_2	1320	1321	540	371_10	302	 	 	 	 	1256_17	 	1402	 	 	 
Bifidobacterium animalis subsp. lactis DSM 10140 (555970.3)	215, 216	217_2	1329	1330	544	374_10	304	 	 	 	 	1265_17	 	1411	 	 	 
Bifidobacterium animalis subsp. lactis HN019 (486409.3)	1004, 1005	1006_2	779	780	1178	595_10	525	 	 	 	 	1026_17	 	1473	 	 	 
Bifidobacterium animalis subsp. lactis V9 (573236.3)	215, 216	217_2	1327	1328	543	373_10	303	 	 	 	 	1261_17	 	1409	 	 	 
Bifidobacterium bifidum NCIMB 41171 (398513.5)	1325, 1326	1328_2	1098	1097	1155	1497_9	920	 	 	 	663	1129_17	 	910	994_22	 	 
Bifidobacterium bifidum PRL2010 (702459.3)	1807, 1808	1805_2	452	451	512	1199_8, 1630_9	260	 	 	 	1280	484_17	 	249	347_22	 	 
Bifidobacterium bifidum S17 (883062.5)	1754, 1755	1752_2	470	469	531	1574_9	275	 	 	 	1231	502_17	 	265	348_22	 	 
Bifidobacterium breve ACS-071-V-Sch8b (866777.3)	147, 148	149_2	1367	1368	1484	1151_8, 1691_9	1772	 	 	 	 	1191_17	 	1790	 	 	 
Bifidobacterium breve UCC2003 (326426.4)	158, 159	160_2	1383, 552	551	1566	1784_10	1865	 	 	 	 	701_17	 	1883	1437_22	 	 
Bifidobacterium dentium ATCC 27678 (473819.7)	496, 497	495_2	1203	1197	104	320_10	385	 	 	 	 	1318_17	 	1039	358_22	 	 
Bifidobacterium dentium ATCC 27679 (871562.3)	470, 471	469_2	1045	1034	107	294_9	362	 	 	 	 	1143_17	 	899	335_22	 	 
Bifidobacterium dentium Bd1 (401473.3)	218, 219	220_2	1660	1666	610	396_10	330	 	 	 	 	1545_17	 	1824	357_22	 	 
Bifidobacterium dentium JCVIHMP022 (553191.3)	1306, 1307	1305_2	1420	1431	1896	2233_9	2160	 	 	 	 	1355_17	 	1762	2190_22	 	 
Bifidobacterium gallicum DSM 20093 (561180.4)	1226, 1227	1225_2	476	475	923	1093_9	774	 	 	 	 	546_17	 	1431	 	 	 
Bifidobacterium longum NCC2705 (206672.9)	1236, 1237	1235_2	906	907	1790	1619_9	1567	 	 	 	 	94_17	 	1560	 	 	 
Bifidobacterium longum subsp. infantis 157F (565040.3)	139, 140	141_2	446	445	1623	1806_9	1868	 	 	 	 	1439_17	 	1877	 	 	 
Bifidobacterium longum subsp. infantis ATCC 55813 (548480.3)	1679, 1680	1681_2	277	278	744	567_9	1090	 	 	 	 	922_17	 	1083	 	 	 
Bifidobacterium longum subsp. infantis CCUG 52486 (537937.5)	487, 488	486_2	185	186	1290	1790_9	1848	 	 	 	 	2040_17	 	1856	 	 	 
Bifidobacterium longum subsp. longum BBMN68 (890402.3)	1263, 1264	1262_2	987	988	1830	1651_9	1593	 	 	 	 	140_17	 	1586	 	 	 
Bifidobacterium longum subsp. longum F8 (722911.3)	1341, 1342	1340_2	778	779	1116	1674_9	1747, 1748	 	 	 	 	57_17	 	1755	 	 	 
Bifidobacterium longum subsp. longum JCM 1217 (565042.3)	149, 150	151_2	433	432	1582	1755_9	1811	 	 	 	 	1411_17	 	1818	 	 	 
Bifidobacterium longum subsp. longum JDM301 (759350.3)	148, 149	150_2	491	490	1550	1751_9	1802	 	 	 	 	1363_17	 	1816	 	 	 
Bifidobacterium longum subsp. longum KACC 91563 (1035817.4)	1737, 1738	1736_2	1440	1441	373	160_9	107	 	 	 	1187	556_17	 	99	 	 	 
Scardovia inopinata F0304 (641146.3)	1088, 1089	1090_2	953	952	 	 	 	 	955	 	954	957_17	 	956	 	 	 
Atopobium parvulum DSM 20469 (521095.6)	534	535_2	508	509	 	 	 	 	510	 	 	 	 	507	 	 	 
Atopobium rimae ATCC 49626 (553184.4)	278	277_2	308	307	 	 	 	 	306	 	 	 	 	309	 	 	 
Collinsella aerofaciens ATCC 25986 (411903.6)	826	827_2	361	362	 	 	 	 	363	 	359, 747	 	 	361	 	 	 
Collinsella intestinalis DSM 13280 (521003.7)	1409	1408_2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Collinsella stercoris DSM 13279 (445975.6)	100	101_2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Cryptobacterium curtum DSM 15641 (469378.5)	391	395_2	721	723	 	 	 	 	 	 	 	 	1296	169	 	 	1212_26
Eggerthella lenta DSM 2243 (479437.5)	2771	2770_2	1680	1681, 479	 	 	 	 	 	 	 	 	788	293	 	 	 
Eggerthella sp. 1_3_56FAA (665943.3)	2286	2284_2	2924	1786, 2925	 	 	 	 	 	 	 	 	881	1590	 	 	 
Eggerthella sp. YY7918 (502558.4)	503	504_2	1311, 918	1312	 	 	 	1881_12	 	 	 	1880_17	490	2250	 	 	 
Gordonibacter pamelaeae 7-10-1-b (657308.3)	491	490_2	3034	597	 	 	 	 	 	 	 	 	 	699	 	 	 
Olsenella uli DSM 7084 (633147.4)	771	772_2	1421	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Slackia exigua ATCC 700122 (649764.3)	305	304_2	1068	1069	 	 	 	 	1070	 	1066	 	 	1067	 	 	 
Actinomyces cardiffensis F0333 (888050.3)	735	734_2	1218, 174	176	342	344_9	 	 	 	 	 	 	350	242	349_21	 	 
Actinomyces graevenitzii C83 (435830.3)	1407	1408_2	101	 	 	 	 	 	 	 	 	293_17	 	 	887_21	 	 
Actinomyces naeslundii str. Howell 279 (1115803.3)	1910	1909_2	1511, 2457, 320	 	492	497_9	 	 	 	 	 	 	1624	2512, 2513	126_21	 	 
Actinomyces turicensis ACS-279-V-Col4 (883077.3)	180	179_2	1534	1536	1186	1188_9	706	 	 	 	 	1520_17	 	1571	 	 	 
Corynebacterium aurimucosum ATCC 700975 (Prj:31451) (548476.7)	1712	1711_2	1293, 1902	1904	344	350_9	342	 	 	 	1999, 2231, 381	1875_17	 	1544, 286	2239_22, 786_22	 	 
Corynebacterium durum F0235 (1035195.3)	394	395_2	1264, 1293	1266	136, 138	134_9	139	 	 	 	1409	1242_17	 	186	 	 	 
Corynebacterium propinquum DSM 44285 (1121367.3)	1607	1608_2	2063, 254, 373	256	481	479_9	484	 	 	 	1500, 339, 956	233_17	 	517	1492_22	 	 
Gordonia rubripertincta NBRC 101908 (1077975.4)	459	460_2	1896	1734	2579	2577_9	2581	 	 	 	4252, 4253	1873_17	 	1385	 	 	 
Gordonia terrae C-6 (1316928.3)	3751	3752_2	349	982	949	951_9	947	 	 	 	 	373_17	 	2563	 	 	 
Gordonia terrae NBRC 100016 (1089454.3)	3032	3033_2	3267	3280	747	745_9	749	 	 	 	 	895_17	 	2645	 	 	 
Mycobacterium avium subsp. paratuberculosis JQ6 (1112208.3)	1387	1386_2	1169, 3372	3355	3708	3670_9	3715	 	 	 	 	3400_17	 	1246, 716	 	 	 
Mycobacterium avium subsp. paratuberculosis MAP4 (1199187.3)	3666	3667_2	978	963	1280	1250_9	1284	 	 	 	1135	1003_17	 	1395, 2965	 	 	 
Mycobacterium avium subsp. paratuberculosis S5 (1247747.5)	387	386_2	1076, 1435, 3238	3253	2922	2957_9	 	 	 	 	3076	3211_17	 	1351, 893	 	 	 
Mycobacterium abscessus 3A-0119-R (1001721.3)	275	276_2	1005, 3203	3214	1294	1287_9	1295	 	 	 	5012	3160_17	 	1114, 1391	 	 	 
Mycobacterium abscessus 3A-0122-R (1001715.3)	361	362_2	3166, 3485	3177	1324	1317_9	1325	 	 	 	5047	3123_17	 	1143, 1420	 	 	 
Mycobacterium abscessus 3A-0122-S (1001716.3)	98	99_2	2779, 594	2790	885	878_9	886	 	 	 	4823	2736_17	 	704, 981	 	 	 
Mycobacterium abscessus 3A-0731 (1001718.3)	275	276_2	3316, 872	3327	1246	1239_9	1247	 	 	 	5091	3273_17	 	1342, 982	 	 	 
Mycobacterium abscessus 3A-0810-R (1001717.3)	277	278_2	1048, 3241	3252	1339	1332_9	1340	 	 	 	5015	3198_17	 	1158, 1435	 	 	 
Mycobacterium abscessus 3A-0930-R (1001720.3)	277	278_2	1057, 3210	3221	1347	1340_9	1348	 	 	 	4960	3167_17	 	1167, 1443	 	 	 
Mycobacterium abscessus 3A-0930-S (1001719.3)	278	279_2	3145, 630	3156	919	912_9	920	 	 	 	4888	3102_17	 	1014, 739	 	 	 
Mycobacterium abscessus 47J26 (1087483.3)	3511	3512_2	3653, 817	806	2004	1997_9	2005	 	 	 	4544	859_17	 	1740, 2094, 916	 	 	 
Mycobacterium abscessus 4S-0116-R (1001725.3)	478	479_2	1125, 2780	2791	1402	1395_9	1403	 	 	 	4562	2738_17	 	1219, 1494	 	 	 
Mycobacterium abscessus 4S-0116-S (1001724.3)	4155	4156_2	1873, 23	1884	300	293_9	301	 	 	 	3653	1831_17	 	117, 392	 	 	 
Mycobacterium abscessus 4S-0206 (1001723.3)	1886	1887_2	2783, 281	2794	559	552_9	560	 	 	 	4563	2741_17	 	375, 651	 	 	 
Mycobacterium abscessus 4S-0303 (1001722.3)	479	480_2	1328, 2774	2785	1604	1597_9	1605	 	 	 	4554	2732_17	 	1421, 1696	 	 	 
Mycobacterium abscessus 4S-0726-RA (1001726.3)	211	212_2	2708, 877	2719	1153	1146_9	1154	 	 	 	4487	2666_17	 	1245, 971	 	 	 
Mycobacterium abscessus 4S-0726-RB (1001727.3)	4603	4604_2	2320, 462	2331	738	731_9	739	 	 	 	4101	2278_17	 	555, 830	 	 	 
