Organism	PurF	PurD	PurNT	PurLQS	PurM	PurEK	PurC	PurB	PurH1	PurH2	PurA	GuaB	GuaA	GuaC	XanQ	Xpt
Mobiluncus curtisii ATCC 51333 (887326.3)	1020	955	1375_4, 461_3	1002_7, 1003_6, 1004_5	1021_8	1134_9, 1135_22	1001_10	241_11	460_12	460_12	906	1574_17, 1578_17	562_19	 	 	 
Mobiluncus curtisii subsp. holmesii ATCC 35242 (887899.3)	1574	1641	1251_4, 560_3	1593_5, 1594_6, 1595_7	1573_8	1447_22, 1448_9	1596_10	1749_11	561_12	561_12	1690	1003_17, 1007_17	248_19	 	 	 
Corynebacterium ammoniagenes DSM 20306 (649754.3)	1329	1343	1439_4, 749_3	1335_5, 1336_6, 1337_7	1328_8	2364_22, 2365_9	1341_10	1342_11	748_12	748_12	1440	1663_17, 1664_17	1658_19	 	 	 
Corynebacterium amycolatum SK46 (553204.6)	1818	1854	438_3, 784_4	1305_5_6, 1305_5_6	1817_8	1721_22, 1722_9, 1723_9	1827_10	1835_11	437_12	437_12	789	1060_17, 487_17, 488_17	485_19	 	 	 
Corynebacterium glucuronolyticum ATCC 51866 (548478.3)	652	627	2095_3, 490_4	2325_5_6, 2325_5_6	653_8	1567_9, 1568_22	631_10	628_11	2096_12	2096_12	485	1018_17, 1511_17, 1512_17	1515_19	 	 	 
Corynebacterium kroppenstedtii DSM 44385 (645127.4)	397	376	1776_4, 491_3	389_7, 390_6, 391_5	398_8	1570_22, 1571_9	382_10	378_11	492_12	492_12	1792	206_17, 331_17, 332_17	333_19	 	 	 
Corynebacterium striatum ATCC 6940 (525268.3)	1984	1970	1064_4, 1339_3	1976_5_6, 1976_5_6	1985_8	219_9, 220_22	1972_10	1971_11	1338_12	1338_12	1062	108_17, 109_17	112_19	 	 	 
Corynebacterium tuberculostearicum SK141 (553206.4)	2176	2160	1116_3, 2060_4	2166_7, 2167_6, 2168_5	2177_8	196_22, 197_9	2162_10	2161_11	1117_12	1117_12	1819	2120_17, 285_17, 286_17	284_19	 	 	 
Corynebacterium ulcerans 809 (945711.3)	1876	1892	718_3	1881_5, 1882_6, 1883_7	1875_8	565_9, 566_22	1888_10	1889_11	719_12	719_12	2011	1618_17, 495_17, 496_17	498_19	 	 	 
Corynebacterium ulcerans BR-AD22 (945712.3)	1972	1987	725_3	1977_5, 1978_6, 1979_7	1971_8	567_9, 568_22	1983_10	1984_11	726_12	726_12	2169	1625_17, 494_17, 495_17	498_19	 	 	 
Dietzia cinnamea P4 (910954.3)	1927	3048	1463_4, 2023_3, 58_3	2045_7, 2046_6, 70_5	1926_8	1264_9, 1265_22	2039_10	3038_11	59_12	59_12	1933	2541_17, 2542_17	2538_19	 	 	 
Mycobacterium avium subsp. paratuberculosis K-10 (262316.17)	672	642	4121_4, 943_3	659_7, 660_6, 669_5	673_8	3607_22, 3608_9	650_10	647_11	944_12	944_12	4119	1648_17, 4553_17, 4554_17	3712_19	 	 	 
Mycobacterium avium subsp. paratuberculosis S397 (1010838.3)	3606	3575	1718_4, 728_3	3592_7, 3593_6, 3603_5	3607_8	2379_9, 2380_22	3583_10	3580_11	727_12	727_12	1720	2255_17, 4331_17	2291_19	 	 	 
Mycobacterium avium subsp. paratuberculosis str. k10 (262316.1)	638	606	3871_4, 902_3	625_7, 626_6, 635_5	639_8	3393_22, 3394_9	614_10	611_11	903_12	903_12	3869	1556_17, 4278_17, 4279_17	3489_19	 	 	 
Mycobacterium abscessus (36809.5)	4961, 752	722	1100_3, 1229_4, 3408_3, 4324_4	737_7, 738_6, 746_5	769_8	3687_22, 3688_9	729_10	727_11	1101_12	1101_12	4328	2456_17, 3789_17, 3790_17	3787_19	 	2981	 
Rhodococcus equi 103S (685727.3)	837	783	1139_3	823_7, 824_6, 832_5	838_8	3378_15	805_10	786_11	1140_12	1140_12	3966	2425_17, 3495_18, 3496_17	3492_19	 	 	 
Rhodococcus equi ATCC 33707 (525370.3)	2201	2264	1354_4, 3756_3	2206_5, 2214_6, 2215_7	2200_8	3062_9, 3063_22	2233_10	2261_11	3755_12	3755_12	1330	1808_17, 2952_17, 2953_18	2955_19	 	 	 
Rhodococcus erythropolis PR4 (234621.6)	5383	1469	1918_4, 4973_3	1505_7, 1506_6, 5387_5	5379_8	2638_9, 2639_22	1492_10	1482_11	4972_12	4972_12	1904, 5622	2430_17, 2431_17, 3100_17, 3602_17	2435_19	 	2604	 
Rhodococcus erythropolis SK121 (596309.3)	350	5815	4479_4, 6448_3	354_5, 5852_7, 5853_6	346_8	1056_22, 1057_9	5838_10	5829_11	6449_12	6449_12	4492, 556	1262_17, 1263_17, 3027_17, 5053_17	1258_19	 	1091	 
Brevibacterium linens BL2 (321955.4)	251	244_10	2490_3	235_6, 236_7, 2844_5	252_8	3019_15	244_10	871_11	2489_12	2489_12	2804	1716_17, 2325_18, 3843_17	2328_19	 	 	 
Kytococcus sedentarius DSM 20547 (478801.5)	572	552	731_3	559_7, 560_6, 561_5	573_8	791_15	553_10	170_11	732_12	732_12	541	711_17, 712_18	719_19	 	 	 
Kocuria rhizophila DC2201 (378753.5)	412	416	1808_3	260_5, 261_6, 262_7	411_8	1750_15	417_10	326_11	1807_12	1807_12	197	669_17, 670_17, 918_17	673_19	 	 	 
Kocuria rhizophila P7-4 (1029824.3)	1150	1154	1355_3	1013_5, 1014_6, 1015_7	1149_8	1295_9	1155_10	1071_11	1354_12	1354_12	957	477_17, 707_17, 708_17	704_19	 	 	 
Micrococcus luteus NCTC 2665 (465515.4)	1799	1790	419_3	229_5, 230_6, 231_7	1800_8	494_15	1789_10	1976_11	421_12	421_12	197	1586_18, 1587_17, 737_17	1583_21	 	 	 
Micrococcus luteus SK58 (596312.3)	151	163	45_3	1386_5, 1387_6, 1388_7	150_8	387_9, 388_22	164_10	272_11	43_12	43_12	1969	1762_17, 1956_17, 1957_17	1960_19	 	 	 
Rothia dentocariosa ATCC 17931 (762948.4)	505	498	1314_3	1182_5, 1183_6, 1184_7	506_8	1362_15	497_10	620_11	1315_12	1315_12	1096	243_18, 244_17	230_19	 	 	 
Rothia dentocariosa M567 (563032.4)	1529	1523	1619_3	2130_5, 2131_6, 2132_7	1530_8	1666_22, 1667_9	1522_10	521_11	1620_12	1620_12	2050	1258_17, 1259_17	1253_19	 	 	 
Rothia mucilaginosa ATCC 25296 (553201.3)	727	731	1411_3	1678_5, 1679_6, 1680_7	726_8	1368_9, 1369_22	732_10	129_11	1410_12	1410_12	1609	941_17, 942_17	943_19	 	 	 
Rothia mucilaginosa DY-18 (680646.3)	252	256	1433_3	1536_7, 1537_6, 1538_5	251_8	1394_9, 1395_22	257_10	182_11	1432_12	1432_12	1612	462_17, 463_17	464_19	 	 	 
Tropheryma whipplei TW08/27 (218496.4)	897	900	102_3	969_5, 970_6, 971_7	898_8	31_9	139_10	966_11	103_12	103_12	967	93_17, 94_18	98_19	 	 	 
Tropheryma whipplei str. Twist (203267.6)	906	909	101_3	978_5, 980_6, 981_7	907_8	30_9	140_10	975_11	102_12	102_12	976	93_17, 94_18	97_19	 	 	 
Micromonospora aurantiaca ATCC 27029 (644283.3)	2698	2673	5563_3	2692_7, 2693_6, 2694_5	2699_8	1658_9, 1659_22	4207_10	2689_11	5562_12	5562_12	2671, 2680	3222_17, 3223_17, 368_17, 4528_17, 5279_17, 820_17	3217_19, 4381_19	 	 	 
Propionibacterium acnes 266 (909952.3)	2035	2059	1809_3	2042_5, 2053_6	2034_8	1754_22, 1755_9	2054_10	2058_11	1808_12	1808_12	2060	1831_18, 1832_17, 755_17	1827_19	 	 	 
Propionibacterium acnes 6609 (1031709.3)	2067	2094	1845_3	2074_5, 2088_6	2066_8	1796_15	2089_10	2093_11	1844_12	1844_12	2095	1867_18, 1868_17, 760_17	1863_19	 	 	 
Propionibacterium acnes ATCC 11828 (1091045.3)	545	568	325_3	562_6	544_8	273_9	563_10	567_11	324_12	324_12	569	2238_17, 347_17	342_19	 	 	 
Propionibacterium acnes HL001PA1 (765105.8)	509	8	288_3	2_6, 516_5	508_8	240_9	3_10	7_11	287_12	287_12	9	1469_17, 310_18, 311_17	306_19	 	 	 
Propionibacterium acnes HL002PA1 (765115.3)	15	90	1976_3	84_6	16_8	2026_9	85_10	89_11	1977_12	1977_12	91	1205_17, 1954_17, 1955_18	1959_19	 	 	 
Propionibacterium acnes HL002PA2 (765116.3)	14	320	1346_3	314_6, 7_5	15_8	1294_22, 1295_9	315_10	319_11	1345_12	1345_12	321	1368_18, 1369_17, 2243_17	1364_19	 	 	 
Propionibacterium acnes HL002PA3 (765117.3)	2395	278	674_3	2403_5, 284_6	2394_8	725_9, 726_22	283_10	279_11	675_12	675_12	277	2143_17, 651_17, 652_18	656_19	 	 	 
Propionibacterium acnes HL005PA1 (765096.3)	803	1069	1562_3	1063_6, 796_5	804_8	1582_9, 1583_22	1064_10	1068_11	1561_12	1561_12	1070	1006_17, 1007_18, 2304_17	1011_19	 	 	 
Propionibacterium acnes HL005PA2 (765097.3)	2020	92	2283_3	2028_5, 86_6	2019_8	39_22, 40_9	87_10	91_11	2284_12	2284_12	93	1530_17, 2260_17, 2261_18	2265_19	 	 	 
Propionibacterium acnes HL005PA4 (765099.3)	116	370	2304_3	376_6	117_8	2355_9	375_10	371_11	2305_12	2305_12	369	1623_17, 2282_17, 2283_18	2287_19	 	 	 
Propionibacterium acnes HL007PA1 (765118.3)	1330	766	2175_3	1337_5, 760_6	1329_8	2464_22, 2465_9	761_10	765_11	2174_12	2174_12	767	1562_17, 2196_18, 2197_17	2192_19	 	 	 
Propionibacterium acnes HL013PA1 (765069.3)	2151	1687	2253_3	1681_6	2152_8	2109_9	1682_10	1686_11	2252_12	2252_12	1688	1509_17, 2274_18, 2275_17	2270_19	 	 	 
Propionibacterium acnes HL013PA2 (765070.3)	621	331	375_3	337_6, 628_5	620_8	142_22, 143_9	336_10	332_11	374_12	374_12	330	397_18, 398_17, 645_17	393_19	 	 	 
Propionibacterium acnes HL020PA1 (765065.3)	1235	769	1162_3	1228_5, 763_6	1236_8	991_9, 992_22	764_10	768_11	1163_12	1163_12	770	1139_17, 1140_18, 2015_17	1144_19	 	 	 
Propionibacterium acnes HL025PA1 (765089.3)	930	908	2315_3	914_6	931_8	2262_22, 2263_9	913_10	909_11	2314_12	2314_12	907	1986_17, 2336_18, 2337_17	2332_19	 	 	 
Propionibacterium acnes HL027PA1 (765111.3)	727	326	149_3	320_6	728_8	297_9	321_10	325_11	150_12	150_12	327	127_17, 128_18, 2052_17	132_19	 	 	 
Propionibacterium acnes HL027PA2 (765112.3)	1088	1278	1616_3	1284_6	1087_8	1565_22, 1566_9	1283_10	1279_11	1615_12	1615_12	1277	1638_18, 1639_17, 853_17	1634_19	 	 	 
Propionibacterium acnes HL030PA1 (765103.3)	60	84	1737_3	67_5, 78_6	59_8	1687_15	79_10	83_11	1736_12	1736_12	85	1760_18, 1761_17, 834_17	1756_19	 	 	 
Propionibacterium acnes HL036PA1 (765106.3)	963	1168	2252_3	1162_6, 955_5	964_8	1120_9, 1121_22	1163_10	1167_11	2251_12	2251_12	1169	1502_17, 2274_18, 2275_17	2270_19	 	 	 
Propionibacterium acnes HL036PA2 (765107.3)	2383	825	1274_3	2391_5, 831_6	2382_8	1223_22, 1224_9	830_10	826_11	1273_12	1273_12	824	1296_18, 1297_17, 2149_17	1292_19	 	 	 
Propionibacterium acnes HL037PA1 (765122.3)	191	1263	977_3	1269_6, 198_5	190_8	925_9	1268_10	1264_11	976_12	976_12	1262	107_17, 108_18, 1680_17	112_19	 	 	 
Propionibacterium acnes HL037PA2 (765123.3)	1592	1563	1810_3	1569_6	1593_8	1861_9, 1862_22	1568_10	1564_11	1811_12	1811_12	1561	1789_17, 798_17	1793_19	 	 	 
Propionibacterium acnes HL038PA1 (765085.3)	78	2259	1026_3	2265_6, 71_5	79_8	41_22, 42_9	2264_10	2260_11	1025_12	1025_12	2258	1049_18, 1050_17, 1365_17	1045_19	 	 	 
Propionibacterium acnes HL043PA1 (765072.3)	1603	9	2100_3	1610_5, 3_6	1602_8	2150_9, 2151_22	4_10	8_11	2101_12	2101_12	10	2078_17, 2079_18, 2205_17	2083_19	 	 	 
Propionibacterium acnes HL043PA2 (765073.3)	2416	796	634_3	2409_5, 790_6	2417_8	684_9, 685_22	791_10	795_11	635_12	635_12	797	1858_17, 952_17, 953_18	957_19	 	 	 
Propionibacterium acnes HL044PA1 (765109.3)	2206	2179	2721_3	2184_6	2207_8	2669_22, 2670_9	2183_10	2180_11	2720_12	2720_12	2177	2742_17, 550_17	2738_19	 	 	 
Propionibacterium acnes HL045PA1 (765068.3)	1083	215	2395_3	1076_5, 221_6	1084_8	2446_9, 2447_22	220_10	216_11	2396_12	2396_12	214	1574_17, 2373_17, 2374_18	2378_19	 	 	 
Propionibacterium acnes HL046PA1 (765094.3)	117	250	2024_3	244_6	118_8	202_9	245_10	249_11	2023_12	2023_12	251	1805_17, 2046_18, 2047_17	2042_19	 	 	 
Propionibacterium acnes HL046PA2 (765095.3)	253	1442	1656_3	1436_6	254_8	481_22, 482_9	1437_10	1441_11	1655_12	1655_12	1443	1678_18, 1679_17, 828_17	1674_19	 	 	 
Propionibacterium acnes HL050PA1 (765100.3)	337	9	1677_3	3_6	336_8	1729_9, 1730_22	4_10	8_11	1678_12	1678_12	10	1655_17, 1656_18, 827_17	1660_19	 	 	 
Propionibacterium acnes HL050PA2 (765101.3)	1185	2316	1403_3	2310_6	1186_8	852_9	2311_10	2315_11	1404_12	1404_12	2317	1381_17, 1382_18, 2135_17	1386_19	 	 	 
Propionibacterium acnes HL050PA3 (765102.3)	722	845	2264_3	839_6	721_8	2214_9	840_10	844_11	2263_12	2263_12	846	1459_17, 2285_18, 2286_17	2281_19	 	 	 
Propionibacterium acnes HL053PA1 (765066.3)	1389	370	2333_3	1382_5, 364_6	1390_8	1319_9, 1320_22	365_10	369_11	2334_12	2334_12	371	1622_17, 2311_17, 2312_18	2316_19	 	 	 
Propionibacterium acnes HL053PA2 (765067.3)	15	544	2292_3	551_6, 8_5	16_8	351_22, 352_9	549_10, 550_10	545_11	2291_12	2291_12	543	2078_17, 2313_18, 2314_17	2309_19	 	 	 
Propionibacterium acnes HL056PA1 (765119.3)	1787	2344	1847_3	1794_5, 2338_6	1786_8	293_22, 294_9	2339_10	2343_11	1846_12	1846_12	2345	1700_17, 1802_17, 1803_18	1807_19	 	 	 
Propionibacterium acnes HL059PA1 (765091.3)	2099	241	2312_3	247_6	2098_8	2362_9	246_10	242_11	2313_12	2313_12	240	2283_17, 567_18, 568_17	563_19	 	 	 
Propionibacterium acnes HL059PA2 (765092.3)	2152	19	2268_3	13_6	2151_8	2217_9	14_10	18_11	2267_12	2267_12	20	1369_17, 2289_18, 2290_17	2285_19	 	 	 
Propionibacterium acnes HL063PA1 (765113.3)	1062	37	2283_3	1055_5, 31_6	1063_8	226_9, 227_22	32_10	36_11	2282_12	2282_12	38	1530_17, 2305_18, 2306_17	2301_19	 	 	 
Propionibacterium acnes HL063PA2 (765114.3)	486	147	1467_3	153_6, 494_5	485_8	1518_9, 1519_22	152_10	148_11	1468_12	1468_12	146	1445_17, 1725_17	1450_19	 	 	 
Propionibacterium acnes HL067PA1 (765110.3)	2064	81	2221_3	75_6	2065_8	2144_9	76_10	80_11	2220_12	2220_12	82	2242_18, 2243_17, 424_17	2238_19	 	 	 
Propionibacterium acnes HL072PA1 (765074.3)	594	404	180_3	410_6, 601_5	593_8	622_9, 623_22	409_10	405_11	181_12	181_12	403	1071_17, 157_17, 158_18	162_19	 	 	 
Propionibacterium acnes HL072PA2 (765075.3)	1192	892	1173_3	1185_5, 886_6	1193_8	1122_22, 1123_9	887_10	891_11	1172_12	1172_12	893	1273_17, 769_18, 770_17	765_19	 	 	 
Propionibacterium acnes HL074PA1 (765076.3)	254	1708	415_3	1702_6, 247_5	255_8	363_22, 364_9	1703_10	1707_11	414_12	414_12	1709	2157_17, 438_18, 439_17	434_19	 	 	 
Propionibacterium acnes HL078PA1 (765071.3)	1352	46	2381_3	1344_5, 40_6	1353_8	2300_9, 2301_22	41_10	45_11	2380_12	2380_12	47	2106_17, 2403_18, 2404_17	2399_19	 	 	 
Propionibacterium acnes HL082PA1 (765120.3)	1557	10	1276_3	1564_5, 4_6	1556_8	1450_9, 1451_22	5_10	9_11	1275_12	1275_12	11	1298_17, 2287_17	1293_19	 	 	 
Propionibacterium acnes HL082PA2 (765121.3)	234	136	2327_3	142_6, 227_5	235_8	16_9	141_10	137_11	2326_12	2326_12	135	2349_18, 2350_17, 958_17	2345_19	 	 	 
Propionibacterium acnes HL083PA1 (765087.3)	1330	1428	1699_3	1337_5, 1422_6	1329_8	41_22, 42_9	1423_10	1427_11	1700_12	1700_12	1429	1677_17, 1678_18, 667_17	1682_19	 	 	 
Propionibacterium acnes HL083PA2 (765088.3)	2176	9	2279_3	3_6	2177_8	2110_9	4_10	8_11	2278_12	2278_12	10	1359_17, 2300_18, 2301_17	2296_19	 	 	 
Propionibacterium acnes HL086PA1 (765093.3)	2164	977	2391_3	2157_5, 971_6	2165_8	2444_9, 2445_22	972_10	976_11	2392_12	2392_12	978	1436_17, 2369_17, 2370_18	2374_19	 	 	 
Propionibacterium acnes HL087PA2 (765082.3)	2343	520	37_3	2336_5, 526_6	2344_8	331_22, 332_9	525_10	521_11	36_12	36_12	519	59_18, 60_17, 696_17	55_19	 	 	 
Propionibacterium acnes HL087PA3 (765083.3)	1402	32	1599_3	26_6	1403_8	1649_9	27_10	31_11	1600_12	1600_12	33	1577_17, 1578_18, 2287_17	1582_19	 	 	 
Propionibacterium acnes HL092PA1 (765086.3)	1883	968	2228_3	1876_5, 974_6	1884_8	2426_22, 2427_9	973_10	969_11	2227_12	2227_12	967	1161_17, 2250_18, 2251_17	2246_19	 	 	 
Propionibacterium acnes HL096PA2 (765058.3)	1083	9	2435_3	1090_5, 3_6	1082_8	2486_9, 2487_22	4_10	8_11	2436_12	2436_12	10	1695_17, 2412_17, 2413_18	2417_19	 	 	 
Propionibacterium acnes HL096PA3 (765057.3)	2272	2035	2375_3	2029_6, 2265_5	2273_8	1863_22, 1864_9	2030_10	2034_11	2374_12	2374_12	2036	1396_17, 2397_18, 2398_17	2393_19	 	 	 
Propionibacterium acnes HL097PA1 (765064.3)	1285	9	1494_3	3_6	1286_8	1542_9, 1543_22	4_10	8_11	1495_12	1495_12	10	1472_17, 1763_17	1477_19	 	 	 
Propionibacterium acnes HL099PA1 (765063.3)	648	143	1087_3	137_6, 641_5	649_8	1137_9, 1138_22	138_10	142_11	1088_12	1088_12	144	1763_17, 836_18, 837_17	832_19	 	 	 
Propionibacterium acnes HL103PA1 (765061.3)	2193	8	2306_3	2_6, 2200_5	2192_8	2356_9	3_10	7_11	2307_12	2307_12	9	1895_17, 2283_17, 2284_18	2288_19	 	 	 
Propionibacterium acnes HL110PA1 (765077.3)	616	541	833_3	547_6, 624_5	615_8	663_9, 664_22	546_10	542_11	834_12	834_12	540	2282_17, 811_17, 812_18	816_19	 	 	 
Propionibacterium acnes HL110PA2 (765078.3)	648	573	2319_3	579_6, 641_5	649_8	2267_22, 2268_9	578_10	574_11	2318_12	2318_12	572	1273_17, 2340_18, 2341_17	2336_19	 	 	 
Propionibacterium acnes HL110PA3 (765079.3)	202	1380	1029_3	1374_6, 209_5	201_8	1080_9	1375_10	1379_11	1030_12	1030_12	1381	1007_17, 1008_18, 2153_17	1012_19	 	 	 
Propionibacterium acnes HL110PA4 (765080.3)	989	131	2136_3	125_6, 982_5	990_8	2187_9	126_10	130_11	2137_12	2137_12	132	2114_17, 2115_18, 2399_17	2119_19	 	 	 
Propionibacterium acnes J139 (679194.3)	2127	1635	1919_3	1629_6, 2134_5	2126_8	1872_9	1630_10	1634_11	1918_12	1918_12	1637	1220_17, 1938_18, 1939_17	1934_19	 	 	 
Propionibacterium acnes J165 (679195.3)	448	1258	1004_3	1252_6, 455_5	447_8	1645_22, 1646_9	1253_10	1257_11	1003_12	1003_12	1259	1026_18, 1027_17, 293_17	1022_19	 	 	 
Propionibacterium acnes KPA171202 (267747.3)	2020	2043	1804_3	2027_5, 2037_6	2019_8	1752_15	2038_10	2042_11	1803_12	1803_12	2044	1825_18, 1826_17, 743_17	1821_19	 	 	 
Propionibacterium acnes SK137 (553199.9)	1993	2016	1768_3	2000_5, 2010_6	1992_8	1717_22, 1718_9	2011_10	2015_11	1767_12	1767_12	2017	1790_18, 1791_17, 765_17	1786_19	 	 	 
Propionibacterium acnes SK182 (679193.4)	1504	98	1102_3	104_6	1505_8	1050_22, 1051_9	103_10	99_11	1101_12	1101_12	97	1124_17, 274_17	1119_19	 	 	 
Propionibacterium acnes SK182B-JCVI (1051006.4)	1662	2202	1864_3	1655_5, 2196_6	1663_8	1014_9, 1015_22	2197_10	2201_11	1865_12	1865_12	2203	1843_17, 764_17	1848_19	 	 	 
Propionibacterium acnes SK187 (686659.3)	1352	1428	755_3	1345_5, 1422_6	1353_8	709_9	1423_10	1427_11	754_12	754_12	1429	1821_17, 776_18, 777_17	772_19	 	 	 
Propionibacterium acnes TypeIA2 P.acn17 (1114967.3)	2023	2046	1801_3	2040_6	2022_8	1751_22, 1752_9	2041_10	2045_11	1800_12	1800_12	2047	1823_17, 757_17	1818_19	 	 	 
Propionibacterium acnes TypeIA2 P.acn31 (1114969.3)	2019	2042	1796_3	2036_6	2018_8	1747_9	2037_10	2041_11	1795_12	1795_12	2043	1818_17, 753_17	1813_19	 	 	 
Propionibacterium acnes TypeIA2 P.acn33 (1114966.3)	2010	2033	1785_3	2027_6	2009_8	1736_9	2028_10	2032_11	1784_12	1784_12	2034	1807_17, 739_17	1802_19	 	 	 
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 (754252.3)	484	405	685_3	409_7, 410_6, 476_5	485_8	733_15	408_10	406_11	687_12	687_12	1849	1547_17, 651_17, 652_18	670_21	 	2278	 
Bifidobacterium adolescentis ATCC 15703 (367928.6)	563	561	 	566_5_6, 566_5_6	562_8	557_9	567_10	602_11	878_12	878_12	60	482_17, 844_17	231_19, 742_19	 	1009, 747	748
Bifidobacterium adolescentis L2-32 (411481.5)	860	858	865_4	863_5_6, 863_5_6	859_8	854_22, 855_9	864_10	897_11	1148_12	1148_12	356	1182_17, 768_17	1278_19, 522_19	 	1273	1272
Bifidobacterium animalis subsp. lactis BB-12 (552531.3)	1089	1087	1103_4	1101_5_6, 1101_5_6	1088_8	1082_22, 1083_15	1102_10	1135_11	1303_12	1303_12	614	1020_17, 1258_17	1444_19	 	1428	1427
Bifidobacterium animalis subsp. lactis BLC1 (1075106.4)	601	599	 	615_5_6, 615_5_6	600_8	595_15	616_10	649_11	810_12	810_12	126	530_17	962_19	 	938	937
Bifidobacterium animalis subsp. lactis Bl-04 (580050.3)	605	603	621_4	619_5_6, 619_5_6	604_8	599_15	620_10	653_11	817_12	817_12	126	531_17, 774_17	968_19	 	946	945
Bifidobacterium animalis subsp. lactis CNCM I-2494 (1042403.4)	598	596	 	612_5_6, 612_5_6	597_8	592_15	613_10	646_11	809_12	809_12	126	527_17	960_19	 	937	936
Bifidobacterium animalis subsp. lactis DSM 10140 (555970.3)	604	602	620_4	618_5_6, 618_5_6	603_8	598_15	619_10	652_11	816_12	816_12	127	531_17, 773_17	968_19	 	946	945
Bifidobacterium animalis subsp. lactis HN019 (486409.3)	1238	1236	 	1252_5_6, 1252_5_6	1237_8	1232_15	1253_10	1286_11	310_12	310_12	916	1165_17, 353_17	160_19	 	181	182
Bifidobacterium animalis subsp. lactis V9 (573236.3)	601	599	 	615_5_6, 615_5_6	600_8	595_15	616_10	649_11	811_12	811_12	127	530_17, 768_17	963_19	 	940	939
Bifidobacterium bifidum NCIMB 41171 (398513.5)	763	765	753_4	755_5_6, 755_5_6	764_8	780_9, 781_22	754_10	63_11	430_12	430_12	823	1670_17, 499_17	1000_19, 210_19	 	233	234
Bifidobacterium bifidum PRL2010 (702459.3)	1358	1360	1348_4	1350_5_6, 1350_5_6	1359_8	1376_9, 1377_22	1349_10	666_11	1038_12	1038_12	148	1110_17, 1440_17	353_19, 797_19	 	820	821
Bifidobacterium bifidum S17 (883062.5)	1315	1317	1305_4	1307_5_6, 1307_5_6	1316_8	1333_9, 1334_22	1306_10	683_11	982_12	982_12	183	1051_17, 1395_17	354_19, 822_19	 	846	847
Bifidobacterium breve ACS-071-V-Sch8b (866777.3)	1279	1281	1263_4	1265_5_6, 1265_5_6	1280_8	1303_15, 1304_22	1264_10	480_11	820_12	820_12	90	1495_17, 751_17	1052_19	 	124, 958	957
Bifidobacterium breve UCC2003 (326426.4)	635	633	 	647_5_6, 647_5_6	634_8	617_15	648_10	1475_11	1095_12	1095_12	106	1192_18, 1576_17	841_19	 	954	955
Bifidobacterium dentium ATCC 27678 (473819.7)	22	24	 	18_5_6, 18_5_6	23_8	27_15	17_10	2132_11	1752_12	1752_12	634	120_17, 1716_18	1905_19	 	1900	1899
Bifidobacterium dentium ATCC 27679 (871562.3)	40	42	34_4	36_5_6, 36_5_6	41_8	45_9	35_10	2041_11	1519_12	1519_12	607	124_17, 1482_17	1670_19	 	1665	1664
Bifidobacterium dentium Bd1 (401473.3)	691	689	 	695_5_6, 695_5_6	690_8	686_15	696_10	730_11	1111_12	1111_12	83	1147_18, 594_17	955_19	 	960	961
Bifidobacterium dentium JCVIHMP022 (553191.3)	1827	1829	1821_4	1823_5_6, 1823_5_6	1828_8	1832_9	1822_10	1156_11	121_12	121_12	1645	158_17, 1914_17	533_19	 	538	539
