Organism	Nar	NarKU	Nap	NarB	Nas	NrtABC	NirK	NirS	NirA	NirBD	NirC	Nrf	Nor	NorZ	Hmp	Nos
Corynebacterium tuberculostearicum SK141 (553206.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1833_87	 
Corynebacterium ulcerans 809 (945711.3)	 	 	 	 	 	 	 	 	 	 	 	2008_56, 2009_77	 	 	 	 
Corynebacterium ulcerans BR-AD22 (945712.3)	 	 	 	 	 	 	 	 	 	 	 	2165_56, 2166_77	 	 	 	 
Dietzia cinnamea P4 (910954.3)	623_3, 624_4, 625_2, 626_1	627_9	 	2822	1150_37	 	 	621_43	 	1146_49, 1149_49	 	 	 	 	628_87	 
Mycobacterium avium subsp. paratuberculosis K-10 (262316.17)	2783_3, 2784_4, 2785_2, 2786_1	3947_9	 	4372	2233_34	 	 	 	 	3942_49, 3943_52	 	 	 	3376	 	 
Mycobacterium avium subsp. paratuberculosis S397 (1010838.3)	3274_1, 3275_2, 3276_4, 3277_3	1895_9	 	385	1474_34	 	 	 	 	1899_52, 1900_49	 	 	 	2681	 	 
Mycobacterium avium subsp. paratuberculosis str. k10 (262316.1)	2617_3, 2618_4, 2619_2, 2620_1	2102_9, 3707_9	 	 	2104_34, 4101_37	 	 	 	 	3702_49, 3703_52	 	 	 	3181	 	 
Mycobacterium abscessus (36809.5)	 	3592_9	 	 	2482_34	 	 	 	 	3590_52, 3591_49	 	 	 	 	3188_87, 4347_87	 
Rhodococcus equi 103S (685727.3)	419_3, 420_4, 421_2, 422_1	 	 	 	3292_34	 	 	 	 	 	 	 	 	329	1086_88	 
Rhodococcus equi ATCC 33707 (525370.3)	778_1, 779_2, 780_4, 781_3	3154_9	 	 	3155_37	 	 	 	 	3156_49, 3157_49	 	 	 	 	3589_87	 
Rhodococcus erythropolis PR4 (234621.6)	 	 	 	 	2492_34	 	 	 	 	2710_49, 2711_52	 	 	 	 	1863_87, 6115_87	 
Rhodococcus erythropolis SK121 (596309.3)	 	 	 	 	1195_34	 	 	 	 	2609_52, 2610_49	 	 	 	 	3386_87, 4532_87	 
Brevibacterium linens BL2 (321955.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Kytococcus sedentarius DSM 20547 (478801.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	63_88	 
Kocuria rhizophila DC2201 (378753.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	315_88	 
Kocuria rhizophila P7-4 (1029824.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1062_87	 
Micrococcus luteus NCTC 2665 (465515.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	331_88	 
Micrococcus luteus SK58 (596312.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2202_87	 
Rothia dentocariosa ATCC 17931 (762948.4)	317_3, 318_4, 319_2, 320_1	316_15	 	 	 	 	 	1060_43	 	 	 	 	 	1822	1219_88	 
Rothia dentocariosa M567 (563032.4)	1330_3, 1331_4, 1332_2, 1333_1	1328_9, 1329_9	 	 	 	 	 	2016_43	 	906_49	 	 	 	244	2169_87	 
Rothia mucilaginosa ATCC 25296 (553201.3)	865_1, 866_2, 867_4, 869_3	870_9	 	 	 	 	 	1483_43	 	1506_49	 	 	 	1572	1713_87	 
Rothia mucilaginosa DY-18 (680646.3)	387_1, 388_2, 389_4, 390_3	391_9	 	 	 	 	 	1633_43	 	761_52, 763_49	 	 	 	983	1507_87	 
Tropheryma whipplei TW08/27 (218496.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Tropheryma whipplei str. Twist (203267.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Micromonospora aurantiaca ATCC 27029 (644283.3)	4857_1, 4858_2, 4859_4, 4860_3	3261_9, 4862_9	 	 	3267_34	 	 	4850_43	 	3268_49, 3269_49, 3270_52	 	 	 	 	1092_87, 781_87	 
Propionibacterium acnes 266 (909952.3)	535_3, 536_4, 537_2, 538_1	539_9	 	 	 	 	 	103_43	 	 	 	 	 	2040	 	 
Propionibacterium acnes 6609 (1031709.3)	539_3, 540_4, 541_2, 542_1	543_11	 	 	 	 	 	98_43	 	 	 	 	 	2072	 	 
Propionibacterium acnes ATCC 11828 (1091045.3)	1503_3, 1504_4, 1505_2, 1506_1	1507_9	 	 	 	 	 	1048_43	 	 	 	 	 	550	 	 
Propionibacterium acnes HL001PA1 (765105.8)	2285_3, 2286_4, 2287_2, 2288_1	2289_9	 	 	 	 	 	1835_43	 	 	 	 	 	514	 	 
Propionibacterium acnes HL002PA1 (765115.3)	874_3, 875_4, 876_2, 877_1	878_11	 	 	 	 	 	453_43	 	 	 	 	 	10	 	 
Propionibacterium acnes HL002PA2 (765116.3)	1106_3, 1107_4, 1108_2, 1109_1	1110_9	 	 	 	 	 	676_43	 	 	 	 	 	9	 	 
Propionibacterium acnes HL002PA3 (765117.3)	1384_3, 1385_4, 1386_2, 1387_1	1388_9	 	 	 	 	 	956_43	 	 	 	 	 	2400	 	 
Propionibacterium acnes HL005PA1 (765096.3)	141_1, 142_2, 143_4, 144_3	140_9	 	 	 	 	 	607_43	 	 	 	 	 	798	 	 
Propionibacterium acnes HL005PA2 (765097.3)	905_1, 906_2, 907_4, 908_3	904_9	 	 	 	 	 	1339_43	 	 	 	 	 	2026	 	 
Propionibacterium acnes HL005PA4 (765099.3)	977_3, 978_4, 979_2, 980_1	981_11	 	 	 	 	 	559_43	 	 	 	 	 	111	 	 
Propionibacterium acnes HL007PA1 (765118.3)	710_3, 711_4, 712_2, 713_1	714_9	 	 	 	 	 	249_43	 	 	 	 	 	1335	 	 
Propionibacterium acnes HL013PA1 (765069.3)	84_1, 85_2, 86_4, 87_3	83_11	 	 	 	 	 	507_43	 	 	 	 	 	2146	 	 
Propionibacterium acnes HL013PA2 (765070.3)	1089_1, 1090_2, 1091_4, 1092_3	1088_9	 	 	 	 	 	1520_43	 	 	 	 	 	626	 	 
Propionibacterium acnes HL020PA1 (765065.3)	45_1, 46_2, 47_4, 48_3	44_9	 	 	 	 	 	474_43	 	 	 	 	 	1230	 	 
Propionibacterium acnes HL025PA1 (765089.3)	45_1, 46_2, 47_4, 48_3	44_11	 	 	 	 	 	487_43	 	 	 	 	 	925	 	 
Propionibacterium acnes HL027PA1 (765111.3)	1996_3, 1997_4, 1998_2, 1999_1	2000_11	 	 	 	 	 	1577_43	 	 	 	 	 	722	 	 
Propionibacterium acnes HL027PA2 (765112.3)	2354_3, 2355_4, 2356_2, 2357_1	2358_9	 	 	 	 	 	1932_43	 	 	 	 	 	1093	 	 
Propionibacterium acnes HL030PA1 (765103.3)	1341_1, 1342_2, 1343_4, 1344_3	1340_11	 	 	 	 	 	424_43	 	 	 	 	 	65	 	 
Propionibacterium acnes HL036PA1 (765106.3)	272_1, 273_2, 274_4, 275_3	271_9	 	 	 	 	 	703_43	 	 	 	 	 	957, 958	 	 
Propionibacterium acnes HL036PA2 (765107.3)	604_3, 605_4, 606_2, 607_1	608_9	 	 	 	 	 	180_43	 	 	 	 	 	2388, 2389	 	 
Propionibacterium acnes HL037PA1 (765122.3)	276_1, 277_2, 278_4, 279_3	275_11	 	 	 	 	 	706_43	 	 	 	 	 	196	 	 
Propionibacterium acnes HL037PA2 (765123.3)	1997_1, 1998_2, 1999_4, 2000_3	1996_9	 	 	 	 	 	2488_43	 	 	 	 	 	1587	 	 
Propionibacterium acnes HL038PA1 (765085.3)	236_1, 237_2, 238_4, 239_3	235_9	 	 	 	 	 	701_43	 	 	 	 	 	73	 	 
Propionibacterium acnes HL043PA1 (765072.3)	1210_1, 1211_2, 1212_4, 1213_3	1209_9	 	 	 	 	 	469_43	 	 	 	 	 	1608	 	 
Propionibacterium acnes HL043PA2 (765073.3)	470_3, 471_4, 472_2, 473_1	474_9	 	 	 	 	 	1094_43	 	 	 	 	 	2411	 	 
Propionibacterium acnes HL044PA1 (765109.3)	689_1, 690_2, 691_4, 692_3	688_9	 	 	 	 	 	1672_43	 	 	 	 	 	2201	 	 
Propionibacterium acnes HL045PA1 (765068.3)	971_3, 972_4, 973_2, 974_1	975_9	 	 	 	 	 	512_43	 	 	 	 	 	1078	 	 
Propionibacterium acnes HL046PA1 (765094.3)	1032_3, 1033_4, 1034_2, 1035_1	1036_11	 	 	 	 	 	609_43	 	 	 	 	 	112	 	 
Propionibacterium acnes HL046PA2 (765095.3)	2393_3, 2394_4, 2395_2, 2396_1	2397_9	 	 	 	 	 	1962_43	 	 	 	 	 	248	 	 
Propionibacterium acnes HL050PA1 (765100.3)	2368_3, 2369_4, 2370_2, 2371_1	2372_11	 	 	 	 	 	1951_43	 	 	 	 	 	342	 	 
Propionibacterium acnes HL050PA2 (765101.3)	735_1, 736_2, 737_4, 738_3	734_9	 	 	 	 	 	279_43	 	 	 	 	 	1180	 	 
Propionibacterium acnes HL050PA3 (765102.3)	607_3, 608_4, 609_2, 610_1	611_11	 	 	 	 	 	190_43	 	 	 	 	 	727	 	 
Propionibacterium acnes HL053PA1 (765066.3)	629_1, 630_2, 631_4, 632_3	628_9	 	 	 	 	 	247_43	 	 	 	 	 	1384	 	 
Propionibacterium acnes HL053PA2 (765067.3)	1217_3, 1218_4, 1219_2, 1220_1	1221_9	 	 	 	 	 	782_43	 	 	 	 	 	10	 	 
Propionibacterium acnes HL056PA1 (765119.3)	357_1, 358_2, 359_4, 360_3	356_9	 	 	 	 	 	2134_43	 	 	 	 	 	1792	 	 
Propionibacterium acnes HL059PA1 (765091.3)	1987_3, 1988_4, 1989_2, 1990_1	1991_11	 	 	 	 	 	1565_43	 	 	 	 	 	2104	 	 
Propionibacterium acnes HL059PA2 (765092.3)	367_1, 368_2, 369_4, 370_3	366_11	 	 	 	 	 	789_43	 	 	 	 	 	2157	 	 
Propionibacterium acnes HL063PA1 (765113.3)	986_3, 987_4, 988_2, 989_1	990_9	 	 	 	 	 	558_43	 	 	 	 	 	1057	 	 
Propionibacterium acnes HL063PA2 (765114.3)	1262_3, 1263_4, 1264_2, 1265_1	1266_11	 	 	 	 	 	829_43	 	 	 	 	 	492	 	 
Propionibacterium acnes HL067PA1 (765110.3)	1193_1, 1194_2, 1195_4, 1196_3	1192_9	 	 	 	 	 	1614_43	 	 	 	 	 	2059	 	 
Propionibacterium acnes HL072PA1 (765074.3)	2431_3, 2432_4, 2433_2, 2434_1	2435_9	 	 	 	 	 	2003_43	 	 	 	 	 	599	 	 
Propionibacterium acnes HL072PA2 (765075.3)	84_1, 85_2, 86_4, 87_3	83_9	 	 	 	 	 	519_43	 	 	 	 	 	1187	 	 
Propionibacterium acnes HL074PA1 (765076.3)	974_3, 975_4, 976_2, 977_1	978_9	 	 	 	 	 	2281_43	 	 	 	 	 	249	 	 
Propionibacterium acnes HL078PA1 (765071.3)	304_1, 305_2, 306_4, 307_3	303_9	 	 	 	 	 	739_43	 	 	 	 	 	1346, 1347	 	 
Propionibacterium acnes HL082PA1 (765120.3)	241_1, 242_2, 243_4, 244_3	240_9	 	 	 	 	 	680_43	 	 	 	 	 	1562	 	 
Propionibacterium acnes HL082PA2 (765121.3)	2142_3, 2143_4, 2144_2, 2145_1	2146_9	 	 	 	 	 	1696_43	 	 	 	 	 	229	 	 
Propionibacterium acnes HL083PA1 (765087.3)	1197_3, 1198_4, 1199_2, 1200_1	1201_9	 	 	 	 	 	323_43	 	 	 	 	 	1335	 	 
Propionibacterium acnes HL083PA2 (765088.3)	1142_3, 1143_4, 1144_2, 1145_1	1146_11	 	 	 	 	 	725_43	 	 	 	 	 	2171	 	 
Propionibacterium acnes HL086PA1 (765093.3)	310_3, 311_4, 312_2, 313_1	314_9	 	 	 	 	 	815_43	 	 	 	 	 	2159	 	 
Propionibacterium acnes HL087PA2 (765082.3)	2282_3, 2283_4, 2284_2, 2285_1	2286_9	 	 	 	 	 	1855_43	 	 	 	 	 	2338	 	 
Propionibacterium acnes HL087PA3 (765083.3)	910_3, 911_4, 912_2, 913_1	914_11	 	 	 	 	 	490_43	 	 	 	 	 	1397	 	 
Propionibacterium acnes HL092PA1 (765086.3)	44_1, 45_2, 46_4, 47_3	43_9	 	 	 	 	 	481_43	 	 	 	 	 	1878	 	 
Propionibacterium acnes HL096PA2 (765058.3)	927_3, 928_4, 929_2, 930_1	931_9	 	 	 	 	 	466_43	 	 	 	 	 	1088	 	 
Propionibacterium acnes HL096PA3 (765057.3)	692_3, 693_4, 694_2, 695_1	696_9	 	 	 	 	 	264_43	 	 	 	 	 	2267	 	 
Propionibacterium acnes HL097PA1 (765064.3)	899_3, 900_4, 901_2, 902_1	903_9	 	 	 	 	 	481_43	 	 	 	 	 	1280	 	 
Propionibacterium acnes HL099PA1 (765063.3)	587_3, 588_4, 589_2, 590_1	591_9	 	 	 	 	 	2349_43	 	 	 	 	 	643	 	 
Propionibacterium acnes HL103PA1 (765061.3)	931_3, 932_4, 933_2, 934_1	935_9	 	 	 	 	 	482_43	 	 	 	 	 	2198	 	 
Propionibacterium acnes HL110PA1 (765077.3)	916_1, 917_2, 918_4, 919_3	915_9	 	 	 	 	 	1355_43	 	 	 	 	 	621	 	 
Propionibacterium acnes HL110PA2 (765078.3)	1031_3, 1032_4, 1033_2, 1034_1	1035_9	 	 	 	 	 	120_43	 	 	 	 	 	643	 	 
Propionibacterium acnes HL110PA3 (765079.3)	856_3, 857_4, 858_2, 859_1	860_9	 	 	 	 	 	403_43	 	 	 	 	 	207	 	 
Propionibacterium acnes HL110PA4 (765080.3)	45_1, 46_2, 47_4, 48_3	44_9	 	 	 	 	 	1246_43	 	 	 	 	 	984	 	 
Propionibacterium acnes J139 (679194.3)	562_3, 563_2, 564_1	565_9	 	 	 	 	 	162_43	 	 	 	 	 	2132	 	 
Propionibacterium acnes J165 (679195.3)	1813_3, 1814_4, 1815_2, 1816_1	1817_9	 	 	 	 	 	900_43	 	 	 	 	 	453	 	 
Propionibacterium acnes KPA171202 (267747.3)	529_3, 530_4, 531_2, 532_1	533_11	 	 	 	 	 	94_43	 	 	 	 	 	2025	 	 
Propionibacterium acnes SK137 (553199.9)	554_3, 555_4, 556_2, 557_1	558_9	 	 	 	 	 	95_43	 	 	 	 	 	1998	 	 
Propionibacterium acnes SK182 (679193.4)	2040_1, 2041_2, 2042_4, 2043_3	2039_9	 	 	 	 	 	1637_43	 	 	 	 	 	1499	 	 
Propionibacterium acnes SK182B-JCVI (1051006.4)	1122_3, 1123_4, 1124_2, 1125_1	1121_9	 	 	 	 	 	2072_43	 	 	 	 	 	1657	 	 
Propionibacterium acnes SK187 (686659.3)	543_3, 544_2, 545_1	546_9	 	 	 	 	 	156_43	 	 	 	 	 	1347	 	 
Propionibacterium acnes TypeIA2 P.acn17 (1114967.3)	539_3, 540_4, 541_2, 542_1	543_11	 	 	 	 	 	99_43	 	 	 	 	 	2028	 	 
Propionibacterium acnes TypeIA2 P.acn31 (1114969.3)	534_3, 535_4, 536_2, 537_1	538_11	 	 	 	 	 	99_43	 	 	 	 	 	2024	 	 
Propionibacterium acnes TypeIA2 P.acn33 (1114966.3)	518_3, 519_4, 520_2, 521_1	522_11	 	 	 	 	 	98_43	 	 	 	 	 	2015	 	 
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 (754252.3)	2081_2, 2082_4, 2083_3	 	 	 	 	 	 	 	 	 	 	 	 	102	 	 
Bifidobacterium adolescentis ATCC 15703 (367928.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium adolescentis L2-32 (411481.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis BB-12 (552531.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis BLC1 (1075106.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis Bl-04 (580050.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis CNCM I-2494 (1042403.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis DSM 10140 (555970.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis HN019 (486409.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis V9 (573236.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium bifidum NCIMB 41171 (398513.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium bifidum PRL2010 (702459.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium bifidum S17 (883062.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium breve ACS-071-V-Sch8b (866777.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium breve UCC2003 (326426.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium dentium ATCC 27678 (473819.7)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium dentium ATCC 27679 (871562.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium dentium Bd1 (401473.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium dentium JCVIHMP022 (553191.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium gallicum DSM 20093 (561180.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium longum NCC2705 (206672.9)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. infantis 157F (565040.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. infantis ATCC 55813 (548480.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. infantis CCUG 52486 (537937.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. longum BBMN68 (890402.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. longum F8 (722911.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. longum JCM 1217 (565042.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. longum JDM301 (759350.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. longum KACC 91563 (1035817.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Scardovia inopinata F0304 (641146.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Atopobium parvulum DSM 20469 (521095.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Atopobium rimae ATCC 49626 (553184.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Collinsella aerofaciens ATCC 25986 (411903.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Collinsella intestinalis DSM 13280 (521003.7)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Collinsella stercoris DSM 13279 (445975.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Cryptobacterium curtum DSM 15641 (469378.5)	 	 	 	 	 	 	 	 	 	 	 	1274_62	 	 	 	 
Eggerthella lenta DSM 2243 (479437.5)	 	 	1794_25, 1798_23	 	 	 	 	 	 	 	 	2649_62	 	 	 	 
Eggerthella sp. 1_3_56FAA (665943.3)	 	 	2787_25, 2788_28, 2791_23	 	 	 	 	 	 	 	 	2226_62	 	 	 	 
Eggerthella sp. YY7918 (502558.4)	 	 	326_23, 329_21, 330_25	 	 	 	 	 	 	 	 	164_56	 	 	 	 
Gordonibacter pamelaeae 7-10-1-b (657308.3)	 	 	67_25, 69_28, 72_23	 	 	 	 	 	 	 	 	420_62, 421_56	 	 	 	 
Olsenella uli DSM 7084 (633147.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Slackia exigua ATCC 700122 (649764.3)	 	 	539_23, 543_21, 544_25	 	 	 	 	 	 	 	 	1736_56	 	 	 	 
Actinomyces cardiffensis F0333 (888050.3)	1006_3, 1007_4, 1008_2, 1009_1	1010_9, 1013_9	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinomyces graevenitzii C83 (435830.3)	 	 	 	 	 	 	 	746_43	 	 	 	 	 	 	 	 
Actinomyces naeslundii str. Howell 279 (1115803.3)	1901_5, 823_7, 824_8	1900_9	 	 	 	 	 	 	 	 	 	 	 	1304	 	 
Actinomyces turicensis ACS-279-V-Col4 (883077.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Corynebacterium aurimucosum ATCC 700975 (Prj:31451) (548476.7)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	983_87	 
Corynebacterium durum F0235 (1035195.3)	346_1, 347_2, 348_4, 349_3	345_9	 	 	 	 	 	 	 	 	 	 	 	 	2305_87	 
Corynebacterium propinquum DSM 44285 (1121367.3)	1148_3, 1149_4, 1150_2, 1151_1	1152_9	 	 	 	 	 	 	 	 	 	 	 	1945	 	 
Gordonia rubripertincta NBRC 101908 (1077975.4)	 	1718_9	 	 	111_34	 	 	 	 	108_49, 109_52, 1716_52, 1717_49	 	 	 	 	4166_87	 
Gordonia terrae C-6 (1316928.3)	1782_1, 1783_2, 1784_4, 1785_3	1786_9, 3578_9	 	 	3126_37	 	 	 	 	3128_52, 3129_49, 3579_49, 3580_52	 	 	 	 	 	 
Gordonia terrae NBRC 100016 (1089454.3)	4926_1, 4927_2, 4928_4, 4929_3	4789_9, 4930_9	 	 	1480_37	 	 	 	 	1482_52, 1483_49, 4787_52, 4788_49	 	 	 	 	2279_87	 
Mycobacterium avium subsp. paratuberculosis JQ6 (1112208.3)	3654_1, 3655_2, 3656_4, 3657_3	2093_9	 	 	1627_37, 1628_37, 421_37, 422_37, 423_37	 	 	 	 	2097_52, 2098_49	 	 	 	2980	 	 
Mycobacterium avium subsp. paratuberculosis MAP4 (1199187.3)	1236_1, 1237_2, 1238_4, 1239_3	64_9	 	 	1774_34, 4358_34	 	 	 	 	68_52, 69_49	 	 	 	631	 	 
Mycobacterium avium subsp. paratuberculosis S5 (1247747.5)	2970_3, 2971_4, 2972_2, 2973_1	4187_9, 4188_9	 	 	2609_34, 4586_34	 	 	 	 	4181_49, 4182_49, 4183_52	 	 	 	3595	 	 
Mycobacterium abscessus 3A-0119-R (1001721.3)	 	3659_9	 	 	2434_34	 	 	 	 	3657_52, 3658_49	 	 	 	 	3254_87, 4533_87	 
Mycobacterium abscessus 3A-0122-R (1001715.3)	 	3686_9	 	 	2470_34	 	 	 	 	3684_52, 3685_49	 	 	 	 	3217_87, 4568_87	 
Mycobacterium abscessus 3A-0122-S (1001716.3)	 	3235_9	 	 	2030_34	 	 	 	 	3233_52, 3234_49	 	 	 	 	2830_87, 4345_87	 
Mycobacterium abscessus 3A-0731 (1001718.3)	 	3769_9	 	 	2382_34	 	 	 	 	3767_52, 3768_49	 	 	 	 	3368_87, 4610_87	 
Mycobacterium abscessus 3A-0810-R (1001717.3)	 	3695_9	 	 	2478_34	 	 	 	 	3693_52, 3694_49	 	 	 	 	3293_87, 4535_87	 
Mycobacterium abscessus 3A-0930-R (1001720.3)	 	3663_9	 	 	2484_34	 	 	 	 	3661_52, 3662_49	 	 	 	 	3261_87, 4483_87	 
Mycobacterium abscessus 3A-0930-S (1001719.3)	 	3595_9	 	 	2050_34	 	 	 	 	3593_52, 3594_49	 	 	 	 	3196_87, 4409_87	 
Mycobacterium abscessus 47J26 (1087483.3)	 	351_9	 	 	1505_37	 	 	 	 	352_49, 353_52	 	 	 	 	4826_87, 766_87	 
Mycobacterium abscessus 4S-0116-R (1001725.3)	 	3322_9	 	 	2150_34	 	 	 	 	3320_52, 3321_49	 	 	 	 	2831_87, 4095_87	 
Mycobacterium abscessus 4S-0116-S (1001724.3)	 	2414_9	 	 	1245_34	 	 	 	 	2412_52, 2413_49	 	 	 	 	1924_87, 3186_87	 
Mycobacterium abscessus 4S-0206 (1001723.3)	 	3324_9	 	 	1297_34	 	 	 	 	3322_52, 3323_49	 	 	 	 	2835_87, 4095_87	 
Mycobacterium abscessus 4S-0303 (1001722.3)	 	3316_9	 	 	2162_34	 	 	 	 	3314_52, 3315_49	 	 	 	 	2825_87, 4086_87	 
Mycobacterium abscessus 4S-0726-RA (1001726.3)	 	3250_9	 	 	2078_34	 	 	 	 	3248_52, 3249_49	 	 	 	 	2760_87, 4021_87	 
Mycobacterium abscessus 4S-0726-RB (1001727.3)	 	2862_9	 	 	1687_34	 	 	 	 	2860_52, 2861_49	 	 	 	 	2371_87, 3632_87	 
Mycobacterium abscessus 5S-0304 (1001728.3)	 	2796_9	 	 	1240_34	 	 	 	 	2794_52, 2795_49	 	 	 	 	2300_87	 
Mycobacterium abscessus 5S-0421 (1001729.3)	 	3048_9	 	 	1521_34	 	 	 	 	3046_52, 3047_49	 	 	 	 	2551_87	 
