Organism	FolE	FolQ	FolB	FolK	FolP	DHFS	DHFR	FPGS	pabAab	pabAc	FolT
Mycobacterium avium subsp. paratuberculosis str. k10 (262316.1)	449_1	 	451_7	452	450	2270_11_19	2868_12	2270_11_19	15_21, 945_22	642	 
Mycobacterium abscessus (36809.5)	574_1	 	576_7	577	575	1644_11_19	3141_12	1644_11_19	1160_22, 65_21	772	 
Rhodococcus equi 103S (685727.3)	582_1	 	584_7	585	583	2986_11_19	1104_12, 4553_12	2986_11_19	1199_22, 22_21	843	 
Rhodococcus equi ATCC 33707 (525370.3)	2468_1	 	2466_7	2465	2467	4468_11_19	362_12, 3791_12	4468_11_19	4170_21_22, 4170_21_22, 4887_21	2196	 
Rhodococcus erythropolis PR4 (234621.6)	1072_1	 	1074_7	1075	1073	4322_11_19	2513_12, 2953_12, 3656_12, 3972_12, 4228_12, 4433_12, 5013_12	4322_11_19	2341_21_22, 2341_21_22, 457_21	5375	 
Rhodococcus erythropolis SK121 (596309.3)	5505_1	 	5507_7	5508	5506	4626_11_19	1165_12, 2652_12, 2931_12, 4719_12, 5105_12, 5261_12, 6409_12	4626_11_19	1345_21_22, 1345_21_22, 2815_21	342	 
Brevibacterium linens BL2 (321955.4)	1868_1	 	2732_7	2732_7	2731	2628_11_19	1332_12, 2161_12, 2204_12, 3286_12, 749_12, 789_12, 831_12	2628_11_19	2616_21_22, 2616_21_22	2615, 918	 
Kytococcus sedentarius DSM 20547 (478801.5)	2395_1	 	2393_7	2393_7	2394	862_11_19	191_12, 881_12	862_11_19	454_21_22, 454_21_22	1473, 455	 
Kocuria rhizophila DC2201 (378753.5)	1935_1	 	1932_7, 1933_7	1932_7	1934	1107_11_19	557_12	1107_11_19	2080_21, 2327_22	378	 
Kocuria rhizophila P7-4 (1029824.3)	1703_1	 	1701_7	1700	1702	110_11_19	807_12	110_11_19	1504_22, 2190_21	1121	 
Micrococcus luteus NCTC 2665 (465515.4)	103_1	 	105_7	106	104	959_11_19	1686_12	959_11_19	53_21, 598_21_22, 598_21_22	1827	 
Micrococcus luteus SK58 (596312.3)	2336_1	 	2338_7	2339	2337	128_11_19	507_12	128_11_19	1187_21_22, 1187_21_22, 2282_21	2383	 
Rothia dentocariosa ATCC 17931 (762948.4)	700_1	 	696_7	695	697	2035_11_19	370_12	2035_11_19	787_21_22, 787_21_22, 923_21	1285	 
Rothia dentocariosa M567 (563032.4)	644_1	 	635_7	634	636	899_11_19	1380_12	899_11_19	1897_21, 730_21_22, 730_21_22	1579	 
Rothia mucilaginosa ATCC 25296 (553201.3)	176_1	 	173_7	172	174	1501_11_19	831_12	1501_11_19	457_21_22, 457_21_22, 589_21	1438	 
Rothia mucilaginosa DY-18 (680646.3)	129_1	 	132_7	133	131	768_11_19	352_12	768_11_19	1690_21, 63_21_22, 63_21_22	1459	 
Tropheryma whipplei TW08/27 (218496.4)	232_1	 	233_7	233_7	233_7	351_11_19	 	351_11_19	13_21, 449_22	288	 
Tropheryma whipplei str. Twist (203267.6)	739_1	 	738_7	738_7	738_7	620_11_19	 	620_11_19	14_21, 523_22	682	 
Micromonospora aurantiaca ATCC 27029 (644283.3)	2553_1	 	2541_7	2540	2542	4138_11_19	1025_12, 1036_12, 313_12, 3656_12, 3911_12, 4925_12, 5495_12	4138_11_19	3632_21, 638_22	 	 
Propionibacterium acnes 266 (909952.3)	285_1	 	295_7	296	294	864_11_19	1722_12	864_11_19	2041_21_22, 2041_21_22	2333	 
Propionibacterium acnes 6609 (1031709.3)	281_1	 	291_7	292	290	878_11_19	1765_12	878_11_19	2073_21_22, 2073_21_22	2377	 
Propionibacterium acnes ATCC 11828 (1091045.3)	1230_1	 	1242_7	1243	1241	2128_11_19	241_12	2128_11_19	551_21_22, 551_21_22	846	 
Propionibacterium acnes HL001PA1 (765105.8)	2020_1	 	2030_7	2031	2029	1360_11_19	207_12	1360_11_19	515_21_22, 515_21_22	2419	 
Propionibacterium acnes HL002PA1 (765115.3)	626_1	 	635_7	636	634	1314_11_19	2059_12	1314_11_19	9_21_22, 9_21_22	928	 
Propionibacterium acnes HL002PA2 (765116.3)	855_1	 	865_7	866	864	2133_11_19	1263_12	2133_11_19	8_21_22, 8_21_22	1160	 
Propionibacterium acnes HL002PA3 (765117.3)	1138_1	 	1147_7	1148	1146	2035_11_19	757_12	2035_11_19	2401_21_22, 2401_21_22, 2402_21_22, 2402_21_22	7	 
Propionibacterium acnes HL005PA1 (765096.3)	392_1	 	383_7	382	384	2193_11_19	1614_12	2193_11_19	797_21_22, 797_21_22	62	 
Propionibacterium acnes HL005PA2 (765097.3)	1158_1	 	1148_7	1147	1149	756_11_19	8_12	756_11_19	2027_21_22, 2027_21_22	2326	 
Propionibacterium acnes HL005PA4 (765099.3)	732_1	 	741_7	742	740	1516_11_19	2388_12	1516_11_19	110_21_22, 110_21_22	96	 
Propionibacterium acnes HL007PA1 (765118.3)	460_1	 	469_7	470	468	1671_11_19	2433_12	1671_11_19	1336_21_22, 1336_21_22	63	 
Propionibacterium acnes HL013PA1 (765069.3)	333_1	 	324_7	323	325	1400_11_19	2076_12	1400_11_19	2145_21_22, 2145_21_22	699	 
Propionibacterium acnes HL013PA2 (765070.3)	1337_1	 	1328_7	1327	1329	2310_11_19	111_12	2310_11_19	627_21_22, 627_21_22	97	 
Propionibacterium acnes HL020PA1 (765065.3)	293_1	 	284_7	283	285	1907_11_19	1023_12	1907_11_19	1229_21_22, 1229_21_22	665	 
Propionibacterium acnes HL025PA1 (765089.3)	301_1	 	292_7	291	293	1876_11_19	2231_12	1876_11_19	924_21_22, 924_21_22	677	 
Propionibacterium acnes HL027PA1 (765111.3)	1749_1	 	1758_7	1759	1757	906_11_19	264_12	906_11_19	721_21_22, 721_21_22	615	 
Propionibacterium acnes HL027PA2 (765112.3)	2109_1	 	2118_7	2119	2117	745_11_19	1534_12	745_11_19	1094_21_22, 1094_21_22	22	 
Propionibacterium acnes HL030PA1 (765103.3)	1602_1	 	1593_7	1592	1594	953_11_19	1656_12	953_11_19	66_21_22, 66_21_22	610	 
Propionibacterium acnes HL036PA1 (765106.3)	521_1	 	512_7	511	513	1610_11_19	1152_12	1610_11_19	956_21_22, 956_21_22	893	 
Propionibacterium acnes HL036PA2 (765107.3)	360_1	 	370_7	371	369	2041_11_19	1192_12	2041_11_19	2390_21_22, 2390_21_22	863	 
Propionibacterium acnes HL037PA1 (765122.3)	525_1	 	516_7	515	517	1790_11_19	892_12	1790_11_19	197_21_22, 197_21_22	989	 
Propionibacterium acnes HL037PA2 (765123.3)	2282_1	 	2256_7	2255	2257	674_11_19	1898_12	674_11_19	1586_21_22, 1586_21_22	1260	 
Propionibacterium acnes HL038PA1 (765085.3)	487_1	 	478_7	477	479	1474_11_19	10_12	1474_11_19	72_21_22, 72_21_22	888	 
Propionibacterium acnes HL043PA1 (765072.3)	1459_1	 	1450_7	1449	1451	671_11_19	2182_12	671_11_19	1609_21_22, 1609_21_22	280	 
Propionibacterium acnes HL043PA2 (765073.3)	222_1	 	231_7	232	230	1748_11_19	717_12	1748_11_19	2410_21_22, 2410_21_22	731	 
Propionibacterium acnes HL044PA1 (765109.3)	1463_1	 	1437_7	1436	1438	1816_11_19	2632_12	1816_11_19	2200_21_22, 2200_21_22	874	 
Propionibacterium acnes HL045PA1 (765068.3)	723_1	 	732_7	733	731	1685_11_19	2479_12	1685_11_19	1077_21_22, 1077_21_22	322	 
Propionibacterium acnes HL046PA1 (765094.3)	784_1	 	793_7	794	792	1695_11_19	235_12	1695_11_19	111_21_22, 111_21_22	7	 
Propionibacterium acnes HL046PA2 (765095.3)	2146_1	 	2156_7	2157	2155	937_11_19	450_12	937_11_19	247_21_22, 247_21_22	653	 
Propionibacterium acnes HL050PA1 (765100.3)	2126_1	 	2135_7	2136	2134	935_11_19	1761_12	935_11_19	343_21_22, 343_21_22	447	 
Propionibacterium acnes HL050PA2 (765101.3)	463_1	 	472_7	473	471	2021_11_19	820_12	2021_11_19	1179_21_22, 1179_21_22	84	 
Propionibacterium acnes HL050PA3 (765102.3)	361_1	 	370_7	371	369	1567_11_19	2181_12	1567_11_19	728_21_22, 728_21_22	742	 
Propionibacterium acnes HL053PA1 (765066.3)	878_1	 	869_7	868	870	1741_11_19	1351_12	1741_11_19	1383_21_22, 1383_21_22	57	 
Propionibacterium acnes HL053PA2 (765067.3)	964_1	 	973_7	974	972	1965_11_19	320_12	1965_11_19	9_21_22, 9_21_22	1271	 
Propionibacterium acnes HL056PA1 (765119.3)	608_1	 	599_7	598	600	988_11_19	262_12	988_11_19	1793_21_22, 1793_21_22	792	 
Propionibacterium acnes HL059PA1 (765091.3)	1738_1	 	1747_7	1748	1746	1282_11_19	2395_12	1282_11_19	2105_21_22, 2105_21_22	94	 
Propionibacterium acnes HL059PA2 (765092.3)	616_1	 	607_7	606	608	1479_11_19	2184_12	1479_11_19	2158_21_22, 2158_21_22	317	 
Propionibacterium acnes HL063PA1 (765113.3)	737_1	 	746_7	747	745	1638_11_19	258_12	1638_11_19	1056_21_22, 1056_21_22	281	 
Propionibacterium acnes HL063PA2 (765114.3)	1012_1	 	1023_7	1024	1022	1834_11_19	1551_12	1834_11_19	493_21_22, 493_21_22	529	 
Propionibacterium acnes HL067PA1 (765110.3)	1442_1	 	1433_7	1432	1434	532_11_19	2177_12	532_11_19	2058_21_22, 2058_21_22	57	 
Propionibacterium acnes HL072PA1 (765074.3)	2182_1	 	2191_7	2192	2190	1212_11_19	654_12	1212_11_19	600_21_22, 600_21_22	519	 
Propionibacterium acnes HL072PA2 (765075.3)	338_1	 	329_7	328	330	2268_11_19	1091_12	2268_11_19	1186_21_22, 1186_21_22	1542	 
Propionibacterium acnes HL074PA1 (765076.3)	725_1	 	734_7	735	733	1123_11_19	332_12	1123_11_19	248_21_22, 248_21_22	1983	 
Propionibacterium acnes HL078PA1 (765071.3)	555_1	 	545_7	544	546	1996_11_19	2331_12	1996_11_19	1345_21_22, 1345_21_22	1042	 
Propionibacterium acnes HL082PA1 (765120.3)	498_1	 	489_7	488	490	2175_11_19	1482_12	2175_11_19	1563_21_22, 1563_21_22	896	 
Propionibacterium acnes HL082PA2 (765121.3)	1880_1	 	1891_7	1892	1890	844_11_19	48_12	844_11_19	228_21_22, 228_21_22	1446	 
Propionibacterium acnes HL083PA1 (765087.3)	946_1	 	955_7	956	954	1847_11_19	10_12	1847_11_19	1336_21_22, 1336_21_22	139	 
Propionibacterium acnes HL083PA2 (765088.3)	896_1	 	905_7	906	904	1467_11_19	2143_12	1467_11_19	2170_21_22, 2170_21_22	537	 
Propionibacterium acnes HL086PA1 (765093.3)	64_1	 	73_7	74	72	1547_11_19	2476_12	1547_11_19	2158_21_22, 2158_21_22	1247	 
Propionibacterium acnes HL087PA2 (765082.3)	2034_1	 	2043_7	2044	2042	1061_11_19	300_12	1061_11_19	2337_21_22, 2337_21_22	187	 
Propionibacterium acnes HL087PA3 (765083.3)	663_1	 	672_7	673	671	2179_11_19	1682_12	2179_11_19	1396_21_22, 1396_21_22	304	 
Propionibacterium acnes HL092PA1 (765086.3)	298_1	 	289_7	288	290	1272_11_19	2395_12	1272_11_19	1877_21_22, 1877_21_22	696	 
Propionibacterium acnes HL096PA2 (765058.3)	679_1	 	688_7	689	687	1804_11_19	2518_12	1804_11_19	1089_21_22, 1089_21_22	277	 
Propionibacterium acnes HL096PA3 (765057.3)	443_1	 	452_7	453	451	1289_11_19	1832_12	1289_11_19	2266_21_22, 2266_21_22	70	 
Propionibacterium acnes HL097PA1 (765064.3)	655_1	 	664_7	665	663	1876_11_19	1575_12	1876_11_19	1279_21_22, 1279_21_22	278	 
Propionibacterium acnes HL099PA1 (765063.3)	1053_1	 	1062_7	1063	1061	1653_11_19	1170_12	1653_11_19	642_21_22, 642_21_22	73	 
Propionibacterium acnes HL103PA1 (765061.3)	666_1	 	676_7	677	675	1782_11_19	2387_12	1782_11_19	2199_21_22, 2199_21_22	287	 
Propionibacterium acnes HL110PA1 (765077.3)	1171_1	 	1162_7	1161	1163	2170_11_19	695_12	2170_11_19	622_21_22, 622_21_22, 623_21_22, 623_21_22	7	 
Propionibacterium acnes HL110PA2 (765078.3)	778_1	 	787_7	788	786	1385_11_19	2236_12	1385_11_19	642_21_22, 642_21_22	335	 
Propionibacterium acnes HL110PA3 (765079.3)	586_1	 	596_7	597	595	2044_11_19	1114_12	2044_11_19	208_21_22, 208_21_22	2334	 
Propionibacterium acnes HL110PA4 (765080.3)	1433_1	 	1443_7	1444	1442	874_11_19	2220_12	874_11_19	983_21_22, 983_21_22	1625	 
Propionibacterium acnes J139 (679194.3)	 	 	 	332	331	1117_11_19	1843_12	1117_11_19	2133_21_22, 2133_21_22	1421	 
Propionibacterium acnes J165 (679195.3)	2270_1	 	2278_7	2279	2277	488_11_19	1217_12	488_11_19	454_21_22, 454_21_22	1588	 
Propionibacterium acnes KPA171202 (267747.3)	275_1	 	283_7	284	282	857_11_19	1721_12	857_11_19	2026_21_22, 2026_21_22	2326	 
Propionibacterium acnes SK137 (553199.9)	306_1	 	314_7	315	313	874_11_19	1686_12	874_11_19	1999_21_22, 1999_21_22	2287	 
Propionibacterium acnes SK182 (679193.4)	2290_1	 	2281_7	2280	2282	383_11_19	1019_12	383_11_19	1498_21_22, 1498_21_22	1821	 
Propionibacterium acnes SK182B-JCVI (1051006.4)	1307_1	 	1309_7	1310	1308	666_11_19	1049_12	666_11_19	1656_21_22, 1656_21_22	988	 
Propionibacterium acnes SK187 (686659.3)	315_1	 	 	323	322	1925_11_19	677_12	1925_11_19	1346_21_22, 1346_21_22	1575	 
Propionibacterium acnes TypeIA2 P.acn17 (1114967.3)	286_1	 	296_7	297	295	867_11_19	1719_12	867_11_19	2029_21_22, 2029_21_22	2315	 
Propionibacterium acnes TypeIA2 P.acn31 (1114969.3)	285_1	 	294_7	295	293	861_11_19	1714_12	861_11_19	2025_21_22, 2025_21_22	2312	 
Propionibacterium acnes TypeIA2 P.acn33 (1114966.3)	272_1	 	281_7	282	280	848_11_19	1703_12	848_11_19	2016_21_22, 2016_21_22	2302	 
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 (754252.3)	1947_1	 	1944_7	1943	1945	834_11_19	766_12	834_11_19	141_21_22, 141_21_22, 231_21	142, 571	 
Bifidobacterium adolescentis ATCC 15703 (367928.6)	438_1	 	440_7	440_7	439	1167_11_19	417_12	1167_11_19	 	70	651_27
Bifidobacterium adolescentis L2-32 (411481.5)	716_1	 	718_7	718_7	717	1794_11_19	704_12	1794_11_19	 	366	945_27
Bifidobacterium animalis subsp. lactis BB-12 (552531.3)	 	 	991_7	991_7	 	47_11_19	952_12	47_11_19	 	 	1539_27
Bifidobacterium animalis subsp. lactis BLC1 (1075106.4)	 	 	501_7	501_7	 	1163_11_19	463_12	1163_11_19	 	 	 
Bifidobacterium animalis subsp. lactis Bl-04 (580050.3)	 	 	502_7	502_7	 	1169_11_19	464_12	1169_11_19	 	 	 
Bifidobacterium animalis subsp. lactis CNCM I-2494 (1042403.4)	 	 	498_7	498_7	 	1161_11_19	460_12	1161_11_19	 	 	 
Bifidobacterium animalis subsp. lactis DSM 10140 (555970.3)	 	 	502_7	502_7	 	1170_11_19	464_12	1170_11_19	 	 	 
Bifidobacterium animalis subsp. lactis HN019 (486409.3)	 	 	723_7	723_7	 	1121_11_19	685_12	1121_11_19	 	 	 
Bifidobacterium animalis subsp. lactis V9 (573236.3)	 	 	501_7	501_7	 	1166_11_19	463_12	1166_11_19	 	 	 
Bifidobacterium bifidum NCIMB 41171 (398513.5)	1627_1	 	1629_7	1629_7	1628	1237_11_19	1595_12	1237_11_19	146_22	147	 
Bifidobacterium bifidum PRL2010 (702459.3)	1495_1	 	1493_7	1493_7	1494	600_11_19	1529_12	600_11_19	738_22	739	 
Bifidobacterium bifidum S17 (883062.5)	1439_1	 	1437_7	1437_7	1438	615_11_19	1477_12	615_11_19	765_22	766	 
Bifidobacterium breve ACS-071-V-Sch8b (866777.3)	1521_1	 	1519_7	1519_7	1520	609_11_19	1582_12	609_11_19	 	291	1448_27
Bifidobacterium breve UCC2003 (326426.4)	1601_1	 	1599_7	1599_7	1600	1336_11_19	1677_12	1336_11_19	 	 	 
Bifidobacterium dentium ATCC 27678 (473819.7)	187_1	 	185_7	185_7	186	1421_11_19	208_12	1421_11_19	 	623	2081_27
Bifidobacterium dentium ATCC 27679 (871562.3)	160_1	 	158_7	158_7	159	1243_11_19	181_12	1243_11_19	 	595	1989_27, 2130_27
Bifidobacterium dentium Bd1 (401473.3)	528_1	 	530_7	530_7	529	1443_11_19	508_12	1443_11_19	 	94	 
Bifidobacterium dentium JCVIHMP022 (553191.3)	1951_1	 	1949_7	1949_7	1950	1750_11_19	1973_12	1750_11_19	 	1632	57_27, 840_27
Bifidobacterium gallicum DSM 20093 (561180.4)	 	 	971_7	971_7	 	330_11_19	991_12	330_11_19	 	1496	699_27
Bifidobacterium longum NCC2705 (206672.9)	1738_1	 	1740_7	1740_7	1739	210_11_19	1721_12	210_11_19	 	 	 
Bifidobacterium longum subsp. infantis 157F (565040.3)	1685_1	 	1683_7	1683_7	1684	1322_11_19	1703_12	1322_11_19	 	 	1582_27
Bifidobacterium longum subsp. infantis ATCC 55813 (548480.3)	691_1	 	693_7	693_7	692	1377_11_19	673_12	1377_11_19	 	 	783_27
Bifidobacterium longum subsp. infantis CCUG 52486 (537937.5)	1219_1	 	1221_7	1221_7	1220	1390_11_19	1202_12	1390_11_19	 	 	 
Bifidobacterium longum subsp. longum BBMN68 (890402.3)	1775_1	 	1777_7	1777_7	1776	252_11_19	1757_12	252_11_19	 	924	1865_27
Bifidobacterium longum subsp. longum F8 (722911.3)	1176_1	 	1174_7	1174_7	1175	1941_11_19	1574_12	1941_11_19	 	 	1082_27
Bifidobacterium longum subsp. longum JCM 1217 (565042.3)	1635_1	 	1633_7	1633_7	1634	1298_11_19	1653_12	1298_11_19	 	 	 
Bifidobacterium longum subsp. longum JDM301 (759350.3)	1613_1	 	1611_7	1611_7	1612	1244_11_19	1640_12	1244_11_19	358_22	357	1774_27
Bifidobacterium longum subsp. longum KACC 91563 (1035817.4)	311_1	 	313_7	313_7	312	681_11_19	266_12	681_11_19	 	 	136_27
Scardovia inopinata F0304 (641146.3)	532_1	 	534_7	534_7	533	988_11_19	522_12	988_11_19	 	 	594_27
Atopobium parvulum DSM 20469 (521095.6)	604_1	 	 	109	109	605_11_19	611_12	605_11_19	 	 	 
Atopobium rimae ATCC 49626 (553184.4)	50_1	 	 	823	823	51_11_19	57_12	51_11_19	 	 	1198_27, 1199_26, 127_26, 970_26
Collinsella aerofaciens ATCC 25986 (411903.6)	426_1	425_6	424_7	1639, 424_7	1639	154_11_19	89_12	154_11_19	 	 	348_26, 884_27, 885_26
Collinsella intestinalis DSM 13280 (521003.7)	959_1	966_6	967_7	880	880	740_11_19	1194_12	740_11_19	 	1462	 
Collinsella stercoris DSM 13279 (445975.6)	1775_1	1768_6	1767_7	1625, 1767_7	1625	1319_11_19	1082_12	1319_11_19	 	677	1187_26, 627_26
Cryptobacterium curtum DSM 15641 (469378.5)	1115_1	 	 	222	222	155_11_19	 	155_11_19	 	179	 
Eggerthella lenta DSM 2243 (479437.5)	128_1	 	 	2974	2974	2854_11_19	 	2854_11_19	 	 	 
Eggerthella sp. 1_3_56FAA (665943.3)	1437_1	 	 	1170	1170	2361_11_19	 	2361_11_19	 	 	2380_26, 718_27
Eggerthella sp. YY7918 (502558.4)	2463_1	 	 	248	248	2358_11_19	 	2358_11_19	 	 	1974_27, 1975_26, 2373_26, 588_26
Gordonibacter pamelaeae 7-10-1-b (657308.3)	2220_1	 	199_8	1107	1107	 	 	 	 	 	1545_26, 1940_27
Olsenella uli DSM 7084 (633147.4)	99_1	 	 	100	100	804_11_19	813_12	804_11_19	 	 	1571_27, 257_26
Slackia exigua ATCC 700122 (649764.3)	1085_1	1086_6	1087_7	814	814	657_11_19	 	657_11_19	 	 	1662_26, 691_27, 692_26
Actinomyces cardiffensis F0333 (888050.3)	1168_1	 	1170_7	1170_7	1169	38_11_19	1708_12	38_11_19	 	 	 
Actinomyces graevenitzii C83 (435830.3)	1453_1	 	1455_7	1455_7	1454	611_11_19	1670_12	611_11_19	 	 	 
Actinomyces naeslundii str. Howell 279 (1115803.3)	790_1	 	 	522, 523, 524	525	2606_11_19	59_12	2606_11_19	 	 	 
Actinomyces turicensis ACS-279-V-Col4 (883077.3)	565_1	 	567_7	567_7	566	1402_11_19	1641_12	1402_11_19	 	 	 
Corynebacterium aurimucosum ATCC 700975 (Prj:31451) (548476.7)	1053_1	 	1055_7	1056	1054	2267_11_19	540_12	2267_11_19	1041_21_22, 1041_21_22	1130	 
Corynebacterium durum F0235 (1035195.3)	2295_1	 	2297_7	2298	2296	1756_11_19	1629_12, 870_12	1756_11_19	15_21_22, 15_21_22	2389	 
Corynebacterium propinquum DSM 44285 (1121367.3)	1315_1	 	1317_7	1318	1316, 2206	1471_11_19	1720_12	1471_11_19	440_21_22, 440_21_22	1355	 
Gordonia rubripertincta NBRC 101908 (1077975.4)	2091_1	 	2089_7	2088	2090	2812_11_19	1902_12, 2324_12, 3447_12, 3897_12, 4133_12, 979_12	2812_11_19	3296_21_22, 3296_21_22, 4152_21, 4465_22	327	 
Gordonia terrae C-6 (1316928.3)	214_1	 	212_7	211	213	1161_11_19	2045_12, 2597_12, 2612_12, 2651_12, 3342_12, 344_12, 509_12	1161_11_19	2624_21, 3405_21_22, 3405_21_22, 4051_22	1657	 
Gordonia terrae NBRC 100016 (1089454.3)	2221_1	 	2223_7	2224	2222	1117_11_19	1180_12, 165_12, 2371_12, 3272_12, 3783_12, 4658_12	1117_11_19	3321_22, 3580_21_22, 3580_21_22, 4667_21	2335	 
Mycobacterium avium subsp. paratuberculosis JQ6 (1112208.3)	3823_1	 	3825_7	3826	3824	4087_11_19, 4088_11_19	3367_12	4087_11_19, 4088_11_19	768_22, 9_21	4030	 
Mycobacterium avium subsp. paratuberculosis MAP4 (1199187.3)	3515_1	 	3513_7	3512	3514	1598_11_19	974_12	1598_11_19	3008_22, 3982_21	3317	 
Mycobacterium avium subsp. paratuberculosis S5 (1247747.5)	534_1	 	536_7	537	535	2826_11_19	3242_12	2826_11_19	1308_22, 27_21	744	 
Mycobacterium abscessus 3A-0119-R (1001721.3)	545_1	 	547_7	548	546	1684_11_19	3208_12	1684_11_19	1081_22, 5274_21	741	 
Mycobacterium abscessus 3A-0122-R (1001715.3)	623_1	 	625_7	626	624	1724_11_19	3171_12	1724_11_19	3561_22, 89_21	819	 
Mycobacterium abscessus 3A-0122-S (1001716.3)	359_1	 	361_7	362	360	1247_11_19	2784_12	1247_11_19	5083_21, 671_22	3618	 
Mycobacterium abscessus 3A-0731 (1001718.3)	449_1	 	451_7	452	450	1634_11_19	3321_12	1634_11_19	5348_21, 949_22	2664	 
Mycobacterium abscessus 3A-0810-R (1001717.3)	536_1	 	538_7	539	537	1692_11_19	3246_12	1692_11_19	1125_22, 5274_21	732	 
Mycobacterium abscessus 3A-0930-R (1001720.3)	543_1	 	545_7	546	544	1732_11_19	3215_12	1732_11_19	1134_22, 5219_21	739	 
Mycobacterium abscessus 3A-0930-S (1001719.3)	2310_1	 	2312_7	2313	2311	1305_11_19	3150_12	1305_11_19	5146_21, 706_22	2505	 
Mycobacterium abscessus 47J26 (1087483.3)	4812_1	 	4810_7	4809	4811	2269_11_19	812_12	2269_11_19	1708_22, 4369_21	4255	 
Mycobacterium abscessus 4S-0116-R (1001725.3)	640_1	 	642_7	643	641	1665_11_19	2785_12	1665_11_19	1186_22, 4752_21	834	 
Mycobacterium abscessus 4S-0116-S (1001724.3)	4316_1	 	4318_7	4319	4317	563_11_19	1878_12	563_11_19	3844_21, 84_22	4511	 
Mycobacterium abscessus 4S-0206 (1001723.3)	2048_1	 	2050_7	2051	2049	821_11_19	2788_12	821_11_19	342_22, 4753_21	2243	 
Mycobacterium abscessus 4S-0303 (1001722.3)	641_1	 	643_7	644	642	1868_11_19	2779_12	1868_11_19	1388_22, 4746_21	1038	 
Mycobacterium abscessus 4S-0726-RA (1001726.3)	374_1	 	376_7	377	375	1416_11_19	2713_12	1416_11_19	4678_21, 938_22	1805	 
