Organism	dxs	gapA	PdxB	PdxF	PdxA	PdxJ	PdxH	PdxK	PdxTS	PdxP	PdxU
Propionibacterium acnes HL043PA2 (765073.3)	1507	1753	1294_4, 742_4	442	 	 	 	 	1609_13, 1610_14	 	 
Propionibacterium acnes HL044PA1 (765109.3)	2083	1811	1243_4, 2455_4, 885_4	1365	1410_7	 	 	 	1963_14, 1964_13	 	 
Propionibacterium acnes HL045PA1 (765068.3)	1926	1680	2139_4, 311_4	943	 	 	 	 	1825_14, 1826_13	 	 
Propionibacterium acnes HL046PA1 (765094.3)	1447	1700	1228_4, 17_4	1003	 	 	 	2419_12	1549_13, 1550_14	 	 
Propionibacterium acnes HL046PA2 (765095.3)	1179	932	1390_4, 643_4	2366	 	 	 	 	1077_14, 1078_13	 	 
Propionibacterium acnes HL050PA1 (765100.3)	1179	930	1398_4	2341	 	 	 	1719_12	1076_14, 1077_13	 	 
Propionibacterium acnes HL050PA2 (765101.3)	1798	 	146_4, 1585_4, 74_4, 931_4	764	498_7	 	 	1635_11, 862_12	1903_13, 1904_14	 	 
Propionibacterium acnes HL050PA3 (765102.3)	1810	1562	2030_4	580	 	 	 	2224_12	1707_14, 1708_13	 	 
Propionibacterium acnes HL053PA1 (765066.3)	1982	1736	2194_4, 46_4	660	 	 	 	 	1879_14, 1880_13	 	 
Propionibacterium acnes HL053PA2 (765067.3)	1722	1970	1506_4	1189	 	 	 	364_12	1823_13, 1824_14	 	 
Propionibacterium acnes HL056PA1 (765119.3)	1231	983	1445_4, 803_4	387	 	 	 	 	1126_14, 1127_13	 	 
Propionibacterium acnes HL059PA1 (765091.3)	1038	1287	821_4, 84_4	1958	 	 	 	2352_12	1139_13, 1140_14	 	 
Propionibacterium acnes HL059PA2 (765092.3)	1721	1474	1939_4	398	 	 	 	2227_12	1618_14, 1619_13	 	 
Propionibacterium acnes HL063PA1 (765113.3)	1882	1633	2096_4	958	 	 	 	 	1779_14, 1780_13	 	 
Propionibacterium acnes HL063PA2 (765114.3)	2077	1829	2291_4	1234	 	 	 	1508_12	1974_14, 1975_13	 	 
Propionibacterium acnes HL067PA1 (765110.3)	771	527	989_4	1223	 	 	 	 	670_14, 671_13	 	 
Propionibacterium acnes HL072PA1 (765074.3)	1453	1207	1667_4	2403	 	 	 	 	1352_14, 1353_13	 	 
Propionibacterium acnes HL072PA2 (765075.3)	2024	2273	1532_4, 1810_4	115	 	 	 	 	2123_13, 2124_14	 	 
Propionibacterium acnes HL074PA1 (765076.3)	1365	1118	1578_4, 1971_4	946	 	 	 	 	1262_14, 1263_13	 	 
Propionibacterium acnes HL078PA1 (765071.3)	1749	2001	1031_4, 1537_4	334	 	 	 	 	1852_13, 1853_14	 	 
Propionibacterium acnes HL082PA1 (765120.3)	1929	2180	1714_4, 906_4	272	 	 	 	1439_12	2032_13, 2033_14	 	 
Propionibacterium acnes HL082PA2 (765121.3)	622	 	1436_4, 1560_4, 1999_4, 408_4	2115	1917_7	 	 	456_11, 6_12	725_13, 726_14	 	 
Propionibacterium acnes HL083PA1 (765087.3)	2091	1842	128_4, 2305_4	1169	 	 	 	 	1987_14, 1988_13	 	 
Propionibacterium acnes HL083PA2 (765088.3)	1712	1462	1931_4	1113	 	 	 	2100_12	1609_14, 1610_13	 	 
Propionibacterium acnes HL086PA1 (765093.3)	1792	1542	1237_4, 2005_4	282	 	 	 	2432_12	1687_14, 1688_13	 	 
Propionibacterium acnes HL087PA2 (765082.3)	1305	1056	1519_4, 197_4, 198_4	2254	 	 	 	 	1202_14, 1203_13	 	 
Propionibacterium acnes HL087PA3 (765083.3)	1935	2184	1714_4	882	 	 	 	1639_12	2036_13, 2037_14	 	 
Propionibacterium acnes HL092PA1 (765086.3)	1515	1267	1728_4	74	 	 	 	2439_12	1412_14, 1413_13	 	 
Propionibacterium acnes HL096PA2 (765058.3)	2042	1799	2256_4, 266_4	899	 	 	 	 	1941_14, 1942_13	 	 
Propionibacterium acnes HL096PA3 (765057.3)	1044	1294	831_4	664	 	 	 	 	1146_13, 1147_14	 	 
Propionibacterium acnes HL097PA1 (765064.3)	2123	1871	2335_4	872	691_7	 	 	 	2021_14, 2022_13	 	 
Propionibacterium acnes HL099PA1 (765063.3)	1414	1658	1201_4, 84_4	559	 	 	 	 	1515_13, 1516_14	 	 
Propionibacterium acnes HL103PA1 (765061.3)	1562	 	1348_4, 277_4, 347_4, 785_4	904	702_7	 	 	1396_11, 2346_12	1664_13, 1665_14	 	 
Propionibacterium acnes HL110PA1 (765077.3)	1928	2175	17_4, 1716_4	946	 	 	 	650_12	2030_13, 2031_14	 	 
Propionibacterium acnes HL110PA2 (765078.3)	1631	1380	1846_4, 345_4	1003	 	 	 	2280_12	1529_14, 1530_13	 	 
Propionibacterium acnes HL110PA3 (765079.3)	1829	 	1613_4, 2343_4, 268_4, 709_4	830	625_7	 	 	1070_12, 1661_11	1928_13, 1929_14	 	 
Propionibacterium acnes HL110PA4 (765080.3)	660	 	1113_4, 1616_4, 425_4, 444_4	74	1470_7	 	 	2177_12, 492_11	759_13, 760_14	 	 
Propionibacterium acnes J139 (679194.3)	923	 	1411_4, 440_4, 47_4, 728_4	540	357_7	 	 	1881_12, 770_11	1015_13, 1016_14	 	 
Propionibacterium acnes J165 (679195.3)	719	483	1578_4, 1973_4	1785	 	 	 	 	621_14, 622_13	 	 
Propionibacterium acnes KPA171202 (267747.3)	1099	 	1309_4, 2317_4, 389_4	500	308_7	 	 	1763_12	1000_14, 1001_13	 	 
Propionibacterium acnes SK137 (553199.9)	1109	869	1320_4, 2276_4	525	 	 	 	1729_12	1011_14, 1012_13	 	 
Propionibacterium acnes SK182 (679193.4)	623	378	1832_4, 836_4	2071	 	 	 	 	521_14, 522_13	 	 
Propionibacterium acnes SK182B-JCVI (1051006.4)	448	671	1405_4, 238_4, 977_4, 978_4	1497	 	 	 	 	536_13, 537_14	 	 
Propionibacterium acnes SK187 (686659.3)	1006	 	1212_4, 1584_4	519	 	 	 	718_12	911_14, 912_13	 	 
Propionibacterium acnes TypeIA2 P.acn17 (1114967.3)	1108	862	1324_4	511	 	 	 	1762_12	1007_14, 1008_13	 	 
Propionibacterium acnes TypeIA2 P.acn31 (1114969.3)	1102	856	1320_4	505	 	 	 	1757_12	1001_14, 1002_13	 	 
Propionibacterium acnes TypeIA2 P.acn33 (1114966.3)	1089	843	1302_4	489	 	 	 	1746_12	988_14, 989_13	 	 
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 (754252.3)	1239	 	 	1755	2190_6	 	 	1082_11	1466_13, 1467_14	 	 
Bifidobacterium adolescentis ATCC 15703 (367928.6)	553	 	1051_4, 1192_4	410	 	 	 	648_11	1485_13, 1486_14	 	650_18, 652_21
Bifidobacterium adolescentis L2-32 (411481.5)	851	 	1624_4, 1818_4, 620_4	698	 	 	 	942_11	1380_13, 1381_14	 	944_18, 946_21
Bifidobacterium animalis subsp. lactis BB-12 (552531.3)	1081	 	85_4	946	 	 	 	1542_11	265_14, 266_13	 	 
Bifidobacterium animalis subsp. lactis BLC1 (1075106.4)	593	 	 	457	 	 	 	1056_11	1390_14, 1391_13	 	1053_21
Bifidobacterium animalis subsp. lactis Bl-04 (580050.3)	597	 	 	458	 	 	 	1063_11	1395_14, 1396_13	 	1060_21
Bifidobacterium animalis subsp. lactis CNCM I-2494 (1042403.4)	590	 	 	454	 	 	 	1053_11	1388_14, 1389_13	 	1050_21
Bifidobacterium animalis subsp. lactis DSM 10140 (555970.3)	596	 	 	458	 	 	 	1063_11	1396_14, 1397_13	 	1060_21
Bifidobacterium animalis subsp. lactis HN019 (486409.3)	1230	 	 	679	 	 	 	65_11	847_14, 848_13	 	68_21
Bifidobacterium animalis subsp. lactis V9 (573236.3)	593	 	 	457	 	 	 	1057_11	1394_14, 1395_13	 	1054_21
Bifidobacterium bifidum NCIMB 41171 (398513.5)	783	1251	1206_4, 1713_4	1589	 	 	 	640_11	1037_14, 1038_13	 	 
Bifidobacterium bifidum PRL2010 (702459.3)	1379	614	1394_4, 569_4	1535	 	 	 	1257_11	389_14, 390_13	 	 
Bifidobacterium bifidum S17 (883062.5)	1336	631	1351_4, 584_4	1483	 	 	 	1208_11	389_14, 390_13	 	 
Bifidobacterium breve ACS-071-V-Sch8b (866777.3)	1306	621	524_4, 585_4	1589	 	 	 	1019_11	1326_13, 1327_14	 	 
Bifidobacterium breve UCC2003 (326426.4)	614	 	 	1685	 	 	 	873_11	594_14, 595_13	 	 
Bifidobacterium dentium ATCC 27678 (473819.7)	30	 	 	214	 	 	 	2085_11	1053_14, 1054_13	 	2080_21, 2082_18
Bifidobacterium dentium ATCC 27679 (871562.3)	48	 	1216_4, 1372_4, 290_4	187	 	 	 	1993_11	910_14, 911_13	 	1988_21, 1990_18
Bifidobacterium dentium Bd1 (401473.3)	683	 	 	502	 	 	 	775_11	1809_13, 1810_14	 	778_18, 780_21
Bifidobacterium dentium JCVIHMP022 (553191.3)	1835	 	1721_4, 2237_4, 273_4	1980	 	 	 	835_11, 836_11	1773_14, 1774_13	 	839_18, 841_21
Bifidobacterium gallicum DSM 20093 (561180.4)	895	338	1090_4, 311_4	998	 	 	 	44_11	1419_13, 1420_14	 	 
Bifidobacterium longum NCC2705 (206672.9)	842	220	163_4	1714	 	 	 	636_11	855_13, 856_14	 	 
Bifidobacterium longum subsp. infantis 157F (565040.3)	512	1312	1366_4	1711	 	 	 	734_11	498_14, 499_13	 	 
Bifidobacterium longum subsp. infantis ATCC 55813 (548480.3)	210	1387	1336_4	666	 	 	 	407_11	222_13, 223_14	 	 
Bifidobacterium longum subsp. infantis CCUG 52486 (537937.5)	119	1400	1357_4	1195	 	 	 	1019_11	132_13, 133_14	 	 
Bifidobacterium longum subsp. longum BBMN68 (890402.3)	909	262	209_4	1750	 	 	 	700_11	935_13, 936_14	 	 
Bifidobacterium longum subsp. longum F8 (722911.3)	713	1951	1900_4	1581	 	 	 	508_11	726_13, 727_14	 	 
Bifidobacterium longum subsp. longum JCM 1217 (565042.3)	498	1288	1330_4	1660	 	 	 	712_11	484_14, 485_13	 	 
Bifidobacterium longum subsp. longum JDM301 (759350.3)	558	1215	1289_4	1647	 	 	 	793_11	545_14, 546_13	 	 
Bifidobacterium longum subsp. longum KACC 91563 (1035817.4)	1372	691	504_4, 648_4	259	 	 	 	1166_11	1385_13, 1386_14	 	 
Scardovia inopinata F0304 (641146.3)	 	976	 	 	 	 	 	1482_11	 	 	 
Atopobium parvulum DSM 20469 (521095.6)	59	 	 	 	 	 	 	30_11	 	 	 
Atopobium rimae ATCC 49626 (553184.4)	700	1434	 	 	 	 	 	670_11	 	 	 
Collinsella aerofaciens ATCC 25986 (411903.6)	848	1945	1345_4, 836_4	1346	 	 	 	1550_11	493_14, 494_13	 	 
Collinsella intestinalis DSM 13280 (521003.7)	1401	 	 	148	 	 	 	776_11	 	 	 
Collinsella stercoris DSM 13279 (445975.6)	107	1683	517_4	518	 	 	 	1653_11	 	 	 
Cryptobacterium curtum DSM 15641 (469378.5)	510	 	 	 	 	 	 	329_11	1032_14	 	 
Eggerthella lenta DSM 2243 (479437.5)	2600	 	 	1369	 	 	 	3078_11	 	 	 
Eggerthella sp. 1_3_56FAA (665943.3)	2177	 	2216_4, 2289_4, 52_4, 819_4	306	 	 	 	1931_11	 	 	 
Eggerthella sp. YY7918 (502558.4)	535, 745	1188	1707_4, 180_4, 2007_4	1655	 	 	 	2564_11	 	 	 
Gordonibacter pamelaeae 7-10-1-b (657308.3)	336, 337	86	1251_4, 1833_4, 2653_4	1982	 	 	 	771_11	 	 	 
Olsenella uli DSM 7084 (633147.4)	807	1280	11_4, 725_4	726	 	 	 	32_11	 	 	 
Slackia exigua ATCC 700122 (649764.3)	632	113	 	 	 	 	 	1197_11	1319_14, 1320_13	 	 
Actinomyces cardiffensis F0333 (888050.3)	1459	1376	137_4	558	 	 	 	 	1434_13, 1435_14	 	 
Actinomyces graevenitzii C83 (435830.3)	372	383	 	 	 	 	 	1324_12	 	 	 
Actinomyces naeslundii str. Howell 279 (1115803.3)	2531	2216, 2302	1759_4	1758	 	 	 	1691_12	2550_14, 2552_13	 	 
Actinomyces turicensis ACS-279-V-Col4 (883077.3)	932	855	1511_4	644	 	 	 	 	909_13, 910_14	 	 
Corynebacterium aurimucosum ATCC 700975 (Prj:31451) (548476.7)	1833	133	201_4, 2253_4, 2254_4	561	 	 	 	2197_11	1381_13, 1382_14	 	 
Corynebacterium durum F0235 (1035195.3)	1190	963	366_4	11	 	 	 	 	1171_13, 1173_14	 	 
Corynebacterium propinquum DSM 44285 (1121367.3)	199	120	1481_4, 584_4	1708	 	 	 	896_11, 897_11	1203_14	 	 
Gordonia rubripertincta NBRC 101908 (1077975.4)	1829	633	2142_4, 3237_4, 4768_4	1617	 	 	2302	 	1789_13, 1795_14	 	 
Gordonia terrae C-6 (1316928.3)	418	527	1948_4, 1956_4, 283_4, 4119_4, 861_4	4477	 	 	2351, 4475	 	454_14, 459_13	 	 
Gordonia terrae NBRC 100016 (1089454.3)	279	3360	1318_4, 1326_4, 1834_4, 2743_4, 4475_4	1602	 	 	1597, 693	 	243_13, 248_14	 	 
Mycobacterium avium subsp. paratuberculosis JQ6 (1112208.3)	3445	4305	1518_4, 1519_4, 1520_4, 2519_4, 2520_4, 3165_4, 4635_4, 4636_4	902	 	 	894, 895	 	3558_14, 3560_13	 	 
Mycobacterium avium subsp. paratuberculosis MAP4 (1199187.3)	1044	2778	3620_4, 3860_4, 4452_4, 793_4	3130	 	 	3125	 	1143_14, 1145_13	 	 
Mycobacterium avium subsp. paratuberculosis S5 (1247747.5)	3171	1548	193_4, 3428_4, 437_4, 4683_4	999	 	 	1004, 3447	 	3066_13, 3068_14	 	 
Mycobacterium abscessus 3A-0119-R (1001721.3)	3104	2822	3428_4, 4598_4, 4677_4	887	 	 	3963, 892	 	2934_13, 2936_14	 	 
Mycobacterium abscessus 3A-0122-R (1001715.3)	3069	2856	3390_4, 4633_4, 4711_4	1017	 	 	1022, 3990	 	2967_13, 2969_14	 	 
Mycobacterium abscessus 3A-0122-S (1001716.3)	2681	2414	3004_4, 4410_4, 4487_4	474	 	 	3540, 479	 	2526_13, 2528_14	 	 
Mycobacterium abscessus 3A-0731 (1001718.3)	3217	2963	3541_4, 4677_4, 4755_4	752	 	 	4072, 757	 	3074_13, 3076_14	 	 
Mycobacterium abscessus 3A-0810-R (1001717.3)	3143	2867	3466_4, 4601_4, 4679_4	930	 	 	3998, 935	 	2978_13, 2980_14	 	 
Mycobacterium abscessus 3A-0930-R (1001720.3)	3112	2874	3434_4, 4548_4, 4626_4	940	 	 	3967, 945	 	2985_13, 2987_14	 	 
Mycobacterium abscessus 3A-0930-S (1001719.3)	3046	2805	3367_4, 4474_4, 4552_4	511	 	 	3897, 516	 	2917_13, 2919_14	 	 
Mycobacterium abscessus 47J26 (1087483.3)	915	1155	4105_4, 4144_4, 586_4	3775	 	 	3770, 69	 	1043_14, 1045_13	 	 
Mycobacterium abscessus 4S-0116-R (1001725.3)	2682	2483	3022_4, 4168_4, 4247_4	1006	 	 	1011, 3599	 	2594_13, 2596_14	 	 
Mycobacterium abscessus 4S-0116-S (1001724.3)	1776	1577	2114_4, 3258_4, 3337_4	4682	 	 	2691, 4687	 	1688_13, 1690_14	 	 
Mycobacterium abscessus 4S-0206 (1001723.3)	2686	2487	3025_4, 4168_4, 4246_4	163	 	 	168, 3600	 	2598_13, 2600_14	 	 
Mycobacterium abscessus 4S-0303 (1001722.3)	2677	2476	3016_4, 4159_4, 4238_4	1209	 	 	1214, 3592	 	2588_13, 2590_14	 	 
Mycobacterium abscessus 4S-0726-RA (1001726.3)	2611	2411	2950_4, 4093_4, 4172_4	758	 	 	3526, 763	 	2522_13, 2524_14	 	 
Mycobacterium abscessus 4S-0726-RB (1001727.3)	2222	2021	2563_4, 3705_4, 3784_4	342	 	 	3139, 347	 	2133_13, 2135_14	 	 
Mycobacterium abscessus 5S-0304 (1001728.3)	2156	1653	2488_4, 3688_4, 3727_4	5045	 	 	3082, 5050	 	1767_13, 1769_14	 	 
Mycobacterium abscessus 5S-0421 (1001729.3)	2406	1906	2739_4, 3941_4, 3980_4	67	 	 	3334, 72	 	2021_13, 2023_14	 	 
Mycobacterium abscessus 5S-0422 (1001731.3)	3042	2546	3612_4, 4809_4, 4848_4	632	 	 	4204, 637	 	2660_13, 2662_14	 	 
Mycobacterium abscessus 5S-0708 (1001730.3)	5086	4589	2463_4, 3665_4, 3704_4	547	 	 	3058, 552	 	4704_13, 4706_14	 	 
Mycobacterium abscessus 5S-0817 (1001735.3)	1761	5110	2093_4, 3289_4, 3328_4	4650	 	 	2685, 4655	 	4992_14, 4994_13	 	 
Mycobacterium abscessus 5S-0921 (1001732.3)	3063	2348	3394_4, 4592_4, 4631_4	2803	 	 	2798, 3983	 	2463_13, 2465_14	 	 
Mycobacterium abscessus 5S-1212 (1001733.3)	1889	4519	2222_4, 3419_4, 3458_4	228	 	 	233, 2814	 	4402_14, 4404_13	 	 
Mycobacterium abscessus 5S-1215 (1001734.3)	2238	4617	2571_4, 3687_4, 3726_4	5071	 	 	3159, 5066	 	4731_13, 4733_14	 	 
Mycobacterium abscessus 6G-0125-R (1001740.3)	2055	1842	2378_4, 3439_4, 3517_4	5011	 	 	2909, 5016	 	1954_13, 1956_14	 	 
Mycobacterium abscessus 6G-0212 (1001739.3)	3044	2831	3368_4, 4427_4, 4505_4	900	 	 	3898, 905	 	2943_13, 2945_14	 	 
Mycobacterium abscessus 9808 (1246644.3)	4570	3552	226_4, 266_4, 4894_4	1714	 	 	1719, 4113	 	3664_13, 3666_14	 	 
Mycobacterium abscessus M115 (1162287.3)	1826	2070	229_4, 2692_4, 278_4	1390	 	 	1395, 855	 	1958_14, 1960_13	 	 
Mycobacterium abscessus M139 (1175632.3)	2940	942	3206_4, 3246_4, 93_4	2489	 	 	2484, 601	 	827_14, 829_13	 	 
Mycobacterium abscessus M152 (1176125.3)	1029	3462	1351_4, 4171_4, 4211_4	3184	 	 	1791, 3179	 	3347_14, 3349_13	 	 
Mycobacterium abscessus M154 (1162288.3)	457	227	2131_4, 2633_4, 2683_4	3673	 	 	1150, 3668	 	337_13, 339_14	 	 
Mycobacterium abscessus M156 (1185414.3)	3810	1884	11_4, 4522_4, 59_4	3069	 	 	2321, 3074	 	4314_14, 4316_13	 	 
Mycobacterium abscessus M159 (1162285.3)	4084	1695	1240_4, 2721_4, 4280_4	3037	 	 	2313, 3032	 	1806_13, 1808_14	 	 
Mycobacterium abscessus M172 (1162286.3)	780	547	1958_4, 2007_4, 4737_4	3708	 	 	1479, 3713	 	659_13, 661_14	 	 
Mycobacterium abscessus M24 (1162284.3)	3969	2944	1194_4, 511_4, 950_4	3588	 	 	2612, 3583	 	3095_14, 3097_13	 	 
Mycobacterium abscessus M93 (1149134.5)	1941	2182	1618_4, 519_4, 569_4	2828	 	 	1025, 2823	 	2293_13, 2295_14	 	 
