Organism	PyrAB	PyrB	PyrC	PyrDq	PyrDfum	PyrDnad	PyrE	PyrF	PyrH	Ndk	Adk	PyrG	ThiA
Propionibacterium acnes HL005PA2 (765097.3)	579_1, 580_4	582_5	581_6	 	 	577_11, 578_10	575_13	576_14	 	754_16	2195_17	2141_19	9_20
Propionibacterium acnes HL005PA4 (765099.3)	1339_1, 1340_4	1342_5	1341_6	 	 	1337_11, 1338_10	1335_13	1336_14	2003_15	1514_16	2216_17	1800_19	2387_20
Propionibacterium acnes HL007PA1 (765118.3)	1846_4, 1847_1	1844_5	1845_6	 	 	1848_10, 1849_11	1851_13	1850_14	 	1673_16	2262_17	2413_19	2434_20
Propionibacterium acnes HL013PA1 (765069.3)	1223_1, 1224_4	1226_5	1225_6	 	 	1221_11, 1222_10	1219_13	1220_14	 	1398_16	2339_17	806_19	2077_20
Propionibacterium acnes HL013PA2 (765070.3)	2133_1, 2134_4	2136_5	2135_6	 	 	2131_11, 2132_10	2129_13	2130_14	 	2308_16	464_17	1723_19	112_20
Propionibacterium acnes HL020PA1 (765065.3)	1733_1, 1734_4	1736_5	1735_6	 	 	1731_11, 1732_10	1729_13	1730_14	 	1905_16	1073_17	1315_19	1022_20
Propionibacterium acnes HL025PA1 (765089.3)	1694_1, 1695_4	1697_5	1696_6	 	 	1692_11, 1693_10	1690_13	1691_14	 	1874_16	2401_17	1284_19	2232_20
Propionibacterium acnes HL027PA1 (765111.3)	1085_4, 1086_1	1083_5	1084_6	 	 	1087_10, 1088_11	1090_13	1089_14	 	908_16	61_17	596_19	265_20
Propionibacterium acnes HL027PA2 (765112.3)	573_1, 574_1, 575_4	577_5	576_6	 	 	571_11, 572_10	569_13	570_14	 	743_16	1704_17	158_19	1535_20
Propionibacterium acnes HL030PA1 (765103.3)	2322_1, 2323_4	2325_5	2324_6	 	 	2320_11, 2321_10	2318_13	2319_14	 	955_16	1827_17	1911_19	1657_20
Propionibacterium acnes HL036PA1 (765106.3)	1785_4, 1786_1	1783_5	1784_6	 	 	1787_10, 1788_11	1790_13	1789_14	97_15	1612_16	2341_17	2202_19	1151_20
Propionibacterium acnes HL036PA2 (765107.3)	1864_1, 1865_4	1867_5	1866_6	 	 	1862_11, 1863_10	1860_13	1861_14	 	2039_16	1363_17	1447_19	1193_20
Propionibacterium acnes HL037PA1 (765122.3)	1968_4, 1969_1	1966_5	1967_6	 	 	1970_10, 1971_11	1973_13	1972_14	 	1792_16	42_17	2382_19	893_20
Propionibacterium acnes HL037PA2 (765123.3)	480_1, 481_4	483_5	482_6	 	 	478_11, 479_10	476_13	477_14	1094_15	672_16	1719_17	46_19	1897_20
Propionibacterium acnes HL038PA1 (765085.3)	1647_4, 1648_1	1645_5	1646_6	 	 	1649_10, 1650_11	1652_13	1651_14	 	1476_16	1118_17	2034_19	11_20
Propionibacterium acnes HL043PA1 (765072.3)	844_4, 845_1	842_5	843_6	 	 	846_10, 847_11	849_13	848_14	 	673_16	2011_17	2472_19	2181_20
Propionibacterium acnes HL043PA2 (765073.3)	1573_1, 1574_4	1576_5	1575_6	 	 	1571_11, 1572_10	1569_13	1570_14	 	1746_16	557_17	2296_19	716_20
Propionibacterium acnes HL044PA1 (765109.3)	2007_4, 2008_1	2005_5	2006_6	 	 	2009_10, 2010_11	2012_13	2011_14	81_15	1818_16	320_17	2576_19	2633_20
Propionibacterium acnes HL045PA1 (765068.3)	1860_4, 1861_1	1858_5	1859_6	 	 	1862_10, 1863_11	1865_13	1864_14	 	1687_16	2306_17	2242_19	2478_20
Propionibacterium acnes HL046PA1 (765094.3)	1513_1, 1514_4	1516_5	1515_6	 	 	1511_11, 1512_10	1509_13	1510_14	 	1693_16	2113_17	1093_19	234_20
Propionibacterium acnes HL046PA2 (765095.3)	1112_4, 1113_1	1110_5	1111_6	 	 	1114_10, 1115_11	1117_13	1116_14	 	939_16	1744_17	429_19	451_20
Propionibacterium acnes HL050PA1 (765100.3)	1113_4, 1114_1	1111_5	1112_6	 	 	1115_10, 1116_11	1118_13	1117_14	 	937_16	1587_17	1534_19	1760_20
Propionibacterium acnes HL050PA2 (765101.3)	1866_1, 1867_4	1869_5	1868_6	 	 	1864_11, 1865_10	1862_13	1863_14	1031_15	2019_16	1314_17	1448_19	821_20
Propionibacterium acnes HL050PA3 (765102.3)	1744_4, 1745_1	1742_5	1743_6	 	 	1746_10, 1747_11	1749_13	1748_14	 	1569_16	2353_17	2163_19	2182_20
Propionibacterium acnes HL053PA1 (765066.3)	1915_4, 1916_1	1913_5	1914_6	 	 	1917_10, 1918_11	1920_13	1919_14	 	1743_16	2245_17	2381_19	1350_20
Propionibacterium acnes HL053PA2 (765067.3)	1787_1, 1788_4	1790_5	1789_6	 	 	1785_11, 1786_10	1783_13	1784_14	 	1963_16	2380_17	1378_19	321_20
Propionibacterium acnes HL056PA1 (765119.3)	1164_4, 1165_1	1162_5	1163_6	 	 	1166_10, 1167_11	1169_13	1168_14	 	990_16	2273_17	1866_19	263_20
Propionibacterium acnes HL059PA1 (765091.3)	1102_1, 1103_4	1105_5	1104_6	 	 	1100_11, 1101_10	1098_13	1099_14	 	1280_16	635_17	689_19	2394_20
Propionibacterium acnes HL059PA2 (765092.3)	1655_4, 1656_1	1653_5	1654_6	 	 	1657_10, 1658_11	1660_13	1659_14	 	1481_16	2357_17	2072_19	2185_20
Propionibacterium acnes HL063PA1 (765113.3)	1815_4, 1816_1	1813_5	1814_6	 	 	1817_10, 1818_11	1820_13	1819_14	 	1640_16	2372_17	2233_19	257_20
Propionibacterium acnes HL063PA2 (765114.3)	2010_4, 2011_1	2008_5	2009_6	 	 	2012_10, 2013_11	2015_13	2014_14	321_15	1836_16	1379_17	2425_19	1550_20
Propionibacterium acnes HL067PA1 (765110.3)	705_4, 706_1	703_5	704_6	 	 	707_10, 708_11	710_13	709_14	 	534_16	2308_17	2361_19	2176_20
Propionibacterium acnes HL072PA1 (765074.3)	1387_4, 1388_1	1385_5	1386_6	 	 	1389_10, 1390_11	1392_13	1391_14	768_15	1214_16	91_17	1805_19	653_20
Propionibacterium acnes HL072PA2 (765075.3)	2089_1, 2090_4	2092_5	2091_6	 	 	2087_11, 2088_10	2085_13	2086_14	 	2266_16	836_17	2459_19	1092_20
Propionibacterium acnes HL074PA1 (765076.3)	1299_4, 1300_1	1297_5	1298_6	 	 	1301_10, 1302_11	1304_13	1303_14	 	1125_16	506_17	1683_19	333_20
Propionibacterium acnes HL078PA1 (765071.3)	1816_1, 1817_4	1819_5	1818_6	 	 	1814_11, 1815_10	1812_13	1813_14	 	1994_16	2469_17	1432_19	2330_20
Propionibacterium acnes HL082PA1 (765120.3)	1995_1, 1996_4	1998_5	1997_6	 	1993_9	1994_10	1991_13	1992_14	 	2173_16	1365_17	1583_19	1481_20
Propionibacterium acnes HL082PA2 (765121.3)	689_1, 690_4	692_5	691_6	 	 	687_11, 688_10	685_13	686_14	1231_15	842_16	2415_17	271_19	47_20
Propionibacterium acnes HL083PA1 (765087.3)	2024_4, 2025_1	2022_5	2023_6	 	 	2026_10, 2027_11	2029_13	2028_14	 	1849_16	1609_17	2411_19	11_20
Propionibacterium acnes HL083PA2 (765088.3)	1646_4, 1647_1	1644_5	1645_6	 	 	1648_10, 1649_11	1651_13	1650_14	 	1469_16	2368_17	2065_19	2142_20
Propionibacterium acnes HL086PA1 (765093.3)	1725_4, 1726_1	1723_5	1724_6	 	 	1727_10, 1728_11	1730_13	1729_14	 	1549_16	2302_17	2137_19	2475_20
Propionibacterium acnes HL087PA2 (765082.3)	1238_4, 1239_1	1236_5	1237_6	 	 	1240_10, 1241_11	1243_13	1242_14	 	1063_16	126_17	1656_19	301_20
Propionibacterium acnes HL087PA3 (765083.3)	2000_1, 2001_4	2003_5	2002_6	 	 	1998_11, 1999_10	1996_13	1997_14	 	2177_16	1510_17	1279_19	1681_20
Propionibacterium acnes HL092PA1 (765086.3)	1450_4, 1451_1	1448_5	1449_6	 	 	1452_10, 1453_11	1455_13	1454_14	 	1274_16	2318_17	1856_19	2396_20
Propionibacterium acnes HL096PA2 (765058.3)	1976_4, 1977_1	1974_5	1975_6	 	 	1978_10, 1979_11	1981_13	1980_14	 	1806_16	2345_17	1154_19	2517_20
Propionibacterium acnes HL096PA3 (765057.3)	1110_1, 1111_4	1113_5	1112_6	 	 	1108_11, 1109_10	1106_13	1107_14	 	1287_16	2464_17	1916_19	1833_20
Propionibacterium acnes HL097PA1 (765064.3)	2058_4, 2059_1	2055_5, 2056_5	2057_6	 	 	2060_10, 2061_11	2063_13	2062_14	 	1878_16	1410_17	2443_19	1574_20
Propionibacterium acnes HL099PA1 (765063.3)	1479_1, 1480_4	1482_5	1481_6	 	 	1477_11, 1478_10	1475_13	1476_14	 	1651_16	904_17	816_19	1169_20
Propionibacterium acnes HL103PA1 (765061.3)	1628_1, 1629_4	1631_5	1630_6	 	 	1626_11, 1627_10	1624_13	1625_14	1100_15	1780_16	2218_17	1210_19	2386_20
Propionibacterium acnes HL110PA1 (765077.3)	1993_1, 1994_4	1996_5	1995_6	 	 	1991_11, 1992_10	1989_13	1990_14	 	2168_16	744_17	1585_19	694_20
Propionibacterium acnes HL110PA2 (765078.3)	1565_4, 1566_1	1563_5	1564_6	 	1568_9	1567_10	1570_13	1569_14	 	1387_16	2408_17	1975_19	2237_20
Propionibacterium acnes HL110PA3 (765079.3)	1895_1, 1896_4	1898_5	1897_6	 	 	1893_11, 1894_10	1891_13	1892_14	1230_15	2042_16	943_17	98_19	1113_20
Propionibacterium acnes HL110PA4 (765080.3)	726_1, 727_4	729_5	728_6	 	724_9	725_10	722_13	723_14	1749_15	872_16	2050_17	279_19	2219_20
Propionibacterium acnes J139 (679194.3)	983_1, 984_4	986_5	985_6	 	 	981_11, 982_10	979_13	980_14	1535_15	1115_16	2001_17	616_19	1844_20
Propionibacterium acnes J165 (679195.3)	654_4, 655_1	652_5	653_6	 	 	656_10, 657_11	659_13	658_14	2073_15	490_16	1094_17	1623_19	1218_20
Propionibacterium acnes KPA171202 (267747.3)	1034_4, 1035_1	1032_5	1033_6	 	 	1036_10, 1037_11	1039_13	1038_14	1564_15	859_16	1891_17	1435_19	1722_20
Propionibacterium acnes SK137 (553199.9)	1043_4, 1044_1	1041_5	1042_6	 	 	1045_10, 1046_11	1048_13	1047_14	 	876_16	1856_17	1423_19	1687_20
Propionibacterium acnes SK182 (679193.4)	558_4, 559_1	556_5	557_6	2394_7	 	560_10, 561_11	563_13	562_14	 	385_16	1192_17	938_19	1020_20
Propionibacterium acnes SK182B-JCVI (1051006.4)	507_1, 508_4	510_5	509_6	 	 	505_11, 506_10	503_13	504_14	12_15	664_16	1774_17	142_19	1048_20
Propionibacterium acnes SK187 (686659.3)	942_4, 943_1	940_5	941_6	 	 	944_10, 945_11	947_13	946_14	 	1927_16	654_17	1319_19	678_20
Propionibacterium acnes TypeIA2 P.acn17 (1114967.3)	1042_4, 1043_1	1040_5	1041_6	 	 	1044_10, 1045_11	1047_13	1046_14	 	869_16	1887_17	1455_19	1720_20
Propionibacterium acnes TypeIA2 P.acn31 (1114969.3)	1037_4, 1038_1	1035_5	1036_6	 	 	1039_10, 1040_11	1042_13	1041_14	 	863_16	1882_17	1451_19	1715_20
Propionibacterium acnes TypeIA2 P.acn33 (1114966.3)	1023_4, 1024_1	1021_5	1022_6	 	 	1025_10, 1026_11	1028_13	1027_14	 	850_16	1874_17	1435_19	1704_20
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 (754252.3)	1138_1, 1139_4	1701_5	857_6	1137_12	 	 	1841_13	1136_14	 	835_16	600_17	1348_19	765_20
Bifidobacterium adolescentis ATCC 15703 (367928.6)	579_4, 580_1	825_5	827_6	1415_7, 195_7	 	829_10, 830_11	831_13	581_14, 828_14	 	 	366_17	767_19	416_20
Bifidobacterium adolescentis L2-32 (411481.5)	876_4, 877_1	1199_5	1197_6	490_7	 	1194_11, 1195_10	1193_13	1196_14, 878_14	 	 	654_17	1253_19, 81_19	703_20
Bifidobacterium animalis subsp. lactis BB-12 (552531.3)	1115_4, 1116_1	1362_5	1360_6	225_7	 	1357_11, 1358_10	1356_13	1117_14, 1359_14	 	 	895_17	1403_19	951_20
Bifidobacterium animalis subsp. lactis BLC1 (1075106.4)	630_4, 631_1	872_5	870_6	 	 	867_11, 868_10	866_13	632_14, 869_14	 	 	409_17	912_19	462_20
Bifidobacterium animalis subsp. lactis Bl-04 (580050.3)	634_4, 635_1	879_5	877_6	 	 	874_11, 875_10	873_13	636_14, 876_14	 	 	410_17	919_19	463_20
Bifidobacterium animalis subsp. lactis CNCM I-2494 (1042403.4)	627_4, 628_1	871_5	869_6	 	 	866_11, 867_10	865_13	629_14, 868_14	 	 	406_17	911_19	459_20
Bifidobacterium animalis subsp. lactis DSM 10140 (555970.3)	633_4, 634_1	878_5	876_6	 	 	873_11, 874_10	872_13	635_14, 875_14	 	 	410_17	919_19	463_20
Bifidobacterium animalis subsp. lactis HN019 (486409.3)	1267_4, 1268_1	248_5	250_6	 	 	252_10, 253_11	254_13	1269_14, 251_14	 	 	631_17	208_19	684_20
Bifidobacterium animalis subsp. lactis V9 (573236.3)	630_4, 631_1	873_5	871_6	 	 	868_11, 869_10	867_13	632_14, 870_14	 	 	408_17	913_19	462_20
Bifidobacterium bifidum NCIMB 41171 (398513.5)	738_1, 739_4	373_5	375_6	1064_7, 886_7	 	377_10, 378_11	379_13	376_14, 737_14	492_15	 	1533_17	254_19	1594_20
Bifidobacterium bifidum PRL2010 (702459.3)	1332_1, 1333_4, 61_1	967_5	969_6	225_7, 417_7	 	971_10, 972_11	973_13	1331_14, 970_14	1102_15	 	1590_17	843_19	1530_20
Bifidobacterium bifidum S17 (883062.5)	1291_1, 1292_4	922_5	924_6	239_7, 436_7	 	926_10, 927_11	928_13	1290_14, 925_14	1043_15	 	1537_17	868_19	1478_20
Bifidobacterium breve ACS-071-V-Sch8b (866777.3)	1207_1, 1208_4	872_5	870_6	1387_7, 1801_12	 	867_11, 868_10	866_13	1206_14, 869_14	 	 	1641_17	934_19	1583_20
Bifidobacterium breve UCC2003 (326426.4)	686_4, 687_1	1045_5	1047_6	1894_12	 	1049_10, 1050_11	1051_13	1048_14, 688_14	 	 	1739_17	977_19	1678_20
Bifidobacterium dentium ATCC 27678 (473819.7)	2153_1, 5_4	1824_5	1822_6	452_12	 	1819_11, 1820_10	1818_13	1821_14, 2152_14	 	 	281_17	1881_19	209_20
Bifidobacterium dentium ATCC 27679 (871562.3)	22_1, 23_4	1589_5	1587_6	427_7, 997_7	 	1584_11, 1585_10	1583_13	1586_14, 21_14	 	 	256_17	1646_19	182_20
Bifidobacterium dentium Bd1 (401473.3)	708_4, 709_1	1036_5	1038_6	263_12	 	1040_10, 1041_11	1042_13	1039_14, 710_14	 	 	435_17	979_19	507_20
Bifidobacterium dentium JCVIHMP022 (553191.3)	1809_1, 1810_4	617_5	619_6	1082_7, 1470_7	 	621_10, 622_11	623_13	1808_14, 620_14	 	 	2271_17	558_19	1974_20
Bifidobacterium gallicum DSM 20093 (561180.4)	768_1, 769_4	192_5	194_6	412_7	 	196_10, 197_11	198_13	195_14, 765_14	598_15	 	1059_17	142_19	992_20
Bifidobacterium longum NCC2705 (206672.9)	73_4, 74_1	495_5	493_6	1552_7, 929_7	 	490_11, 491_10	489_13	492_14, 75_14	377_15	 	1656_17	568_19	1720_20
Bifidobacterium longum subsp. infantis 157F (565040.3)	1457_1, 1458_4	966_5	968_6	1885_7, 422_7	 	970_10, 971_11	972_13	1456_14, 969_14	1152_15	 	1769_17	806_19	1704_20
Bifidobacterium longum subsp. infantis ATCC 55813 (548480.3)	904_4, 905_1	1115_5	1117_6	1077_7, 300_7	 	1119_10, 1120_11	1121_13	1118_14, 906_14	1241_15	 	609_17	340_19	672_20
Bifidobacterium longum subsp. infantis CCUG 52486 (537937.5)	2022_4, 2023_1	821_5	823_6	1864_7, 209_7	 	825_10, 826_11	827_13	2024_14, 824_14	1555_15	 	1827_17	1090_19	1201_20
Bifidobacterium longum subsp. longum BBMN68 (890402.3)	120_4, 121_1	550_5	548_6	1010_7, 1578_7	 	545_11, 546_10	544_13	122_14, 547_14	387_15	 	1693_17	628_19	1756_20
Bifidobacterium longum subsp. longum F8 (722911.3)	76_1, 77_4	361_5	359_6	1763_7, 801_7	 	356_11, 357_10	355_13	358_14, 75_14	243_15	 	1637_17	434_19	1575_20
Bifidobacterium longum subsp. longum JCM 1217 (565042.3)	1429_1, 1430_4	855_5	857_6	1826_7, 409_7	 	859_10, 860_11	861_13	1428_14, 858_14	1175_15	 	1718_17	778_19	1654_20
Bifidobacterium longum subsp. longum JDM301 (759350.3)	1388_1, 1389_4	943_5	945_6	1822_7, 448_7	 	947_10, 948_11	949_13	1387_14, 946_14	1082_15	 	1713_17	871_19	1641_20
Bifidobacterium longum subsp. longum KACC 91563 (1035817.4)	537_4, 538_1	1015_5	1013_6	1464_7, 91_7	 	1010_11, 1011_10	1009_13	1012_14, 539_14	861_15	 	204_17	1091_19	265_20
Scardovia inopinata F0304 (641146.3)	853_1, 854_4	760_5	762_6	1307_7	764_8, 765_9	 	766_13	391_14, 763_14	829_15	 	312_17	713_19	521_20
Atopobium parvulum DSM 20469 (521095.6)	592_4, 593_1	789_5	788_6	 	 	786_11, 787_10	363_13	785_14	685_15	 	1108_17	468_19	612_20
Atopobium rimae ATCC 49626 (553184.4)	 	256_5	255_6	 	253_9, 254_8	 	1464_13	252_14	198_15	 	980_17	1379_19	58_20
Collinsella aerofaciens ATCC 25986 (411903.6)	1673_1, 1674_4	1927_5	1928_6	 	1929_8, 1930_9	 	2060_13	1931_14	1915_15	211_16	1181_17	308_19	90_20
Collinsella intestinalis DSM 13280 (521003.7)	858_4, 859_1	980_5	981_6	 	 	982_10, 983_11	1461_13	984_14	 	559_16	210_17	593_19	1195_20
Collinsella stercoris DSM 13279 (445975.6)	1549_1, 1550_4	1273_5	1272_6	 	1270_9, 1271_8	 	680_13	1268_14, 1269_14	1065_15	492_16	417_17	1398_19	1083_20
Cryptobacterium curtum DSM 15641 (469378.5)	 	749_5	748_6	 	 	746_11, 747_10	845_13	745_14	 	581_16	929_17	916_19	 
Eggerthella lenta DSM 2243 (479437.5)	1725_1, 1726_4	1729_5	1728_6	 	 	1718_11, 1719_10	301_13	1717_14	 	1295_16	2224_17	2170_19	 
Eggerthella sp. 1_3_56FAA (665943.3)	2966_1, 2967_4	2972_5	2971_6	 	2959_9, 2960_8	 	1598_13	2958_14	 	394_16	2469_17	2413_19	 
Eggerthella sp. YY7918 (502558.4)	1359_1, 1360_4	1362_5	1361_6	 	1345_9, 1346_8	 	2238_13	1344_14	 	1116_16	2260_17	1878_19	 
Gordonibacter pamelaeae 7-10-1-b (657308.3)	2748_4, 2749_1	2732_5	2734_6	 	2759_8	 	1404_13	2760_14	354_15	1821_16	1696_17	1777_19	 
Olsenella uli DSM 7084 (633147.4)	790_4, 791_1	1001_5, 1002_5	1000_6	 	998_9, 999_8	 	1590_13	997_14	 	 	1607_17	1119_19	814_20
