Organism	CysE	CysK	CysD	CysC	CysH	CysIJ	MetC	CysABC
Mycobacterium abscessus 4S-0206 (1001723.3)	3097_4	1954_7, 419_8, 496_5, 697_7	3965_10, 3966_9, 762_9, 763_10, 881_9, 882_10	3966_9, 762_9	883_12	1297_15, 1344_15, 1350_15, 884_16	 	 
Mycobacterium abscessus 4S-0303 (1001722.3)	3090_4	1465_8, 1542_5, 1742_7, 548_7	1809_9, 1810_10, 1928_9, 1929_10, 3957_10, 3958_9	1809_9, 3958_9	1930_12	1931_16, 2162_15, 2190_15, 2196_15	 	 
Mycobacterium abscessus 4S-0726-RA (1001726.3)	3023_4	1015_8, 1092_5, 1291_7, 279_7	1356_9, 1357_10, 1476_9, 1477_10, 3892_10, 3893_9	1356_9, 3893_9	1478_12	1479_16, 2078_15, 2124_15, 2130_15	 	 
Mycobacterium abscessus 4S-0726-RB (1001727.3)	2636_4	4671_7, 599_8, 676_5, 876_7	1062_9, 1063_10, 3503_10, 3504_9, 943_9, 944_10	3504_9, 943_9	1064_12	1065_16, 1687_15, 1734_15, 1740_15	 	 
Mycobacterium abscessus 5S-0304 (1001728.3)	2558_4	164_8, 238_5, 442_7, 4609_7	3522_10, 3523_9, 522_9, 523_10, 638_9, 639_10	3523_9, 522_9	640_12	1240_15, 1318_15, 1324_15, 641_16	 	 
Mycobacterium abscessus 5S-0421 (1001729.3)	2809_4	419_8, 4845_7, 493_5, 696_7	3775_10, 3776_9, 776_9, 777_10, 892_9, 893_10	3776_9, 776_9	894_12	1521_15, 1569_15, 1575_15, 895_16	 	 
Mycobacterium abscessus 5S-0422 (1001731.3)	3681_4	1117_8, 1192_5, 1393_7, 3387_7	1471_9, 1472_10, 1587_9, 1588_10, 4642_10, 4643_9	1471_9, 4643_9	1589_12	1590_16, 2089_15, 2137_15, 2143_15, 2214_15, 2220_15	 	 
Mycobacterium abscessus 5S-0708 (1001730.3)	2533_4	114_7, 2264_5, 2338_8, 908_7	1104_9, 1105_10, 3499_10, 3500_9, 988_9, 989_10	3500_9, 988_9	1106_12	1107_16, 1737_15, 1786_15, 1792_15	 	 
Mycobacterium abscessus 5S-0817 (1001735.3)	2163_4	199_8, 274_5, 4217_7, 476_7	3123_10, 3124_9, 555_9, 556_10, 671_9, 672_10	3124_9, 555_9	673_12	1303_15, 1351_15, 1357_15, 674_16	 	 
Mycobacterium abscessus 5S-0921 (1001732.3)	3463_4	1134_7, 288_7, 858_8, 932_5	1213_9, 1214_10, 1330_9, 1331_10, 4424_10, 4425_9	1213_9, 4425_9	1332_12	1333_16, 1963_15, 2011_15, 2017_15	 	 
Mycobacterium abscessus 5S-1212 (1001733.3)	2292_4	5111_7, 574_8, 648_5, 851_7	1046_9, 1047_10, 3252_10, 3253_9, 930_9, 931_10	3253_9, 930_9	1048_12	1049_16, 3_15, 51_15, 57_15	 	 
Mycobacterium abscessus 5S-1215 (1001734.3)	2641_4	116_7, 1564_7, 1767_5, 1841_8	1366_10, 1367_9, 1483_10, 1484_9, 3520_10, 3521_9	1484_9, 3521_9	1365_12	1018_15, 1066_15, 1072_15, 1364_16	 	 
Mycobacterium abscessus 6G-0125-R (1001740.3)	2458_4	252_8, 329_5, 4476_7, 4527_5, 535_7	3275_10, 3276_9, 601_9, 602_10, 719_9, 720_10	3276_9, 601_9	721_12	1499_15, 1545_15, 1551_15, 722_16	 	 
Mycobacterium abscessus 6G-0212 (1001739.3)	3447_4	1246_8, 1528_7, 363_7, 413_5, 5107_5	1594_9, 1595_10, 1713_9, 1714_10, 4262_10, 4263_9	1594_9, 4263_9	1715_12	1716_16, 2491_15, 2537_15, 2543_15	 	 
Mycobacterium abscessus 9808 (1246644.3)	4970_4	1166_7, 1216_5, 2033_8, 2109_5, 2314_7	2380_9, 2381_10, 2518_9, 2519_10, 70_10, 71_9	2380_9, 71_9	2520_12	2521_16, 3215_15, 3267_15, 3273_15	 	 
Mycobacterium abscessus M115 (1162287.3)	2623_4	3513_7, 4084_5, 4161_8, 4502_7	3196_10, 3197_9, 3313_10, 3314_9, 480_9, 481_10	3314_9, 480_9	3195_12	3194_16, 4312_15, 4318_15	 	 
Mycobacterium abscessus M139 (1175632.3)	159_4	2257_7, 4054_7, 4464_5, 4538_8, 4795_5	2059_10, 2060_9, 2193_10, 2194_9, 4300_9, 4301_10	2194_9, 4300_9	2058_12	1269_15, 1275_15, 1323_15, 2057_16	 	 
Mycobacterium abscessus M152 (1176125.3)	1421_4	1963_7, 221_7, 2989_5, 3065_8	2043_9, 2044_10, 2221_10, 2222_9, 889_10, 890_9	2043_9, 2222_9	888_12	3813_15, 4328_15, 4335_15, 887_16	 	 
Mycobacterium abscessus M154 (1162288.3)	2200_4	1833_7, 3524_7, 4214_5, 4215_5, 4291_8	1647_10, 1648_9, 1766_10, 1767_9, 792_9, 793_10	1767_9, 792_9	1646_12	1645_16, 19_15, 2953_15	 	 
Mycobacterium abscessus M156 (1185414.3)	4590_4	1628_7, 191_7, 2289_5, 498_5, 573_8	1441_10, 1442_9, 1561_10, 1562_9, 804_9, 805_10	1562_9, 804_9	1440_12	1439_16, 2185_15, 2191_15, 4962_15	 	 
Mycobacterium abscessus M159 (1162285.3)	2610_4	1464_7, 174_5, 375_7, 99_8	1321_10, 1322_9, 2890_9, 2891_10, 439_9, 440_10	1322_9, 439_9	2892_12	2893_16, 3579_15, 3758_15, 3764_15	 	 
Mycobacterium abscessus M172 (1162286.3)	4669_4	3146_7, 3350_5, 4070_8, 4146_5, 4480_7	1118_9, 1119_10, 2958_10, 2959_9, 3080_10, 3081_9	1118_9, 3081_9	2957_12	196_15, 243_15, 249_15, 2956_16	 	 
Mycobacterium abscessus M24 (1162284.3)	5322_4	3197_7, 3644_8, 3746_5, 652_7	1870_10, 1871_9, 2647_9, 2648_10, 585_10, 586_9	1871_9, 586_9	2649_12	165_15, 171_15, 2650_16, 5088_15	 	 
Mycobacterium abscessus M93 (1149134.5)	1540_4	3074_7, 3585_8, 3663_5, 3864_7	3930_9, 3931_10, 4054_9, 4055_10, 4689_9, 4690_10	3930_9, 4689_9	4056_12	230_15, 236_15, 4057_16	 	 
