Organism	Cyo	Cta	Qox	Cco	Cyd	Cyf
Propionibacterium acnes HL050PA3 (765102.3)	 	1451_5, 1452_6, 1453_8, 1464_7	 	 	278, 279_17	 
Propionibacterium acnes HL053PA1 (765066.3)	 	1614_5, 1615_6, 1616_8, 1627_7	 	 	969, 970	 
Propionibacterium acnes HL053PA2 (765067.3)	 	2073_7, 2085_8, 2086_6, 2087_5	 	 	873, 874_17	 
Propionibacterium acnes HL056PA1 (765119.3)	 	1692_5, 1693_6, 1694_8, 1705_7	 	 	701, 702	 
Propionibacterium acnes HL059PA1 (765091.3)	 	2275_5, 2276_6, 2277_8, 2288_7	 	 	1656, 1657_17	 
Propionibacterium acnes HL059PA2 (765092.3)	 	1361_5, 1362_6, 1363_8, 1374_7	 	 	698_17, 699	 
Propionibacterium acnes HL063PA1 (765113.3)	 	1522_5, 1523_6, 1524_8, 1535_7	 	 	646, 647	 
Propionibacterium acnes HL063PA2 (765114.3)	 	1716_5, 1717_6, 1718_8, 1730_7	 	 	921, 922_17	 
Propionibacterium acnes HL067PA1 (765110.3)	 	416_5, 417_6, 418_8, 429_7	 	 	1523_17, 1524	 
Propionibacterium acnes HL072PA1 (765074.3)	 	1063_5, 1064_6, 1065_8, 666_7	 	 	2092_19, 2093	 
Propionibacterium acnes HL072PA2 (765075.3)	 	1268_7, 1279_8, 1280_6, 1281_5	 	 	430, 431	 
Propionibacterium acnes HL074PA1 (765076.3)	 	2149_5, 2150_6, 2151_8, 2162_7	 	 	634, 635	 
Propionibacterium acnes HL078PA1 (765071.3)	 	2101_7, 2112_8, 2113_6, 2114_5	 	 	648, 649	 
Propionibacterium acnes HL082PA1 (765120.3)	 	2282_7, 2293_8, 2294_6, 2295_5	 	 	590, 591	 
Propionibacterium acnes HL082PA2 (765121.3)	 	953_7, 964_8, 965_6, 966_5	 	 	1784_19, 1785_17	 
Propionibacterium acnes HL083PA1 (765087.3)	 	662_7, 674_8, 675_6, 676_5	 	 	855, 856	 
Propionibacterium acnes HL083PA2 (765088.3)	 	1351_5, 1352_6, 1353_8, 1364_7	 	 	813_19, 814_17	 
Propionibacterium acnes HL086PA1 (765093.3)	 	1427_5, 1428_6, 1429_8, 1441_7	 	 	940, 941_17	 
Propionibacterium acnes HL087PA2 (765082.3)	 	688_5, 689_6, 690_8, 959_7	 	 	1943, 1944	 
Propionibacterium acnes HL087PA3 (765083.3)	 	2282_7, 2293_8, 2294_6, 2295_5	 	 	580, 581_17	 
Propionibacterium acnes HL092PA1 (765086.3)	 	1153_5, 1154_6, 1155_8, 1166_7	 	 	388_17, 389	 
Propionibacterium acnes HL096PA2 (765058.3)	 	1686_5, 1687_6, 1688_8, 1700_7	 	 	587, 588	 
Propionibacterium acnes HL096PA3 (765057.3)	 	1392_7, 1402_8, 1403_6, 1404_5	 	 	352, 353	 
Propionibacterium acnes HL097PA1 (765064.3)	 	1753_5, 1754_6, 1755_8, 1768_7	 	 	571, 572_17	 
Propionibacterium acnes HL099PA1 (765063.3)	 	1758_7, 1769_8, 1770_6, 1771_5	 	 	2479, 2480	 
Propionibacterium acnes HL103PA1 (765061.3)	 	1890_7, 1901_8, 1902_6, 1903_5	 	 	570_19, 571_17	 
Propionibacterium acnes HL110PA1 (765077.3)	 	2277_7, 2288_8, 2289_6, 2290_5	 	 	1263_17, 1264	 
Propionibacterium acnes HL110PA2 (765078.3)	 	1265_5, 1266_6, 1267_8, 1278_7	 	 	29, 30	 
Propionibacterium acnes HL110PA3 (765079.3)	 	2148_7, 2159_8, 2160_6, 2161_5	 	 	490_19, 491_17	 
Propionibacterium acnes HL110PA4 (765080.3)	 	2390_5, 2391_6, 2392_8, 2404_7	 	 	1335_19, 1336_17	 
Propionibacterium acnes J139 (679194.3)	 	1216_7, 1224_8, 1225_6, 1226_5	 	 	243_19, 244_17	 
Propionibacterium acnes J165 (679195.3)	 	285_5, 286_6, 287_8, 298_7	 	 	2177, 2178	 
Propionibacterium acnes KPA171202 (267747.3)	 	735_5, 736_6, 737_8, 748_7	 	 	183, 184	 
Propionibacterium acnes SK137 (553199.9)	 	758_5, 759_6, 760_8, 770_7	 	 	216, 217	 
Propionibacterium acnes SK182 (679193.4)	 	266_5, 267_6, 268_8, 279_7	 	 	2379, 2380	 
Propionibacterium acnes SK182B-JCVI (1051006.4)	 	759_7, 771_8, 772_6, 773_5	 	 	2158_19, 2159_17	 
Propionibacterium acnes SK187 (686659.3)	 	1814_5, 1815_6, 1816_8, 1825_7	 	 	239_19, 240	 
Propionibacterium acnes TypeIA2 P.acn17 (1114967.3)	 	749_5, 750_6, 751_8, 762_7	 	 	191, 192_17	 
Propionibacterium acnes TypeIA2 P.acn31 (1114969.3)	 	745_5, 746_6, 747_8, 758_7	 	 	191, 192_17	 
Propionibacterium acnes TypeIA2 P.acn33 (1114966.3)	 	730_5, 731_6, 732_8, 744_7	 	 	188, 189_17	 
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 (754252.3)	 	 	 	 	179, 180	 
Bifidobacterium adolescentis ATCC 15703 (367928.6)	 	 	 	 	 	 
Bifidobacterium adolescentis L2-32 (411481.5)	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis BB-12 (552531.3)	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis BLC1 (1075106.4)	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis Bl-04 (580050.3)	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis CNCM I-2494 (1042403.4)	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis DSM 10140 (555970.3)	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis HN019 (486409.3)	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis V9 (573236.3)	 	 	 	 	 	 
Bifidobacterium bifidum NCIMB 41171 (398513.5)	 	 	 	 	 	 
Bifidobacterium bifidum PRL2010 (702459.3)	 	 	 	 	 	 
Bifidobacterium bifidum S17 (883062.5)	 	 	 	 	 	 
Bifidobacterium breve ACS-071-V-Sch8b (866777.3)	 	 	 	 	 	 
Bifidobacterium breve UCC2003 (326426.4)	 	 	 	 	 	 
Bifidobacterium dentium ATCC 27678 (473819.7)	 	 	 	 	 	 
Bifidobacterium dentium ATCC 27679 (871562.3)	 	 	 	 	 	 
Bifidobacterium dentium Bd1 (401473.3)	 	 	 	 	 	 
Bifidobacterium dentium JCVIHMP022 (553191.3)	 	 	 	 	 	 
Bifidobacterium gallicum DSM 20093 (561180.4)	 	 	 	 	 	 
Bifidobacterium longum NCC2705 (206672.9)	 	 	 	 	 	 
Bifidobacterium longum subsp. infantis 157F (565040.3)	 	 	 	 	 	 
Bifidobacterium longum subsp. infantis ATCC 55813 (548480.3)	 	 	 	 	 	 
Bifidobacterium longum subsp. infantis CCUG 52486 (537937.5)	 	 	 	 	 	 
Bifidobacterium longum subsp. longum BBMN68 (890402.3)	 	 	 	 	 	 
Bifidobacterium longum subsp. longum F8 (722911.3)	 	 	 	 	 	 
Bifidobacterium longum subsp. longum JCM 1217 (565042.3)	 	 	 	 	 	 
Bifidobacterium longum subsp. longum JDM301 (759350.3)	 	 	 	 	 	 
Bifidobacterium longum subsp. longum KACC 91563 (1035817.4)	 	 	 	 	 	 
Scardovia inopinata F0304 (641146.3)	 	 	 	 	 	 
Atopobium parvulum DSM 20469 (521095.6)	 	 	 	 	 	 
Atopobium rimae ATCC 49626 (553184.4)	 	 	 	 	 	 
Collinsella aerofaciens ATCC 25986 (411903.6)	 	 	 	 	 	 
Collinsella intestinalis DSM 13280 (521003.7)	 	 	 	 	 	 
Collinsella stercoris DSM 13279 (445975.6)	 	 	 	 	 	 
Cryptobacterium curtum DSM 15641 (469378.5)	 	 	 	 	1100, 1101_17	 
Eggerthella lenta DSM 2243 (479437.5)	 	 	 	 	250, 251	 
Eggerthella sp. 1_3_56FAA (665943.3)	 	 	 	 	1549_17, 1550	 
Eggerthella sp. YY7918 (502558.4)	 	 	 	 	312_17, 313_19	 
Gordonibacter pamelaeae 7-10-1-b (657308.3)	 	 	 	 	740_19, 741_17	 
Olsenella uli DSM 7084 (633147.4)	 	 	 	 	 	 
Slackia exigua ATCC 700122 (649764.3)	 	 	 	 	1015_19, 1016_17	 
Actinomyces cardiffensis F0333 (888050.3)	 	 	 	 	81_17, 82_19	 
Actinomyces graevenitzii C83 (435830.3)	 	 	 	 	679_17, 680_19	 
Actinomyces naeslundii str. Howell 279 (1115803.3)	 	 	 	 	2579_17, 2580_19	 
Actinomyces turicensis ACS-279-V-Col4 (883077.3)	 	 	 	 	1455_17, 1456_19	 
Corynebacterium aurimucosum ATCC 700975 (Prj:31451) (548476.7)	 	2085_7, 2086_8, 2087_5, 2480_6	 	 	 	 
Corynebacterium durum F0235 (1035195.3)	 	1538_7, 1539_8, 1540_5, 677_6	 	 	 	 
Corynebacterium propinquum DSM 44285 (1121367.3)	 	1000_8, 1001_7, 1396_6, 999_5	 	 	 	 
Gordonia rubripertincta NBRC 101908 (1077975.4)	 	2616_6, 3644_6, 3928_7, 3933_8, 3934_5	 	 	325_19, 326_17	 
Gordonia terrae C-6 (1316928.3)	 	3249_5, 3250_8, 3255_7, 912_6	 	 	1655_19, 1656_17	 
Gordonia terrae NBRC 100016 (1089454.3)	 	4280_7, 4285_8, 4286_5, 785_6	 	 	2332_19, 2333_17	 
Mycobacterium avium subsp. paratuberculosis JQ6 (1112208.3)	 	185_7, 191_8, 192_5, 3086_6	 	 	4497_19, 4498_17	 
Mycobacterium avium subsp. paratuberculosis MAP4 (1199187.3)	 	1949_5, 1950_8, 1957_7, 730_6	 	 	2619_17, 2620_19	 
Mycobacterium avium subsp. paratuberculosis S5 (1247747.5)	 	2419_7, 2428_8, 2429_5, 3491_6	 	 	1713_19, 1714_17	 
Mycobacterium abscessus 3A-0119-R (1001721.3)	 	1000_6, 1954_5, 1955_8, 1963_7, 2625_6, 2812_7, 3519_6	 	 	2668_17, 2669_19	 
Mycobacterium abscessus 3A-0122-R (1001715.3)	 	17_6, 1995_5, 1996_8, 2002_7, 2659_6, 2846_7, 3480_6	 	 	2703_17, 2704_19	 
Mycobacterium abscessus 3A-0122-S (1001716.3)	 	1553_5, 1554_8, 1561_7, 2219_6, 2404_7, 3095_6, 589_6	 	 	2262_17, 2263_19	 
Mycobacterium abscessus 3A-0731 (1001718.3)	 	1905_5, 1906_8, 1913_7, 2766_6, 2953_7, 3631_6, 867_6	 	 	2810_17, 2811_19	 
Mycobacterium abscessus 3A-0810-R (1001717.3)	 	1043_6, 1999_5, 2000_8, 2007_7, 2669_6, 2857_7, 3557_6	 	 	2714_17, 2715_19	 
Mycobacterium abscessus 3A-0930-R (1001720.3)	 	1052_6, 2004_5, 2005_8, 2012_7, 2676_6, 2864_7, 3525_6	 	 	2721_17, 2722_19	 
Mycobacterium abscessus 3A-0930-S (1001719.3)	 	1575_5, 1576_8, 1583_7, 2607_6, 2795_7, 3457_6, 625_6	 	 	2652_17, 2653_19	 
Mycobacterium abscessus 47J26 (1087483.3)	 	1312_6, 2530_5, 2531_8, 2538_7, 3655_6, 491_6	 	 	1299_19, 1300_17	 
Mycobacterium abscessus 4S-0116-R (1001725.3)	 	1120_6, 1924_5, 1925_8, 1932_7, 2333_6, 2473_7, 3106_6	 	 	2345_17, 2346_19	 
Mycobacterium abscessus 4S-0116-S (1001724.3)	 	1428_6, 1567_7, 18_6, 2198_6, 822_5, 823_8, 830_7	 	 	1440_17, 1441_19	 
Mycobacterium abscessus 4S-0206 (1001723.3)	 	1079_5, 1080_8, 1087_7, 2338_6, 2477_7, 276_6, 3108_6	 	 	2350_17, 2351_19	 
Mycobacterium abscessus 4S-0303 (1001722.3)	 	1323_6, 2128_5, 2129_8, 2169_7, 2327_6, 2466_7, 3101_6	 	 	2339_17, 2340_19	 
Mycobacterium abscessus 4S-0726-RA (1001726.3)	 	1675_5, 1676_8, 1683_7, 2261_6, 2401_7, 3034_6, 872_6	 	 	2273_17, 2274_19	 
Mycobacterium abscessus 4S-0726-RB (1001727.3)	 	1261_5, 1262_8, 1270_7, 1872_6, 2011_7, 2647_6, 457_6	 	 	1884_17, 1885_19	 
Mycobacterium abscessus 5S-0304 (1001728.3)	 	1275_8, 1276_5, 1297_7, 1507_6, 1643_7, 18_6, 2569_6	 	 	1520_17, 1521_19	 
Mycobacterium abscessus 5S-0421 (1001729.3)	 	1119_5, 1120_8, 1128_7, 1758_6, 1896_7, 274_6, 2820_6	 	 	1771_17, 1772_19	 
Mycobacterium abscessus 5S-0422 (1001731.3)	 	1811_5, 1812_8, 1820_7, 2400_6, 2536_7, 3692_6, 843_6	 	 	2413_17, 2414_19	 
Mycobacterium abscessus 5S-0708 (1001730.3)	 	1332_5, 1333_8, 1341_7, 1973_6, 2022_6, 2544_6, 4579_7	 	 	1985_17, 1986_19	 
Mycobacterium abscessus 5S-0817 (1001735.3)	 	1540_6, 2174_6, 5120_7, 65_6, 900_5, 901_8, 909_7	 	 	1553_17, 1554_19	 
Mycobacterium abscessus 5S-0921 (1001732.3)	 	1557_5, 1558_8, 1566_7, 2201_6, 2338_7, 3474_6, 712_6	 	 	2214_17, 2215_19	 
Mycobacterium abscessus 5S-1212 (1001733.3)	 	1274_5, 1275_8, 1283_7, 2303_6, 439_6, 4529_7, 4667_6	 	 	4653_19, 4654_17	 
Mycobacterium abscessus 5S-1215 (1001734.3)	 	1130_7, 1137_8, 1138_5, 1987_6, 2652_6, 4607_7	 	 	 	 
Mycobacterium abscessus 6G-0125-R (1001740.3)	 	1014_5, 1015_8, 1022_7, 1677_6, 18_6, 1832_7, 2469_6	 	 	1689_17, 1690_19	 
Mycobacterium abscessus 6G-0212 (1001739.3)	 	1013_6, 2009_5, 2010_8, 2017_7, 2667_6, 2821_7, 3458_6	 	 	2679_17, 2680_19	 
Mycobacterium abscessus 9808 (1246644.3)	 	1884_6, 2709_5, 2710_8, 2717_7, 3401_6, 3542_7, 4981_6	 	 	3413_17, 3414_19	 
Mycobacterium abscessus M115 (1162287.3)	 	1547_6, 2215_6, 2612_6, 2888_8, 2889_5, 3752_7	 	 	2202_19, 2203_17	 
Mycobacterium abscessus M139 (1175632.3)	 	1099_6, 1100_6, 170_6, 1841_7, 1848_8, 1849_5, 2348_6	 	 	1086_19, 1087_17	 
Mycobacterium abscessus M152 (1176125.3)	 	1432_6, 3472_7, 3612_6, 3891_6, 664_7, 672_8, 673_5	 	 	3599_19, 3600_17	 
Mycobacterium abscessus M154 (1162288.3)	 	2211_6, 2212_6, 3170_7, 4520_6, 4560_8, 4561_5, 70_6	 	 	82_17, 83_19	 
Mycobacterium abscessus M156 (1185414.3)	 	2042_6, 2043_6, 2638_7, 3982_8, 3983_5, 3984_5, 5017_6	 	 	2029_19, 2030_17	 
Mycobacterium abscessus M159 (1162285.3)	 	1552_6, 2599_6, 3108_6, 3935_7, 4104_6, 4816_8, 4817_5	 	 	1564_17, 1565_19	 
Mycobacterium abscessus M172 (1162286.3)	 	2590_7, 2597_8, 2598_5, 390_6, 3920_6, 3921_6, 4658_6	 	 	402_17, 403_19	 
Mycobacterium abscessus M24 (1162284.3)	 	1834_6, 2455_6, 2954_7, 4976_6, 5091_8, 5092_5, 671_7	 	 	2467_17, 2468_19	 
Mycobacterium abscessus M93 (1149134.5)	 	1529_6, 2033_6, 2172_7, 2694_6, 4349_5, 4350_8, 820_7	 	 	2045_17, 2046_19	 
Mycobacterium abscessus M94 (1158135.4)	 	1875_7, 1978_6, 4684_5, 4685_8, 633_7, 691_6	 	 	1745_17, 1746_19	 
Mycobacterium abscessus subsp. bolletii 50594 (1303024.3)	 	1096_6, 2020_5, 2021_8, 2028_7, 2651_6, 3408_6	 	 	2663_17, 2664_19	 
Mycobacterium abscessus subsp. bolletii BD (1091046.3)	 	1035_6, 1851_5, 1852_8, 1859_7, 2471_6, 2612_7, 3266_6, 4435_7	 	 	2483_17, 2484_19	 
Mycobacterium fortuitum subsp. fortuitum DSM 46621 (1214102.3)	 	1195_6, 4137_7, 4385_5, 4386_8, 4394_7, 5495_6, 671_6	 	 	5135_19, 6081_17	 
Rhodococcus erythropolis XP (1078016.3)	 	3698_6, 3868_6, 4341_6, 5542_7, 5548_8, 5549_5, 6403_6, 780_6	 	 	1051_19, 1052_17	 
Brevibacterium casei S18 (1229781.4)	 	624_5, 625_6, 626_8, 630_7	 	 	1249_17, 1250_19, 2789_19, 2790_17	 
Brevibacterium massiliense 5401308 (1176165.3)	 	958_5, 959_6, 964_7	 	 	1240_19, 1241_17	 
Brachybacterium paraconglomeratum LC44 (1064537.3)	 	1489_7, 3290_6, 3291_5	 	 	3163_17, 3164_19	 
Curtobacterium flaccumfaciens UCD-AKU (1292022.3)	 	250_7, 2739_5, 2740_6, 2741_8	 	 	2750_17, 2751_19	 
Microbacterium paraoxydans 77MFTsu3.2 (1151126.3)	 	1003_5, 1004_6, 1005_8, 1010_7	 	 	1534_19, 1535_17	 
Kocuria palustris PEL (1236550.3)	 	2531_7, 42_8, 43_6, 44_5	 	 	1938_17, 1939_19	 
Rothia aeria F0474 (1125724.3)	 	223_5, 224_6, 225_8, 229_7	 	 	393_19, 394_17	 
Rothia mucilaginosa M508 (563033.4)	 	 	 	 	1155_19, 1156_17	 
Propionibacterium acidipropionici ATCC 4875 (1171373.8)	 	1218_5, 1219_6, 1220_8, 1226_7	 	 	532, 533	 
Propionibacterium acnes C1 (1234380.3)	 	757_5, 758_6, 759_8, 770_7	 	 	198, 199_17	 
Propionibacterium acnes FZ1/2/0 (1276649.3)	 	748_5, 749_6, 750_8, 761_7	 	 	194, 195	 
Propionibacterium acnes HL096PA1 (1134454.3)	 	1546_7, 1557_8, 1558_6, 1559_5	 	 	231, 232	 
Propionibacterium acnes PRP-38 (1136877.3)	 	1446_5, 1447_6, 1448_8, 1460_7	 	 	911, 912_17	 
Propionibacterium avidum 44067 (1170318.3)	 	1485_7, 1493_8, 1494_6, 1495_5	 	 	2003_17, 2004_19	 
Propionibacterium avidum ATCC 25577 (997355.3)	 	2175_7, 2183_8, 2184_6, 2185_5	 	 	1185_19, 1186_17	 
Propionibacterium propionicum F0230a (767029.3)	 	 	 	 	266_19, 267_17	 
Bifidobacterium angulatum DSM 20098 = JCM 7096 (518635.7)	 	 	 	 	 	 
Bifidobacterium animalis subsp. animalis ATCC 25527 (703613.4)	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis B420 (1168290.3)	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis BS 01 (911598.3)	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis Bi-07 (742729.3)	 	 	 	 	 	 
Bifidobacterium bifidum BGN4 (484020.3)	 	 	 	 	 	 
Bifidobacterium bifidum LMG 13195 (1207542.3)	 	 	 	 	 	 
Bifidobacterium breve CECT 7263 (1036735.3)	 	 	 	 	 	 
Bifidobacterium breve DPC 6330 (1074482.3)	 	 	 	 	 	 
Bifidobacterium breve DSM 20213 = JCM 1192 (518634.7)	 	 	 	 	 	 
Bifidobacterium breve HPH0326 (1203540.3)	 	 	 	 	 	 
Bifidobacterium catenulatum DSM 16992 = JCM 1194 (566552.6)	 	 	 	 	 	 
