Organism	BioW	BioC	BioGH	BioF	BioA	BioD	BioB	BioI	BioYNM	YigM
Brevibacterium linens BL2 (321955.4)	 	 	 	3797	3798	 	3672, 3799	 	2329_16	 
Kytococcus sedentarius DSM 20547 (478801.5)	 	 	 	 	 	 	2554	 	 	 
Kocuria rhizophila DC2201 (378753.5)	 	 	 	241	240	 	239	 	1218_17	 
Kocuria rhizophila P7-4 (1029824.3)	 	 	 	997	996	998	995	 	276_17, 277_18, 278_16	 
Micrococcus luteus NCTC 2665 (465515.4)	 	 	 	 	 	 	195	 	 	 
Micrococcus luteus SK58 (596312.3)	 	 	 	 	 	 	1167	 	2229_16, 2230_18	 
Rothia dentocariosa ATCC 17931 (762948.4)	 	 	 	 	 	 	 	 	 	 
Rothia dentocariosa M567 (563032.4)	 	 	 	 	 	 	 	 	 	 
Rothia mucilaginosa ATCC 25296 (553201.3)	 	 	 	 	 	 	 	 	1531_16, 1532_18	 
Rothia mucilaginosa DY-18 (680646.3)	 	 	 	 	 	 	 	 	935_16, 936_18	 
Tropheryma whipplei TW08/27 (218496.4)	 	 	 	 	 	 	 	 	632_16	 
Tropheryma whipplei str. Twist (203267.6)	 	 	 	 	 	 	 	 	170_17	 
Micromonospora aurantiaca ATCC 27029 (644283.3)	 	 	 	2882	2429, 3477	2883	2881	1169_14, 1171_14, 1178_14, 2430_14, 2884_14, 3486_14, 3790_14, 399_14	 	 
Propionibacterium acnes 266 (909952.3)	1929	 	 	 	1008	1009	1470	 	1462_18	 
Propionibacterium acnes 6609 (1031709.3)	1967	 	 	 	1025	1026	1494	 	1486_18	 
Propionibacterium acnes ATCC 11828 (1091045.3)	446	 	 	 	2011	2010	4	 	1550_16, 1551_18, 1552_17	 
Propionibacterium acnes HL001PA1 (765105.8)	408	 	 	 	1240	1239	535	 	777_16, 778_18, 779_17	 
Propionibacterium acnes HL002PA1 (765115.3)	1856	 	 	 	1459	1460	2303	 	2406_17, 2407_18	 
Propionibacterium acnes HL002PA2 (765116.3)	1466	 	 	 	1991	1990	85	 	1532_18	 
Propionibacterium acnes HL002PA3 (765117.3)	555	 	 	 	1893	1892	536	 	1435_18	 
Propionibacterium acnes HL005PA1 (765096.3)	908	 	 	 	2052	2051	1292	 	1625_18, 1626_17	 
Propionibacterium acnes HL005PA2 (765097.3)	2164	 	 	 	615	614	1703	 	2150_18	 
Propionibacterium acnes HL005PA4 (765099.3)	2185	 	 	 	1375	1374	2131	 	1791_18, 1792_17	 
Propionibacterium acnes HL007PA1 (765118.3)	2294	 	 	 	1811	1812	1238	 	2421_17, 2422_18	 
Propionibacterium acnes HL013PA1 (765069.3)	2370	 	 	 	1259	1258	2066	 	797_18, 798_17	 
Propionibacterium acnes HL013PA2 (765070.3)	495	 	 	 	2167	2166	1041	 	1714_18	 
Propionibacterium acnes HL020PA1 (765065.3)	1041	 	 	 	1766	1765	2408	 	1306_18	 
Propionibacterium acnes HL025PA1 (765089.3)	2432	 	 	 	1730	1729	1015	 	1275_18	 
Propionibacterium acnes HL027PA1 (765111.3)	30	 	 	 	1049	1050	2233	 	604_17, 605_18	 
Propionibacterium acnes HL027PA2 (765112.3)	1735	 	 	 	607	606	1515	 	149_18, 150_17	 
Propionibacterium acnes HL030PA1 (765103.3)	1861	 	 	 	2358	2357	1242	 	1902_18	 
Propionibacterium acnes HL036PA1 (765106.3)	2372	 	 	 	1751	1752	225	 	2211_18	 
Propionibacterium acnes HL036PA2 (765107.3)	1394	 	 	 	1899	1898	962	 	1438_18	 
Propionibacterium acnes HL037PA1 (765122.3)	11	 	 	 	1934	1935	1511	 	2390_17, 2391_18	 
Propionibacterium acnes HL037PA2 (765123.3)	1690	 	 	 	522	521	1245	 	36_16, 37_18, 38_17	 
Propionibacterium acnes HL038PA1 (765085.3)	1149	 	 	 	1614	1615	2500	 	2042_17, 2043_18	 
Propionibacterium acnes HL043PA1 (765072.3)	1980	 	 	 	810	811	1941	 	2480_17, 2481_18	 
Propionibacterium acnes HL043PA2 (765073.3)	526	 	 	 	1608	1607	2053	 	2287_18, 2288_17	 
Propionibacterium acnes HL044PA1 (765109.3)	291	 	 	 	1966	1967	1792	 	2584_17, 2585_18, 2586_16	 
Propionibacterium acnes HL045PA1 (765068.3)	2274	 	 	 	1827	1828	1175	 	2250_17, 2251_18	 
Propionibacterium acnes HL046PA1 (765094.3)	2145	 	 	 	1548	1547	2187	 	1084_18, 1085_17	 
Propionibacterium acnes HL046PA2 (765095.3)	1775	 	 	 	1079	1080	7	 	438_18	 
Propionibacterium acnes HL050PA1 (765100.3)	1556	 	 	 	1078	1079	15	 	1542_17, 1543_18	 
Propionibacterium acnes HL050PA2 (765101.3)	1283	 	 	 	1902	1901	1153	 	1439_16, 1440_18, 1441_17	 
Propionibacterium acnes HL050PA3 (765102.3)	2385	 	 	 	1709	1710	1246	 	2171_17, 2172_18	 
Propionibacterium acnes HL053PA1 (765066.3)	2214	 	 	 	1881	1882	1291	 	2372_18, 2373_17	 
Propionibacterium acnes HL053PA2 (765067.3)	2411	 	 	 	1822	1821	85	 	1369_18, 1370_17	 
Propionibacterium acnes HL056PA1 (765119.3)	2242	 	 	 	1128	1129	183	 	1857_18, 1858_17	 
Propionibacterium acnes HL059PA1 (765091.3)	 	 	 	667	1138	1137	513	 	680_18, 681_17	 
Propionibacterium acnes HL059PA2 (765092.3)	2389	 	 	 	1620	1621	1197	 	2080_17, 2081_18	 
Propionibacterium acnes HL063PA1 (765113.3)	2403	 	 	 	1781	1782	1134	 	2242_18	 
Propionibacterium acnes HL063PA2 (765114.3)	1348	 	 	 	1976	1977	195	 	2433_17, 2434_18	 
Propionibacterium acnes HL067PA1 (765110.3)	2339	 	 	 	672	673	2023	 	2352_18, 2353_17	 
Propionibacterium acnes HL072PA1 (765074.3)	60	 	 	 	1354	1355	896	 	1814_18	 
Propionibacterium acnes HL072PA2 (765075.3)	867	 	 	 	2122	2121	1772	 	2468_18	 
Propionibacterium acnes HL074PA1 (765076.3)	537	 	 	 	1264	1265	230	 	1691_17, 1692_18	 
Propionibacterium acnes HL078PA1 (765071.3)	2501	 	 	 	1851	1850	1284	 	1423_18	 
Propionibacterium acnes HL082PA1 (765120.3)	1396	 	 	 	2031	2030	998	 	1574_18, 1575_17	 
Propionibacterium acnes HL082PA2 (765121.3)	2218	 	 	 	724	723	1355	 	262_16, 263_18, 264_17	 
Propionibacterium acnes HL083PA1 (765087.3)	1577	 	 	 	1989	1990	654	 	2419_17, 2420_18	 
Propionibacterium acnes HL083PA2 (765088.3)	2399	 	 	 	1611	1612	189	 	2073_17, 2074_18	 
Propionibacterium acnes HL086PA1 (765093.3)	2271	 	 	 	1689	1690	363	 	2145_17, 2146_18	 
Propionibacterium acnes HL087PA2 (765082.3)	157	 	 	 	1204	1205	701	 	1665_18	 
Propionibacterium acnes HL087PA3 (765083.3)	1478	 	 	 	2035	2034	1166	 	1270_18, 1271_17	 
Propionibacterium acnes HL092PA1 (765086.3)	2349	 	 	 	1414	1415	1967	 	1864_17, 1865_18	 
Propionibacterium acnes HL096PA2 (765058.3)	2313	 	 	 	1943	1944	1256	 	1145_18, 1146_17	 
Propionibacterium acnes HL096PA3 (765057.3)	2495	 	 	 	1145	1144	1812	 	1907_18	 
Propionibacterium acnes HL097PA1 (765064.3)	1379	 	 	 	2023	2024	1175	 	2452_18, 2453_16	 
Propionibacterium acnes HL099PA1 (765063.3)	935	 	 	 	1514	1513	1942	 	824_17, 825_18	 
Propionibacterium acnes HL103PA1 (765061.3)	2096	 	 	 	1663	1662	979	 	1201_16, 1202_18, 1203_17	 
Propionibacterium acnes HL110PA1 (765077.3)	713	 	 	 	2029	2028	361	 	1576_18, 1577_17	 
Propionibacterium acnes HL110PA2 (765078.3)	2440	 	 	 	1531	1532	2213	 	1983_17, 1984_18	 
Propionibacterium acnes HL110PA3 (765079.3)	910	 	 	 	1927	1926	1353	 	106_17, 107_18, 108_16	 
Propionibacterium acnes HL110PA4 (765080.3)	2017	 	 	 	758	757	1870	 	287_17, 288_18, 289_16	 
Propionibacterium acnes J139 (679194.3)	2033	 	 	 	1014	1013	1429	 	609_16, 610_18	 
Propionibacterium acnes J165 (679195.3)	1125	 	 	 	623	624	1166	 	1632_18	 
Propionibacterium acnes KPA171202 (267747.3)	1921	 	 	 	1002	1003	1452	 	1444_18	 
Propionibacterium acnes SK137 (553199.9)	1887	 	 	 	1013	1014	1440	 	1431_17, 1432_18	 
Propionibacterium acnes SK182 (679193.4)	1223	 	 	 	523	524	1265	 	946_17, 947_18	 
Propionibacterium acnes SK182B-JCVI (1051006.4)	1747	 	 	 	535	534	124	 	136_16, 137_18, 138_17	 
Propionibacterium acnes SK187 (686659.3)	625	 	 	 	913	914	2156	 	1325_17, 1326_18, 1327_16	 
Propionibacterium acnes TypeIA2 P.acn17 (1114967.3)	1918	 	 	 	1009	1010	1472	 	1464_18	 
Propionibacterium acnes TypeIA2 P.acn31 (1114969.3)	1913	 	 	 	1003	1004	1468	 	1460_18	 
Propionibacterium acnes TypeIA2 P.acn33 (1114966.3)	1906	 	 	 	990	991	1453	 	1443_17, 1444_18	 
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 (754252.3)	 	 	 	 	 	 	996	 	 	 
Bifidobacterium adolescentis ATCC 15703 (367928.6)	 	 	 	 	 	 	 	 	 	 
Bifidobacterium adolescentis L2-32 (411481.5)	 	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis BB-12 (552531.3)	 	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis BLC1 (1075106.4)	 	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis Bl-04 (580050.3)	 	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis CNCM I-2494 (1042403.4)	 	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis DSM 10140 (555970.3)	 	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis HN019 (486409.3)	 	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis V9 (573236.3)	 	 	 	 	 	 	 	 	 	 
Bifidobacterium bifidum NCIMB 41171 (398513.5)	 	 	 	 	 	 	 	 	1435_16	 
Bifidobacterium bifidum PRL2010 (702459.3)	 	 	 	 	 	 	 	 	1697_16	 
Bifidobacterium bifidum S17 (883062.5)	 	 	 	 	 	 	 	 	1641_16	 
Bifidobacterium breve ACS-071-V-Sch8b (866777.3)	 	 	 	 	 	 	 	 	1755_16	 
Bifidobacterium breve UCC2003 (326426.4)	 	 	 	 	 	 	 	 	 	 
Bifidobacterium dentium ATCC 27678 (473819.7)	 	 	 	 	 	 	 	 	 	 
Bifidobacterium dentium ATCC 27679 (871562.3)	 	 	 	 	 	 	 	 	347_16	 
Bifidobacterium dentium Bd1 (401473.3)	 	 	 	 	 	 	 	 	 	 
Bifidobacterium dentium JCVIHMP022 (553191.3)	 	 	 	 	 	 	 	 	2176_16	 
Bifidobacterium gallicum DSM 20093 (561180.4)	 	 	 	 	 	 	 	 	1145_16	 
Bifidobacterium longum NCC2705 (206672.9)	 	 	 	 	 	 	 	 	1582_16	 
Bifidobacterium longum subsp. infantis 157F (565040.3)	 	 	 	 	 	 	 	 	1848_16	 
Bifidobacterium longum subsp. infantis ATCC 55813 (548480.3)	 	 	 	 	 	 	 	 	536_16	 
Bifidobacterium longum subsp. infantis CCUG 52486 (537937.5)	 	 	 	 	 	 	 	 	1755_16	 
Bifidobacterium longum subsp. longum BBMN68 (890402.3)	 	 	 	 	 	 	 	 	1610_16	 
Bifidobacterium longum subsp. longum F8 (722911.3)	 	 	 	 	 	 	 	 	1711_16	 
Bifidobacterium longum subsp. longum JCM 1217 (565042.3)	 	 	 	 	 	 	 	 	1794_16	 
Bifidobacterium longum subsp. longum JDM301 (759350.3)	 	 	 	 	 	 	 	 	1786_16	 
Bifidobacterium longum subsp. longum KACC 91563 (1035817.4)	 	 	 	 	 	 	 	 	124_16	 
Scardovia inopinata F0304 (641146.3)	 	 	 	 	 	 	 	 	 	 
Atopobium parvulum DSM 20469 (521095.6)	 	 	 	 	 	 	 	 	 	 
Atopobium rimae ATCC 49626 (553184.4)	 	 	 	 	 	 	 	 	 	 
Collinsella aerofaciens ATCC 25986 (411903.6)	 	 	 	 	 	 	 	 	 	 
Collinsella intestinalis DSM 13280 (521003.7)	 	 	 	 	 	 	 	 	 	 
Collinsella stercoris DSM 13279 (445975.6)	 	 	 	 	 	 	 	 	 	 
Cryptobacterium curtum DSM 15641 (469378.5)	 	 	 	 	 	 	 	 	 	 
Eggerthella lenta DSM 2243 (479437.5)	 	 	 	 	 	 	 	 	 	 
Eggerthella sp. 1_3_56FAA (665943.3)	 	 	 	 	 	 	 	 	1164_16	 
Eggerthella sp. YY7918 (502558.4)	 	 	 	 	 	 	 	 	253_16	 
Gordonibacter pamelaeae 7-10-1-b (657308.3)	 	 	 	 	 	 	 	 	1117_16	 
Olsenella uli DSM 7084 (633147.4)	 	 	 	 	 	 	 	 	 	 
Slackia exigua ATCC 700122 (649764.3)	 	 	 	 	 	 	 	 	803_16	 
Actinomyces cardiffensis F0333 (888050.3)	 	 	 	 	 	 	 	 	1014_16	 
Actinomyces graevenitzii C83 (435830.3)	 	 	 	 	 	 	 	 	852_16	 
Actinomyces naeslundii str. Howell 279 (1115803.3)	 	 	 	 	 	 	 	 	774_16	 
Actinomyces turicensis ACS-279-V-Col4 (883077.3)	 	 	 	 	 	 	 	 	 	 
Corynebacterium aurimucosum ATCC 700975 (Prj:31451) (548476.7)	 	 	 	 	 	 	763	 	1890_16, 1891_18, 1892_17	 
Corynebacterium durum F0235 (1035195.3)	 	 	 	 	944	945	1444	 	1250_16, 1251_18, 1252_17	 
Corynebacterium propinquum DSM 44285 (1121367.3)	586	 	 	585	1415	1416	838	 	 	 
Gordonia rubripertincta NBRC 101908 (1077975.4)	 	 	 	2734	1861, 2733	2735	2736	1206_14, 1624_14, 1647_14, 2049_14, 2053_14, 2155_14, 2257_14, 3018_14, 3403_14, 406_14, 4517_14, 4519_14, 4665_14, 812_14, 830_14	1168_17, 1169_18, 1170_16	 
Gordonia terrae C-6 (1316928.3)	 	 	 	1886	1885, 384	1887	1888	1463_14, 172_14, 3686_14, 44_14, 4415_14, 4622_14	1428_17, 1429_18, 1430_16	 
Gordonia terrae NBRC 100016 (1089454.3)	 	 	 	2597	2598, 906	2596	2595	2031_14, 2935_14, 3097_14, 3310_14, 3391_14, 3450_14, 3715_14, 4689_14, 969_14	722_17, 723_18, 724_16	 
Mycobacterium avium subsp. paratuberculosis JQ6 (1112208.3)	 	 	 	4449	4448	4450, 4451	4462	1_14, 1002_14, 1032_14, 107_14, 1074_14, 1120_14, 1141_14, 1148_14, 1159_14, 1674_14, 1965_14, 2_14, 2256_14, 2529_14, 322_14, 338_14, 341_14, 359_14, 3623_14, 3701_14, 3762_14, 3770_14, 3778_14, 3779_14, 4099_14, 4182_14, 4194_14, 4734_14, 4746_14, 4890_14, 5079_14, 954_14, 978_14	 	 
Mycobacterium avium subsp. paratuberculosis MAP4 (1199187.3)	 	 	 	2662	2663	2661	2652	1207_14, 1274_14, 1329_14, 1337_14, 1482_14, 1493_14, 1499_14, 1520_14, 1607_14, 1686_14, 1832_14, 1852_14, 1870_14, 2115_14, 2452_14, 3177_14, 3225_14, 3252_14, 3291_14, 3415_14, 3639_14, 3988_14, 4056_14, 4322_14	 	 
Mycobacterium avium subsp. paratuberculosis S5 (1247747.5)	 	 	 	1671	1670	1672	1680	1086_14, 1098_14, 1104_14, 1127_14, 1903_14, 21_14, 2254_14, 2509_14, 2529_14, 2547_14, 2730_14, 2816_14, 2866_14, 2876_14, 2930_14, 2931_14, 3001_14, 417_14, 4278_14, 4279_14, 4548_14, 641_14, 642_14, 773_14, 813_14, 841_14, 920_14, 921_14, 950_14	 	 
Mycobacterium abscessus 3A-0119-R (1001721.3)	 	 	 	2727	2728	2726	2724	1172_14, 1932_14, 2047_14, 208_14, 3442_14, 4076_14, 4218_14, 4720_14, 4721_14, 5342_14, 876_14	 	 
Mycobacterium abscessus 3A-0122-R (1001715.3)	 	 	 	2762	2763	2761	2759	1006_14, 1201_14, 157_14, 1974_14, 2085_14, 295_14, 3403_14, 4112_14, 4254_14, 4752_14, 4753_14	 	 
Mycobacterium abscessus 3A-0122-S (1001716.3)	 	 	 	2321	2322	2320	2318	1496_14, 1644_14, 3018_14, 31_14, 3892_14, 4033_14, 4530_14, 4531_14, 463_14, 5151_14, 762_14	 	 
Mycobacterium abscessus 3A-0731 (1001718.3)	 	 	 	2870	2871	2869	2867	1040_14, 1883_14, 1996_14, 209_14, 3554_14, 4156_14, 4298_14, 4799_14, 4800_14, 5416_14, 741_14	 	 
Mycobacterium abscessus 3A-0810-R (1001717.3)	 	 	 	2773	2774	2772	2770	1216_14, 1977_14, 2091_14, 210_14, 3480_14, 4081_14, 4223_14, 4720_14, 4721_14, 5342_14, 920_14	 	 
Mycobacterium abscessus 3A-0930-R (1001720.3)	 	 	 	2780	2781	2779	2777	1225_14, 1983_14, 2094_14, 211_14, 3448_14, 4026_14, 4168_14, 4667_14, 4668_14, 5287_14, 929_14	 	 
Mycobacterium abscessus 3A-0930-S (1001719.3)	 	 	 	2712	2713, 4486	2711	2709	1554_14, 1666_14, 212_14, 3380_14, 3954_14, 4096_14, 4594_14, 4595_14, 500_14, 5214_14, 797_14	 	 
Mycobacterium abscessus 47J26 (1087483.3)	 	 	 	1253	1252	1254	1256	1885_14, 2509_14, 2614_14, 2937_14, 3308_14, 3452_14, 4062_14, 4063_14, 573_14, 67_14	 	 
Mycobacterium abscessus 4S-0116-R (1001725.3)	 	 	 	2394	2395, 4179	2393	2391	110_14, 1280_14, 1902_14, 2925_14, 3028_14, 3601_14, 3742_14, 411_14, 4288_14, 4289_14	 	 
Mycobacterium abscessus 4S-0116-S (1001724.3)	 	 	 	1488	1489, 3270	1487	1485	178_14, 2017_14, 2120_14, 2693_14, 2834_14, 3378_14, 3379_14, 3938_14, 4089_14, 800_14	 	 
Mycobacterium abscessus 4S-0206 (1001723.3)	 	 	 	2398	2399, 4180	2397	2395	1058_14, 1671_14, 1820_14, 2928_14, 3031_14, 3602_14, 3742_14, 4286_14, 4287_14, 436_14	 	 
Mycobacterium abscessus 4S-0303 (1001722.3)	 	 	 	2387	2388, 4170	2386	2384	1482_14, 2106_14, 263_14, 2919_14, 3022_14, 3594_14, 3735_14, 412_14, 4279_14, 4280_14	 	 
Mycobacterium abscessus 4S-0726-RA (1001726.3)	 	 	 	2322	2323, 4105	2321	2319	1032_14, 144_14, 1653_14, 2853_14, 2956_14, 3528_14, 3669_14, 4212_14, 4213_14, 4772_14	 	 
Mycobacterium abscessus 4S-0726-RB (1001727.3)	 	 	 	1932	1933, 3717	1931	1929	1239_14, 2466_14, 2569_14, 3141_14, 3282_14, 3825_14, 3826_14, 4388_14, 4537_14, 616_14	 	 
Mycobacterium abscessus 5S-0304 (1001728.3)	 	 	 	1566, 1731	1567	1565	1563	181_14, 1949_14, 3084_14, 3301_14, 3768_14, 3769_14, 4315_14, 4460_14, 5216_14, 844_14	 	 
Mycobacterium abscessus 5S-0421 (1001729.3)	 	 	 	1818, 1984	1819	1817	1815	1098_14, 2201_14, 237_14, 3336_14, 3552_14, 4021_14, 4022_14, 436_14, 4550_14, 4696_14	 	 
Mycobacterium abscessus 5S-0422 (1001731.3)	 	 	 	2459, 2623	2460	2458	2456	1134_14, 149_14, 1790_14, 2838_14, 296_14, 4206_14, 4422_14, 4890_14, 4891_14, 806_14	 	 
Mycobacterium abscessus 5S-0708 (1001730.3)	 	 	 	4501, 4667	4502	4500	4498	1311_14, 2321_14, 3060_14, 3277_14, 3746_14, 3747_14, 4293_14, 4438_14, 4881_14, 719_14	 	 
Mycobacterium abscessus 5S-0817 (1001735.3)	 	 	 	5032, 5197	5196	5198	5200	216_14, 2687_14, 27_14, 2902_14, 3369_14, 3370_14, 3919_14, 4065_14, 4813_14, 879_14	 	 
Mycobacterium abscessus 5S-0921 (1001732.3)	 	 	 	2261, 2426	2262	2260	2258	138_14, 1536_14, 2640_14, 2848_14, 3985_14, 4202_14, 4672_14, 4673_14, 5224_14, 875_14	 	 
Mycobacterium abscessus 5S-1212 (1001733.3)	 	 	 	4441, 4606	4605	4607	4609	1253_14, 1711_14, 2816_14, 3031_14, 3499_14, 3500_14, 401_14, 4053_14, 4227_14, 591_14	 	 
Mycobacterium abscessus 5S-1215 (1001734.3)	 	 	 	4530, 4694	4531	4529	4527	1159_14, 1824_14, 2025_14, 3161_14, 3299_14, 3767_14, 3768_14, 4321_14, 4467_14, 4910_14	 	 
Mycobacterium abscessus 6G-0125-R (1001740.3)	 	 	 	1748	1749	1747	1745	1104_14, 2392_14, 269_14, 2911_14, 3052_14, 3558_14, 3559_14, 4169_14, 4342_14, 5001_14, 993_14	 	 
Mycobacterium abscessus 6G-0212 (1001739.3)	 	 	 	2738	2739	2737	2735	1263_14, 1987_14, 2099_14, 230_14, 3381_14, 3900_14, 4041_14, 4547_14, 4548_14, 57_14, 889_14	 	 
Mycobacterium abscessus 9808 (1246644.3)	 	 	 	3461	3462	3460	3458	1034_14, 2049_14, 2688_14, 2801_14, 308_14, 309_14, 4115_14, 4323_14, 4907_14, 872_14	 	 
Mycobacterium abscessus M115 (1162287.3)	 	 	 	2155	2154	2156	2158	187_14, 188_14, 1902_14, 1906_14, 1907_14, 2687_14, 2911_14, 3439_14, 3814_14, 3985_14, 4144_14, 697_14, 853_14	 	 
Mycobacterium abscessus M139 (1175632.3)	 	 	 	1026, 865	1025	1027	1029	1765_14, 3288_14, 3289_14, 3837_14, 4006_14, 4521_14, 603_14, 741_14, 97_14	 	 
Mycobacterium abscessus M152 (1176125.3)	 	2873_3	 	3552	3551	3553	3555	1793_14, 3049_14, 353_14, 4129_14, 4130_14, 4423_14, 4792_14, 580_14	 	 
Mycobacterium abscessus M154 (1162288.3)	 	 	 	129	130	128	126	1011_14, 1148_14, 1400_14, 1558_14, 2136_14, 2592_14, 2593_14, 3247_14, 388_14, 389_14, 393_14, 4274_14, 4480_14, 4582_14	 	 
Mycobacterium abscessus M156 (1185414.3)	 	 	 	1983	1982	1984	1986	100_14, 101_14, 1023_14, 2319_14, 2715_14, 4207_14, 4260_14, 4264_14, 4265_14, 4512_14, 4527_14, 4793_14, 556_14	 	 
Mycobacterium abscessus M159 (1162285.3)	 	 	 	1611	1612	1610	1608	115_14, 1517_14, 1521_14, 1522_14, 2222_14, 2311_14, 2511_14, 2674_14, 2679_14, 2680_14, 3654_14, 4316_14, 595_14	 	 
Mycobacterium abscessus M172 (1162286.3)	 	 	 	449	450	448	446	1339_14, 1477_14, 1917_14, 1918_14, 2514_14, 2619_14, 3881_14, 4087_14, 4198_14, 4355_14, 4732_14, 710_14, 711_14, 715_14	 	 
Mycobacterium abscessus M24 (1162284.3)	 	 	 	2515, 2516, 3427	2517	2514	2512	1200_14, 1645_14, 1807_14, 2035_14, 2614_14, 2795_14, 3623_14, 3628_14, 3892_14, 3919_14, 5037_14, 909_14, 910_14	 	 
Mycobacterium abscessus M93 (1149134.5)	 	 	 	2093	2094	2092	2090	1023_14, 1604_14, 2838_14, 3206_14, 3480_14, 3602_14, 3791_14, 4328_14, 477_14, 478_14, 884_14	 	 
Mycobacterium abscessus M94 (1158135.4)	 	 	 	1793, 1794	1795	1792	1790	1256_14, 1933_14, 2618_14, 2946_14, 3088_14, 3486_14, 3487_14, 4340_14, 4458_14, 548_14	 	 
Mycobacterium abscessus subsp. bolletii 50594 (1303024.3)	 	 	 	2711	2712	2710	2708	104_14, 1280_14, 1999_14, 302_14, 3330_14, 3925_14, 4063_14, 4595_14, 4596_14	 	 
