Organism	ASPOX	QSYN	QAPRT	NaMNAT	NADS	PnuC	NiaP	NiaX	NiaY
Mycobacterium avium subsp. paratuberculosis str. k10 (262316.1)	1290	1289	1291	2244	2258	 	 	 	 
Mycobacterium abscessus (36809.5)	2717	2718	2716	1661	3483	3248_8	 	 	 
Rhodococcus equi 103S (685727.3)	2693	2694	2692	2964	3215	1670_8	 	 	 
Rhodococcus equi ATCC 33707 (525370.3)	1889	1888	1890	4490	3231	 	 	 	 
Rhodococcus erythropolis PR4 (234621.6)	3995	3996	3994	4300	2847	 	 	 	 
Rhodococcus erythropolis SK121 (596309.3)	1948	1949	1947	4648	4818	 	 	 	 
Brevibacterium linens BL2 (321955.4)	3468	3467	3469	2642	203	 	1192	 	 
Kytococcus sedentarius DSM 20547 (478801.5)	2242	2243	2241	1101	297	 	2052	 	 
Kocuria rhizophila DC2201 (378753.5)	44	45	43	1119	164	 	 	 	 
Kocuria rhizophila P7-4 (1029824.3)	1618	1619	1617	124	923	 	 	 	 
Micrococcus luteus NCTC 2665 (465515.4)	 	1505	1506	971	172	 	420	 	 
Micrococcus luteus SK58 (596312.3)	 	698	699	117	1139	 	44	 	 
Rothia dentocariosa ATCC 17931 (762948.4)	 	 	 	2023	1088	 	375	 	 
Rothia dentocariosa M567 (563032.4)	 	 	 	887	2043	 	1385	 	 
Rothia mucilaginosa ATCC 25296 (553201.3)	 	 	 	364	1602	 	828	 	 
Rothia mucilaginosa DY-18 (680646.3)	 	 	 	778	1621	 	349	 	 
Tropheryma whipplei TW08/27 (218496.4)	 	 	 	359	430	 	 	 	 
Tropheryma whipplei str. Twist (203267.6)	 	 	 	611	542	 	 	 	 
Micromonospora aurantiaca ATCC 27029 (644283.3)	2524	4330	2523	4108	4390	 	 	 	 
Propionibacterium acnes 266 (909952.3)	 	 	 	880_4	2338	 	 	 	 
Propionibacterium acnes 6609 (1031709.3)	 	 	 	893_4	2382	 	 	 	 
Propionibacterium acnes ATCC 11828 (1091045.3)	 	 	 	2112_4	851	 	 	 	 
Propionibacterium acnes HL001PA1 (765105.8)	 	 	 	1344_4	2424	 	 	 	 
Propionibacterium acnes HL002PA1 (765115.3)	 	 	 	1329_4	923	 	 	 	 
Propionibacterium acnes HL002PA2 (765116.3)	 	 	 	2118_4	1155	 	 	 	 
Propionibacterium acnes HL002PA3 (765117.3)	 	 	 	2020_4	2	 	 	 	 
Propionibacterium acnes HL005PA1 (765096.3)	 	 	 	2178_4	67	 	 	 	 
Propionibacterium acnes HL005PA2 (765097.3)	 	 	 	741_4	2321	 	 	 	 
Propionibacterium acnes HL005PA4 (765099.3)	 	 	 	1501_4	101	 	 	 	 
Propionibacterium acnes HL007PA1 (765118.3)	 	 	 	1686_4	68	 	 	 	 
Propionibacterium acnes HL013PA1 (765069.3)	 	 	 	1385_4	694	 	 	 	 
Propionibacterium acnes HL013PA2 (765070.3)	 	 	 	2294_4	102	 	 	 	 
Propionibacterium acnes HL020PA1 (765065.3)	 	 	 	1892_4	660	 	 	 	 
Propionibacterium acnes HL025PA1 (765089.3)	 	 	 	1861_4	672	 	 	 	 
Propionibacterium acnes HL027PA1 (765111.3)	 	 	 	921_4	610	 	 	 	 
Propionibacterium acnes HL027PA2 (765112.3)	 	 	 	730_4	17	 	 	 	 
Propionibacterium acnes HL030PA1 (765103.3)	 	 	 	969_4	605	 	 	 	 
Propionibacterium acnes HL036PA1 (765106.3)	 	 	 	1625_4	888	 	 	 	 
Propionibacterium acnes HL036PA2 (765107.3)	 	 	 	2026_4	858	 	 	 	 
Propionibacterium acnes HL037PA1 (765122.3)	 	 	 	1805_4	984	 	 	 	 
Propionibacterium acnes HL037PA2 (765123.3)	546	545	547	656_4	1252	 	 	 	 
Propionibacterium acnes HL038PA1 (765085.3)	 	 	 	1489_4	883	 	 	 	 
Propionibacterium acnes HL043PA1 (765072.3)	 	 	 	686_4	285	 	 	 	 
Propionibacterium acnes HL043PA2 (765073.3)	 	 	 	1733_4	726	 	 	 	 
Propionibacterium acnes HL044PA1 (765109.3)	1942	1943	1941	1834_4	866	 	 	 	 
Propionibacterium acnes HL045PA1 (765068.3)	 	 	 	1700_4	327	 	 	 	 
Propionibacterium acnes HL046PA1 (765094.3)	 	 	 	1679_4	2	 	 	 	 
Propionibacterium acnes HL046PA2 (765095.3)	 	 	 	952_4	658	 	 	 	 
Propionibacterium acnes HL050PA1 (765100.3)	 	 	 	950_4	452	 	 	 	 
Propionibacterium acnes HL050PA2 (765101.3)	 	 	 	2006_4	89	 	 	 	 
Propionibacterium acnes HL050PA3 (765102.3)	 	 	 	1582_4	737	 	 	 	 
Propionibacterium acnes HL053PA1 (765066.3)	 	 	 	1756_4	62	 	 	 	 
Propionibacterium acnes HL053PA2 (765067.3)	 	 	 	1950_4	1266	 	 	 	 
Propionibacterium acnes HL056PA1 (765119.3)	 	 	 	1003_4	787	 	 	 	 
Propionibacterium acnes HL059PA1 (765091.3)	 	 	 	1266_4	99	 	 	 	 
Propionibacterium acnes HL059PA2 (765092.3)	 	 	 	1494_4	322	 	 	 	 
Propionibacterium acnes HL063PA1 (765113.3)	 	 	 	1653_4	276	 	 	 	 
Propionibacterium acnes HL063PA2 (765114.3)	 	 	 	1849_4	524	 	 	 	 
Propionibacterium acnes HL067PA1 (765110.3)	 	 	 	547_4	62	 	 	 	 
Propionibacterium acnes HL072PA1 (765074.3)	 	 	 	1227_4	524	 	 	 	 
Propionibacterium acnes HL072PA2 (765075.3)	 	 	 	2253_4	1547	 	 	 	 
Propionibacterium acnes HL074PA1 (765076.3)	 	 	 	1138_4	1988	 	 	 	 
Propionibacterium acnes HL078PA1 (765071.3)	 	 	 	1981_4	1047	 	 	 	 
Propionibacterium acnes HL082PA1 (765120.3)	 	 	 	2160_4	891	 	 	 	 
Propionibacterium acnes HL082PA2 (765121.3)	 	 	 	827_4	1451	 	 	 	 
Propionibacterium acnes HL083PA1 (765087.3)	 	 	 	1862_4	144	 	 	 	 
Propionibacterium acnes HL083PA2 (765088.3)	 	 	 	1482_4	542	 	 	 	 
Propionibacterium acnes HL086PA1 (765093.3)	 	 	 	1562_4	1252	 	 	 	 
Propionibacterium acnes HL087PA2 (765082.3)	 	 	 	1076_4	182	 	 	 	 
Propionibacterium acnes HL087PA3 (765083.3)	 	 	 	2164_4	309	 	 	 	 
Propionibacterium acnes HL092PA1 (765086.3)	 	 	 	1287_4	691	 	 	 	 
Propionibacterium acnes HL096PA2 (765058.3)	 	 	 	1819_4	282	 	 	 	 
Propionibacterium acnes HL096PA3 (765057.3)	 	 	 	1274_4	75	 	 	 	 
Propionibacterium acnes HL097PA1 (765064.3)	 	 	 	1891_4	283	 	 	 	 
Propionibacterium acnes HL099PA1 (765063.3)	 	 	 	1638_4	68	 	 	 	 
Propionibacterium acnes HL103PA1 (765061.3)	 	 	 	1765_4	292	 	 	 	 
Propionibacterium acnes HL110PA1 (765077.3)	 	 	 	2155_4	2	 	 	 	 
Propionibacterium acnes HL110PA2 (765078.3)	 	 	 	1400_4	330	 	 	 	 
Propionibacterium acnes HL110PA3 (765079.3)	 	 	 	2029_4	2329	 	 	 	 
Propionibacterium acnes HL110PA4 (765080.3)	 	 	 	859	1630	 	 	 	 
Propionibacterium acnes J139 (679194.3)	 	 	 	1103	1424	 	 	 	 
Propionibacterium acnes J165 (679195.3)	 	 	 	503_4	1593	 	 	 	 
Propionibacterium acnes KPA171202 (267747.3)	 	 	 	872_4	2331	 	 	 	 
Propionibacterium acnes SK137 (553199.9)	 	 	 	889_4	2292	 	 	 	 
Propionibacterium acnes SK182 (679193.4)	 	 	 	398_4	1816	 	 	 	 
Propionibacterium acnes SK182B-JCVI (1051006.4)	 	 	 	651_4	994	 	 	 	 
Propionibacterium acnes SK187 (686659.3)	 	 	 	1940_4	1571	 	 	 	 
Propionibacterium acnes TypeIA2 P.acn17 (1114967.3)	 	 	 	882_4	2320	 	 	 	 
Propionibacterium acnes TypeIA2 P.acn31 (1114969.3)	 	 	 	876_4	2317	 	 	 	 
Propionibacterium acnes TypeIA2 P.acn33 (1114966.3)	 	 	 	863_4	2307	 	 	 	 
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 (754252.3)	2078	918	916	849	2193	 	 	 	 
Bifidobacterium adolescentis ATCC 15703 (367928.6)	 	 	 	972	1074	 	1148	 	 
Bifidobacterium adolescentis L2-32 (411481.5)	 	 	 	1541	1645	 	1775	 	 
Bifidobacterium animalis subsp. lactis BB-12 (552531.3)	 	 	 	1236	1561, 438, 439	 	29	 	 
Bifidobacterium animalis subsp. lactis BLC1 (1075106.4)	 	 	 	746_4	1075, 1560	 	1147	 	 
Bifidobacterium animalis subsp. lactis Bl-04 (580050.3)	 	 	 	751	1082, 1563, 1564	 	1153	 	 
Bifidobacterium animalis subsp. lactis CNCM I-2494 (1042403.4)	 	 	 	745_4	1072, 1557	 	1145	 	 
Bifidobacterium animalis subsp. lactis DSM 10140 (555970.3)	 	 	 	750_4	1082, 1565, 1566	 	1154	 	 
Bifidobacterium animalis subsp. lactis HN019 (486409.3)	 	 	 	375	46	 	1137	 	 
Bifidobacterium animalis subsp. lactis V9 (573236.3)	 	 	 	745	1076, 1565, 1566	 	1150	 	 
Bifidobacterium bifidum NCIMB 41171 (398513.5)	1265	1264	1266	552	662	 	 	 	 
Bifidobacterium bifidum PRL2010 (702459.3)	628	627	629	1166	1279	 	 	 	 
Bifidobacterium bifidum S17 (883062.5)	645	644	646	1105	1230	 	 	 	 
Bifidobacterium breve ACS-071-V-Sch8b (866777.3)	637	636	638	1113_4	1042	 	640	 	 
Bifidobacterium breve UCC2003 (326426.4)	1312	1313	1311	779_4	851	 	 	 	 
Bifidobacterium dentium ATCC 27678 (473819.7)	 	 	 	1668	1557	 	1440	 	 
Bifidobacterium dentium ATCC 27679 (871562.3)	 	 	 	1455	1336	 	1262	 	 
Bifidobacterium dentium Bd1 (401473.3)	 	 	 	1196	1307	 	1424	 	 
Bifidobacterium dentium JCVIHMP022 (553191.3)	 	 	 	186	719	 	644	 	 
Bifidobacterium gallicum DSM 20093 (561180.4)	 	 	 	640	25	 	346	 	 
Bifidobacterium longum NCC2705 (206672.9)	235	234	236	736_4	656	 	238	 	 
Bifidobacterium longum subsp. infantis 157F (565040.3)	1297	1298	1296	624_4	714	 	1294	 	 
Bifidobacterium longum subsp. infantis ATCC 55813 (548480.3)	1402	1401	1403	105_4	427	 	1405	 	 
Bifidobacterium longum subsp. infantis CCUG 52486 (537937.5)	1415	1414	1416	13_4	999	 	1418	 	 
Bifidobacterium longum subsp. longum BBMN68 (890402.3)	277	276	278	798_4	720	 	280	 	 
Bifidobacterium longum subsp. longum F8 (722911.3)	1967	1966	1968	603_4	528	 	1970	 	 
Bifidobacterium longum subsp. longum JCM 1217 (565042.3)	1273	1274	1272	617_4	692	 	1270	 	 
Bifidobacterium longum subsp. longum JDM301 (759350.3)	1203	1204	1202	673	773	 	1200	 	 
Bifidobacterium longum subsp. longum KACC 91563 (1035817.4)	706	705	707	1267_4	1186	 	709	 	 
Scardovia inopinata F0304 (641146.3)	 	 	 	1447	849	 	 	 	 
Atopobium parvulum DSM 20469 (521095.6)	 	 	 	662	182, 871	 	 	 	 
Atopobium rimae ATCC 49626 (553184.4)	 	 	 	129	1145, 352	 	 	 	 
Collinsella aerofaciens ATCC 25986 (411903.6)	1132	1133	1131	1892	368	 	 	 	 
Collinsella intestinalis DSM 13280 (521003.7)	1454	1455	1453	1114	65	 	 	 	 
Collinsella stercoris DSM 13279 (445975.6)	689	688	690	999	1403	 	 	 	 
Cryptobacterium curtum DSM 15641 (469378.5)	 	 	 	575	1124	 	 	 	 
Eggerthella lenta DSM 2243 (479437.5)	 	 	 	2073	2904	 	 	 	1952
Eggerthella sp. 1_3_56FAA (665943.3)	 	 	 	476	1106	 	 	 	774
Eggerthella sp. YY7918 (502558.4)	 	 	 	1840	2398	 	 	 	 
Gordonibacter pamelaeae 7-10-1-b (657308.3)	 	 	 	2990	1152	 	 	 	2279
Olsenella uli DSM 7084 (633147.4)	1399	1400	1398	877	182, 711	 	 	 	 
Slackia exigua ATCC 700122 (649764.3)	334	 	 	500	1674	 	 	 	 
Actinomyces cardiffensis F0333 (888050.3)	 	 	 	70_4	406	 	943	 	 
Actinomyces graevenitzii C83 (435830.3)	 	 	 	671	1390	 	 	 	 
Actinomyces naeslundii str. Howell 279 (1115803.3)	 	 	 	864_4	988	 	 	 	 
Actinomyces turicensis ACS-279-V-Col4 (883077.3)	 	 	 	1448_4	1238	 	 	 	 
Corynebacterium aurimucosum ATCC 700975 (Prj:31451) (548476.7)	 	2020	 	2247_4	2488	 	613	 	 
Corynebacterium durum F0235 (1035195.3)	 	1448	 	1726_4	667	618_8	 	 	 
Corynebacterium propinquum DSM 44285 (1121367.3)	 	423	422	1484_4	1386	 	2027	 	 
Gordonia rubripertincta NBRC 101908 (1077975.4)	1541	2743	2744	3201_4	4723, 4724	 	 	 	 
Gordonia terrae C-6 (1316928.3)	2780	1895	1896	828_4	108, 109	 	 	 	 
Gordonia terrae NBRC 100016 (1089454.3)	1811	2588	2587	4443_4	3871, 3872	 	4481	 	 
Mycobacterium avium subsp. paratuberculosis JQ6 (1112208.3)	4468	4467	4469	4117_4	4102	 	 	 	 
Mycobacterium avium subsp. paratuberculosis MAP4 (1199187.3)	2645	2646	2644	1624_4	1610	 	 	 	 
Mycobacterium avium subsp. paratuberculosis S5 (1247747.5)	1688	1687	1689	2800	2811, 2812	 	 	 	 
Mycobacterium abscessus 3A-0119-R (1001721.3)	2712	2713	2711	1701_4	3550	3315_8	 	 	 
Mycobacterium abscessus 3A-0122-R (1001715.3)	2747	2748	2746	1741_4	3578	3277_8	 	 	 
Mycobacterium abscessus 3A-0122-S (1001716.3)	2306	2307	2305	1264_4	3126	2891_8	 	 	 
Mycobacterium abscessus 3A-0731 (1001718.3)	2855	2856	2854	1651_4	3661	3428_8	 	 	 
Mycobacterium abscessus 3A-0810-R (1001717.3)	2758	2759	2757	1709_4	3587	3353_8	 	 	 
Mycobacterium abscessus 3A-0930-R (1001720.3)	2765	2766	2764	1749_4	3555	3321_8	 	 	 
Mycobacterium abscessus 3A-0930-S (1001719.3)	2697	2698	2696	1322_4	3487	3255_8	 	 	 
Mycobacterium abscessus 47J26 (1087483.3)	1267	1266	1268	2284_4	457	707_8	4295	 	 
Mycobacterium abscessus 4S-0116-R (1001725.3)	2378	2379	2377	1683_4	3136	2889_8	 	 	 
Mycobacterium abscessus 4S-0116-S (1001724.3)	1473	1474	1472	581_4	2228	1981_8	 	 	 
Mycobacterium abscessus 4S-0206 (1001723.3)	2383	2384	2382	839_4	3138	2892_8	 	 	 
Mycobacterium abscessus 4S-0303 (1001722.3)	2372	2373	2371	1886_4	3131	2883_8	 	 	 
Mycobacterium abscessus 4S-0726-RA (1001726.3)	2306	2307	2305	1434_4	3064	2817_8	 	 	 
Mycobacterium abscessus 4S-0726-RB (1001727.3)	1917	1918	1916	1020_4	2677	2430_8	 	 	 
Mycobacterium abscessus 5S-0304 (1001728.3)	1552	1553	1551	600_4	2602	2359_8	4943	 	 
Mycobacterium abscessus 5S-0421 (1001729.3)	1803	1804	1802	854_4	2853	2609_8	5175	 	 
Mycobacterium abscessus 5S-0422 (1001731.3)	2445	2446	2444	1549_4	3723	3246_8	530	 	 
Mycobacterium abscessus 5S-0708 (1001730.3)	4487	4488	4486	1066_4	2576	2170_8	445	 	 
Mycobacterium abscessus 5S-0817 (1001735.3)	5211	5210	5212	633_4	2205	1965_8	4549	 	 
Mycobacterium abscessus 5S-0921 (1001732.3)	2247	2248	2246	1292_4	3507	3265_8	620	 	 
Mycobacterium abscessus 5S-1212 (1001733.3)	4620	4619	4621	1008_4	2335	2092_8	126	 	 
Mycobacterium abscessus 5S-1215 (1001734.3)	4516	4517	4515	1405_4	2684	2442_8	5173	 	 
Mycobacterium abscessus 6G-0125-R (1001740.3)	1733	1734	1732	678_4	2499	2265_8	 	 	 
Mycobacterium abscessus 6G-0212 (1001739.3)	2723	2724	2722	1671_4	3488	3255_8	 	 	 
Mycobacterium abscessus 9808 (1246644.3)	3446	3447	3445	2476_4	5012	4781_8	1535	 	 
Mycobacterium abscessus M115 (1162287.3)	2170	2169	2171	3237_4	2582	1616_8	1301	 	 
Mycobacterium abscessus M139 (1175632.3)	1041	1040	1042	2098_4	201, 2808	3147_8	2609	 	 
Mycobacterium abscessus M152 (1176125.3)	3567	3566	3568	932_4	4551	1238_8	4717, 4738	 	 
Mycobacterium abscessus M154 (1162288.3)	115	116	114	1686_4	2243	666_8	3771	 	 
Mycobacterium abscessus M156 (1185414.3)	1997	1996	1998	1480_4	4389	3601_8	4653	 	 
Mycobacterium abscessus M159 (1162285.3)	1597	1598	1596	2851_4	2194	1924_8	4464	 	 
Mycobacterium abscessus M172 (1162286.3)	435	436	434	2998_4	4626	990_8	5050	 	 
Mycobacterium abscessus M24 (1162284.3)	2500	2501	2499	5131_4	4495	1568_8	2853	 	 
Mycobacterium abscessus M93 (1149134.5)	2078	2079	2077	4012_4	1458	1732_8	2947	 	 
Mycobacterium abscessus M94 (1158135.4)	1778	1779	1777	1407_4	4204	2344_8	1089	 	 
Mycobacterium abscessus subsp. bolletii 50594 (1303024.3)	2696	2697	2695	1784_4	3443	3211_8	789	 	 
Mycobacterium abscessus subsp. bolletii BD (1091046.3)	2517	2518	2516	1603_4	3297	3057_8	675	 	 
Mycobacterium fortuitum subsp. fortuitum DSM 46621 (1214102.3)	4954	5608	4955	5773_4	4783	4479_8	 	 	 
Rhodococcus erythropolis XP (1078016.3)	5421	5422	5420	5728_4	4326, 6330	 	 	 	 
Brevibacterium casei S18 (1229781.4)	816	815	817	483_4	1314	 	1855	 	 
Brevibacterium massiliense 5401308 (1176165.3)	 	 	567	1382_4	1189	 	775	 	 
Brachybacterium paraconglomeratum LC44 (1064537.3)	2690	2691	2689	2721_4	233	 	95	 	 
Curtobacterium flaccumfaciens UCD-AKU (1292022.3)	1538	1537	1539	2049_4	1028	 	 	 	 
Microbacterium paraoxydans 77MFTsu3.2 (1151126.3)	2871	2870	2872	1126_4	1372	1471_8	1312	 	 
Kocuria palustris PEL (1236550.3)	 	 	 	605_4	971, 992	 	383	 	 
Rothia aeria F0474 (1125724.3)	 	 	 	379	1029	 	735	 	 
Rothia mucilaginosa M508 (563033.4)	 	 	 	831	1696	 	392	 	 
Propionibacterium acidipropionici ATCC 4875 (1171373.8)	 	1816	1814	1332_4	1928, 3252	 	 	 	 
Propionibacterium acnes C1 (1234380.3)	 	 	 	923_4	2399	 	 	 	 
Propionibacterium acnes FZ1/2/0 (1276649.3)	 	 	 	882_4	2335	 	 	 	 
Propionibacterium acnes HL096PA1 (1134454.3)	 	 	 	1425_4	2362	 	 	 	 
Propionibacterium acnes PRP-38 (1136877.3)	 	 	 	1583_4	614	 	 	 	 
Propionibacterium avidum 44067 (1170318.3)	1290	1289	1291	1375_4	2256	 	 	 	 
Propionibacterium avidum ATCC 25577 (997355.3)	1984	1983	1985	2062_4	944	 	 	 	 
Propionibacterium propionicum F0230a (767029.3)	 	 	 	1773_4	2116	 	1304	 	 
Bifidobacterium angulatum DSM 20098 = JCM 7096 (518635.7)	597	596	598	1102	687	 	 	 	 
Bifidobacterium animalis subsp. animalis ATCC 25527 (703613.4)	 	 	 	755	1087, 1550	 	1158	 	 
Bifidobacterium animalis subsp. lactis B420 (1168290.3)	 	 	 	744_4	1072, 1556, 1557	 	1141	 	 
Bifidobacterium animalis subsp. lactis BS 01 (911598.3)	 	 	 	796_4	1127, 1614, 1615	 	1202	 	 
Bifidobacterium animalis subsp. lactis Bi-07 (742729.3)	 	 	 	744_4	1072, 1553, 1554	 	1141	 	 
Bifidobacterium bifidum BGN4 (484020.3)	581	580	582	1040	1156	 	 	 	 
Bifidobacterium bifidum LMG 13195 (1207542.3)	1199	1198	1200	1743_4	1060	 	 	 	 
Bifidobacterium breve CECT 7263 (1036735.3)	968	967	969	50_4	1885	 	971	 	 
Bifidobacterium breve DPC 6330 (1074482.3)	440	439	441	1467_4	1573	 	443	 	 
Bifidobacterium breve DSM 20213 = JCM 1192 (518634.7)	1851	1850	1852	743	827	 	1854	 	 
Bifidobacterium breve HPH0326 (1203540.3)	1443	1442	1444	1985_4	2063	 	1446	 	 
Bifidobacterium catenulatum DSM 16992 = JCM 1194 (566552.6)	416	415	417	603_4	496	 	 	 	 
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 (391904.8)	938	937	939	1916_4	1786	 	 	 	 
Bifidobacterium longum subsp. longum 1-6B (1161744.3)	394	393	395	183_4	597	 	397	 	 
Bifidobacterium longum subsp. longum 2-2B (1161745.3)	950	951	949	2073_4	262	 	1398	 	 
Bifidobacterium longum subsp. longum 35B (1161904.3)	315	1069	314	1343_4	679, 680	 	312	 	 
Bifidobacterium longum subsp. longum 44B (1161743.3)	1064	1063	1065	1806_4	812	 	1067	 	 
Bifidobacterium longum subsp. longum CMCC P0001 (1266716.3)	1877	1876	1878	98_4	1019	 	1644	 	 
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 (547043.8)	 	 	 	1300	1412	 	605	 	 
Bifidobacterium thermophilum RBL67 (1254439.12)	1303	1302	1304	1729_4	761	 	 	 	 
Atopobium minutum 10063974 (997872.3)	 	 	 	965_4	1261, 1488	 	 	 	 
Collinsella tanakaei YIT 12063 (742742.3)	1070	1069	1071	188	157	 	 	 	 
Slackia piriformis YIT 12062 (742818.3)	333	332	334	1066_4	100	 	 	 	 
Bacteroides fragilis ATCC 25285 (272559.3)	269	3190	1314	3838	3123	 	 	 	 
Bacteroides caccae ATCC 43185 (411901.7)	1293	1250	2721	3566	2088	 	 	 	 
Bacteroides caccae CL03T12C61 (997873.3)	3308	3352	2724	4411_4	1223	 	 	 	 
Bacteroides capillosus ATCC 29799 (411467.6)	3333	 	 	3460_4	100	 	 	 	1783
Bacteroides cellulosilyticus CL02T12C19 (997874.3)	1723	1776	1575	2752_4	3407	 	 	 	 
Bacteroides cellulosilyticus DSM 14838 (537012.5)	1774	1734	450	4848	4976	 	 	 	 
Bacteroides clarus YIT 12056 (762984.3)	1738	1720	1456	2993	353	 	 	 	 
Bacteroides coprocola DSM 17136 (470145.6)	1309	3023	1426	3335	1383	 	 	 	 
Bacteroides coprophilus DSM 18228 (547042.5)	1872	232	626	1537	1207	 	 	 	 
Bacteroides dorei CL02T00C15 (997875.3)	3055	3003	608	5256_4	618	 	 	 	 
Bacteroides dorei CL02T12C06 (997876.3)	1706	1653	933	5326_4	943	 	 	 	 
Bacteroides dorei CL03T12C01 (997877.3)	2569	2619	1255	4487_4	1265	 	 	 	 
Bacteroides dorei DSM 17855 (483217.6)	2054	2093	3519	233	3509	 	 	 	 
Bacteroides eggerthii 1_2_48FAA (665953.3)	999	975	462	1698	3275	 	 	 	 
Bacteroides eggerthii DSM 20697 (483216.6)	3086	3106	1858	347	1140	 	 	 	 
Bacteroides faecis MAJ27 (1077285.3)	694	681	4044	4534_4	2465	 	 	 	 
Bacteroides finegoldii DSM 17565 (483215.6)	3538	3513	4068	1442	2504	 	 	 	 
Bacteroides fluxus YIT 12057 (763034.3)	2530	2518	3383	1183	670	 	 	 	 
Bacteroides fragilis 3_1_12 (457424.5)	4529	4540	136	3912	3159	 	 	 	 
Bacteroides fragilis 638R (862962.3)	22	4749	1496	3654_4	3113	 	 	 	 
Bacteroides fragilis CL03T00C08 (997878.3)	74	63	1537	3739_4	3035	 	 	 	 
Bacteroides fragilis CL03T12C07 (997879.3)	602	591	4042	2573_4	1866	 	 	 	 
Bacteroides fragilis CL05T00C42 (997880.3)	1626	1615	683	3579_4	2590	 	 	 	 
Bacteroides fragilis CL05T12C13 (997881.3)	77	66	1473	3082_4	2580	 	 	 	 
Bacteroides fragilis CL07T00C01 (997882.3)	2944	2968	1489	3668_4	4390	 	 	 	 
Bacteroides fragilis CL07T12C05 (997883.3)	87	63	1553	3266_4	3991	 	 	 	 
Bacteroides fragilis HMW 610 (1073386.3)	4708	4719	2744	1943_4	1388	 	 	 	 
Bacteroides fragilis HMW 615 (1073387.4)	1133	1154	3427	4035_4	2172	 	 	 	 
Bacteroides fragilis HMW 616 (1073388.3)	4070	4057	714	3081_4	2437	 	 	 	 
Bacteroides fragilis NCTC 9343 (272559.17)	22	4494	1370	3570	3051	 	 	 	 
Bacteroides fragilis YCH46 (295405.11)	62	4413	1433	3559	3049	 	 	 	 
Bacteroides intestinalis DSM 17393 (471870.8)	999	1054	3219	4654	2648	 	 	 	 
Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 (1121098.4)	111	137	813	2390_4	754	 	 	 	 
Bacteroides massiliensis dnLKV3 (1235788.3)	334	394	1642	4517_4	1631	 	 	 	 
Bacteroides nordii CL02T12C05 (997884.3)	292	272	3371	3849_4	1884	 	 	 	 
Bacteroides oleiciplenus YIT 12058 (742727.4)	2516	2484	4826	3372_4	3709	 	 	 	 
Bacteroides ovatus 3_8_47FAA (665954.3)	465	427	2006	4411	3575	 	 	 	 
Bacteroides ovatus ATCC 8483 (411476.11)	2433	2389	3669	1050	1117	 	 	 	 
Bacteroides ovatus CL02T12C04 (997885.3)	4959	5004	3479	3800_4	1708	 	 	 	 
Bacteroides ovatus CL03T12C18 (997886.3)	636	584	4234	3514_4	2603	 	 	 	 
Bacteroides ovatus SD CC 2a (702444.3)	336	3739	2110	4494	3606	 	 	 	 
