Organism	GndP	Gnd	Pgl	Rpe	Rpi	Tal	Tkt	Zwf
Propionibacterium acnes HL059PA2 (765092.3)	991_18	 	1025_31	1861_38	997_40	431_41	924_42	1027_46
Propionibacterium acnes HL063PA1 (765113.3)	1338_18	 	1306_31	2021_38	1332_40	926_41	419_42	1304_46
Propionibacterium acnes HL063PA2 (765114.3)	398_18	 	366_31	2217_38	392_40	1200_41	697_42	364_46
Propionibacterium acnes HL067PA1 (765110.3)	1818_18	 	1852_31	911_38	1824_40	1257_41	1750_42	1854_46
Propionibacterium acnes HL072PA1 (765074.3)	691_18	 	723_31	1593_38	697_40	2369_41	1863_42	725_46
Propionibacterium acnes HL072PA2 (765075.3)	1569_18	 	1601_31	1885_38	1575_40	149_41	659_42	1603_46
Propionibacterium acnes HL074PA1 (765076.3)	22_18	 	58_31	1503_38	28_40	912_41	2415_42	60_46
Propionibacterium acnes HL078PA1 (765071.3)	1072_18	 	1107_31	1610_38	1078_40	367_41	874_42	1109_46
Propionibacterium acnes HL082PA1 (765120.3)	1203_18	 	1170_31	1788_38	1197_40	307_41	818_42	1168_46
Propionibacterium acnes HL082PA2 (765121.3)	1152_18	 	1181_31	484_38	1158_40, 1556_40	2084_41	1549_42	 
Propionibacterium acnes HL083PA1 (765087.3)	440_18	 	476_31	2230_38	446_40	1135_41	189_42	478_46
Propionibacterium acnes HL083PA2 (765088.3)	398_18	 	363_31	1853_38	392_40	1079_41	591_42	361_46
Propionibacterium acnes HL086PA1 (765093.3)	569_18	 	536_31	1931_38	563_40	248_41	674_42	534_46
Propionibacterium acnes HL087PA2 (765082.3)	906_18	 	875_31	1445_38	1722_40, 900_40	2219_41	1715_42	873_46
Propionibacterium acnes HL087PA3 (765083.3)	979_18	 	1012_31	1792_38	985_40	848_41	356_42	1014_46
Propionibacterium acnes HL092PA1 (765086.3)	2172_18	 	2138_31	1654_38	2166_40	109_41	617_42	2136_46
Propionibacterium acnes HL096PA2 (765058.3)	1465_18	 	1428_31	2181_38	1459_40	865_41	330_42	1426_46
Propionibacterium acnes HL096PA3 (765057.3)	1607_18	 	1639_31	905_38	1613_40	631_41	122_42	1641_46
Propionibacterium acnes HL097PA1 (765064.3)	965_18	 	1000_31	2261_38	971_40	844_41	352_42	1002_46
Propionibacterium acnes HL099PA1 (765063.3)	2150_18	 	2114_31	1276_38	2144_40	525_41	2215_42	2112_46
Propionibacterium acnes HL103PA1 (765061.3)	1179_18	 	1149_31	1424_38	1173_40, 343_40	870_41	337_42	 
Propionibacterium acnes HL110PA1 (765077.3)	153_18	 	186_31	1790_38	159_40	981_41	1493_42	188_46
Propionibacterium acnes HL110PA2 (765078.3)	2008_18	 	2040_31	1772_38	2014_40	968_41	257_42	2042_46
Propionibacterium acnes HL110PA3 (765079.3)	1154_18	 	1182_31	1688_38	1160_40, 264_40	794_41	258_42	 
Propionibacterium acnes HL110PA4 (765080.3)	1673_18	 	1701_31	519_38	1109_40, 1679_40	109_41	1103_42	 
Propionibacterium acnes J139 (679194.3)	1607_18	 	1580_31	798_38	1601_40, 44_40	509_41	38_42	 
Propionibacterium acnes J165 (679195.3)	2147_18	 	2116_31	1899_38	2141_40	1753_41	768_42	2114_46
Propionibacterium acnes KPA171202 (267747.3)	1675_18	 	1610_31	1236_38	 	468_41	2388_42	 
Propionibacterium acnes SK137 (553199.9)	1640_18	 	1607_31	1246_38	1634_40	491_41	2349_42	1605_46
Propionibacterium acnes SK182 (679193.4)	1470_18	 	1436_31	761_38	1464_40	2105_41	1768_42	1434_46
Propionibacterium acnes SK182B-JCVI (1051006.4)	1978_18	 	1944_31	317_38	1596_40, 1972_40	 	1590_42	1942_46
Propionibacterium acnes SK187 (686659.3)	1974_18	 	2003_31	1136_38	1980_40	489_41	38_42	2005_46
Propionibacterium acnes TypeIA2 P.acn17 (1114967.3)	1675_18	 	1643_31	1250_38	1669_40	477_41	2405_42	1641_46
Propionibacterium acnes TypeIA2 P.acn31 (1114969.3)	1671_18	 	1639_31	1245_38	1665_40	471_41	2377_42	1637_46
Propionibacterium acnes TypeIA2 P.acn33 (1114966.3)	1659_18	 	1626_31	1228_38	1653_40	457_41	2364_42	1624_46
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 (754252.3)	470_18, 808_18	 	1472_31	1128_38	 	1825_41, 501_41	2141_42	 
Bifidobacterium adolescentis ATCC 15703 (367928.6)	213_18, 681_18	 	682_31	860_38	 	901_41	900_42	684_46
Bifidobacterium adolescentis L2-32 (411481.5)	506_18, 999_18	 	1000_31	1166_38	 	1125_41	1126_42	1002_46
Bifidobacterium animalis subsp. lactis BB-12 (552531.3)	1519_18	 	1518_31	1282_38	 	1325_41	1324_42	1516_46
Bifidobacterium animalis subsp. lactis BLC1 (1075106.4)	1034_18	 	1033_31	790_38	 	834_41	833_42	 
Bifidobacterium animalis subsp. lactis Bl-04 (580050.3)	1041_18	 	1040_31	796_38	 	841_41	840_42	 
Bifidobacterium animalis subsp. lactis CNCM I-2494 (1042403.4)	1031_18	 	 	789_38	 	833_41	832_42	 
Bifidobacterium animalis subsp. lactis DSM 10140 (555970.3)	1041_18	 	1040_31	795_38	 	840_41	839_42	 
Bifidobacterium animalis subsp. lactis HN019 (486409.3)	87_18	 	88_31	331_38	 	286_41	287_42	 
Bifidobacterium animalis subsp. lactis V9 (573236.3)	1035_18	 	1034_31	790_38	 	835_41	834_42	 
Bifidobacterium bifidum NCIMB 41171 (398513.5)	1574_18	 	1573_31	422_38	1554_39	452_41	451_42	1571_46
Bifidobacterium bifidum PRL2010 (702459.3)	1550_18, 24_18	 	1551_31	1030_38	1569_39	1061_41	1060_42	1553_46
Bifidobacterium bifidum S17 (883062.5)	1498_18	 	1499_31	974_38	1516_39	1003_41	1002_42	1501_46
Bifidobacterium breve ACS-071-V-Sch8b (866777.3)	237_18	 	238_31	799_38	 	838_41	837_42	240_46
Bifidobacterium breve UCC2003 (326426.4)	248_18	 	249_31	1116_38, 1482_38	 	1076_41	1077_42	 
Bifidobacterium dentium ATCC 27678 (473819.7)	2048_18, 431_18	 	2047_31	1169_38, 1732_38	 	1775_41	1774_42	 
Bifidobacterium dentium ATCC 27679 (871562.3)	1946_18, 409_18	 	1945_31	1005_38, 1122_38, 1499_38	 	1542_41	1541_42	 
Bifidobacterium dentium Bd1 (401473.3)	284_18, 812_18	 	813_31	1131_38, 1694_38	 	1088_41	1089_42	 
Bifidobacterium dentium JCVIHMP022 (553191.3)	2112_18, 883_18	 	884_31	141_38, 1462_38, 2084_38	 	97_41	98_42	886_46, 887_46
Bifidobacterium gallicum DSM 20093 (561180.4)	65_18	 	66_31	586_38	1037_39	576_41	575_42	68_46
Bifidobacterium longum NCC2705 (206672.9)	1188_18	 	1187_31	452_38	1678_39	414_41	415_42	1185_46
Bifidobacterium longum subsp. infantis 157F (565040.3)	177_18	 	178_31	1024_38	1748_39	1118_41	1117_42	180_46
Bifidobacterium longum subsp. infantis ATCC 55813 (548480.3)	1718_18	 	1719_31	1164_38	631_39	1207_41	1206_42	1721_46
Bifidobacterium longum subsp. infantis CCUG 52486 (537937.5)	448_18	 	447_31	885_38	1159_39	1589_41	1590_42	445_46
Bifidobacterium longum subsp. longum BBMN68 (890402.3)	1224_18	 	1223_31	481_38	1715_39	421_41	422_42	1221_46
Bifidobacterium longum subsp. longum F8 (722911.3)	1303_18	 	1302_31	315_38	1615_39	277_41	278_42	1300_46
Bifidobacterium longum subsp. longum JCM 1217 (565042.3)	197_18	 	198_31	903_38	1697_39	1141_41	1140_42	200_46
Bifidobacterium longum subsp. longum JDM301 (759350.3)	212_18	 	213_31	1005_38	1691_39	1042_41	1041_42	215_46
Bifidobacterium longum subsp. longum KACC 91563 (1035817.4)	1695_18	 	1694_31	953_38	225_39	894_41	895_42	1692_46
Scardovia inopinata F0304 (641146.3)	134_18	 	138_31	824_38	1376_39	777_41	778_42	140_46
Atopobium parvulum DSM 20469 (521095.6)	 	 	 	709_38	 	326_41	127_44, 128_43, 173_44, 174_43, 327_44, 328_43	 
Atopobium rimae ATCC 49626 (553184.4)	783_18	 	 	176_38	538_40	864_41	861_44, 862_43, 908_44, 909_43	 
Collinsella aerofaciens ATCC 25986 (411903.6)	 	 	 	1848_38	210_40	1488_41, 1523_41	1211_44, 1212_43, 1489_44, 1490_43	 
Collinsella intestinalis DSM 13280 (521003.7)	 	 	 	1159_38	 	1367_41	1365_43, 1366_44	 
Collinsella stercoris DSM 13279 (445975.6)	 	 	 	1042_38	1505_40	598_41	51_44, 52_43, 600_44, 601_43	 
Cryptobacterium curtum DSM 15641 (469378.5)	 	 	 	662_38	 	888_41	527_44, 528_43	 
Eggerthella lenta DSM 2243 (479437.5)	 	 	 	1392_38	 	1118_41	2063_43, 2064_44	 
Eggerthella sp. 1_3_56FAA (665943.3)	 	 	 	283_38	687_40	632_41	486_44, 487_43	 
Eggerthella sp. YY7918 (502558.4)	 	 	 	1638_38	1958_40	1854_41	1828_43, 1829_44	 
Gordonibacter pamelaeae 7-10-1-b (657308.3)	 	 	 	 	2706_40	2633_41, 2634_41	133_44, 153_43	 
Olsenella uli DSM 7084 (633147.4)	 	 	 	930_38	119_40	146_41, 51_41	56_44, 57_43	 
Slackia exigua ATCC 700122 (649764.3)	 	 	 	95_38	744_40	1602_41	434_43, 435_44	 
Actinomyces cardiffensis F0333 (888050.3)	884_18	 	1372_31	1330_38	249_40, 840_40	 	1368_42	1370_46
Actinomyces graevenitzii C83 (435830.3)	 	 	 	443_38	641_40, 972_40	1558_41	968_42	 
Actinomyces naeslundii str. Howell 279 (1115803.3)	2189_18	 	2192_31	2010_38	545_40	1997_41	2284_42	2190_46
Actinomyces turicensis ACS-279-V-Col4 (883077.3)	218_18	 	 	811_38	1228_40, 1579_40, 359_40	1435_41	844_42	 
Corynebacterium aurimucosum ATCC 700975 (Prj:31451) (548476.7)	41_18	 	129_31	143_38	2406_40	126_41	125_42	127_46
Corynebacterium durum F0235 (1035195.3)	1097_18	 	968_31	953_38	1768_40	971_41	972_42	970_46
Corynebacterium propinquum DSM 44285 (1121367.3)	34_18	 	115_31	130_38	1454_40	112_42_41	112_42_41	113_46
Gordonia rubripertincta NBRC 101908 (1077975.4)	2349_18	 	640_31	3890_38	2797_40	643_41	644_42	642_46
Gordonia terrae C-6 (1316928.3)	3450_18	 	532_31	517_38	1175_40	535_41	536_42	4412_46, 534_46
Gordonia terrae NBRC 100016 (1089454.3)	3533_18	 	3354_31	3370_38	1104_40	3351_41	1342_44, 1343_43, 1902_44, 1903_43, 3350_42	3312_46, 3352_46
Mycobacterium avium subsp. paratuberculosis JQ6 (1112208.3)	3600_18, 4836_18	 	4316_31	491_38	4072_40	4319_41	4320_42	3599_46, 4318_46
Mycobacterium avium subsp. paratuberculosis MAP4 (1199187.3)	1185_18, 2354_18	 	2768_31	2807_38	1581_40	2765_41	2764_42	1184_46, 2766_46
Mycobacterium avium subsp. paratuberculosis S5 (1247747.5)	2001_18, 3025_18	 	1558_31	1516_38	1195_40	1562_41	1563_42	1560_46, 1561_46, 3026_46, 3027_46
Mycobacterium abscessus 3A-0119-R (1001721.3)	2409_18, 5244_18	5161_19	2806_31	2852_38	1631_40	2803_41	2802_42	2804_46
Mycobacterium abscessus 3A-0122-R (1001715.3)	2445_18, 60_18	5194_19	2840_31	2886_38	1672_40	2837_41	2836_42	2838_46
Mycobacterium abscessus 3A-0122-S (1001716.3)	2004_18, 5053_18	4970_19	2398_31	2444_38	1195_40	2395_41	2394_42	2396_46
Mycobacterium abscessus 3A-0731 (1001718.3)	2357_18, 5318_18	5236_19	2947_31	2993_38	1582_40	2944_41	2943_42	2945_46
Mycobacterium abscessus 3A-0810-R (1001717.3)	2453_18, 5244_18	5161_19	2851_31	2897_38	1640_40	2848_41	2847_42	2849_46
Mycobacterium abscessus 3A-0930-R (1001720.3)	2459_18, 5189_18	5106_19	2858_31	2904_38	1680_40	2855_41	2854_42	2856_46
Mycobacterium abscessus 3A-0930-S (1001719.3)	2025_18, 5116_18	5034_19	2789_31	2835_38	1252_40	2786_41	2785_42	2787_46
Mycobacterium abscessus 47J26 (1087483.3)	1533_18, 4396_18	 	1164_31	1125_38	 	1167_41	1168_42	1166_46
Mycobacterium abscessus 4S-0116-R (1001725.3)	349_18, 4723_18	 	2471_31	2513_38	1635_40	2468_41	2467_42	2469_46
Mycobacterium abscessus 4S-0116-S (1001724.3)	1219_18, 3815_18	 	1565_31	1607_38	533_40	1562_41	1561_42	1563_46
Mycobacterium abscessus 4S-0206 (1001723.3)	1434_18, 4724_18	 	2475_31	2517_38	791_40	2472_41	2471_42	2473_46
Mycobacterium abscessus 4S-0303 (1001722.3)	24_18, 4717_18	 	2464_31	2507_38	1838_40	2461_41	2460_42	2462_46
Mycobacterium abscessus 4S-0726-RA (1001726.3)	2052_18, 4649_18	 	2399_31	2441_38	1386_40	2396_41	2395_42	2397_46
Mycobacterium abscessus 4S-0726-RB (1001727.3)	1662_18, 4266_18	 	2009_31	2052_38	972_40	2006_41	2005_42	2007_46
Mycobacterium abscessus 5S-0304 (1001728.3)	1214_18, 4197_18	 	1641_31	1684_38	555_40	1638_41	1637_42	1639_46
Mycobacterium abscessus 5S-0421 (1001729.3)	1495_18, 4432_18	 	1894_31	1937_38	809_40	1891_41	1890_42	1892_46
Mycobacterium abscessus 5S-0422 (1001731.3)	30_18, 941_18	 	2534_31	2576_38	1504_40	2531_41	2530_42	2532_46
Mycobacterium abscessus 5S-0708 (1001730.3)	1711_18, 4176_18	 	4577_31	4620_38	1021_40	4574_41	4573_42	4575_46
Mycobacterium abscessus 5S-0817 (1001735.3)	1277_18, 3801_18	 	5122_31	5079_38	588_40	5125_41	5126_42	5124_46
Mycobacterium abscessus 5S-0921 (1001732.3)	1936_18, 5106_18	 	2336_31	2379_38	1247_40	2333_41	2332_42	2334_46
Mycobacterium abscessus 5S-1212 (1001733.3)	1652_18, 3933_18	 	4531_31	4488_38	963_40	4534_41	4535_42	4533_46
Mycobacterium abscessus 5S-1215 (1001734.3)	4201_18, 991_18	 	4605_31	4647_38	1451_40	4602_41	4601_42	4603_46
Mycobacterium abscessus 6G-0125-R (1001740.3)	1474_18, 4071_18	3988_19	1826_31	1872_38	631_40	1823_41	1822_42	1824_46
Mycobacterium abscessus 6G-0212 (1001739.3)	2466_18, 5061_18	4978_19	2815_31	2861_38	1624_40	2812_41	2811_42	2813_46
Mycobacterium abscessus 9808 (1246644.3)	3189_18, 735_18	 	3540_31	3582_38	2410_40	3537_41	3536_42	3538_46
Mycobacterium abscessus M115 (1162287.3)	1224_18, 2352_18	 	2079_31	2041_38	3283_40	2082_41	2083_42	2081_46
Mycobacterium abscessus M139 (1175632.3)	1349_18, 3746_18	 	951_31	912_38	2162_40	954_41	955_42	953_46
Mycobacterium abscessus M152 (1176125.3)	2386_18, 3787_18	 	3474_31	3431_38	979_40	3477_41	3478_42	3476_46
Mycobacterium abscessus M154 (1162288.3)	2927_18, 4059_18	 	218_31	257_38	1733_40	215_41	214_42	216_46
Mycobacterium abscessus M156 (1185414.3)	1161_18, 3322_18	 	1893_31	1855_38	1527_40	1896_41	1897_42	1895_46
Mycobacterium abscessus M159 (1162285.3)	1009_18, 3552_18	 	1686_31	1725_38	469_40	1683_41	1682_42	1684_46
Mycobacterium abscessus M172 (1162286.3)	169_18, 5201_18	 	538_31	579_38	3045_40	535_41	534_42	536_46
Mycobacterium abscessus M24 (1162284.3)	1961_18, 3651_18	 	2956_31	3378_38	2342_40	2959_41	2960_42, 2961_42	2958_46
Mycobacterium abscessus M93 (1149134.5)	104_18, 2577_18	 	2170_31	2212_38	3965_40	2167_41	2166_42	2168_46
Mycobacterium abscessus M94 (1158135.4)	1592_18, 2816_18	 	1873_31	2115_38	1360_40	1870_41	1869_42	1871_46
Mycobacterium abscessus subsp. bolletii 50594 (1303024.3)	2406_18, 3_18	 	2786_31	2826_38	1739_40	2783_41	2782_42	2784_46
Mycobacterium abscessus subsp. bolletii BD (1091046.3)	2244_18, 4953_18	 	2610_31	2652_38	1556_40	2607_41	2606_42	2608_46
Mycobacterium fortuitum subsp. fortuitum DSM 46621 (1214102.3)	2673_18, 5508_18	 	 	1024_38	449_40	5285_41	5286_42	5284_46
Rhodococcus erythropolis XP (1078016.3)	2303_18, 5014_18	 	4953_31	4930_38	5771_40	4956_41	4957_42	4955_46
Brevibacterium casei S18 (1229781.4)	758_18	 	 	1386_38	2678_40, 454_40	1428_41	1429_42	 
Brevibacterium massiliense 5401308 (1176165.3)	 	 	 	1108_38	1405_40	1064_41	1063_42	 
Brachybacterium paraconglomeratum LC44 (1064537.3)	2057_18	 	 	2509_38	1828_40, 2879_40, 94_40	2423_41	2424_42, 2656_42, 2896_43, 2897_44, 3417_44	2422_46
Curtobacterium flaccumfaciens UCD-AKU (1292022.3)	2871_18, 711_18	 	169_31	113_38	1455_40, 2113_40, 3414_40	173_41, 3356_41	174_42	1348_46, 171_46, 2742_46
Microbacterium paraoxydans 77MFTsu3.2 (1151126.3)	2931_18	 	1035_31	1292_38	1963_40, 2557_40	1038_41	1039_42	1037_46, 2132_46
Kocuria palustris PEL (1236550.3)	1719_18	 	2159_31	1973_38	1756_40, 2247_40	2164_41	2165_42	2161_46, 508_46
Rothia aeria F0474 (1125724.3)	844_18	 	174_31	541_38	970_40	177_41	178_42	176_46
Rothia mucilaginosa M508 (563033.4)	735_18	 	1006_31	721_38	794_40	1003_41	1002_42	1004_46
Propionibacterium acidipropionici ATCC 4875 (1171373.8)	1258_18, 2285_18	 	2246_31	1735_38	 	3344_41, 939_41	1146_42, 436_42	 
Propionibacterium acnes C1 (1234380.3)	1736_18	 	1701_31	1294_38	1730_40, 2464_40	480_41	2458_42	1699_46
Propionibacterium acnes FZ1/2/0 (1276649.3)	1679_18	 	1646_31	1254_38	1673_40	475_41	2389_42	1644_46
Propionibacterium acnes HL096PA1 (1134454.3)	646_18	 	684_31	1056_38	653_40	511_41	2420_42	686_46
Propionibacterium acnes PRP-38 (1136877.3)	2352_18	 	2317_31	1949_38	2346_40	1184_41	686_42	2315_46
Propionibacterium avidum 44067 (1170318.3)	621_18	 	649_31	1022_38	2191_40, 629_40	 	2198_42	651_46
Propionibacterium avidum ATCC 25577 (997355.3)	219_18	 	191_31	1728_38	1007_40, 211_40	432_41	1000_42	189_46
Propionibacterium propionicum F0230a (767029.3)	1826_18	 	1047_31	1568_38	1802_40, 2223_40, 680_40	115_41	1136_42	1049_46
