Organism	GlyA	GlyB	Tdh	Kbl	GlyTrns
Propionibacterium acnes HL086PA1 (765093.3)	164	 	193	194_4	1256_7, 586_7, 615_7, 616_7
Propionibacterium acnes HL087PA2 (765082.3)	2135	 	2165	2166_4	1679_7, 1680_7, 292_7, 922_7
Propionibacterium acnes HL087PA3 (765083.3)	764	 	793	794_4	1388_7, 320_7, 321_7, 962_7
Propionibacterium acnes HL092PA1 (765086.3)	196	 	168	167_4	1956_7, 2188_7, 677_7, 678_7
Propionibacterium acnes HL096PA2 (765058.3)	780	 	808	809_4	1481_7, 1523_7, 294_7, 295_7
Propionibacterium acnes HL096PA3 (765057.3)	545	 	575	576_4	1590_7, 2253_7, 87_7, 88_7
Propionibacterium acnes HL097PA1 (765064.3)	761	 	789	790_4	1589_7, 295_7, 296_7, 949_7
Propionibacterium acnes HL099PA1 (765063.3)	438	 	467	468_4	2166_7, 2180_7, 2181_7, 721_7
Propionibacterium acnes HL103PA1 (765061.3)	775	 	810	811_4	1195_7, 2414_7, 304_7, 305_7
Propionibacterium acnes HL110PA1 (765077.3)	1070	 	1040	1039_4	136_7, 1553_7, 1554_7, 1572_7
Propionibacterium acnes HL110PA2 (765078.3)	881	 	910	911_4	1991_7, 2223_7, 316_7, 317_7
Propionibacterium acnes HL110PA3 (765079.3)	699	 	734	735_4	1127_7, 1138_7, 225_7, 226_7
Propionibacterium acnes HL110PA4 (765080.3)	1637	 	1999	1998_4	1071_7, 1072_7, 1653_7, 1657_7
Propionibacterium acnes J139 (679194.3)	429	 	461	462_4	10_7, 11_7, 1624_7, 2140_7
Propionibacterium acnes J165 (679195.3)	2371	 	88	89_4	1671_7, 64_7, 734_7, 735_7
Propionibacterium acnes KPA171202 (267747.3)	379	 	412	413_4	1690_7, 2335_7, 2351_7, 2352_7
Propionibacterium acnes SK137 (553199.9)	408	 	435	436_4	1656_7, 2296_7, 2313_7, 2314_7
Propionibacterium acnes SK182 (679193.4)	2190	 	2161	2160_4	1003_7, 1487_7, 1804_7, 1805_7
Propionibacterium acnes SK182B-JCVI (1051006.4)	1391	 	1431	1432_4	1556_7, 1557_7, 1992_7, 1993_7, 828_7
Propionibacterium acnes SK187 (686659.3)	413	 	440	441_4	10_7, 1960_7, 664_7, 9_7
Propionibacterium acnes TypeIA2 P.acn17 (1114967.3)	390	 	422	423_4	1692_7, 2324_7, 2342_7, 2343_7
Propionibacterium acnes TypeIA2 P.acn31 (1114969.3)	386	 	414	415_4	1687_7, 2321_7, 2339_7, 2340_7
Propionibacterium acnes TypeIA2 P.acn33 (1114966.3)	373	 	401	402_4	1675_7, 2311_7, 2328_7, 2329_7
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 (754252.3)	1795	 	 	 	1962_7, 39_7
Bifidobacterium adolescentis ATCC 15703 (367928.6)	975	571	 	 	 
Bifidobacterium adolescentis L2-32 (411481.5)	1544	868	 	 	 
Bifidobacterium animalis subsp. lactis BB-12 (552531.3)	 	1105	 	 	 
Bifidobacterium animalis subsp. lactis BLC1 (1075106.4)	 	619	 	 	 
Bifidobacterium animalis subsp. lactis Bl-04 (580050.3)	 	623	 	 	 
Bifidobacterium animalis subsp. lactis CNCM I-2494 (1042403.4)	 	616	 	 	 
Bifidobacterium animalis subsp. lactis DSM 10140 (555970.3)	 	622	 	 	 
Bifidobacterium animalis subsp. lactis HN019 (486409.3)	 	1256	 	 	 
Bifidobacterium animalis subsp. lactis V9 (573236.3)	 	619	 	 	 
Bifidobacterium bifidum NCIMB 41171 (398513.5)	 	749	 	 	 
Bifidobacterium bifidum PRL2010 (702459.3)	 	1344	 	 	 
Bifidobacterium bifidum S17 (883062.5)	 	1301	 	 	 
Bifidobacterium breve ACS-071-V-Sch8b (866777.3)	 	1260	 	 	 
Bifidobacterium breve UCC2003 (326426.4)	 	652	 	 	 
Bifidobacterium dentium ATCC 27678 (473819.7)	1665	14	 	 	 
Bifidobacterium dentium ATCC 27679 (871562.3)	1452	32	 	 	 
Bifidobacterium dentium Bd1 (401473.3)	1199	699	 	 	 
Bifidobacterium dentium JCVIHMP022 (553191.3)	189	1819	 	 	 
Bifidobacterium gallicum DSM 20093 (561180.4)	 	864	 	 	 
Bifidobacterium longum NCC2705 (206672.9)	739	810	 	 	 
Bifidobacterium longum subsp. infantis 157F (565040.3)	621	544	 	 	 
Bifidobacterium longum subsp. infantis ATCC 55813 (548480.3)	108	178	 	 	 
Bifidobacterium longum subsp. infantis CCUG 52486 (537937.5)	16	86	 	 	 
Bifidobacterium longum subsp. longum BBMN68 (890402.3)	801	877	 	 	 
Bifidobacterium longum subsp. longum F8 (722911.3)	606	681	 	 	 
Bifidobacterium longum subsp. longum JCM 1217 (565042.3)	614	530	 	 	 
Bifidobacterium longum subsp. longum JDM301 (759350.3)	670	590	 	 	 
Bifidobacterium longum subsp. longum KACC 91563 (1035817.4)	1270	1340	 	 	 
Scardovia inopinata F0304 (641146.3)	 	1401, 1402	 	 	 
Atopobium parvulum DSM 20469 (521095.6)	 	 	 	 	 
Atopobium rimae ATCC 49626 (553184.4)	 	 	 	 	 
Collinsella aerofaciens ATCC 25986 (411903.6)	 	1062	 	 	 
Collinsella intestinalis DSM 13280 (521003.7)	176	378	 	 	 
Collinsella stercoris DSM 13279 (445975.6)	1716, 1717	 	 	 	 
Cryptobacterium curtum DSM 15641 (469378.5)	1164	 	 	 	 
Eggerthella lenta DSM 2243 (479437.5)	1062	3008	 	 	 
Eggerthella sp. 1_3_56FAA (665943.3)	686	1202	 	 	 
Eggerthella sp. YY7918 (502558.4)	1957	1388	 	 	 
Gordonibacter pamelaeae 7-10-1-b (657308.3)	2705	2057	 	 	 
Olsenella uli DSM 7084 (633147.4)	 	 	 	 	 
Slackia exigua ATCC 700122 (649764.3)	743	 	 	 	 
Actinomyces cardiffensis F0333 (888050.3)	384	1487	 	 	816_7
Actinomyces graevenitzii C83 (435830.3)	1627	 	1239	1241_4	 
Actinomyces naeslundii str. Howell 279 (1115803.3)	1157	 	 	 	582_7
Actinomyces turicensis ACS-279-V-Col4 (883077.3)	1219	964	 	 	327_7
Corynebacterium aurimucosum ATCC 700975 (Prj:31451) (548476.7)	401	1414	 	 	 
Corynebacterium durum F0235 (1035195.3)	62	 	 	 	 
Corynebacterium propinquum DSM 44285 (1121367.3)	439	 	 	 	 
Gordonia rubripertincta NBRC 101908 (1077975.4)	1107, 1397	 	 	 	2160_7
Gordonia terrae C-6 (1316928.3)	1376, 2576	 	 	 	821_7
Gordonia terrae NBRC 100016 (1089454.3)	2657, 2879, 875	 	 	 	4435_7
Mycobacterium avium subsp. paratuberculosis JQ6 (1112208.3)	3568	 	 	 	 
Mycobacterium avium subsp. paratuberculosis MAP4 (1199187.3)	1154	 	 	 	 
Mycobacterium avium subsp. paratuberculosis S5 (1247747.5)	3057	 	 	 	 
Mycobacterium abscessus 3A-0119-R (1001721.3)	1197	 	 	 	4118_7
Mycobacterium abscessus 3A-0122-R (1001715.3)	1226	 	 	 	4154_7
Mycobacterium abscessus 3A-0122-S (1001716.3)	787	 	 	 	3934_7
Mycobacterium abscessus 3A-0731 (1001718.3)	1065	 	 	 	4198_7
Mycobacterium abscessus 3A-0810-R (1001717.3)	1241	 	 	 	4123_7
Mycobacterium abscessus 3A-0930-R (1001720.3)	1250	 	 	 	4068_7
Mycobacterium abscessus 3A-0930-S (1001719.3)	822	 	 	 	3996_7
Mycobacterium abscessus 47J26 (1087483.3)	1910	 	 	 	26_7
Mycobacterium abscessus 4S-0116-R (1001725.3)	1305	 	 	 	3643_7
Mycobacterium abscessus 4S-0116-S (1001724.3)	203	 	 	 	2735_7
Mycobacterium abscessus 4S-0206 (1001723.3)	461	 	 	 	3644_7
Mycobacterium abscessus 4S-0303 (1001722.3)	1507	 	 	 	3636_7
Mycobacterium abscessus 4S-0726-RA (1001726.3)	1057	 	 	 	3570_7
Mycobacterium abscessus 4S-0726-RB (1001727.3)	641	 	 	 	3183_7
Mycobacterium abscessus 5S-0304 (1001728.3)	206	 	 	 	3126_7
Mycobacterium abscessus 5S-0421 (1001729.3)	461	 	 	 	3378_7
Mycobacterium abscessus 5S-0422 (1001731.3)	1159	 	 	 	4248_7
Mycobacterium abscessus 5S-0708 (1001730.3)	2296	 	 	 	3102_7
Mycobacterium abscessus 5S-0817 (1001735.3)	241	 	 	 	2729_7
Mycobacterium abscessus 5S-0921 (1001732.3)	900	 	 	 	4027_7
Mycobacterium abscessus 5S-1212 (1001733.3)	616	 	 	 	2858_7
Mycobacterium abscessus 5S-1215 (1001734.3)	1799	 	 	 	3203_7
Mycobacterium abscessus 6G-0125-R (1001740.3)	294	 	 	 	2953_7
Mycobacterium abscessus 6G-0212 (1001739.3)	1288	 	 	 	3942_7
Mycobacterium abscessus 9808 (1246644.3)	2074	 	 	 	3317_7, 4157_7
Mycobacterium abscessus M115 (1162287.3)	4119	 	 	 	811_7
Mycobacterium abscessus M139 (1175632.3)	4496	 	 	 	1221_7, 646_7
Mycobacterium abscessus M152 (1176125.3)	3024	 	 	 	1836_7, 4283_7
Mycobacterium abscessus M154 (1162288.3)	4249	 	 	 	1106_7
Mycobacterium abscessus M156 (1185414.3)	531	 	 	 	1119_7, 2142_7
Mycobacterium abscessus M159 (1162285.3)	140	 	 	 	4680_7, 496_7
Mycobacterium abscessus M172 (1162286.3)	4112	 	 	 	1435_7
Mycobacterium abscessus M24 (1162284.3)	3712	 	 	 	3479_7
Mycobacterium abscessus M93 (1149134.5)	3627	 	 	 	981_7
Mycobacterium abscessus M94 (1158135.4)	2593	 	 	 	3046_7
Mycobacterium abscessus subsp. bolletii 50594 (1303024.3)	1305	 	 	 	3967_7
Mycobacterium abscessus subsp. bolletii BD (1091046.3)	1223	 	 	 	3724_7
Mycobacterium fortuitum subsp. fortuitum DSM 46621 (1214102.3)	3565	28	 	 	900_7
Rhodococcus erythropolis XP (1078016.3)	464, 5884	1878	 	 	704_7
Brevibacterium casei S18 (1229781.4)	2156, 2330	2427	 	 	 
Brevibacterium massiliense 5401308 (1176165.3)	667	148	 	 	 
Brachybacterium paraconglomeratum LC44 (1064537.3)	757	 	1747	1746_4	 
Curtobacterium flaccumfaciens UCD-AKU (1292022.3)	1110	2966	 	 	 
Microbacterium paraoxydans 77MFTsu3.2 (1151126.3)	3417	140	 	 	 
Kocuria palustris PEL (1236550.3)	2117	 	2005	2006_4	 
Rothia aeria F0474 (1125724.3)	1183	 	 	 	1197_7, 1998_7
Rothia mucilaginosa M508 (563033.4)	1346	 	 	 	1331_7, 1332_7, 1517_7
Propionibacterium acidipropionici ATCC 4875 (1171373.8)	844	1699	876	877_4	2326_7
Propionibacterium acnes C1 (1234380.3)	392	 	424	425_4	1753_7, 2403_7, 2421_7, 2422_7
Propionibacterium acnes FZ1/2/0 (1276649.3)	387	 	417	418_4	1696_7, 2339_7, 2358_7, 2359_7
Propionibacterium acnes HL096PA1 (1134454.3)	425	 	454	455_4	2366_7, 2384_7, 2385_7, 629_7
Propionibacterium acnes PRP-38 (1136877.3)	1102	 	1130	1131_4	2368_7, 627_7, 629_7
Propionibacterium avidum 44067 (1170318.3)	1786	 	1763	1762_4	2237_7, 2239_7, 569_7
Propionibacterium avidum ATCC 25577 (997355.3)	1409	 	1432	1433_4	239_7, 960_7, 961_7
Propionibacterium propionicum F0230a (767029.3)	675	 	966	965_4	1505_7, 876_7
Bifidobacterium angulatum DSM 20098 = JCM 7096 (518635.7)	 	501	 	 	 
Bifidobacterium animalis subsp. animalis ATCC 25527 (703613.4)	 	631	 	 	 
Bifidobacterium animalis subsp. lactis B420 (1168290.3)	 	618	 	 	 
Bifidobacterium animalis subsp. lactis BS 01 (911598.3)	 	668	 	 	 
Bifidobacterium animalis subsp. lactis Bi-07 (742729.3)	 	617	 	 	 
Bifidobacterium bifidum BGN4 (484020.3)	 	1264	 	 	 
Bifidobacterium bifidum LMG 13195 (1207542.3)	 	175	 	 	 
Bifidobacterium breve CECT 7263 (1036735.3)	 	1330	 	 	 
Bifidobacterium breve DPC 6330 (1074482.3)	 	1332	 	 	 
Bifidobacterium breve DSM 20213 = JCM 1192 (518634.7)	 	605	 	 	 
Bifidobacterium breve HPH0326 (1203540.3)	 	688	 	 	 
Bifidobacterium catenulatum DSM 16992 = JCM 1194 (566552.6)	600	1602	 	 	 
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 (391904.8)	1919	2014	 	 	 
Bifidobacterium longum subsp. longum 1-6B (1161744.3)	180	1843	 	 	 
Bifidobacterium longum subsp. longum 2-2B (1161745.3)	2076	1745	 	 	 
Bifidobacterium longum subsp. longum 35B (1161904.3)	1346	1926	 	 	 
Bifidobacterium longum subsp. longum 44B (1161743.3)	1803	449	 	 	 
Bifidobacterium longum subsp. longum CMCC P0001 (1266716.3)	95	13	 	 	 
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 (547043.8)	1303	41	 	 	 
Bifidobacterium thermophilum RBL67 (1254439.12)	 	54	 	 	 
Atopobium minutum 10063974 (997872.3)	 	1108	 	 	 
Collinsella tanakaei YIT 12063 (742742.3)	937	698	 	 	 
Slackia piriformis YIT 12062 (742818.3)	1380	112	 	1890_4	 
Bacteroides fragilis ATCC 25285 (272559.3)	2137	2617	2856	2008_4, 2333_5, 2857_4	 
Bacteroides caccae ATCC 43185 (411901.7)	724	2524	2363	2362_4, 557_5	 
Bacteroides caccae CL03T12C61 (997873.3)	1782	2903	2500	2116_5, 2501_4, 4675_4	 
Bacteroides capillosus ATCC 29799 (411467.6)	1663	1811	 	 	 
Bacteroides cellulosilyticus CL02T12C19 (997874.3)	4331	2943	1516	1515_4, 4570_5	 
Bacteroides cellulosilyticus DSM 14838 (537012.5)	4171	4817	528	4347_5, 529_4	 
Bacteroides clarus YIT 12056 (762984.3)	780	1012, 1013	1401	1399_4, 686_5	 
Bacteroides coprocola DSM 17136 (470145.6)	2544	767	 	2472_5	 
Bacteroides coprophilus DSM 18228 (547042.5)	63	408	128	129_4, 1415_5	 
Bacteroides dorei CL02T00C15 (997875.3)	3937	5198	3202	3203_4, 3752_5	 
Bacteroides dorei CL02T12C06 (997876.3)	3529	4911	1855	1856_4, 3348_5	 
Bacteroides dorei CL03T12C01 (997877.3)	94	4164	2411	2410_4, 277_5, 4583_4	 
Bacteroides dorei DSM 17855 (483217.6)	2371	 	1853	1852_4, 2551_5	 
Bacteroides eggerthii 1_2_48FAA (665953.3)	2686	 	3000	2998_4, 3460_5, 3888_4	 
Bacteroides eggerthii DSM 20697 (483216.6)	2179	 	1304	1303_4, 2268_5	 
Bacteroides faecis MAJ27 (1077285.3)	3332	4291	3822	3823_4, 4792_4	 
Bacteroides finegoldii DSM 17565 (483215.6)	2761	407	237	2121_5, 238_4	 
Bacteroides fluxus YIT 12057 (763034.3)	2406	109	886	56_5, 885_4	 
Bacteroides fragilis 3_1_12 (457424.5)	1225	3443	3004	1376_5, 3005_4, 3770_4	 
Bacteroides fragilis 638R (862962.3)	2357	3346	2953	2473_5, 2954_4	 
Bacteroides fragilis CL03T00C08 (997878.3)	2235	3322	2786	2364_5, 2787_4	 
Bacteroides fragilis CL03T12C07 (997879.3)	3378	2152	1621	1622_4, 3508_5	 
Bacteroides fragilis CL05T00C42 (997880.3)	3873	2798	2431	2432_4, 3766_5	 
Bacteroides fragilis CL05T12C13 (997881.3)	3406	2364	4481	3293_5, 4482_4	 
Bacteroides fragilis CL07T00C01 (997882.3)	627	4600	4227	380_5, 4228_4	 
Bacteroides fragilis CL07T12C05 (997883.3)	2413	4202	3828	2658_5, 3829_4	 
Bacteroides fragilis HMW 610 (1073386.3)	451	1640	1077	1078_4, 618_5	 
Bacteroides fragilis HMW 615 (1073387.4)	4348	1953	2331	2330_4, 2870_5	 
Bacteroides fragilis HMW 616 (1073388.3)	1653	2690	2337	1848_5, 2338_4	 
Bacteroides fragilis NCTC 9343 (272559.17)	2250	3257	2885	2007_5, 2466_5, 2886_4	 
Bacteroides fragilis YCH46 (295405.11)	2142	3252	2867	1902_5, 2296_5, 2869_4	 
Bacteroides intestinalis DSM 17393 (471870.8)	2121	3046	3284	1898_5, 3285_4, 400_4	 
Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 (1121098.4)	1393	2915	477	1542_5, 478_4	 
Bacteroides massiliensis dnLKV3 (1235788.3)	3351	3623	113	112_4, 2318_5	 
Bacteroides nordii CL02T12C05 (997884.3)	2503	3046	3614	2646_5, 3613_4	 
Bacteroides oleiciplenus YIT 12058 (742727.4)	364	5520	4872	4873_4	 
Bacteroides ovatus 3_8_47FAA (665954.3)	1024	4675	1763	1764_4, 662_5	 
Bacteroides ovatus ATCC 8483 (411476.11)	187	3890	1236	1237_4, 306_5	 
Bacteroides ovatus CL02T12C04 (997885.3)	410	3720	3240	1609_5, 3241_4, 595_5	 
Bacteroides ovatus CL03T12C18 (997886.3)	3120	5032	5371	3305_5, 5372_4	 
Bacteroides ovatus SD CC 2a (702444.3)	2917	1591	1248	1249_4, 374_5	 
Bacteroides pectinophilus ATCC 43243 (483218.5)	2071	 	 	 	 
Bacteroides plebeius DSM 17135 (484018.6)	1462	770	51	273_5, 52_4, 712_4, 751_4	 
Bacteroides salyersiae CL02T12C01 (997887.3)	3062	3498	4185	3206_5, 4184_4	 
Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 (1121101.3)	3486	2433	3021	3020_4, 3364_5	 
Bacteroides sp. 1_1_14 (469585.3)	2453	4318	3120	2090_5, 3119_4	 
Bacteroides sp. 1_1_30 (457387.3)	57	4228	3053	230_5, 3054_4	 
Bacteroides sp. 1_1_6 (469586.3)	730	4062	4408	4409_4, 609_5	 
Bacteroides sp. 20_3 (469591.4)	2486	2185	2534	1819_5, 2533_4	 
Bacteroides sp. 2_1_22 (469588.3)	2015	4231	3805	2138_5, 3806_4	 
Bacteroides sp. 2_1_33B (469589.3)	226	1196	319	2422_5, 318_4	 
Bacteroides sp. 2_1_7 (457388.5)	1100	2736	1120	1119_4, 1951_5, 568_4	 
Bacteroides sp. 2_2_4 (469590.5)	4653	294	4802	4801_4, 5619_5	 
Bacteroides sp. 3_1_19 (469592.4)	2928	2622	2948	2426_5, 2947_4, 822_4	 
Bacteroides sp. 3_1_23 (457390.3)	522	4929	1239	1240_4, 212_5	 
Bacteroides sp. 3_1_33FAA (457391.3)	2743	 	2133	2134_4, 2915_5	 
Bacteroides sp. 3_1_40A (469593.3)	1125	4725	71	1595_5, 72_4	 
Bacteroides sp. 3_2_5 (457392.3)	2406	2107	1724	1725_4, 2531_5, 3822_5	 
Bacteroides sp. 4_1_36 (457393.3)	 	1879	2946	2431_5, 2948_4	 
Bacteroides sp. 4_3_47FAA (457394.3)	1265	2747	213	214_4, 3456_5, 4458_4	 
Bacteroides sp. 9_1_42FAA (457395.6)	2632	 	910	2809_5, 4710_4, 911_4	 
Bacteroides sp. D1 (556258.5)	2858	3657	2452	2451_4, 4103_5	 
Bacteroides sp. D2 (556259.3)	4554	3100	3557	3556_4, 4275_5	 
Bacteroides sp. D20 (585543.3)	3453	26	2885	2884_4, 3313_5	 
