Organism	UbiC	UbiA	UbiXDZ	UbiI	UbiG	UbiH	UbiE	MenG	UbiF
Propionibacterium acnes HL046PA1 (765094.3)	 	 	 	 	 	 	150_13	150_13	 
Propionibacterium acnes HL046PA2 (765095.3)	 	 	 	 	 	 	288_13	288_13	 
Propionibacterium acnes HL050PA1 (765100.3)	 	 	 	 	 	 	305_13	305_13	 
Propionibacterium acnes HL050PA2 (765101.3)	 	 	 	 	 	 	1215_13	1215_13	 
Propionibacterium acnes HL050PA3 (765102.3)	 	 	 	 	 	 	689_13	689_13	 
Propionibacterium acnes HL053PA1 (765066.3)	 	 	 	 	 	 	1422_13	1422_13	 
Propionibacterium acnes HL053PA2 (765067.3)	 	 	 	 	 	 	47_13	47_13	 
Propionibacterium acnes HL056PA1 (765119.3)	 	 	 	 	 	 	1754_13	1754_13	 
Propionibacterium acnes HL059PA1 (765091.3)	 	 	 	 	 	 	2067_13	2067_13	 
Propionibacterium acnes HL059PA2 (765092.3)	 	 	 	 	 	 	2119_13	2119_13	 
Propionibacterium acnes HL063PA1 (765113.3)	 	 	 	 	 	 	1094_13	1094_13	 
Propionibacterium acnes HL063PA2 (765114.3)	 	 	 	 	 	 	452_13	452_13	 
Propionibacterium acnes HL067PA1 (765110.3)	 	 	 	 	 	 	2096_13	2096_13	 
Propionibacterium acnes HL072PA1 (765074.3)	 	 	 	 	 	 	562_13	562_13	 
Propionibacterium acnes HL072PA2 (765075.3)	 	 	 	 	 	 	1224_13	1224_13	 
Propionibacterium acnes HL074PA1 (765076.3)	 	 	 	 	 	 	287_13	287_13	 
Propionibacterium acnes HL078PA1 (765071.3)	 	 	 	 	 	 	1385_13	1385_13	 
Propionibacterium acnes HL082PA1 (765120.3)	 	 	 	 	 	 	1525_13	1525_13	 
Propionibacterium acnes HL082PA2 (765121.3)	 	 	 	 	 	 	2286_13	2286_13	 
Propionibacterium acnes HL083PA1 (765087.3)	 	 	 	 	 	 	1297_13	1297_13	 
Propionibacterium acnes HL083PA2 (765088.3)	 	 	 	 	 	 	2209_13	2209_13	 
Propionibacterium acnes HL086PA1 (765093.3)	 	 	 	 	 	 	2197_13	2197_13	 
Propionibacterium acnes HL087PA2 (765082.3)	 	 	 	 	 	 	2376_13	2376_13	 
Propionibacterium acnes HL087PA3 (765083.3)	 	 	 	 	 	 	1435_13	1435_13	 
Propionibacterium acnes HL092PA1 (765086.3)	 	 	 	 	 	 	1915_13	1915_13	 
Propionibacterium acnes HL096PA2 (765058.3)	 	 	 	 	 	 	1050_13	1050_13	 
Propionibacterium acnes HL096PA3 (765057.3)	 	 	 	 	 	 	2305_13	2305_13	 
Propionibacterium acnes HL097PA1 (765064.3)	 	 	 	 	 	 	1312_13	1312_13	 
Propionibacterium acnes HL099PA1 (765063.3)	 	 	 	 	 	 	680_13	680_13	 
Propionibacterium acnes HL103PA1 (765061.3)	 	 	 	 	 	 	2164_13	2164_13	 
Propionibacterium acnes HL110PA1 (765077.3)	 	 	 	 	 	 	585_13	585_13	 
Propionibacterium acnes HL110PA2 (765078.3)	 	 	 	 	 	 	681_13	681_13	 
Propionibacterium acnes HL110PA3 (765079.3)	 	 	 	 	 	 	174_13	174_13	 
Propionibacterium acnes HL110PA4 (765080.3)	 	 	 	 	 	 	1935_13	1935_13	 
Propionibacterium acnes J139 (679194.3)	 	 	 	 	 	 	2100_13	2100_13	 
Propionibacterium acnes J165 (679195.3)	 	 	 	 	 	 	416_13	416_13	 
Propionibacterium acnes KPA171202 (267747.3)	 	 	 	 	 	 	1994_13	1994_13	 
Propionibacterium acnes SK137 (553199.9)	 	 	 	 	 	 	1963_13	1963_13	 
Propionibacterium acnes SK182 (679193.4)	 	 	 	 	 	 	1536_13	1536_13	 
Propionibacterium acnes SK182B-JCVI (1051006.4)	 	 	 	 	 	 	814_13	814_13	 
Propionibacterium acnes SK187 (686659.3)	 	 	 	 	 	 	1382_13	1382_13	 
Propionibacterium acnes TypeIA2 P.acn17 (1114967.3)	 	 	 	 	 	 	1990_13	1990_13	 
Propionibacterium acnes TypeIA2 P.acn31 (1114969.3)	 	 	 	 	 	 	1985_13	1985_13	 
Propionibacterium acnes TypeIA2 P.acn33 (1114966.3)	 	 	 	 	 	 	1978_13	1978_13	 
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 (754252.3)	 	 	 	 	 	 	514_13	514_13	 
Bifidobacterium adolescentis ATCC 15703 (367928.6)	 	 	 	 	 	 	 	 	 
Bifidobacterium adolescentis L2-32 (411481.5)	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis BB-12 (552531.3)	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis BLC1 (1075106.4)	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis Bl-04 (580050.3)	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis CNCM I-2494 (1042403.4)	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis DSM 10140 (555970.3)	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis HN019 (486409.3)	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis V9 (573236.3)	 	 	 	 	 	 	 	 	 
Bifidobacterium bifidum NCIMB 41171 (398513.5)	 	 	 	 	 	 	 	 	 
Bifidobacterium bifidum PRL2010 (702459.3)	 	 	 	 	 	 	 	 	 
Bifidobacterium bifidum S17 (883062.5)	 	 	 	 	 	 	 	 	 
Bifidobacterium breve ACS-071-V-Sch8b (866777.3)	 	 	 	 	 	 	 	 	 
Bifidobacterium breve UCC2003 (326426.4)	 	 	 	 	 	 	 	 	 
Bifidobacterium dentium ATCC 27678 (473819.7)	 	 	 	 	 	 	 	 	 
Bifidobacterium dentium ATCC 27679 (871562.3)	 	 	 	 	 	 	 	 	 
Bifidobacterium dentium Bd1 (401473.3)	 	 	 	 	 	 	 	 	 
Bifidobacterium dentium JCVIHMP022 (553191.3)	 	 	 	 	 	 	 	 	 
Bifidobacterium gallicum DSM 20093 (561180.4)	 	 	 	 	 	 	 	 	 
Bifidobacterium longum NCC2705 (206672.9)	 	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. infantis 157F (565040.3)	 	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. infantis ATCC 55813 (548480.3)	 	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. infantis CCUG 52486 (537937.5)	 	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. longum BBMN68 (890402.3)	 	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. longum F8 (722911.3)	 	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. longum JCM 1217 (565042.3)	 	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. longum JDM301 (759350.3)	 	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. longum KACC 91563 (1035817.4)	 	 	 	 	 	 	 	 	 
Scardovia inopinata F0304 (641146.3)	 	 	 	 	 	 	 	 	 
Atopobium parvulum DSM 20469 (521095.6)	 	 	 	 	 	 	722_13	722_13	 
Atopobium rimae ATCC 49626 (553184.4)	 	 	 	 	 	 	 	 	 
Collinsella aerofaciens ATCC 25986 (411903.6)	 	 	 	 	 	 	 	 	 
Collinsella intestinalis DSM 13280 (521003.7)	 	 	 	 	 	 	 	 	 
Collinsella stercoris DSM 13279 (445975.6)	 	 	 	 	 	 	 	 	 
Cryptobacterium curtum DSM 15641 (469378.5)	 	 	 	 	 	 	1131_13, 432_13	1131_13, 432_13	 
Eggerthella lenta DSM 2243 (479437.5)	 	 	 	 	 	 	2912_13	2912_13	 
Eggerthella sp. 1_3_56FAA (665943.3)	 	 	 	 	 	 	1114_13	1114_13	 
Eggerthella sp. YY7918 (502558.4)	 	 	 	 	 	 	2407_13	2407_13	 
Gordonibacter pamelaeae 7-10-1-b (657308.3)	 	 	 	 	 	 	1144_13	1144_13	 
Olsenella uli DSM 7084 (633147.4)	 	 	 	 	 	 	 	 	 
Slackia exigua ATCC 700122 (649764.3)	 	 	 	 	 	 	861_13	861_13	 
Actinomyces cardiffensis F0333 (888050.3)	 	 	 	 	 	 	1190_13	1190_13	 
Actinomyces graevenitzii C83 (435830.3)	 	 	 	 	 	 	959_13	959_13	 
Actinomyces naeslundii str. Howell 279 (1115803.3)	 	 	 	 	 	 	1290_14	 	 
Actinomyces turicensis ACS-279-V-Col4 (883077.3)	 	 	 	 	 	 	587_13	587_13	 
Corynebacterium aurimucosum ATCC 700975 (Prj:31451) (548476.7)	 	 	 	 	 	 	1552_13	1552_13	 
Corynebacterium durum F0235 (1035195.3)	 	 	 	 	 	 	572_13	572_13	 
Corynebacterium propinquum DSM 44285 (1121367.3)	 	 	 	 	 	 	1880_13	1880_13	 
Gordonia rubripertincta NBRC 101908 (1077975.4)	 	 	 	 	 	 	3478_13	3478_13	 
Gordonia terrae C-6 (1316928.3)	 	 	 	 	 	 	1540_13	1540_13	 
Gordonia terrae NBRC 100016 (1089454.3)	 	 	 	 	 	 	3155_13	3155_13	 
Mycobacterium avium subsp. paratuberculosis JQ6 (1112208.3)	 	 	4935_6	 	 	 	1504_13	1504_13	 
Mycobacterium avium subsp. paratuberculosis MAP4 (1199187.3)	 	 	2275_6	 	 	 	4306_13, 4463_13	4306_13, 4463_13	 
Mycobacterium avium subsp. paratuberculosis S5 (1247747.5)	 	 	2086_6	 	 	 	4532_13, 4694_13	4532_13, 4694_13	 
Mycobacterium abscessus 3A-0119-R (1001721.3)	 	 	2810_6	 	 	 	4186_13	4186_13	 
Mycobacterium abscessus 3A-0122-R (1001715.3)	 	 	2844_6	 	 	 	4222_13	4222_13	 
Mycobacterium abscessus 3A-0122-S (1001716.3)	 	 	2402_6	 	 	 	4001_13	4001_13	 
Mycobacterium abscessus 3A-0731 (1001718.3)	 	 	2951_6	 	 	 	4266_13	4266_13	 
Mycobacterium abscessus 3A-0810-R (1001717.3)	 	 	2855_6	 	 	 	4191_13	4191_13	 
Mycobacterium abscessus 3A-0930-R (1001720.3)	 	 	2862_6	 	 	 	4136_13	4136_13	 
Mycobacterium abscessus 3A-0930-S (1001719.3)	 	 	2793_6	 	 	 	4064_13	4064_13	 
Mycobacterium abscessus 47J26 (1087483.3)	 	 	 	 	 	 	2836_13	2836_13	 
Mycobacterium abscessus 4S-0116-R (1001725.3)	 	 	 	 	 	 	3710_13	3710_13	 
Mycobacterium abscessus 4S-0116-S (1001724.3)	 	 	 	 	 	 	2802_13	2802_13	 
Mycobacterium abscessus 4S-0206 (1001723.3)	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus 4S-0303 (1001722.3)	 	 	 	 	 	 	3703_13	3703_13	 
Mycobacterium abscessus 4S-0726-RA (1001726.3)	 	 	 	 	 	 	3637_13	3637_13	 
Mycobacterium abscessus 4S-0726-RB (1001727.3)	 	 	 	 	 	 	3250_13	3250_13	 
Mycobacterium abscessus 5S-0304 (1001728.3)	 	 	 	 	 	 	3192_13	3192_13	 
Mycobacterium abscessus 5S-0421 (1001729.3)	 	 	 	 	 	 	3444_13	3444_13	 
Mycobacterium abscessus 5S-0422 (1001731.3)	 	 	 	 	 	 	4314_13	4314_13	 
Mycobacterium abscessus 5S-0708 (1001730.3)	 	 	 	 	 	 	3169_13	3169_13	 
Mycobacterium abscessus 5S-0817 (1001735.3)	 	 	 	 	 	 	2794_13	2794_13	 
Mycobacterium abscessus 5S-0921 (1001732.3)	 	 	 	 	 	 	4094_13	4094_13	 
Mycobacterium abscessus 5S-1212 (1001733.3)	 	 	 	 	 	 	2924_13	2924_13	 
Mycobacterium abscessus 5S-1215 (1001734.3)	 	 	 	 	 	 	3268_13	3268_13	 
Mycobacterium abscessus 6G-0125-R (1001740.3)	 	 	1830_6	 	 	 	3020_13	3020_13	 
Mycobacterium abscessus 6G-0212 (1001739.3)	 	 	2819_6	 	 	 	4009_13	4009_13	 
Mycobacterium abscessus 9808 (1246644.3)	 	 	 	 	 	 	4223_13	4223_13	 
Mycobacterium abscessus M115 (1162287.3)	 	 	 	 	 	 	728_13	728_13	 
Mycobacterium abscessus M139 (1175632.3)	 	 	 	 	 	 	711_13	711_13	 
Mycobacterium abscessus M152 (1176125.3)	 	 	 	 	 	 	1901_13	1901_13	 
Mycobacterium abscessus M154 (1162288.3)	 	 	 	 	 	 	1042_13	1042_13	 
Mycobacterium abscessus M156 (1185414.3)	 	 	 	 	 	 	1054_13	1054_13	 
Mycobacterium abscessus M159 (1162285.3)	 	 	 	 	 	 	564_13	564_13	 
Mycobacterium abscessus M172 (1162286.3)	 	 	 	 	 	 	1370_13	1370_13	 
Mycobacterium abscessus M24 (1162284.3)	 	 	 	 	 	 	4273_13	4273_13	 
Mycobacterium abscessus M93 (1149134.5)	 	 	 	 	 	 	916_13	916_13	 
Mycobacterium abscessus M94 (1158135.4)	 	 	 	 	 	 	2977_13	2977_13	 
Mycobacterium abscessus subsp. bolletii 50594 (1303024.3)	 	 	 	 	 	 	4032_13	4032_13	 
Mycobacterium abscessus subsp. bolletii BD (1091046.3)	 	 	 	 	 	 	3816_13	3816_13	 
Mycobacterium fortuitum subsp. fortuitum DSM 46621 (1214102.3)	 	 	 	 	 	 	2105_13	2105_13	 
Rhodococcus erythropolis XP (1078016.3)	 	 	 	 	 	 	133_13, 1871_14	133_13	 
Brevibacterium casei S18 (1229781.4)	 	 	 	 	 	 	2218_13	2218_13	 
Brevibacterium massiliense 5401308 (1176165.3)	 	 	 	 	 	 	605_13	605_13	 
Brachybacterium paraconglomeratum LC44 (1064537.3)	 	 	 	 	 	 	2015_13	2015_13	 
Curtobacterium flaccumfaciens UCD-AKU (1292022.3)	 	 	 	 	 	 	1621_13	1621_13	 
Microbacterium paraoxydans 77MFTsu3.2 (1151126.3)	 	 	 	 	 	 	1430_13	1430_13	 
Kocuria palustris PEL (1236550.3)	 	 	 	 	 	 	1997_13	1997_13	 
Rothia aeria F0474 (1125724.3)	 	 	 	 	 	 	709_13	709_13	 
Rothia mucilaginosa M508 (563033.4)	 	 	 	 	 	 	368_13	368_13	 
Propionibacterium acidipropionici ATCC 4875 (1171373.8)	 	 	 	 	 	 	2605_13	2605_13	 
Propionibacterium acnes C1 (1234380.3)	 	 	 	 	 	 	2059_13	2059_13	 
Propionibacterium acnes FZ1/2/0 (1276649.3)	 	 	 	 	 	 	2000_13	2000_13	 
Propionibacterium acnes HL096PA1 (1134454.3)	 	 	 	 	 	 	2027_13	2027_13	 
Propionibacterium acnes PRP-38 (1136877.3)	 	 	 	 	 	 	274_13	274_13	 
Propionibacterium avidum 44067 (1170318.3)	 	 	 	 	 	 	263_13	263_13	 
Propionibacterium avidum ATCC 25577 (997355.3)	 	 	 	 	 	 	555_13	555_13	 
Propionibacterium propionicum F0230a (767029.3)	 	 	 	 	 	 	2352_13	2352_13	 
Bifidobacterium angulatum DSM 20098 = JCM 7096 (518635.7)	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. animalis ATCC 25527 (703613.4)	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis B420 (1168290.3)	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis BS 01 (911598.3)	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis Bi-07 (742729.3)	 	 	 	 	 	 	 	 	 
Bifidobacterium bifidum BGN4 (484020.3)	 	 	 	 	 	 	 	 	 
Bifidobacterium bifidum LMG 13195 (1207542.3)	 	 	 	 	 	 	 	 	 
Bifidobacterium breve CECT 7263 (1036735.3)	 	 	 	 	 	 	 	 	 
Bifidobacterium breve DPC 6330 (1074482.3)	 	 	 	 	 	 	 	 	 
Bifidobacterium breve DSM 20213 = JCM 1192 (518634.7)	 	 	 	 	 	 	 	 	 
Bifidobacterium breve HPH0326 (1203540.3)	 	 	 	 	 	 	 	 	 
Bifidobacterium catenulatum DSM 16992 = JCM 1194 (566552.6)	 	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 (391904.8)	 	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. longum 1-6B (1161744.3)	 	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. longum 2-2B (1161745.3)	 	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. longum 35B (1161904.3)	 	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. longum 44B (1161743.3)	 	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. longum CMCC P0001 (1266716.3)	 	 	 	 	 	 	 	 	 
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 (547043.8)	 	 	 	 	 	 	 	 	 
Bifidobacterium thermophilum RBL67 (1254439.12)	 	 	 	 	 	 	 	 	 
Atopobium minutum 10063974 (997872.3)	 	 	 	 	 	 	 	 	 
Collinsella tanakaei YIT 12063 (742742.3)	 	 	 	 	 	 	788_13	788_13	 
Slackia piriformis YIT 12062 (742818.3)	 	 	 	 	 	 	83_13	83_13	 
Bacteroides fragilis ATCC 25285 (272559.3)	 	 	 	 	379_11, 379_11	 	762_13	762_13	 
Bacteroides caccae ATCC 43185 (411901.7)	 	 	 	 	1302_11, 1302_11	 	1696_13	1696_13	 
Bacteroides caccae CL03T12C61 (997873.3)	 	 	 	 	4077_11, 4077_11	 	278_13	278_13	 
Bacteroides capillosus ATCC 29799 (411467.6)	 	 	 	 	 	 	 	 	 
Bacteroides cellulosilyticus CL02T12C19 (997874.3)	 	 	 	 	1697_11, 1697_11	 	331_13	331_13	 
Bacteroides cellulosilyticus DSM 14838 (537012.5)	 	 	 	 	1799_11, 1799_11	 	2883_13	2883_13	 
Bacteroides clarus YIT 12056 (762984.3)	 	 	 	 	1747_11, 1747_11	 	2388_13	2388_13	 
Bacteroides coprocola DSM 17136 (470145.6)	 	 	 	 	 	 	29_13	29_13	 
Bacteroides coprophilus DSM 18228 (547042.5)	 	 	 	 	294_11, 294_11	 	1242_13	1242_13	 
Bacteroides dorei CL02T00C15 (997875.3)	 	 	 	 	2978_11, 2978_11	 	439_13	439_13	 
Bacteroides dorei CL02T12C06 (997876.3)	 	 	 	 	1628_11, 1628_11	 	763_13	763_13	 
Bacteroides dorei CL03T12C01 (997877.3)	 	 	 	 	2647_11, 2647_11	 	1090_13	1090_13	 
Bacteroides dorei DSM 17855 (483217.6)	 	 	 	 	2118_11, 2118_11	 	3767_13	3767_13	 
Bacteroides eggerthii 1_2_48FAA (665953.3)	 	 	 	 	 	 	1644_13	1644_13	 
Bacteroides eggerthii DSM 20697 (483216.6)	 	 	 	 	3079_11, 3079_11	 	1610_13	1610_13	 
Bacteroides faecis MAJ27 (1077285.3)	 	 	 	 	 	 	1689_13	1689_13	 
Bacteroides finegoldii DSM 17565 (483215.6)	 	 	 	 	3551_11, 3551_11	 	3828_13	3828_13	 
Bacteroides fluxus YIT 12057 (763034.3)	 	 	 	 	2390_11, 2390_11	 	3501_13	3501_13	 
Bacteroides fragilis 3_1_12 (457424.5)	 	 	 	 	2872_11, 2872_11	 	1816_13	1816_13	 
Bacteroides fragilis 638R (862962.3)	 	 	 	 	52_11, 52_11	 	920_13	920_13	 
Bacteroides fragilis CL03T00C08 (997878.3)	 	 	 	 	102_11, 102_11	 	954_13	954_13	 
Bacteroides fragilis CL03T12C07 (997879.3)	 	 	 	 	629_11, 629_11	 	1477_13	1477_13	 
Bacteroides fragilis CL05T00C42 (997880.3)	 	 	 	 	1665_11, 1665_11	 	4257_13	4257_13	 
Bacteroides fragilis CL05T12C13 (997881.3)	 	 	 	 	103_11, 103_11	 	883_13	883_13	 
Bacteroides fragilis CL07T00C01 (997882.3)	 	 	 	 	2908_11, 2908_11	 	2054_13	2054_13	 
Bacteroides fragilis CL07T12C05 (997883.3)	 	 	 	 	128_11, 128_11	 	987_13	987_13	 
Bacteroides fragilis HMW 610 (1073386.3)	 	 	 	 	4687_11, 4687_11	 	3186_13	3186_13	 
Bacteroides fragilis HMW 615 (1073387.4)	 	 	 	 	1106_11, 1106_11	 	328_13	328_13	 
Bacteroides fragilis HMW 616 (1073388.3)	 	 	 	 	4102_11, 4102_11	 	209_13	209_13	 
Bacteroides fragilis NCTC 9343 (272559.17)	 	 	 	 	62_11, 62_11	 	829_13	829_13	 
Bacteroides fragilis YCH46 (295405.11)	 	 	 	 	91_11, 91_11	 	920_13	920_13	 
Bacteroides intestinalis DSM 17393 (471870.8)	 	 	 	 	970_11, 970_11	 	4137_13	4137_13	 
Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 (1121098.4)	 	 	 	 	160_11, 160_11	 	392_13	392_13	 
Bacteroides massiliensis dnLKV3 (1235788.3)	 	 	 	 	438_11, 438_11	 	1437_13	1437_13	 
Bacteroides nordii CL02T12C05 (997884.3)	 	 	 	 	 	 	1241_13	1241_13	 
Bacteroides oleiciplenus YIT 12058 (742727.4)	 	 	 	 	 	 	4198_13	4198_13	 
Bacteroides ovatus 3_8_47FAA (665954.3)	 	 	 	 	482_11, 482_11	 	2315_13	2315_13	 
