Organism	ArgA	ArgB	ArgC	ArgD	ArgE	ArgJ	ArgF	ArgG	ArgH	ArtMQP	ArcD
Rhodococcus erythropolis PR4 (234621.6)	3227_1, 3790_19	3790_19	3789_5	3791_7	1027_14, 3788_8, 6136_14	5843_17, 790_17	3787_21	3785_23	1482_25, 3784_26	 	550
Rhodococcus erythropolis SK121 (596309.3)	2429_1, 4258_19	4258_19	4259_5	4257_7	1443_14, 3365_14, 4260_8	4003_17, 4112_17, 773_17	4261_21	4263_23	4264_26, 5829_25	 	4286
Brevibacterium linens BL2 (321955.4)	3779_19_1, 3779_19_1	3779_19_1	3780	3778_7	2145, 3781	1320	3782_21	1124_23	3784_26, 871_25	 	 
Kytococcus sedentarius DSM 20547 (478801.5)	 	 	 	 	 	 	958_21	956_23	170_25, 955_26	 	441
Kocuria rhizophila DC2201 (378753.5)	1551_19_1, 1551_19_1	1551_19_1	1550_5	1552_7	1549, 1959	 	1548_21	1544_23	1543_26, 326_25	 	 
Kocuria rhizophila P7-4 (1029824.3)	2102_19	2102_19	2103_5	2101_7	1727_14, 2104_8	 	2105_21	2109_23	1071_25, 2110_26	 	 
Micrococcus luteus NCTC 2665 (465515.4)	1377_19_1, 1377_19_1	1377_19_1	1376	1378_7	1375, 987	 	1374_21	1370_23	1369_26, 1976_25	 	 
Micrococcus luteus SK58 (596312.3)	1107_1, 18_19	18_19	17_5	19_7	1010_14, 107_14, 16_8	 	15_21	12_23	11_26, 272_25	 	 
Rothia dentocariosa ATCC 17931 (762948.4)	 	 	 	 	1893	823	 	 	620_25	 	 
Rothia dentocariosa M567 (563032.4)	 	 	 	 	314_14	766_17	 	 	521_25	 	 
Rothia mucilaginosa ATCC 25296 (553201.3)	 	 	 	 	 	484_17	 	 	129_25	 	 
Rothia mucilaginosa DY-18 (680646.3)	 	 	 	 	 	39_17	 	 	182_25	 	 
Tropheryma whipplei TW08/27 (218496.4)	 	 	 	 	799	 	 	 	966_25	 	 
Tropheryma whipplei str. Twist (203267.6)	 	 	 	 	810	 	 	 	975_25	 	 
Micromonospora aurantiaca ATCC 27029 (644283.3)	3511_19	3511_19	3512_5	3510_7	1706_14, 3513_8	1418_17	3514_21	3516_23, 3908_23	1238_26, 2689_25, 3517_26	 	 
Propionibacterium acnes 266 (909952.3)	1410_19_1, 1410_19_1	1410_19_1	1409	1411_7	1408_8	 	618_21	2263_23	1407_26, 2058_25	 	1059, 616
Propionibacterium acnes 6609 (1031709.3)	1434_19_1, 1434_19_1	1434_19_1	1433	1435_7	1431_8, 1432_8	 	625_21	2310_23	1430_26, 2093_25	 	623
Propionibacterium acnes ATCC 11828 (1091045.3)	1603_19	1603_19	1604_5	1601_7, 1602_7	1605_8	 	2375_21	785_23	1606_26, 567_25	 	1959, 2377
Propionibacterium acnes HL001PA1 (765105.8)	828_19	828_19	829_5	827_7	830_8	 	1609_21	2354_23	7_25, 831_26	 	1186, 1611
Propionibacterium acnes HL002PA1 (765115.3)	2356_19	2356_19	2355	2357_7	2354_8	 	1065_21	997_23	2353_26, 89_25	 	1063
Propionibacterium acnes HL002PA2 (765116.3)	1584_19_1, 1584_19_1	1584_19_1	1585	1583_7	1586_8	 	2380_21	1230_23	1587_26, 319_25	 	2382
Propionibacterium acnes HL002PA3 (765117.3)	1487_19_1, 1487_19_1	1487_19_1	1488	1486_7	1489_8	 	2281_21	76_23	1490_26, 279_25	 	2283
Propionibacterium acnes HL005PA1 (765096.3)	1677_19_1, 1677_19_1	1677_19_1	1678	1676_7	1679_8	 	2437_21	1270_23	1068_25, 1680_26	 	1999, 2439
Propionibacterium acnes HL005PA2 (765097.3)	2098_19_1, 2098_19_1	2098_19_1	2097	2099_7	2096_8	 	1666_21	2397_23	2095_26, 91_25	 	1668
Propionibacterium acnes HL005PA4 (765099.3)	1844_19	1844_19	1845_5	1843_7	1846_8	 	1754_21	27_23	1847_26, 371_25	 	1756
Propionibacterium acnes HL007PA1 (765118.3)	2370_19_1, 2370_19_1	2370_19_1	2369	2371_7	2368_8	 	1430_21	918_23	2367_26, 765_25	 	1428, 1864
Propionibacterium acnes HL013PA1 (765069.3)	849_19	849_19	850	848_7	851_8	 	1645_21	768_23	1686_25, 852_26	 	1647
Propionibacterium acnes HL013PA2 (765070.3)	1766_19_1, 1766_19_1	1766_19_1	1767	1765_7	1768_8	 	783_21	27_23	1769_26, 332_25	 	785
Propionibacterium acnes HL020PA1 (765065.3)	1358_19_1, 1358_19_1	1358_19_1	1359	1357_7	1360_8	 	2150_21	734_23	1361_26, 768_25	 	2152
Propionibacterium acnes HL025PA1 (765089.3)	1328_19	1328_19	1329	1327_7	1330_8	 	2124_21	2183_23	1331_26, 909_25	 	2126
Propionibacterium acnes HL027PA1 (765111.3)	552_19	552_19	551	553_7	550_8	 	2188_21	685_23	325_25, 549_26	 	1103, 2190
Propionibacterium acnes HL027PA2 (765112.3)	201_19_1, 201_19_1	201_19_1	202	200_7	203_8	 	988_21	91_23	1279_25, 204_26	 	990
Propionibacterium acnes HL030PA1 (765103.3)	1954_19_1, 1954_19_1	1954_19_1	1955	1953_7	1956	 	701_21	1283_23	1957_26, 83_25	 	699
Propionibacterium acnes HL036PA1 (765106.3)	2159_19_1, 2159_19_1	2159_19_1	2158	2160_7	2157_8	 	1366_21	1043_23	1167_25, 2156_26	 	1364
Propionibacterium acnes HL036PA2 (765107.3)	1490_19_1, 1490_19_1	1490_19_1	1491	1489_7	1492_8	 	2284_21	932_23	1493_26, 826_25	 	2286
Propionibacterium acnes HL037PA1 (765122.3)	2340_19	2340_19	2339	2341_7	2338_8	 	1547_21	1059_23	1264_25, 2337_26	 	1545
Propionibacterium acnes HL037PA2 (765123.3)	88_19	88_19	89_5	87_7	90_8	 	934_21	1330_23	1564_25, 91_26	 	461, 936
Propionibacterium acnes HL038PA1 (765085.3)	1991_19_1, 1991_19_1	1991_19_1	1990	1992_7	1989_8	 	1231_21	2061_23	1988_26, 2260_25	 	1229, 1665
Propionibacterium acnes HL043PA1 (765072.3)	2429_19_1, 2429_19_1	2429_19_1	2428	2430_7	2427_8	 	2340_21	211_23	2426_26, 8_25	 	2342, 862
Propionibacterium acnes HL043PA2 (765073.3)	2339_19_1, 2339_19_1	2339_19_1	2340	2338_7	2341_8	 	1990_21	40_23	2342_26, 795_25	 	1556, 1992
Propionibacterium acnes HL044PA1 (765109.3)	2535_19	2535_19	2534_5	2536_7	2533_8	 	415_21	944_23	2180_25, 2532_26	 	2026, 412
Propionibacterium acnes HL045PA1 (765068.3)	2200_19_1, 2200_19_1	2200_19_1	2199	2201_7	2198_8	 	1438_21	14_23	216_25, 2197_26	 	1436, 1878
Propionibacterium acnes HL046PA1 (765094.3)	1137_19_1, 1137_19_1	1137_19_1	1138	1136_7	1139_8	 	1941_21	78_23	1140_26, 249_25	 	1943
Propionibacterium acnes HL046PA2 (765095.3)	386_19_1, 386_19_1	386_19_1	385	387_7	384_8	 	693_21	584_23	1441_25, 383_26	 	691
Propionibacterium acnes HL050PA1 (765100.3)	1490_19	1490_19	1489	1491_7	1488_8	 	687_21	377_23	1487_26, 8_25	 	685
Propionibacterium acnes HL050PA2 (765101.3)	1490_19	1490_19	1491_5	1488_7, 1489_7	1492_8	 	2273_21	24_23	1493_26, 2315_25	 	1849, 2275
Propionibacterium acnes HL050PA3 (765102.3)	2119_19	2119_19	2118	2120_7	2117_8	 	1324_21	811_23	2116_26, 844_25	 	1322
Propionibacterium acnes HL053PA1 (765066.3)	2424_19_1, 2424_19_1	2424_19_1	2425	2423_7	2426_8	 	1488_21	570_23	2427_26, 369_25	 	1486, 1933
Propionibacterium acnes HL053PA2 (765067.3)	1421_19_1, 1421_19_1	1421_19_1	1422	1420_7	1423_8	 	2219_21	1339_23	1424_26, 545_25	 	1770, 2221
Propionibacterium acnes HL056PA1 (765119.3)	1909_19_1, 1909_19_1	1909_19_1	1910	1908_7	1911_8	 	1568_21	862_23	1912_26, 2343_25	 	1182, 1566
Propionibacterium acnes HL059PA1 (765091.3)	733_19	733_19	734	732_7	735_8	 	2146_21	26_23	242_25, 736_26	 	1085, 2144
Propionibacterium acnes HL059PA2 (765092.3)	2028_19	2028_19	2027	2029_7	2026_8	 	1234_21	249_23	18_25, 2025_26	 	1232
Propionibacterium acnes HL063PA1 (765113.3)	2190_19_1, 2190_19_1	2190_19_1	2189	2191_7	2188_8	 	1391_21	350_23	2187_26, 36_25	 	1389, 1833
Propionibacterium acnes HL063PA2 (765114.3)	2382_19	2382_19	2381	2383_7	2380_8	 	1589_21	598_23	148_25, 2379_26	 	1587, 2028, 2029
Propionibacterium acnes HL067PA1 (765110.3)	2405_19	2405_19	2406	2404_7	2407_8	 	288_21	1115_23	2408_26, 80_25	 	286
Propionibacterium acnes HL072PA1 (765074.3)	1762_19_1, 1762_19_1	1762_19_1	1761_5	1763_7	1760_8	 	935_21	450_23	1759_26, 405_25	 	933
Propionibacterium acnes HL072PA2 (765075.3)	2415_19_1, 2415_19_1	2415_19_1	2414_5	2416_7	2413_8	 	1409_21	1473_23	2412_26, 891_25	 	1411
Propionibacterium acnes HL074PA1 (765076.3)	1640_19_1, 1640_19_1	1640_19_1	1639	1641_7	1638_8	 	2022_21	1912_23	1637_26, 1707_25	 	1317, 2020
Propionibacterium acnes HL078PA1 (765071.3)	1475_19_1, 1475_19_1	1475_19_1	1476	1474_7	1477_8	 	2244_21	971_23	1478_26, 45_25	 	1799, 2246
Propionibacterium acnes HL082PA1 (765120.3)	1626_19_1, 1626_19_1	1626_19_1	1627	1625_7	1628_8	 	2423_21	968_23	1629_26, 9_25	 	1978, 2425
Propionibacterium acnes HL082PA2 (765121.3)	313_19	313_19	314_5	311_7, 312_7	315_8	 	1092_21	1383_23	137_25, 316_26	 	1094, 672
Propionibacterium acnes HL083PA1 (765087.3)	2368_19_1, 2368_19_1	2368_19_1	2367	2369_7	2366_8	 	800_21	1405_23	1427_25, 2365_26	 	2042, 802
Propionibacterium acnes HL083PA2 (765088.3)	2021_19	2021_19	2020	2022_7	2019_8	 	1221_21	468_23	2018_26, 8_25	 	1219
Propionibacterium acnes HL086PA1 (765093.3)	2093_19_1, 2093_19_1	2093_19_1	2092	2094_7	2091_8	 	1298_21	1179_23	2090_26, 976_25	 	1296
Propionibacterium acnes HL087PA2 (765082.3)	1613_19_1, 1613_19_1	1613_19_1	1612	1614_7	1611_8	 	561_21	258_23	1610_26, 521_25	 	559
Propionibacterium acnes HL087PA3 (765083.3)	1322_19	1322_19	1323	1321_7	1324_8	 	2424_21	234_23	1325_26, 31_25	 	2426
Propionibacterium acnes HL092PA1 (765086.3)	1813_19_1, 1813_19_1	1813_19_1	1812	1814_7	1811_8	 	1024_21	766_23	1810_26, 969_25	 	1022
Propionibacterium acnes HL096PA2 (765058.3)	1197_19_1, 1197_19_1	1197_19_1	1198	1196_7	1199_8	 	1561_21	208_23	1200_26, 8_25	 	1559, 1994
Propionibacterium acnes HL096PA3 (765057.3)	1959_19_1, 1959_19_1	1959_19_1	1960_5	1958_7	1961_8	 	1531_21	2234_23	1962_26, 2034_25	 	1533
Propionibacterium acnes HL097PA1 (765064.3)	2398_19	2398_19	2397	2399_7	2396_8	 	1628_21	209_23	2395_26, 8_25	 	1626, 2077
Propionibacterium acnes HL099PA1 (765063.3)	773_19_1, 773_19_1	773_19_1	772	774_7	771_8	 	1899_21	341_23	142_25, 770_26	 	1462, 1901
Propionibacterium acnes HL103PA1 (765061.3)	1252_19	1252_19	1253_5	1250_7, 1251_7	1254_8	 	2034_21	224_23	1255_26, 7_25	 	1612, 2036
Propionibacterium acnes HL110PA1 (765077.3)	1628_19_1, 1628_19_1	1628_19_1	1629	1627_7	1630_8	 	2419_21	78_23	1631_26, 542_25	 	2421
Propionibacterium acnes HL110PA2 (765078.3)	1932_19_1, 1932_19_1	1932_19_1	1931	1933_7	1930_8	 	1137_21	404_23	1929_26, 574_25	 	1135
Propionibacterium acnes HL110PA3 (765079.3)	56_19	56_19	55_5	57_7, 58_7	54_8	 	2290_21	2395_23	1379_25, 53_26	 	1879, 2292
Propionibacterium acnes HL110PA4 (765080.3)	237_19	237_19	236_5	238_7, 239_7	235_8	 	2263_21	1564_23	130_25, 234_26	 	2261, 710
Propionibacterium acnes J139 (679194.3)	657_19	657_19	658_5	656_7	659_8	 	1337_21	1823_23	1634_25, 660_26	 	1339, 967
Propionibacterium acnes J165 (679195.3)	1538_19_1, 1538_19_1, 363_19_1, 363_19_1	1538_19_1, 363_19_1	1537	364_7	1536_8	 	163_21	1456_23	1257_25, 1535_26	 	161, 671
Propionibacterium acnes KPA171202 (267747.3)	1392_19_1, 1392_19_1	1392_19_1	1391	1393_7	1390	 	612_21	2256_23	1389_26, 2042_25	 	1052, 610
Propionibacterium acnes SK137 (553199.9)	1380_19_1, 1380_19_1	1380_19_1	1379	1381_7	1378_8	 	635_21	2216_23	1377_26, 2015_25	 	1061, 633
Propionibacterium acnes SK182 (679193.4)	895_19_1, 895_19_1	895_19_1	894	896_7	893_8	 	140_21	1892_23	892_26, 99_25	 	138, 575
Propionibacterium acnes SK182B-JCVI (1051006.4)	180_19_1, 180_19_1	180_19_1	181_5	178_7, 179_7	182_8	 	1192_21	922_23	183_26, 2201_25	 	1194, 491
Propionibacterium acnes SK187 (686659.3)	1278_19_1, 1278_19_1	1278_19_1	1277	1279_7	1276_8	 	1536_21	1753_23	1275_26, 1427_25	 	1538
Propionibacterium acnes TypeIA2 P.acn17 (1114967.3)	1412_19	1412_19	1411	1413_7	1410_8	 	620_21	2246_23	1409_26, 2045_25	 	618
Propionibacterium acnes TypeIA2 P.acn31 (1114969.3)	1408_19	1408_19	1407	1409_7	1406_8	 	617_21	2243_23	1405_26, 2041_25	 	1055, 615
Propionibacterium acnes TypeIA2 P.acn33 (1114966.3)	1392_19	1392_19	1391	1393_7	1390_8	 	602_21	2232_23	1389_26, 2032_25	 	600
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 (754252.3)	1362_19_1, 1362_19_1	1362_19_1	1361	1363_7	1360, 951	 	91_21	156_23	1358_26, 406_25	 	 
Bifidobacterium adolescentis ATCC 15703 (367928.6)	1000_19	1000_19	999_5	1001_7	998_8	 	997_21	995_23	602_25, 993_26	 	 
Bifidobacterium adolescentis L2-32 (411481.5)	1586_19	1586_19	1585	1587_7	1584_8	 	1583_21	1581_23	1580_26, 897_25	 	 
Bifidobacterium animalis subsp. lactis BB-12 (552531.3)	1214_19, 1355_2	1214_19, 1355_2	1215_5	1213_7	1216	 	1217_21	1219_23	1135_25, 1220_26	 	154
Bifidobacterium animalis subsp. lactis BLC1 (1075106.4)	725_19_1, 725_19_1, 865	725_19_1, 865	726	724_7	727	 	728_21	730_23	649_25, 731_26	 	1276
Bifidobacterium animalis subsp. lactis Bl-04 (580050.3)	730_19_1, 730_19_1, 872	730_19_1, 872	731	729_7	732	 	733_21	735_23	653_25, 736_26	 	1282
Bifidobacterium animalis subsp. lactis CNCM I-2494 (1042403.4)	724_19_1, 724_19_1, 864	724_19_1, 864	725	723_7	726	 	727_21	729_23	646_25, 730_26	 	1274
Bifidobacterium animalis subsp. lactis DSM 10140 (555970.3)	729_19_1, 729_19_1, 871	729_19_1, 871	730	728_7	731	 	732_21	734_23	652_25, 735_26	 	1283
Bifidobacterium animalis subsp. lactis HN019 (486409.3)	255, 396_19_1, 396_19_1	255, 396_19_1	395	397_7	394	 	393_21	391_23	1286_25, 390_26	 	733
Bifidobacterium animalis subsp. lactis V9 (573236.3)	724_19_1, 724_19_1, 866	724_19_1, 866	725	723_7	726	 	727_21	729_23	649_25, 730_26	 	1280
Bifidobacterium bifidum NCIMB 41171 (398513.5)	584_19_1, 584_19_1	584_19_1	583_5	585_7	582_8	 	581_21	579_23	573_26, 63_25	 	 
Bifidobacterium bifidum PRL2010 (702459.3)	1201_19	1201_19	1200_5	1202_7	1199_8	 	1198_21	1196_23	1187_26, 666_25	 	 
Bifidobacterium bifidum S17 (883062.5)	1139_19	1139_19	1138_5	1140_7	1137_8	 	1136_21	1134_23	1127_26, 683_25	 	 
Bifidobacterium breve ACS-071-V-Sch8b (866777.3)	1153_19_1, 1153_19_1	1153_19_1	1152	1154_7	1151_8	 	1150_21	1148_23	1140_26, 480_25	 	 
Bifidobacterium breve UCC2003 (326426.4)	739_19_1, 739_19_1	739_19_1	740	738_7	741	 	742_21	744_23	1475_25, 752_26	 	 
Bifidobacterium dentium ATCC 27678 (473819.7)	1635_19_1, 1635_19_1	1635_19_1	1636	1634_7	1637, 1848, 811	 	1638_21	1640_23	1641_26, 2132_25	 	 
Bifidobacterium dentium ATCC 27679 (871562.3)	1421_19	1421_19	1422	1420_7	1423, 1613, 836_14	 	1424_21	1426_23	1427_26, 2041_25	 	 
Bifidobacterium dentium Bd1 (401473.3)	1229_19_1, 1229_19_1	1229_19_1	1228	1230_7	1012, 1227, 2016	 	1226_21	1224_23	1223_26, 730_25	 	 
Bifidobacterium dentium JCVIHMP022 (553191.3)	220_19	220_19	219	221_7, 222_7	218, 345_14, 592	 	217_21	215_23	1156_25, 214_26	 	 
Bifidobacterium gallicum DSM 20093 (561180.4)	660_19_1, 660_19_1	660_19_1	659_5	661_7	658_8	 	657_21	655_23	654_26, 749_25	 	882
Bifidobacterium longum NCC2705 (206672.9)	770_19_1, 770_19_1	770_19_1	769_5	771_7	768_8	 	767_21	765_23	1854_25, 763_26	 	 
Bifidobacterium longum subsp. infantis 157F (565040.3)	590_19_1, 590_19_1	590_19_1	591_5	589_7	592_8	 	593_21	595_23	1546_25, 597_26	 	 
Bifidobacterium longum subsp. infantis ATCC 55813 (548480.3)	138_19_1, 138_19_1	138_19_1	137	139_7	136_8	 	135_21	133_23	132_26, 819_25	 	 
Bifidobacterium longum subsp. infantis CCUG 52486 (537937.5)	47_19_1, 47_19_1	47_19_1	46_5	48_7	45_8	 	44_21	42_23	1936_25, 40_26	 	 
Bifidobacterium longum subsp. longum BBMN68 (890402.3)	837_19_1, 837_19_1	837_19_1	836_5	838_7	835_8	 	834_21	832_23	29_25, 830_26	 	 
Bifidobacterium longum subsp. longum F8 (722911.3)	638_19_1, 638_19_1	638_19_1	637_5	639_7	636_8	 	635_21	633_23	1046_25, 631_26	 	 
Bifidobacterium longum subsp. longum JCM 1217 (565042.3)	583_19_1, 583_19_1	583_19_1	584_5	582_7	585_8	 	586_21	588_23	1517_25, 590_26	 	 
Bifidobacterium longum subsp. longum JDM301 (759350.3)	635_19_1, 635_19_1	635_19_1	636_5	634_7	637_9	 	638_21	640_23	1477_25, 641_26	 	 
Bifidobacterium longum subsp. longum KACC 91563 (1035817.4)	1302_19_1, 1302_19_1	1302_19_1	1301_5	1303_7	1300_8	 	1299_21	1297_23	1295_26, 453_25	 	 
Scardovia inopinata F0304 (641146.3)	 	 	 	 	 	 	1305_21	1434_23	1381_25, 1435_26	 	 
Atopobium parvulum DSM 20469 (521095.6)	 	 	 	 	 	230	 	 	1312_25	 	 
Atopobium rimae ATCC 49626 (553184.4)	1230_2	1230_2	 	 	 	1234_17, 1254_17	1233_21, 693_21	 	625_25	 	694
Collinsella aerofaciens ATCC 25986 (411903.6)	889_19_1, 889_19_1	889_19_1	890_5	888_7	891_8	1165_17, 1344_17	1166_21, 312_21, 560_21	214_23	1997_25, 212_26	 	311, 386
Collinsella intestinalis DSM 13280 (521003.7)	 	 	 	 	 	 	685_21	557_23	558_26, 799_25	 	54, 686, 687
Collinsella stercoris DSM 13279 (445975.6)	782_19_1, 782_19_1	782_19_1	783_5	780_7	784_8	 	1369_21	473_23	1548_25	 	1368, 1374, 1411, 1412
Cryptobacterium curtum DSM 15641 (469378.5)	 	 	 	 	 	 	628_21	 	132_25	 	1331, 165, 439
Eggerthella lenta DSM 2243 (479437.5)	2417_19_1, 2417_19_1, 31_19_1, 31_19_1	2417_19_1, 31_19_1	2416	2418_7	2415	 	2014_21, 2777_21, 436_21	2412_23	2411_26, 267_25	 	1016, 1620, 165, 2012, 2563, 2776, 2985, 3053
Eggerthella sp. 1_3_56FAA (665943.3)	1345_19_1, 1345_19_1, 955_19_1, 955_19_1	1345_19_1, 955_19_1	954	3043_7	953_8	 	1747_21, 2292_21, 538_21	950_23	1563_25, 949_26	 	1181, 1243, 2144, 2291, 2864, 540, 796
Eggerthella sp. YY7918 (502558.4)	806_19_1, 806_19_1	806_19_1	807_5	805_7	808_8	 	1781_21, 184_21, 776_21	812_23	325_25, 813_26	 	1779, 2443
Gordonibacter pamelaeae 7-10-1-b (657308.3)	382_19_1, 382_19_1	382_19_1	381_5	436_7	301_8, 380_8	 	2826_21	299_23	259_26, 721_25	 	1397, 2192, 2824, 298
Olsenella uli DSM 7084 (633147.4)	 	 	 	 	 	 	846_21	1786_23	1783_25, 1785_26	 	624, 847, 849, 89
Slackia exigua ATCC 700122 (649764.3)	1719_19_1, 1719_19_1	1719_19_1	1720_5	1718_7	1721_8	 	1091_21, 1249_21, 1794_21, 29_21	1133_23	1001_25, 1135_26	 	1247, 1659, 1792, 526
Actinomyces cardiffensis F0333 (888050.3)	7_19_1, 7_19_1	7_19_1	380_5	8_7	6_8	 	381_21	4_23	2_26, 787_25	 	 
Actinomyces graevenitzii C83 (435830.3)	 	 	 	 	 	 	1640_21	 	1209_25	 	 
Actinomyces naeslundii str. Howell 279 (1115803.3)	1180_19_1, 1180_19_1	1180_19_1	 	1181_7	627_8, 652_14	 	2005_21	625_23	2221_25, 623_26	 	84
Actinomyces turicensis ACS-279-V-Col4 (883077.3)	 	 	 	 	 	 	1216_21	1369_23	1367_26, 302_25	 	 
Corynebacterium aurimucosum ATCC 700975 (Prj:31451) (548476.7)	1741_19_1, 1741_19_1	1741_19_1	1740_5	1742_7	1256_14, 1259_14, 1739_8	 	1738_21	1736_23	1106_25, 1735_26	 	418
Corynebacterium durum F0235 (1035195.3)	270_19_1, 270_19_1	270_19_1	269_5	271_7	268_8	 	267_21	265_23	2349_25, 264_26	 	45
Corynebacterium propinquum DSM 44285 (1121367.3)	662_19_1, 662_19_1	662_19_1	663_5	661_7	1933_14, 664_8	 	665_21	668_23	1342_25, 669_26	 	424
Gordonia rubripertincta NBRC 101908 (1077975.4)	4014_19_1, 4014_19_1	4014_19_1	4013_5	4015_7	4012_8	2288_17	4011_21	4009_23	4008_26, 4629_25	 	 
Gordonia terrae C-6 (1316928.3)	4025_19_1, 4025_19_1	4025_19_1	4026_5	4024_7	4027_8	300_17	4028_21	4030_23	3842_25, 4031_26	 	 
Gordonia terrae NBRC 100016 (1089454.3)	212_19_1, 212_19_1	212_19_1	213_5	211_7	214_8	2730_17	215_21	217_23	2040_25, 218_26	 	 
Mycobacterium avium subsp. paratuberculosis JQ6 (1112208.3)	3379_1, 4557_19_1, 4557_19_1, 4558_19_1, 4558_19_1	4557_19_1, 4558_19_1	4559_5	4556_7	4560_8, 4561_8, 648_14	 	4562_21	4564_23	4000_25, 4565_26, 4566_26	 	 
Mycobacterium avium subsp. paratuberculosis MAP4 (1199187.3)	2567_19_1, 2567_19_1	2567_19_1	2566_5	2568_7	2565_8, 2904_14	 	2564_21	2562_23	2561_26, 3346_25	 	 
Mycobacterium avium subsp. paratuberculosis S5 (1247747.5)	1769_19_1, 1769_19_1, 3230_1	1769_19_1	1770_5	1768_7	1415_14, 1771_8	 	1772_21	1774_23	1775_26, 716_25	 	 
